Misc/Lambda_star,_step,Metrics/EpRet,Loss/Loss_cost_critic,Misc/r,Train/PolicyRatio/Max,Loss/Loss_reward_critic,Train/LR,Time/Update,Time/FPS,Misc/xHx,Value/Adv,Value/cost,Loss/Loss_pi/Delta,Misc/A,Misc/s,_timestamp,Misc/H_inv_g,Train/Entropy,Metrics/EpLen,Train/PolicyRatio,Train/PolicyRatio/Min,Misc/Alpha,Train/StopIter,Train/PolicyRatio/Std,Value/reward,Misc/OptimCase,Misc/Nu_star,TotalEnvSteps,Loss/Loss_cost_critic/Delta,Train/PolicyStd,Misc/B,Misc/FinalStepNorm,Misc/gradient_norm,Train/KL,_runtime,Time/Rollout,Time/Epoch,Metrics/EpCost,Misc/AcceptanceStep,Misc/cost_gradient_norm,Misc/q,Train/Epoch,Loss/Loss_reward_critic/Delta,Loss/Loss_pi,Time/Total
0,1,-1.0987179279327393,3.9455251693725586,-0.0014336146414279938,0.9987899661064148,0.008625045418739319,0,8.954337120056152,60.721736907958984,0.001784007647074759,-1.3160705414350105e-08,-0.1421491950750351,-0.005911064799875021,0.0016846737125888467,0.02069031447172165,1743314487.170207,0.09812987595796585,1.4339901208877563,1000,0.9987899661064148,0.9987899661064148,3.348231077194214,10,0.0008556371903978288,0.05597032979130745,0,0.9831761717796326,20000.0,3.9455251693725586,1.0159536600112915,-110199.4375,0.2987654507160187,0.03366842493414879,0.0001498411875218153,668.875547338,320.4169921875,329.371337890625,47.75,1,0.13189998269081116,0.001784007647074759,0,0.008625045418739319,-0.005911064799875021,329.3727722167969
0,2,-1.8154850006103516,1.9546369314193726,0.0005005179555155337,0.9997901916503906,0.0038166693411767483,0,8.874227523803711,59.13859939575195,0.019019439816474915,-6.332397362029951e-08,-0.18318422138690948,0.002838977612555027,0.01899085007607937,0.008762262761592865,1743314825.424851,0.12996703386306763,1.4432268142700195,1000,0.9997901916503906,0.9997901916503906,1.0254536867141724,10,0.00014832880697213113,0.01461629755795002,0,1.510798692703247,40000.0,-1.990888237953186,1.0258201360702515,-128843.2421875,0.3118334710597992,0.22510363161563873,0.00012345437426120043,1005.94358989,329.3143310546875,338.1885986328125,33.599998474121094,1,0.09984813630580902,0.019019439816474915,1,-0.004808376077562571,-0.003072087187319994,667.6485595703125
0,3,-1.3589445352554321,2.2664310932159424,-0.0016763333696871996,0.9995731711387634,0.006603460293263197,0,8.785309791564941,59.34713363647461,0.007281178142875433,-6.866454960174906e-09,0.7664231657981873,-0.00215946976095438,0.007059779483824968,0.012692449614405632,1743315162.4926934,0.1330379843711853,1.4536923170089722,1000,0.9995731711387634,0.9995731711387634,1.6573486328125,10,0.00030182761838659644,0.0014687868533656001,0,1.255284309387207,60000.0,0.3117941617965698,1.0368633270263672,-74983.2734375,0.2972574830055237,0.12139498442411423,0.00016150018200278282,1344.56172965,328.2149353027344,337.0002746582031,30.850000381469727,1,0.10761900991201401,0.007281178142875433,2,0.0027867909520864487,-0.005231556948274374,1004.7142944335938
0,4,-1.0127272605895996,1.869739055633545,-9.861255966825411e-05,1.0017393827438354,0.004986107349395752,0,8.657633781433105,59.076725006103516,0.007686155382543802,-3.051757735406113e-09,1.0512912273406982,0.001849208027124405,0.00768518028780818,0.009972842410206795,1743315501.110893,0.16046786308288574,1.4585614204406738,1000,1.0017393827438354,1.0017393827438354,1.613095760345459,10,0.001229901215992868,-0.0043840110301971436,0,1.4161369800567627,80000.0,-0.39669203758239746,1.043242335319519,-82665.15625,0.2865743339061737,0.116640605032444,0.00018517003627493978,1677.716368772,329.8851623535156,338.5428161621094,28.712499618530273,1,0.09103169292211533,0.007686155382543802,3,-0.001617352943867445,-0.003382348921149969,1343.324951171875
0,5,-0.9997046589851379,2.9562301635742188,-0.00023007398704066873,0.9996647238731384,0.0060289958491921425,0,8.690606117248535,60.04676818847656,0.007152575068175793,3.051757735406113e-09,0.9779735207557678,0.00030886405147612095,0.007145120296627283,0.007100824266672134,1743315834.2656238,0.13786102831363678,1.4540947675704956,1000,0.9996647238731384,0.9996647238731384,1.6721818447113037,10,0.00023709006200078875,-0.010335109196603298,0,1.6782640218734741,100000.0,1.0864911079406738,1.0395156145095825,-109229.75,0.35925808548927307,0.12594062089920044,9.806747402762994e-05,2010.148960594,324.3830871582031,333.07373046875,27.850000381469727,1,0.06747105717658997,0.007152575068175793,4,0.0010428884997963905,-0.003073484869673848,1676.4735107421875
0,6,-1.010396122932434,1.9764007329940796,-0.0009198685293085873,1.0001310110092163,0.007193698547780514,0,8.648340225219727,60.17559814453125,0.011056926101446152,6.103515470812226e-09,1.2847139835357666,-0.0016455694567412138,0.010980312712490559,0.011044451966881752,1743316166.6981158,0.17390279471874237,1.4828466176986694,1000,1.0001310110092163,1.0001310110092163,1.344923496246338,10,9.261068043997511e-05,-0.007122108247131109,0,1.3456827402114868,120000.0,-0.9798294305801392,1.0702095031738281,-48607.94921875,0.26929572224617004,0.14016331732273102,0.00018367927987128496,2344.695869333,323.7122497558594,332.3606262207031,23.170000076293945,1,0.12132881581783295,0.011056926101446152,5,0.0011647026985883713,-0.004719054326415062,2008.9169921875
0,7,-0.7369585633277893,1.4920642375946045,0.0033410396426916122,1.000367522239685,0.006438795942813158,0,8.661700248718262,59.79876708984375,0.01958661526441574,-9.155272984173735e-09,1.0131443738937378,0.005770857795141637,0.0180988647043705,0.0075029609724879265,1743316501.245118,0.16458293795585632,1.5037206411361694,1000,1.000367522239685,1.000367522239685,1.0104973316192627,10,0.0002599055878818035,-0.049493208527565,0,1.6326698064804077,140000.0,-0.4843364953994751,1.0930176973342896,-71243.015625,0.29607531428337097,0.20771782100200653,0.0001939360226970166,2676.031040742,325.7933349609375,334.4550476074219,23.1200008392334,1,0.08718441426753998,0.01958661526441574,6,-0.0007549026049673557,0.0010518034687265754,2343.4423828125
0,8,-0.8966740369796753,1.1348410844802856,0.0017001290107145905,0.9993502497673035,0.010155881755053997,0,8.60778522491455,60.378448486328125,0.010641658678650856,7.247924482811641e-09,0.7864871025085449,-0.000613110838457942,0.010010945610702038,0.0045828018337488174,1743316832.5802033,0.1453152894973755,1.5147727727890015,1000,0.9993502497673035,0.9993502497673035,1.3709137439727783,10,0.0004594568454194814,-0.05517961457371712,0,2.089050769805908,160000.0,-0.35722315311431885,1.1052169799804688,-90719.84375,0.3280062675476074,0.1547551304101944,0.00016615902131889015,3005.077977806,322.6361999511719,331.2440185546875,20.389999389648438,1,0.06408458203077316,0.010641658678650856,7,0.003717085812240839,0.00043869263026863337,2674.778564453125
0,9,-1.3741852045059204,1.7380942106246948,0.0002968212647829205,1.0005455017089844,0.006648944225162268,0,8.69688606262207,60.796607971191406,0.011004273779690266,-7.629394005448376e-09,1.2609020471572876,-0.0037537842290475965,0.010995008051395416,0.009508303366601467,1743317161.6272004,0.12353602051734924,1.5159984827041626,1000,1.0005455017089844,1.0005455017089844,1.3481372594833374,10,0.0003857841657008976,-0.08433281630277634,0,1.4503179788589478,180000.0,0.6032531261444092,1.1094995737075806,-50717.86328125,0.28068459033966064,0.18844754993915558,0.00017924743588082492,3336.695419478,320.2688293457031,328.9657287597656,21.959999084472656,1,0.08803030848503113,0.011004273779690266,8,-0.0035069375298917294,-0.003315091598778963,3003.834228515625
0,10,-1.5740103721618652,1.5262848138809204,0.0011998754926025867,0.9981428980827332,0.009287375025451183,0,8.636670112609863,60.33088684082031,0.019214008003473282,-7.629394005448376e-09,1.6371068954467773,0.0005880196113139391,0.019055811688303947,0.009100686758756638,1743317493.2446318,0.188660129904747,1.5142197608947754,1000,0.9981428980827332,0.9981428980827332,1.0202484130859375,10,0.0013132115127518773,-0.08702999353408813,0,1.482441782951355,200000.0,-0.21180939674377441,1.1112686395645142,-44525.89453125,0.3367781937122345,0.23866187036037445,0.00014842637756373733,3668.255745256,322.86846923828125,331.5051574707031,20.1299991607666,1,0.07022815942764282,0.019214008003473282,9,0.0026384308002889156,-0.002727071987465024,3335.42138671875
