Train/PolicyRatio/Max,_runtime,_timestamp,Time/Update,Train/Epoch,Metrics/EpCost,Safety/ShieldLagrangeMultiplier,Train/PolicyStd,Loss/Loss_pi,Safety/EpCostShield,_step,Loss/Loss_reward_critic,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,TotalEnvSteps,Loss/Loss_cost_critic,Time/Total,Train/Entropy,Train/LR,Train/PolicyRatio/Std,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier/Max,Value/cost,Time/FPS,Safety/shield_violation,Value/Adv,Safety/shield_adv_c,Value/reward,Train/KL,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier/Std,Time/Epoch,Metrics/EpLen,Train/StopIter,Metrics/EpRet,Loss/Loss_pi/Delta,Safety/ShieldLagrangeMultiplier/Std,Train/PolicyRatio/Min,Time/Rollout,Train/PolicyRatio,Metrics/LagrangeMultiplier/Min
1.0091702938079834,8286.493024251,1746558361.7973268,81.88297271728516,52,44.2400016784668,1.6429322957992554,0.4581671953201294,-0.698837399482727,83.94999694824219,53,0.04236987605690956,1.6204297542572021,1.6204297542572021,1.6429322957992554,1060000.0,8.804716110229492,8138.11474609375,0.6358020901679993,0.00014099999680183828,0.013763108290731907,0.005049068480730057,1.6429322957992554,5.867340564727783,132.93382263183594,13.746506690979004,0.052974168211221695,NaN,1.050581455230713,0.015463435091078281,-0.02351856231689453,0,150.45079040527344,1000,40,7.318188667297363,-0.3729116916656494,0,1.0091702938079834,68.56777954101562,1.0091702938079834,1.6204297542572021
1.007379174232483,8434.574536115,1746558509.4213207,78.88886260986328,53,44.34000015258789,1.6732336282730103,0.4489632844924927,-0.6323540210723877,102.8499984741211,54,0.04557493329048157,1.6527690887451172,1.6527690887451172,1.6732336282730103,1080000.0,7.473305702209473,8285.73828125,0.615227460861206,0.00013800000306218863,0.01335893850773573,0.0032050572335720062,1.6732336282730103,6.028708457946777,135.53138732910156,14.696261405944824,0.09178019315004349,NaN,0.9751769304275513,0.015177355147898197,-1.3314104080200195,0,147.56729125976562,1000,40,7.306291580200195,0.06648337841033936,0,1.007379174232483,68.67838287353516,1.0073790550231934,1.6527690887451172
1.0088989734649658,8583.974667026,1746558657.502938,81.55805969238281,54,40.900001525878906,1.7025707960128784,0.44126537442207336,-0.5827725529670715,66.4000015258789,55,0.03259363770484924,1.6849174499511719,1.6849174499511719,1.7025707960128784,1100000.0,7.199586868286133,8433.771484375,0.5982391834259033,0.00013499999477062374,0.012842800468206406,-0.012981295585632324,1.7025707960128784,5.248129844665527,135.1553192138672,11.15205192565918,0.09636325389146805,NaN,0.7876580953598022,0.014027674682438374,-0.27371883392333984,0,147.97789001464844,1000,40,6.791990756988525,0.04958146810531616,0,1.0088989734649658,66.41978454589844,1.0088989734649658,1.6849174499511719
1.0073418617248535,8733.135925325,1746558806.9032369,82.05611419677734,55,43.459999084472656,1.731912612915039,0.4365648031234741,-0.4784594774246216,100.25,56,0.036106888204813004,1.7170583009719849,1.7170583009719849,1.731912612915039,1120000.0,8.8065767288208,8583.212890625,0.5874093770980835,0.0001320000010309741,0.013544326648116112,0.0035132504999637604,1.731912612915039,5.733398914337158,133.9283905029297,12.730021476745605,0.031928904354572296,NaN,0.806255578994751,0.014597170986235142,1.606989860534668,0,149.33352661132812,1000,40,6.182961463928223,0.10431307554244995,0,1.0073418617248535,67.27737426757812,1.0073418617248535,1.7170583009719849
1.0064555406570435,8878.177554256,1746558956.0646486,78.61821746826172,56,39.2599983215332,1.7610448598861694,0.4333704113960266,-0.5161663293838501,91.55000305175781,57,0.036304231733083725,1.7489328384399414,1.7489328384399414,1.7610448598861694,1140000.0,8.592941284179688,8732.3759765625,0.5797281861305237,0.0001289999927394092,0.013233637437224388,0.00019734352827072144,1.7610448598861694,5.6930012702941895,134.14060974121094,12.295440673828125,0.01847589761018753,NaN,0.7188146114349365,0.014972100034356117,-0.21363544464111328,0,149.09727478027344,1000,40,6.412560939788818,-0.037706851959228516,0,1.0064555406570435,70.47899627685547,1.0064555406570435,1.7489328384399414
1.0091017484664917,9026.42648913,1746559101.1061313,79.3974380493164,57,37.27000045776367,1.7892760038375854,0.4241953194141388,-0.6494503617286682,64.05000305175781,58,0.03843328729271889,1.78044593334198,1.78044593334198,1.7892760038375854,1160000.0,6.745392799377441,8877.4052734375,0.557555615901947,0.00012599999899975955,0.01312308106571436,0.0021290555596351624,1.7892760038375854,5.130306720733643,137.96337890625,11.605823516845703,-0.017088357359170914,NaN,0.6767954230308533,0.014001400209963322,-1.847548484802246,0,144.9660186767578,1000,40,5.881602764129639,-0.13328403234481812,0,1.0091017484664917,65.56853485107422,1.0091017484664917,1.78044593334198
1.0073119401931763,9173.953692542,1746559249.3551183,80.00689697265625,58,30.739999771118164,1.8170677423477173,0.41710135340690613,-0.5954492688179016,77.8499984741211,59,0.04298313334584236,1.8112117052078247,1.8112117052078247,1.8170677423477173,1180000.0,7.156662940979004,9025.666015625,0.5405594110488892,0.0001230000052601099,0.013247267343103886,0.004549846053123474,1.8170677423477173,5.2414679527282715,134.96592712402344,12.23049545288086,0.09556658565998077,NaN,0.7499914765357971,0.014450838789343834,0.4112701416015625,0,148.185546875,1000,40,5.820253849029541,0.0540010929107666,0,1.0073119401931763,68.17860412597656,1.0073119401931763,1.8112117052078247
1.0024408102035522,9319.673472191,1746559396.8822885,80.0809326171875,59,33.27000045776367,1.8448511362075806,0.4126432538032532,-0.388020783662796,92.30000305175781,60,0.03681232035160065,1.8414783477783203,1.8414783477783203,1.8448511362075806,1200000.0,6.616102695465088,9173.189453125,0.5302557945251465,0.00011999999696854502,0.012521597556769848,-0.0061708129942417145,1.8448511362075806,5.398003101348877,135.63243103027344,11.01021671295166,-0.06877881288528442,NaN,0.6778984069824219,0.013869783841073513,-0.540560245513916,0,147.45736694335938,1000,40,6.040722846984863,0.2074284851551056,0,1.0024408102035522,67.37639617919922,1.0024408102035522,1.8414783477783203
1.0108020305633545,9466.539742122,1746559542.60241,78.43677520751953,60,29.440000534057617,1.8717235326766968,0.4041501581668854,-0.7301599383354187,58.349998474121094,61,0.03711396083235741,1.8710441589355469,1.8710441589355469,1.8717235326766968,1220000.0,5.843598365783691,9318.912109375,0.5097066760063171,0.00011700000322889537,0.013483039103448391,0.00030164048075675964,1.8717235326766968,5.044335842132568,137.3125762939453,11.663166046142578,-0.012209907174110413,NaN,0.7620233297348022,0.01530628651380539,-0.7725043296813965,0,145.653076171875,1000,40,6.152414321899414,-0.3421391546726227,0,1.0108020305633545,67.21623992919922,1.0108020305633545,1.8710441589355469
1.0087060928344727,9616.927953106,1746559689.4687562,79.60555267333984,61,26.43000030517578,1.8977067470550537,0.39543861150741577,-0.6678428053855896,55.75,62,0.03654872998595238,1.8997776508331299,1.8997776508331299,1.8977067470550537,1240000.0,5.981957912445068,9465.7841796875,0.48804792761802673,0.0001140000022132881,0.013050375506281853,-0.0005652308464050293,1.8977067470550537,5.394515514373779,136.23348999023438,10.972225189208984,0.08180643618106842,NaN,0.6114771366119385,0.013667365536093712,0.13835954666137695,0,146.80679321289062,1000,40,5.952437877655029,0.0623171329498291,0,1.0087060928344727,67.20118713378906,1.008705973625183,1.8997776508331299
