Train/StopIter,Time/Epoch,Train/LR,Misc/Nu_star,Metrics/EpCost,Misc/xHx,Loss/Loss_pi/Delta,Train/PolicyRatio/Min,Train/PolicyRatio/Max,_timestamp,Train/PolicyRatio,Misc/Alpha,Misc/FinalStepNorm,Misc/q,Misc/OptimCase,Metrics/EpLen,Misc/H_inv_g,_step,Misc/A,Train/Epoch,Time/Total,Loss/Loss_cost_critic,Metrics/EpRet,Loss/Loss_cost_critic/Delta,_runtime,Train/PolicyRatio/Std,Train/KL,Value/Adv,Loss/Loss_reward_critic,Misc/B,Time/Update,Misc/r,Loss/Loss_pi,Time/Rollout,Misc/AcceptanceStep,Misc/Lambda_star,Loss/Loss_reward_critic/Delta,TotalEnvSteps,Value/cost,Train/PolicyStd,Misc/cost_gradient_norm,Misc/gradient_norm,Misc/s,Value/reward,Time/FPS,Train/Entropy
10,111.74564361572266,0,2.2331416606903076,12.050000190734863,0.0061699459329247475,-0.0032570287585258484,1.0004160404205322,1.0004160404205322,1743315561.1759524,1.0004159212112427,1.8004205226898193,0.31452199816703796,0.0061699459329247475,0,1000,0.14249874651432037,1,0.00610341364517808,0,111.74685668945312,1.0215877294540405,-3.545281171798706,1.0215877294540405,224.793915269,0.00029412881121970713,0.00015687204722780734,-3.280639404579233e-08,0.0074884239584207535,-36205.65625,14.440006256103516,-0.0005165532929822803,-0.0032570287585258484,97.30561828613281,1,0.0,0.0074884239584207535,20000.0,-0.19420327246189117,0.9976770877838135,0.05173135921359062,0.08048345148563385,0.004010480362921953,0.013975459150969982,178.97789001464844,1.4166111946105957
10,111.6879653930664,0,2.5256924629211426,9.274999618530273,0.012538587674498558,-0.0009980467148125172,1.0003716945648193,1.0003716945648193,1743315673.0031526,1.0003715753555298,1.2629625797271729,0.309640496969223,0.012538587674498558,0,1000,0.16898109018802643,2,0.011825958266854286,1,223.54452514648438,0.6877194046974182,-3.277137041091919,-0.3338683247566223,336.48375453,0.0002627715584821999,0.00013132210006006062,-1.506805347162299e-08,0.013397996313869953,-27438.380859375,15.542865753173828,-0.0014947421150282025,-0.0042550754733383656,96.14507293701172,1,0.0,0.0059095723554492,40000.0,-0.2978593707084656,1.0027331113815308,0.04784976318478584,0.15186846256256104,0.0031352173537015915,-0.06749621033668518,179.07032775878906,1.4216331243515015
10,111.54100799560547,0,1.0768545866012573,14.083333015441895,0.014488144777715206,0.0016466386150568724,1.000680923461914,1.000680923461914,1743315784.6929617,1.000680923461914,1.1749204397201538,0.3056755065917969,0.014488144777715206,0,1000,0.1574033498764038,3,0.01422561053186655,2,335.23065185546875,1.0100663900375366,-3.0548415184020996,0.3223469853401184,449.481210637,0.0004814293934032321,0.00016017782036215067,1.8692016823251834e-08,0.0099412202835083,-11499.9072265625,15.904444694519043,0.002127897460013628,-0.002608436858281493,95.63652038574219,1,0.0,-0.0034567760303616524,60000.0,-0.07414155453443527,0.9983364939689636,0.10032349824905396,0.1679673194885254,0.01724708080291748,-0.09710722416639328,179.30625915527344,1.4172435998916626
10,112.67692565917969,0,1.812056303024292,12.175000190734863,0.015165358781814575,0.00139576755464077,0.9999629259109497,0.9999629259109497,1743315897.6900873,0.9999628663063049,1.1483875513076782,0.3362514078617096,0.015165358781814575,0,1000,0.17492042481899261,4,0.01491381973028183,3,448.05712890625,0.46947428584098816,-2.9113528728485107,-0.5405921041965485,562.46058811,2.6243445972795598e-05,0.00012298341607674956,1.1444091896350983e-08,0.007416026666760445,-24336.1015625,15.612485885620117,0.0012377863749861717,-0.0012126693036407232,97.06439208984375,1,0.0,-0.002525193616747856,80000.0,0.4401809573173523,1.0125361680984497,0.061851128935813904,0.18520347774028778,0.006090962793678045,-0.09514868259429932,177.49862670898438,1.4310179948806763
10,112.84432220458984,0,7.839439868927002,9.819999694824219,0.012701521627604961,0.004003426758572459,1.0006749629974365,1.0006749629974365,1743316010.6696494,1.000674843788147,1.2548359632492065,0.2842789590358734,0.012701521627604961,0,1000,0.15285423398017883,5,0.0117424875497818,4,561.2220458984375,0.1323147714138031,-3.0853404998779297,-0.33715951442718506,673.945577147,0.0004772147221956402,0.00016148063878063112,-9.155272984173735e-09,0.014037643559277058,-296321.375,15.805390357971191,0.0005586593179032207,0.002790757454931736,97.03889465332031,1,0.0,0.006621616892516613,100000.0,-0.12938909232616425,1.0115132331848145,0.014713295735418797,0.1664816439151764,0.000325421744491905,-0.2080846130847931,177.23532104492188,1.429964542388916
10,111.35832977294922,0,2.551467180252075,8.199999809265137,0.009663436561822891,-0.0027835258515551686,0.9993152618408203,0.9993152618408203,1743316122.154603,0.9993152618408203,1.4386295080184937,0.29620516300201416,0.009663436561822891,0,1000,0.15698900818824768,6,0.00933185312896967,5,672.7158203125,0.15309247374534607,-2.944793462753296,0.02077770233154297,784.896101742,0.00048421110841445625,0.00016536189650651067,1.5258788677030566e-09,0.013406652957201004,-21886.55078125,15.20862865447998,0.0010093022137880325,7.231603376567364e-06,96.14967346191406,1,0.0,-0.0006309906020760536,120000.0,-0.11778447031974792,1.0119808912277222,0.053323131054639816,0.13195860385894775,0.003072193590924144,-0.20298652350902557,179.60040283203125,1.4301868677139282
10,110.86502838134766,0,10.162558555603027,6.900000095367432,0.010150371119379997,0.0015992569969967008,0.9985111951828003,0.9985111951828003,1743316233.1054378,0.9985111355781555,1.403698444366455,0.3119916617870331,0.010150371119379997,0,1000,0.15084384381771088,7,0.009843064472079277,6,783.706298828125,0.0857054814696312,-2.9349780082702637,-0.06738699227571487,897.472180443,0.0010528002167120576,0.00013639401004184037,-2.2888182460434336e-09,0.00983506441116333,-245852.28125,15.765360832214355,0.00024394855427090079,0.0016064886003732681,95.09963989257812,1,0.0,-0.003571588546037674,140000.0,0.027259090915322304,1.0244723558425903,0.011155929416418076,0.1402910053730011,0.00019364285981282592,-0.18309524655342102,180.39955139160156,1.4427403211593628
10,112.48795318603516,0,1.9245338439941406,5.199999809265137,0.00963337067514658,-0.00422855862416327,1.0000269412994385,1.0000269412994385,1743316345.681346,1.000026822090149,1.4408727884292603,0.35453444719314575,0.00963337067514658,0,1000,0.1379537731409073,8,0.009633244946599007,7,896.2731323242188,0.4747339189052582,-2.9632997512817383,0.389028437435627,1008.578540364,1.8994220226886682e-05,0.00010813326662173495,7.247924482811641e-09,0.010732290334999561,-5007.55859375,15.798521041870117,2.6096939109265804e-05,-0.002622070023790002,96.68937683105469,1,0.0,0.0008972259238362312,160000.0,0.033015064895153046,1.0373839139938354,0.044709570705890656,0.15024635195732117,0.005399805027991533,-0.2062172293663025,177.7968292236328,1.4554437398910522
10,110.97936248779297,0,2.717801809310913,4.039999961853027,0.01010196004062891,-0.000844898633658886,1.000748872756958,1.000748872756958,1743316456.787399,1.0007487535476685,1.4070578813552856,0.31646639108657837,0.01010196004062891,0,1000,0.16737212240695953,9,0.00987710990011692,8,1007.3410034179688,0.27902817726135254,-3.076122760772705,-0.19570574164390564,1121.91022288,0.0005294767906889319,0.0001394205173710361,0.0,0.014382971450686455,-6027.91162109375,15.208564758300781,-0.000780268688686192,-0.003466968657448888,95.770751953125,1,0.0,0.0036506811156868935,180000.0,0.42639169096946716,1.0596908330917358,0.04913398250937462,0.14263775944709778,0.0027076515834778547,-0.23936304450035095,180.21368408203125,1.4767080545425415
10,113.2054443359375,0,9.846691131591797,3.9600000381469727,0.015267893671989441,0.008485453436151147,0.9998437166213989,0.9998437166213989,1743316570.1192784,0.9998436570167542,1.1445249319076538,0.3046269714832306,0.015267893671989441,0,1000,0.17745468020439148,10,0.01262870617210865,9,1120.6807861328125,0.07485343515872955,-3.2230260372161865,-0.20417474210262299,1233.372584233,0.00011053713387809694,0.00016920053167268634,0.0,0.025775520130991936,-76022.2890625,15.891880989074707,0.0007378358859568834,0.005018484778702259,97.31352233886719,1,0.0,0.011392548680305481,200000.0,0.22632978856563568,1.0491943359375,0.012182289734482765,0.16390691697597504,0.00020626629702746868,-0.2920687794685364,176.66995239257812,1.4668244123458862
