Metrics/LagrangeMultiplier/Std,Time/FPS,Loss/Loss_pi,Metrics/EpCost,Misc/gradient_norm,Safety/ShieldLagrangeMultiplier/Std,Metrics/EpLen,Misc/AcceptanceStep,_timestamp,Train/Epoch,Misc/FinalStepNorm,Loss/Loss_cost_critic/Delta,Time/Update,Misc/Alpha,Train/PolicyRatio,Train/PolicyRatio/Min,Value/Adv,Loss/Loss_reward_critic,TotalEnvSteps,_step,Time/Epoch,Time/Total,Train/StopIter,Train/PolicyStd,Loss/Loss_cost_critic,Metrics/LagrangeMultiplier/Min,Value/cost,Safety/ShieldLagrangeMultiplier/Min,Safety/shield_violation,Value/reward,Safety/ShieldLagrangeMultiplier,Safety/ShieldLagrangeMultiplier/Max,Train/Entropy,_runtime,Safety/shield_adv_c,Train/PolicyRatio/Max,Time/Rollout,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic/Delta,Train/KL,Misc/H_inv_g,Metrics/LagrangeMultiplier/Max,Misc/xHx,Loss/Loss_pi/Delta,Train/LR,Safety/EpCostShield,Train/PolicyRatio/Std,Metrics/EpRet
0,143.9331512451172,-0.46854129433631897,13.399999618530273,0.04981612414121628,0,1000,1,1746511799.5354502,0,0.25023844838142395,3.571319580078125,16.79107666015625,3.218571424484253,1.0018364191055298,1.0018365383148193,-2.2888182460434336e-09,0.006660688202828169,20000.0,1,138.95339965820312,138.9545440673828,10,0.9996560215950012,3.571319580078125,0.035999998450279236,-0.013698190450668335,0.044999994337558746,-0.02459545247256756,0.04644467309117317,0.044999994337558746,0.044999994337558746,1.4185038805007935,255.796584995,0.6352047920227051,1.0018365383148193,122.16229248046875,0.035999998450279236,0.006660688202828169,0.00038827519165351987,0.07774829864501953,0.035999998450279236,0.0019306405447423458,-0.46854129433631897,0,23.799999237060547,0.0012986287474632263,-1.3757212162017822
0,172.5645294189453,-0.4545346796512604,14.675000190734863,0.06378694623708725,0,1000,1,1746511915.5084074,1,0.25648120045661926,4.35786771774292,17.333093643188477,2.7125344276428223,1.0023303031921387,1.0023303031921387,9.53674295089968e-09,0.006970866117626429,40000.0,2,115.89867401123047,254.91717529296875,10,1.0156725645065308,7.929187297821045,0.07104673981666565,0.2672758400440216,0.07925091683864594,0.5182215571403503,0.04120033234357834,0.07925091683864594,0.07925091683864594,1.4343355894088745,371.509440291,0.5602496266365051,1.0023303031921387,98.5655517578125,0.07104673981666565,0.00031017791479825974,0.00037804231396876276,0.09455408900976181,0.07104673981666565,0.00271817808970809,0.014006614685058594,0,41.599998474121094,0.0016477731987833977,-1.3764883279800415
0,172.95828247070312,-0.41282519698143005,13.600000381469727,0.032616689801216125,0,1000,1,1746512031.2212443,2,0.3236114978790283,-0.7450957298278809,16.858596801757812,3.286759376525879,1.0012928247451782,1.0012929439544678,-4.577636492086867e-09,0.003744203131645918,60000.0,3,115.63482666015625,370.6260986328125,10,1.0473109483718872,7.184091567993164,0.10603219270706177,0.5643298625946045,0.11375346034765244,2.004667282104492,0.029205435886979103,0.11375346034765244,0.11375346034765244,1.4649624824523926,486.357711453,2.4242677688598633,1.0012929439544678,98.77619171142578,0.10603219270706177,-0.0032266629859805107,0.0002657293516676873,0.0984591394662857,0.10603219270706177,0.0018513640388846397,0.04170948266983032,0,48.79999923706055,0.0009141370537690818,-0.9189389944076538
0,174.2226104736328,-0.3940371572971344,14.887499809265137,0.03985575959086418,0,1000,1,1746512146.069509,3,0.34320682287216187,-2.560258388519287,16.814510345458984,2.451766014099121,1.0007508993148804,1.0007508993148804,0.0,0.0018674175953492522,80000.0,4,114.79566955566406,485.4983215332031,10,1.0786337852478027,4.623833179473877,0.14110451936721802,0.6614447236061096,0.14807291328907013,1.9951597452163696,0.02754003368318081,0.14807291328907013,0.14807291328907013,1.4943674802780151,607.676671513,0.16937075555324554,1.0007508993148804,97.98113250732422,0.14110451936721802,-0.0018767855362966657,0.00024073112581390887,0.13998350501060486,0.14110451936721802,0.003327137092128396,0.018788039684295654,0,33.349998474121094,0.0005309378611855209,-0.6598685383796692
0,164.9350128173828,-0.3936305046081543,16.06999969482422,0.026050584390759468,0,1000,1,1746512267.3885448,4,0.3623104393482208,-0.20628786087036133,17.00229263305664,2.7924251556396484,1.0012396574020386,1.0012396574020386,1.5258788677030566e-09,0.0019015097059309483,100000.0,5,121.25988006591797,606.8117065429688,10,1.0900760889053345,4.417545318603516,0.1763106882572174,0.7979236841201782,0.18261465430259705,1.9532742500305176,0.02268810197710991,0.18261465430259705,0.18261465430259705,1.5047154426574707,729.943513902,1.2058991193771362,1.0012396574020386,104.257568359375,0.1763106882572174,3.4092110581696033e-05,0.0002551448415033519,0.12974758446216583,0.1763106882572174,0.00256486888974905,0.00040665268898010254,0,62.150001525878906,0.0008765420643612742,-0.4865152835845947
0,163.68409729003906,-0.3732793629169464,18.1299991607666,0.0377720482647419,0,1000,1,1746512389.6552877,5,0.3461005389690399,2.272861957550049,16.725582122802734,2.6540818214416504,1.0010757446289062,1.0010757446289062,-6.866454960174906e-09,0.0026011967565864325,120000.0,6,122.18657684326172,729.0575561523438,10,1.078060269355774,6.6904072761535645,0.2117120772600174,0.9832203388214111,0.21747489273548126,2.518889904022217,0.02506864257156849,0.21747489273548126,0.21747489273548126,1.4934908151626587,853.287707977,-0.7798593640327454,1.0010757446289062,105.46095275878906,0.2117120772600174,0.0006996870506554842,0.00029584893491119146,0.13040313124656677,0.2117120772600174,0.002839225111529231,0.020351141691207886,0,69.25,0.0007606100989505649,-0.2467847764492035
0,162.23965454101562,-0.31273946166038513,23.280000686645508,0.0375014990568161,0,1000,1,1746512512.999535,6,0.33150750398635864,6.8060173988342285,17.157869338989258,2.4041666984558105,1.0008941888809204,1.00089430809021,6.103515470812226e-09,0.0028302769642323256,140000.0,7,123.27442932128906,852.4124755859375,10,1.0727347135543823,13.496424674987793,0.2473214864730835,1.2681593894958496,0.25221389532089233,4.001911640167236,0.01868552342057228,0.25221389532089233,0.25221389532089233,1.4888477325439453,970.912606925,3.444105863571167,1.00089430809021,106.11653137207031,0.2473214864730835,0.0002290802076458931,0.0003012878296431154,0.13788874447345734,0.2473214864730835,0.0034601869992911816,0.06053990125656128,0,99.8499984741211,0.0006322589470073581,0.12080063670873642
0,170.13687133789062,-0.34349727630615234,29.440000534057617,0.049906834959983826,0,1000,1,1746512630.6244256,7,0.30069607496261597,-4.306684494018555,17.2479190826416,2.2483925819396973,1.0032585859298706,1.0032585859298706,1.5258788677030566e-09,0.0037827654741704464,160000.0,8,117.55242156982422,970.0339965820312,10,1.098218321800232,9.189740180969238,0.28305649757385254,1.5135347843170166,0.2873495817184448,3.927997589111328,0.025372957810759544,0.2873495817184448,0.2873495817184448,1.512265682220459,1089.745855721,-0.21468688547611237,1.0032585859298706,100.30447387695312,0.28305649757385254,0.0009524885099381208,0.00031594527536071837,0.13373824954032898,0.28305649757385254,0.003956257831305265,-0.030757814645767212,0,76.5,0.00230414024554193,0.11152820289134979
0,168.38697814941406,-0.357531875371933,35.150001525878906,0.06563898921012878,0,1000,1,1746512749.4575183,8,0.29888394474983215,-2.4408249855041504,17.00029945373535,2.1072998046875,1.0007143020629883,1.0007143020629883,-8.77380390562621e-09,0.0031085354276001453,180000.0,9,118.77403259277344,1088.8804931640625,10,1.105396032333374,6.748915195465088,0.31894299387931824,1.6318585872650146,0.3228069245815277,4.760929584503174,0.019984079524874687,0.3228069245815277,0.3228069245815277,1.5188738107681274,1210.259193282,0.30758461356163025,1.0007143020629883,101.77367401123047,0.31894299387931824,-0.0006742300465703011,0.0003224144456908107,0.1418326497077942,0.31894299387931824,0.004503771662712097,-0.01403459906578064,0,77.69999694824219,0.00050508783897385,0.17775486409664154
0,166.05966186523438,-0.3637508451938629,38.560001373291016,0.06280114501714706,0,1000,1,1746512869.971047,9,0.3081851601600647,4.634215831756592,17.223907470703125,2.1325721740722656,1.0020118951797485,1.002012014389038,0.0,0.00538461422547698,200000.0,10,120.43864440917969,1209.3773193359375,10,1.1150654554367065,11.38313102722168,0.3551175892353058,1.8830379247665405,0.3586800992488861,5.942795276641846,0.024186087772250175,0.3586800992488861,0.3586800992488861,1.5276952981948853,1328.173223662,0.6823989152908325,1.002012014389038,103.21471405029297,0.3551175892353058,0.002276078797876835,0.00028851962997578084,0.1445133537054062,0.3551175892353058,0.004397658631205559,-0.006218969821929932,0,92.5,0.0014227089704945683,0.13079561293125153
