Value/cost,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier/Max,_timestamp,Train/Epoch,Metrics/EpCost,Time/FPS,Value/reward,TotalEnvSteps,Train/PolicyRatio/Std,Loss/Loss_reward_critic,Train/PolicyStd,_runtime,Train/PolicyRatio/Min,Metrics/LagrangeMultiplier/Min,Time/Update,Train/Entropy,Train/KL,Metrics/EpLen,Time/Epoch,_step,Loss/Loss_pi/Delta,Time/Rollout,Train/StopIter,Metrics/LagrangeMultiplier/Std,Train/PolicyRatio/Max,Train/PolicyRatio,Loss/Loss_reward_critic/Delta,Value/Adv,Metrics/LagrangeMultiplier,Train/LR,Metrics/EpRet,Time/Total,Loss/Loss_pi,Loss/Loss_cost_critic
-0.05382424220442772,12.746780395507812,0.035999998450279236,1743332024.2628973,0,40.42499923706055,103.42298126220703,-0.06060532107949257,20000.0,0.015389015898108482,6.038928031921387,1.0011281967163086,372.645835819,0.9997408390045166,0.035999998450279236,69.37419128417969,1.420046091079712,0.020503362640738487,500,193.380615234375,1,-0.02434162050485611,124.00628662109375,27,0,0.9997408390045166,0.9997408390045166,6.038928031921387,-0.11148309707641602,0.035999998450279236,0.0002969999914057553,3.6002037525177,193.38255310058594,-0.02434162050485611,12.746780395507812
1.4355272054672241,-0.8836784362792969,0.07085283100605011,1743332202.3167748,1,36.32500076293945,112.36750793457031,0.4275382459163666,40000.0,0.015636708587408066,5.8849687576293945,0.9979029893875122,547.43472175,1.0003540515899658,0.07085283100605011,54.40036392211914,1.416805624961853,0.020077601075172424,500,177.98739624023438,2,-0.00018547847867012024,123.58695983886719,21,0,1.0003540515899658,1.0003540515899658,-0.1539592742919922,-0.08244410157203674,0.07085283100605011,0.00029399999766610563,0.6099742650985718,371.44500732421875,-0.02452709898352623,11.863101959228516
1.2044583559036255,4.129155158996582,0.10579121112823486,1743332377.1059275,2,39.470001220703125,114.46924591064453,0.13842636346817017,60000.0,0.01648082584142685,5.392233371734619,0.9987683892250061,714.926007959,0.9988974332809448,0.10579121112823486,50.98300552368164,1.4176664352416992,0.020064346492290497,500,174.71942138671875,3,-0.0016874223947525024,123.73629760742188,20,0,0.9988974332809448,0.9988973736763,-0.4927353858947754,-0.1254657357931137,0.10579121112823486,0.000291000003926456,-2.643636465072632,546.2374877929688,-0.026214521378278732,15.992257118225098
3.2329211235046387,-6.593415260314941,0.1406032145023346,1743332544.5973852,3,35.560001373291016,119.45551300048828,-0.054458025842905045,80000.0,0.015339965000748634,6.727243900299072,0.9967491626739502,883.190689686,0.9990625381469727,0.1406032145023346,43.127037048339844,1.4156389236450195,0.020316775888204575,500,167.4263458251953,4,0.0019818469882011414,124.29924011230469,17,0,0.9990625381469727,0.9990625977516174,1.3350105285644531,-0.008341295644640923,0.1406032145023346,0.0002880000101868063,-2.586122751235962,713.725830078125,-0.02423267439007759,9.398841857910156
3.18806529045105,-7.872790813446045,0.17328457534313202,1743332712.8620753,4,15.699999809265137,118.90728759765625,-0.2392328381538391,100000.0,0.01563451625406742,4.661705493927002,0.9935811161994934,1042.109817322,1.0002659559249878,0.17328457534313202,43.72147750854492,1.4124596118927002,0.02073894813656807,500,168.19827270507812,5,0.0028632860630750656,124.47673034667969,17,0,1.0002659559249878,1.0002659559249878,-2.0655384063720703,-0.04725804179906845,0.17328457534313202,0.0002849999873433262,-1.6775500774383545,881.9889526367188,-0.021369388327002525,1.5260510444641113
3.1347055435180664,18.09447431564331,0.20609569549560547,1743332871.7811906,5,29.309999465942383,125.89624786376953,-0.07681487500667572,120000.0,0.01637895032763481,4.849768161773682,0.9949974417686462,1205.748818837,0.9981937408447266,0.20609569549560547,34.77533721923828,1.4138517379760742,0.02042517624795437,500,158.86097717285156,6,-0.008419213816523552,124.08556365966797,14,0,0.9981937408447266,0.9981937408447266,0.1880626678466797,0.16546857357025146,0.20609569549560547,0.00028199999360367656,-0.8658937811851501,1040.916259765625,-0.029788602143526077,19.620525360107422
5.318234920501709,-9.083659172058105,0.23954111337661743,1743333035.419418,6,38.25,122.33259582519531,0.12736289203166962,140000.0,0.015947887673974037,4.256922721862793,0.9964726567268372,1361.780935375,1.0003727674484253,0.23954111337661743,37.64988708496094,1.415309190750122,0.021236589178442955,500,163.4887237548828,7,0.0009041745215654373,125.83877563476562,15,0,1.0003727674484253,1.0003727674484253,-0.5928454399108887,0.036711908876895905,0.23954111337661743,0.0002789999998640269,-0.6744673252105713,1204.4639892578125,-0.02888442762196064,10.536866188049316
5.921850204467773,-3.229092597961426,0.2733432650566101,1743333191.4519851,7,36.11000061035156,128.24139404296875,0.1258687674999237,160000.0,0.01564260758459568,7.3304243087768555,0.9948117733001709,1517.753226348,0.9991797208786011,0.2733432650566101,31.54806137084961,1.4136399030685425,0.020193101838231087,500,155.95587158203125,8,0.003678705543279648,124.40767669677734,13,0,0.9991797208786011,0.9991797804832458,3.0735015869140625,0.045149579644203186,0.2733432650566101,0.00027600000612437725,0.38370636105537415,1360.5780029296875,-0.025205722078680992,7.307773590087891
4.968321323394775,6.642794609069824,0.3074895143508911,1743333347.4243731,8,37.650001525878906,128.2823944091797,0.01838676445186138,180000.0,0.016027837991714478,5.931468963623047,0.9950350522994995,1684.250562276,0.9998410940170288,0.3074895143508911,31.190778732299805,1.413863182067871,0.020204266533255577,500,155.90603637695312,9,-0.006318541243672371,124.71519470214844,13,0,0.9998410940170288,0.9998411536216736,-1.3989553451538086,0.14477163553237915,0.3074895143508911,0.0002730000123847276,0.20081664621829987,1516.554931640625,-0.03152426332235336,13.950568199157715
4.702134132385254,-6.439925670623779,0.34159621596336365,1743333513.9219754,9,32.18000030517578,120.16768646240234,0.2684800326824188,200000.0,0.016069404780864716,3.4010016918182373,0.9928166270256042,1839.265993343,1.0017420053482056,0.34159621596336365,41.864933013916016,1.41163969039917,0.020292460918426514,500,166.43409729003906,10,-6.876885890960693e-06,124.56909942626953,17,0,1.0017420053482056,1.0017420053482056,-2.5304672718048096,-0.08600550889968872,0.34159621596336365,0.0002699999895412475,-0.7060087323188782,1683.057373046875,-0.031531140208244324,7.5106425285339355
