total_steps,EpRet,EpCost,CostRate
1000,0.08605492168464313,0.0,0.0
2000,-0.5974780450207391,0.0,0.0
3000,0.1469434555867788,0.0,0.0
4000,0.20835865191774583,0.0,0.0
5000,0.09485861833628473,0.0,0.0
6000,-0.11710620250154635,13.0,0.0021670278379729954
7000,-0.8501090344240427,16.0,0.004143449064152022
8000,0.07546548519417828,0.0,0.003625453181647706
9000,-18.411313249633643,0.0,0.003222580286698522
10000,-4.843611364399187,18.0,0.0047004700470047005
11000,-0.06647836477928792,10.0,0.005182289299027185
12000,0.7451783010022321,0.0,0.004750395866322194
13000,2.1850817139130427,95.0,0.011693207169782291
14000,7.107648344922154,17.0,0.01207229087791985
15000,0.3767113621665479,40.0,0.013934262284152277
16000,8.611133609688565,53.0,0.016376023501468842
17000,6.607953010384203,35.0,0.017471615977410437
18000,2.4653511535844044,34.0,0.018389910550586145
19000,2.525738331634124,0.0,0.017421969577346177
20000,2.901259284122972,22.0,0.017650882544127205
21000,6.673037429637667,38.0,0.018619934282584884
22000,14.047881727916126,37.0,0.019455429792263286
23000,13.889257710661765,27.0,0.019783468846471586
24000,0.34207975355784404,423.0,0.036584857702404265
25000,2.811868345546185,85.0,0.038521540861634465
26000,10.94482158393497,24.0,0.03796299857686834
27000,8.167902260179769,199.0,0.04392755287232861
28000,4.49146385569728,6.0,0.04257294903389407
29000,16.5502584034134,0.0,0.04110486568502362
30000,2.489226299632473,56.0,0.04160138671289043
31000,8.953131584693335,0.0,0.04025936320526469
32000,2.716521192935707,0.0,0.03900121878808713
33000,3.8311299271369066,0.0,0.03781932785841995
34000,6.3727210858358365,0.0,0.03670696196946969
35000,6.546673195420741,0.0,0.035658161661761764
36000,2.321704979000884,0.0,0.034667629656379345
37000,6.47931786871508,17.0,0.03419011324630396
38000,4.298743766578351,111.0,0.036211479249453934
39000,13.505097566841773,121.0,0.03838559963075976
40000,2.975321989184586,0.0,0.03742593564839121
41000,7.817239754194054,180.0,0.040903436669187054
42000,0.7582812718238006,6.0,0.04007238267577799
43000,-0.0657610948037175,187.0,0.04348938347403428
44000,6.747905235754539,83.0,0.044387372440282735
45000,0.34281370333149574,514.0,0.05482344052090046
46000,13.414144202404195,212.0,0.058240396530359353
47000,2.676789618128479,271.0,0.06276729292112598
48000,1.9362535899215638,72.0,0.06295964499260401
49000,0.9697373041914072,0.0,0.06167472805567461
50000,2.955967454911474,146.0,0.0633612672253445
51000,-0.9450151043279238,54.0,0.06317770936685033
52000,2.0294591168954215,0.0,0.06196273005250101
53000,3.5531768706818636,118.0,0.06302005698220721
54000,13.52699899466445,0.0,0.06185299727772737
55000,7.76562139015342,34.0,0.06134656993763523
56000,4.023832468567168,333.0,0.06619761067161914
57000,8.575141235060652,75.0,0.06635204126388182
58000,2.496089567037784,0.0,0.06520802082794531
59000,9.525636404485494,52.0,0.06498415227376735
60000,1.3476807611721222,3.0,0.06395106585109751
61000,0.017205217765141168,0.0,0.06290267053558254
