TotalEnvSteps,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier/Max,Train/PolicyRatio/Max,Value/reward,_step,Misc/AcceptanceStep,Metrics/LagrangeMultiplier,Train/PolicyRatio/Std,Time/FPS,Time/Total,Metrics/EpRet,Train/PolicyRatio/Min,Metrics/EpLen,Loss/Loss_pi/Delta,Misc/H_inv_g,Safety/EpCostShield,Misc/FinalStepNorm,_timestamp,Safety/ShieldLagrangeMultiplier,Loss/Loss_cost_critic,Metrics/EpCost,Misc/Alpha,Train/PolicyStd,Train/PolicyRatio,Safety/shield_violation,Train/LR,Value/Adv,Time/Epoch,Train/StopIter,Loss/Loss_reward_critic,Train/KL,Misc/xHx,Train/Entropy,Safety/ShieldLagrangeMultiplier/Min,Time/Update,Metrics/LagrangeMultiplier/Std,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier/Std,_runtime,Safety/shield_adv_c,Metrics/LagrangeMultiplier/Min,Time/Rollout,Misc/gradient_norm,Loss/Loss_pi,Safety/ShieldLagrangeMultiplier/Max,Train/Epoch,Value/cost
20000.0,20.10235595703125,0.03599999472498894,0.999281108379364,-0.1897718608379364,1,1,0.03599999472498894,0.0005083752912469208,207.688720703125,96.29863739013672,-0.4766623377799988,0.999281108379364,1000,-0.16918806731700897,0.060404222458601,60.849998474121094,0.19514544308185577,1746496464.7157521,0.04500000178813934,20.10235595703125,30.950000762939453,3.230659008026123,1.0337785482406616,0.999281108379364,0.027174651622772217,0,3.8146971692576415e-10,96.29795837402344,10,0.01060953363776207,0.0004098200879525393,0.0019162202952429652,1.4515987634658813,0.04500000178813934,16.524084091186523,0,0.01060953363776207,0,166.395791181,1.0063467025756836,0.03599999472498894,79.77384948730469,0.06453973054885864,-0.16918806731700897,0.04500000178813934,0,-0.16864672303199768
40000.0,-4.868010520935059,0.07100430130958557,1.0006917715072632,-0.1710866093635559,2,1,0.07100430130958557,0.0004891844000667334,290.4313049316406,165.22105407714844,-0.6878131031990051,1.0006917715072632,1000,-0.26344652473926544,0.0833820030093193,69.4000015258789,0.31245556473731995,1746496533.881727,0.08004435151815414,15.234345436096191,31.100000381469727,3.7472782135009766,1.0860904455184937,1.0006917715072632,0.8836531043052673,0,-1.0681151962899094e-08,68.86309814453125,10,0.005448456853628159,0.00026904401602223516,0.0014242790639400482,1.5005359649658203,0.08004435151815414,15.253494262695312,0,-0.005161076784133911,0,237.071148041,0.21407851576805115,0.07100430130958557,53.60958480834961,0.031379032880067825,-0.4326345920562744,0.08004435151815414,1,0.35780206322669983
60000.0,6.905077934265137,0.10600467026233673,1.0011142492294312,-0.1420421600341797,3,1,0.10600467026233673,0.0007878650794737041,283.2738037109375,236.1461181640625,-0.7027896642684937,1.0011142492294312,1000,-0.013587981462478638,0.08871693909168243,52.900001525878906,0.3322341740131378,1746496604.5579278,0.11466692388057709,22.139423370361328,30.96666717529297,3.7448787689208984,1.1235641241073608,1.0011142492294312,4.007560729980469,0,-2.2888182460434336e-09,70.60307312011719,10,0.0055024102330207825,0.0002713721478357911,0.0014261046890169382,1.5348329544067383,0.11466692388057709,15.107046127319336,0,5.39533793926239e-05,0,309.862301609,0.7477957606315613,0.10600467026233673,55.496009826660156,0.033157434314489365,-0.44622257351875305,0.11466692388057709,2,2.7543694972991943
80000.0,-4.995641708374023,0.14115169644355774,0.9993652105331421,-0.14052148163318634,4,1,0.14115169644355774,0.00044886392424814403,275.0408630371094,308.9162292480469,-0.6364862322807312,0.9993652105331421,1000,0.08950701355934143,0.11631295084953308,87.25,0.27793821692466736,1746496677.3490322,0.14949285984039307,17.143781661987305,36.70000076293945,2.3895723819732666,1.1630816459655762,0.9993651509284973,4.90719747543335,0,-1.3351439953623867e-08,72.71646881103516,10,0.0031234596390277147,0.00036805859417654574,0.0035025824327021837,1.5696020126342773,0.14949285984039307,15.606241226196289,0,-0.0023789505939930677,0,382.082740082,-0.09078741073608398,0.14115169644355774,57.110206604003906,0.06669774651527405,-0.3567155599594116,0.14949285984039307,3,2.2627644538879395
100000.0,11.547714233398438,0.17642034590244293,1.000423789024353,-0.09618757665157318,5,1,0.17642034590244293,0.000299636012641713,277.1277160644531,381.15972900390625,-0.6346641778945923,1.000423789024353,1000,0.029567807912826538,0.0989408865571022,134.4499969482422,0.2757129669189453,1746496749.5694666,0.18388548493385315,28.691495895385742,46.529998779296875,2.7866432666778564,1.2093443870544434,1.000423789024353,5.467756271362305,0,4.577636492086867e-09,72.16889190673828,10,0.003358726156875491,0.000370846944861114,0.0025755236856639385,1.6086143255233765,0.18388548493385315,14.904666900634766,0,0.0002352665178477764,0,455.247859542,1.190217137336731,0.17642034590244293,57.26419448852539,0.07041386514902115,-0.3271477520465851,0.18388548493385315,4,2.701798439025879
120000.0,-10.734956741333008,0.21187101304531097,1.0022368431091309,-0.09505408257246017,6,1,0.21187101304531097,0.0015816868981346488,273.5762939453125,454.317626953125,-0.4139461815357208,1.0022368431091309,1000,-0.049723148345947266,0.0871167704463005,73.19999694824219,0.31316694617271423,1746496822.734639,0.21809089183807373,17.956539154052734,51.400001525878906,3.594794988632202,1.2472459077835083,1.0022368431091309,5.500433444976807,0,-7.629394005448376e-09,73.10575103759766,10,0.004082330036908388,0.00034520577173680067,0.001547671970911324,1.6396198272705078,0.21809089183807373,15.905807495117188,0,0.000723603880032897,0,527.772421439,-0.1646764576435089,0.21187101304531097,57.199928283691406,0.041360534727573395,-0.37687090039253235,0.21809089183807373,5,4.002898216247559
140000.0,0.18750762939453125,0.24754412472248077,0.9991082549095154,-0.02481468766927719,7,1,0.24754412472248077,0.0006305730203166604,275.9979553222656,526.8406982421875,-0.09513960778713226,0.9991082549095154,1000,-0.04584801197052002,0.11232360452413559,75.5999984741211,0.2996692657470703,1746496895.2592418,0.2522445023059845,18.144046783447266,53.93000030517578,2.667910099029541,1.252984642982483,0.9991082549095154,8.518784523010254,0,-3.051757735406113e-09,72.46430206298828,10,0.007025457452982664,0.00032388244289904833,0.0028098691254854202,1.6442912817001343,0.2522445023059845,15.015944480895996,0,0.002943127416074276,0,600.912432016,-0.6527321338653564,0.24754412472248077,57.448341369628906,0.07009846717119217,-0.42271891236305237,0.2522445023059845,6,4.9240946769714355
160000.0,5.357961654663086,0.28345197439193726,0.9997307658195496,-0.028496138751506805,8,1,0.28345197439193726,0.00019041946507059038,273.6372375488281,599.990478515625,0.32723480463027954,0.9997307658195496,1000,0.10096055269241333,0.1472053825855255,124.80000305175781,0.32648569345474243,1746496968.3992906,0.2869945466518402,23.50200843811035,63.5099983215332,2.2178924083709717,1.2606686353683472,0.9997307658195496,7.747045993804932,0,-1.7929076889799944e-08,73.08946228027344,10,0.006622480694204569,0.0003304585989098996,0.00406581861898303,1.6505002975463867,0.2869945466518402,14.946037292480469,0,-0.00040297675877809525,0,675.026770772,2.573307991027832,0.28345197439193726,58.14341354370117,0.05212963744997978,-0.32175835967063904,0.2869945466518402,7,5.558896064758301
180000.0,-5.917247772216797,0.3196135461330414,1.0020688772201538,-0.028306378051638603,9,1,0.3196135461330414,0.001462889020331204,270.0967102050781,674.0884399414062,0.6730810403823853,1.0020688772201538,1000,-0.0740385353565216,0.1108725443482399,98.25,0.3083834648132324,1746497042.5135326,0.32195109128952026,17.584760665893555,63.099998474121094,2.781423330307007,1.2809505462646484,1.0020688772201538,8.307106971740723,0,-1.831054596834747e-08,74.04755401611328,10,0.006604740861803293,0.00036982950405217707,0.002585199661552906,1.6664776802062988,0.32195109128952026,15.51206111907959,0,-1.7739832401275635e-05,0,745.149975947,0.13995468616485596,0.3196135461330414,58.53547668457031,0.07672146707773209,-0.39579689502716064,0.32195109128952026,8,5.886824131011963
200000.0,-3.374129295349121,0.35572779178619385,1.0024397373199463,-0.005732132121920586,10,1,0.35572779178619385,0.0017250985838472843,285.4244384765625,744.226318359375,1.0306251049041748,1.0024397373199463,1000,-0.08119389414787292,0.11663436889648438,47.099998474121094,0.29467982053756714,1746497112.636718,0.35559722781181335,14.210631370544434,50.95000076293945,2.52652645111084,1.305440068244934,1.0024396181106567,8.241287231445312,0,1.907348501362094e-09,70.07108306884766,10,0.009350980632007122,0.0003292787878308445,0.0031331481877714396,1.6854133605957031,0.35559722781181335,14.94525146484375,0,0.002746239770203829,0,817.576147729,-0.987678587436676,0.35572779178619385,55.12580871582031,0.06419442594051361,-0.47699078917503357,0.35559722781181335,9,5.880265712738037
