Train/Epoch,Metrics/LagrangeMultiplier/Min,Time/Rollout,Metrics/LagrangeMultiplier/Max,Train/PolicyRatio/Max,Metrics/EpLen,Train/PolicyStd,Value/cost,Time/Update,Train/StopIter,Safety/shield_violation,Safety/ShieldLagrangeMultiplier,Metrics/LagrangeMultiplier/Std,Loss/Loss_reward_critic/Delta,Time/Epoch,Loss/Loss_pi,Metrics/LagrangeMultiplier,Loss/Loss_cost_critic,TotalEnvSteps,_step,Metrics/EpRet,Train/PolicyRatio/Std,Time/FPS,Train/KL,Train/PolicyRatio/Min,Safety/ShieldLagrangeMultiplier/Min,Time/Total,Train/PolicyRatio,Train/Entropy,Safety/EpCostShield,Loss/Loss_pi/Delta,Value/Adv,Safety/shield_adv_c,_runtime,Loss/Loss_reward_critic,_timestamp,Train/LR,Metrics/EpCost,Safety/ShieldLagrangeMultiplier/Std,Value/reward,Loss/Loss_cost_critic/Delta,Safety/ShieldLagrangeMultiplier/Max
0,0.03599999099969864,124.8245849609375,0.03599999099969864,1.0029116868972778,500,0.9890239238739014,0.06084294989705086,103.80331420898438,40,0.06962373107671738,0.044999994337558746,0,0.012911122292280197,228.62796020507812,-0.36924979090690613,0.03599999099969864,64.2103042602539,20000.0,1,-0.7924813628196716,0.009544849395751953,87.4783706665039,0.007649526931345463,1.0029116868972778,0.044999994337558746,228.62890625,1.0029116868972778,1.407886266708374,152.3249969482422,-0.36924979090690613,-0.08157327026128769,NaN,431.249251313,0.012911122292280197,1746535994.099326,0.0002969999914057553,129.6750030517578,0,-0.05666011944413185,64.2103042602539,0.044999994337558746
1,0.07102569937705994,95.878173828125,0.07102569937705994,1.0033960342407227,500,0.9683469533920288,5.570320129394531,105.55447387695312,40,6.201552391052246,0.07988998293876648,0,0.0011486588045954704,201.4326934814453,-0.2717829942703247,0.07102569937705994,48.50815200805664,40000.0,2,-0.5190884470939636,0.01070158276706934,99.28874969482422,0.012655220925807953,1.0033960342407227,0.07988998293876648,430.17626953125,1.0033960342407227,1.3867340087890625,205.25,0.09746679663658142,-0.47135448455810547,NaN,627.579089942,0.014059781096875668,1746536195.6034358,0.00029399999766610563,154.5749969482422,0,-0.06348726898431778,-15.702152252197266,0.07988998293876648
2,0.10596244782209396,91.85871887207031,0.10596244782209396,1.0060473680496216,500,0.9298765659332275,5.891544342041016,104.40702056884766,40,7.666529655456543,0.11329503357410431,0,-0.00401960127055645,196.2657928466797,-0.3702341318130493,0.10596244782209396,34.63874053955078,60000.0,3,-0.1185486763715744,0.012869510799646378,101.90263366699219,0.01306176744401455,1.0060473680496216,0.11329503357410431,626.5038452148438,1.006047248840332,1.3461464643478394,103.8499984741211,-0.09845113754272461,0.050904780626297,NaN,825.041850583,0.010040179826319218,1746536391.933243,0.000291000003926456,134.97000122070312,0,-0.050259336829185486,-13.86941146850586,0.11329503357410431
3,0.14057011902332306,93.08299255371094,0.14057011902332306,1.0058364868164062,500,0.8943129181861877,9.892132759094238,104.30885314941406,40,11.80705738067627,0.14689089357852936,0,-0.0008132457733154297,197.3918914794922,-0.31065085530281067,0.14057011902332306,47.42588424682617,80000.0,4,0.34827929735183716,0.012743924744427204,101.3212890625,0.012865751050412655,1.0058364868164062,0.14689089357852936,823.9598999023438,1.0058364868164062,1.3071974515914917,139.27499389648438,0.05958327651023865,0.04866306856274605,NaN,1024.374064425,0.009226934053003788,1746536589.3960233,0.0002880000101868063,116.72000122070312,0,-0.01952863112092018,12.78714370727539,0.14689089357852936
4,0.17501699924468994,95.51138305664062,0.17501699924468994,1.0062510967254639,500,0.8669012784957886,12.120819091796875,103.76227569580078,40,14.017412185668945,0.18066254258155823,0,-0.0002737445756793022,199.27369689941406,-0.2956349849700928,0.17501699924468994,57.42266082763672,100000.0,5,0.9714353680610657,0.012157001532614231,100.36447143554688,0.011934083886444569,1.0062510967254639,0.18066254258155823,1023.3043823242188,1.0062510967254639,1.276039719581604,141.64999389648438,0.015015870332717896,0.07888561487197876,NaN,1224.665544242,0.008953189477324486,1746536788.7282088,0.0002849999873433262,117.44000244140625,0,0.049847908318042755,9.996776580810547,0.18066254258155823
5,0.20965257287025452,94.61833190917969,0.20965257287025452,1.0078516006469727,500,0.8365492224693298,17.632930755615234,105.61115264892578,40,20.258785247802734,0.21486426889896393,0,0.0017806896939873695,200.2295379638672,-0.2774808406829834,0.20965257287025452,93.92932891845703,120000.0,6,1.7493221759796143,0.012709279544651508,99.88536834716797,0.012562603689730167,1.0078516006469727,0.21486426889896393,1223.5924072265625,1.007851481437683,1.2402595281600952,169.125,0.018154144287109375,0.0689845085144043,NaN,1421.976539187,0.010733879171311855,1746536989.019714,0.00028199999360367656,137.2899932861328,0,0.108257956802845,36.50666809082031,0.21486426889896393
6,0.2443230003118515,93.3581771850586,0.2443230003118515,1.0074383020401,500,0.8109424710273743,17.361669540405273,103.89289093017578,40,20.0223388671875,0.2492280751466751,0,0.009311596862971783,197.25111389160156,-0.2833481729030609,0.2443230003118515,94.79747009277344,140000.0,7,2.5738372802734375,0.012704944238066673,101.39360046386719,0.01396740972995758,1.0074383020401,0.2492280751466751,1420.9052734375,1.0074383020401,1.2092386484146118,155.8000030517578,-0.005867332220077515,0.24951477348804474,NaN,1620.982562818,0.020045476034283638,1746537186.3306212,0.0002789999998640269,129.8000030517578,0,0.1900375783443451,0.8681411743164062,0.2492280751466751
7,0.27913403511047363,94.17833709716797,0.27913403511047363,1.0077639818191528,500,0.7829132080078125,20.007102966308594,104.74665832519531,40,24.017446517944336,0.28380778431892395,0,-0.00244905985891819,198.92503356933594,-0.30775269865989685,0.27913403511047363,127.87679290771484,160000.0,8,3.080263376235962,0.013321012258529663,100.54039001464844,0.014835224486887455,1.0077639818191528,0.28380778431892395,1619.890380859375,1.0077639818191528,1.1741268634796143,164.6750030517578,-0.024404525756835938,-0.1255309134721756,NaN,1819.308598753,0.017596416175365448,1746537385.3363006,0.00027600000612437725,138.50999450683594,0,0.2559013068675995,33.079322814941406,0.28380778431892395
8,0.31400761008262634,93.67501831054688,0.31400761008262634,1.00531804561615,500,0.7597237825393677,22.932003021240234,104.58189392089844,40,28.09798812866211,0.31876450777053833,0,0.00998762995004654,198.2569580078125,-0.2835283577442169,0.31400761008262634,150.7418975830078,180000.0,9,3.3490560054779053,0.013549093157052994,100.87918853759766,0.014863758347928524,1.00531804561615,0.31876450777053833,1818.2384033203125,1.00531804561615,1.1440374851226807,189.47500610351562,0.02422434091567993,-0.03895352780818939,NaN,2018.750288305,0.027584046125411987,1746537583.6626565,0.0002730000123847276,135.2100067138672,0,0.3502386212348938,22.86510467529297,0.31876450777053833
9,0.3490891754627228,95.32170104980469,0.3490891754627228,1.008431077003479,500,0.7352769374847412,24.668399810791016,104.02708435058594,40,29.987159729003906,0.3540252149105072,0,0.012369688600301743,199.3488311767578,-0.310261070728302,0.3490891754627228,129.60723876953125,200000.0,10,4.174561977386475,0.013515867292881012,100.32665252685547,0.015821654349565506,1.008431077003479,0.3540252149105072,2017.6463623046875,1.008431077003479,1.1113269329071045,191.60000610351562,-0.026732712984085083,-0.00035225972533226013,NaN,2217.026678649,0.03995373472571373,1746537783.104429,0.0002699999895412475,148.1300048828125,0,0.45542460680007935,-21.134658813476562,0.3540252149105072
