Loss/Loss_pi/Delta,Train/LR,Train/Entropy,Metrics/LagrangeMultiplier/Std,_runtime,Value/Adv,Value/cost,Metrics/EpCost,Metrics/LagrangeMultiplier/Min,Train/KL,_step,TotalEnvSteps,Metrics/LagrangeMultiplier,Train/StopIter,Train/PolicyStd,Loss/Loss_reward_critic,Time/FPS,Train/PolicyRatio,Train/PolicyRatio/Min,Time/Update,Metrics/EpLen,Loss/Loss_cost_critic,Train/PolicyRatio/Max,Metrics/EpRet,_timestamp,Time/Epoch,Train/PolicyRatio/Std,Loss/Loss_pi,Train/Epoch,Loss/Loss_reward_critic/Delta,Time/Rollout,Metrics/LagrangeMultiplier/Max,Value/reward,Time/Total,Loss/Loss_cost_critic/Delta
-0.004460394382476807,0.0002969999914057553,1.4178696870803833,0,327.996897237,0.14113980531692505,-0.1503128707408905,42.400001525878906,0.03599999472498894,0.007680051028728485,1,20000.0,0.03599999472498894,40,0.9989355802536011,0.005938041489571333,122.34992218017578,0.9993709921836853,0.9993709921836853,78.39087677001953,1000,2.3657424449920654,0.9993709921836853,-1.63669753074646,1743306095.9350133,163.46556091308594,0.009364279918372631,-0.004460394382476807,0,0.005938041489571333,85.07461547851562,0.03599999472498894,0.05962918698787689,163.46664428710938,2.3657424449920654
-0.008199094794690609,0.00029399999766610563,1.4185845851898193,0,491.228493812,0.0633392482995987,0.8171379566192627,32.474998474121094,0.07045668363571167,0.014243731275200844,2,40000.0,0.07045668363571167,40,0.9996748566627502,0.0033709295094013214,122.42733764648438,0.999701201915741,0.999701201915741,78.49522399902344,1000,3.0851500034332275,0.999701201915741,-1.3107292652130127,1743306259.352295,163.36219787597656,0.01414632610976696,-0.012659489177167416,1,-0.0025671119801700115,84.86689758300781,0.07045668363571167,0.024473886936903,326.8824462890625,0.7194075584411621
0.0031625228002667427,0.000291000003926456,1.4172691106796265,0,654.466697868,0.06873998790979385,1.803161382675171,50.83333206176758,0.10516360402107239,0.010984320193529129,3,60000.0,0.10516360402107239,40,0.9983389973640442,0.005991037469357252,122.56755828857422,0.9987654089927673,0.9987654089927673,78.14128875732422,1000,7.505560874938965,0.9987654089927673,-0.4460451900959015,1743306422.5839036,163.17530822753906,0.012310970574617386,-0.009496966376900673,2,0.0026201079599559307,85.03396606445312,0.10516360402107239,0.0348706915974617,490.11114501953125,4.420410871505737
0.0019396464340388775,0.0002880000101868063,1.398076057434082,0,817.542277062,0.0657581090927124,2.44449520111084,49.775001525878906,0.14010745286941528,0.008349265903234482,4,80000.0,0.14010745286941528,40,0.9793645143508911,0.006506143603473902,122.56444549560547,1.0002390146255493,1.0002390146255493,78.35942077636719,1000,4.1485490798950195,1.0002390146255493,0.04757547378540039,1743306585.8220494,163.17945861816406,0.011422690004110336,-0.007557319942861795,3,0.0005151061341166496,84.81997680664062,0.14010745286941528,0.05273621901869774,653.3472290039062,-3.3570117950439453
-0.0007389257661998272,0.0002849999873433262,1.3761533498764038,0,980.810977051,-0.08814328163862228,3.331171989440918,50.400001525878906,0.17521747946739197,0.009841029532253742,5,100000.0,0.17521747946739197,40,0.9581325054168701,0.007882295176386833,122.69928741455078,0.9995507597923279,0.9995507597923279,78.3272933959961,1000,3.194701910018921,0.9995507597923279,0.4538019299507141,1743306748.8976188,163.0001220703125,0.011522401124238968,-0.008296245709061623,4,0.0013761515729129314,84.67277526855469,0.17521747946739197,0.07481655478477478,816.4049682617188,-0.9538471698760986
-0.0005950955674052238,0.00028199999360367656,1.3545506000518799,0,1143.519812386,-0.18003958463668823,3.64404296875,54.15999984741211,0.21051296591758728,0.01033039391040802,6,120000.0,0.21051296591758728,40,0.9376475811004639,0.01626119762659073,122.54071807861328,1.0003310441970825,1.0003310441970825,78.3115463256836,1000,3.6681180000305176,1.0003310441970825,1.498288869857788,1743306912.1662593,163.2110595703125,0.011162824928760529,-0.008891341276466846,5,0.008378902450203896,84.8994140625,0.21051296591758728,0.11096591502428055,979.6929321289062,0.4734160900115967
-0.0006120884791016579,0.0002789999998640269,1.3418922424316406,0,1306.494357063,0.19600075483322144,3.5562500953674316,57.119998931884766,0.2459990233182907,0.008533800020813942,7,140000.0,0.2459990233182907,40,0.9258517026901245,0.01612376794219017,122.96887969970703,0.9984909892082214,0.9984909892082214,78.08232879638672,1000,2.311743974685669,0.9984909892082214,2.4119787216186523,1743307074.8751247,162.6427764892578,0.011392347514629364,-0.009503429755568504,6,-0.00013742968440055847,84.56035614013672,0.2459990233182907,0.1555815488100052,1142.393798828125,-1.3563740253448486
-0.00250347051769495,0.00027600000612437725,1.3276050090789795,0,1470.240367222,0.10826129466295242,4.483924388885498,54.470001220703125,0.28156986832618713,0.008790435269474983,8,160000.0,0.28156986832618713,40,0.9127167463302612,0.019109752029180527,122.76751708984375,1.0001373291015625,1.0001373291015625,78.38568115234375,1000,3.707671880722046,1.0001373291015625,3.0107262134552,1743307237.8496802,162.9095458984375,0.01146218553185463,-0.012006900273263454,7,0.0029859840869903564,84.5238037109375,0.28156986832618713,0.2201107144355774,1305.36962890625,1.395927906036377
-0.0011254092678427696,0.0002730000123847276,1.3111289739608765,0,1633.741574871,-0.03302651643753052,4.1740007400512695,57.83000183105469,0.31728842854499817,0.008742175996303558,9,180000.0,0.31728842854499817,40,0.8978087902069092,0.01903960295021534,122.18201446533203,1.0006554126739502,1.0006554126739502,78.70884704589844,1000,3.3228683471679688,1.0006554126739502,3.888101816177368,1743307401.59536,163.69021606445312,0.01096718292683363,-0.013132309541106224,8,-7.014907896518707e-05,84.98131561279297,0.31728842854499817,0.3127668499946594,1469.123046875,-0.38480353355407715
0.00015884451568126678,0.0002699999895412475,1.2936407327651978,0,1797.313755113,-0.0017339792102575302,4.035982608795166,55.130001068115234,0.3530457615852356,0.009636910632252693,10,200000.0,0.3530457615852356,40,0.8822985887527466,0.01976504549384117,122.37042999267578,0.9997246265411377,0.9997246265411377,78.25875854492188,1000,2.4242234230041504,0.9997246265411377,4.488921642303467,1743307565.096933,163.43817138671875,0.011536558158695698,-0.012973465025424957,9,0.0007254425436258316,85.1793212890625,0.3530457615852356,0.3174802362918854,1632.6181640625,-0.8986449241638184
