Misc/AcceptanceStep,Safety/ShieldLagrangeMultiplier/Min,Loss/Loss_pi,_timestamp,Metrics/LagrangeMultiplier/Std,Time/Epoch,_runtime,Value/reward,Train/KL,Value/Adv,Train/Entropy,Misc/Alpha,Train/PolicyRatio,Metrics/EpLen,Train/PolicyStd,Train/StopIter,_step,Safety/shield_adv_c,Train/Epoch,Misc/H_inv_g,Metrics/EpRet,Metrics/LagrangeMultiplier/Max,Misc/xHx,Misc/gradient_norm,Time/Total,Loss/Loss_cost_critic,Safety/EpCostShield,Time/Update,Value/cost,Time/FPS,Misc/FinalStepNorm,Safety/ShieldLagrangeMultiplier,Loss/Loss_pi/Delta,TotalEnvSteps,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic/Delta,Train/PolicyRatio/Max,Safety/ShieldLagrangeMultiplier/Max,Train/LR,Train/PolicyRatio/Std,Loss/Loss_reward_critic,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Min,Time/Rollout,Metrics/EpCost,Safety/shield_violation,Loss/Loss_cost_critic/Delta,Safety/ShieldLagrangeMultiplier/Std
1,0.044999994337558746,-0.39684590697288513,1746510839.930524,0,111.69123077392578,200.164443674,0.013427131809294224,0.0003856029943563044,2.6702879907247734e-08,1.417244791984558,3.070544481277466,1.0010204315185547,1000,0.9983347058296204,10,1,-0.027303822338581085,0,0.08198591321706772,-3.321042537689209,0.03599999472498894,0.0021212759893387556,0.048141710460186005,111.69215393066406,1.1607182025909424,5.75,16.606950759887695,-0.19320541620254517,179.06509399414062,0.2517413794994354,0.044999994337558746,-0.39684590697288513,20000.0,0.03599999472498894,0.0077381012961268425,1.0010204315185547,0.044999994337558746,0,0.0007215540390461683,0.0077381012961268425,0.03599999472498894,1.0010204315185547,95.08425903320312,2.799999952316284,0.035993993282318115,1.1607182025909424,0
1,0.07403180003166199,-0.4429396688938141,1746510927.5301504,0,87.53044891357422,287.515080124,-0.04388086497783661,0.0003898055001627654,6.103515470812226e-09,1.43403160572052,2.9284143447875977,1.00249445438385,1000,1.0154836177825928,10,2,0.9833478927612305,1,0.07785452902317047,-3.3938987255096436,0.07083326578140259,0.0023321853950619698,0.05940878391265869,199.36456298828125,3.984656572341919,41.25,14.665878295898438,0.06321026384830475,228.49192810058594,0.2279903143644333,0.07403180003166199,-0.046093761920928955,40000.0,0.07083326578140259,0.0027910973876714706,1.0024945735931396,0.07403180003166199,0,0.0017638737335801125,0.010529198683798313,0.07083326578140259,1.0024945735931396,72.86454772949219,3.9000000953674316,0.3284377455711365,2.8239383697509766,0
1,0.10511157661676407,-0.4337589740753174,1746511014.880741,0,87.25785827636719,375.594246355,-0.06313677132129669,0.0003975314903073013,-7.629394338515283e-10,1.4450727701187134,2.813267230987549,1.0022306442260742,1000,1.0265848636627197,10,3,0.0060242898762226105,2,0.0824788510799408,-2.5798609256744385,0.10565891861915588,0.002527005970478058,0.06355717778205872,286.69036865234375,4.667027473449707,27.799999237060547,14.1090087890625,0.49831220507621765,229.2057342529297,0.23203504085540771,0.10511157661676407,0.009180694818496704,60000.0,0.10565891861915588,-0.0004894807934761047,1.0022306442260742,0.10511157661676407,0,0.0015773598570376635,0.010039717890322208,0.10565891861915588,1.0022306442260742,73.1488265991211,4.866666793823242,1.5561603307724,0.6823709011077881,0
1,0.13761037588119507,-0.3513103425502777,1746511102.9599547,0,87.97900390625,462.207310907,-0.04040501266717911,0.0003805168089456856,6.103515470812226e-09,1.4820317029953003,2.2526509761810303,1.0013242959976196,1000,1.0654741525650024,10,4,-0.41926315426826477,3,0.10286077857017517,-2.1128602027893066,0.14056222140789032,0.003941314294934273,0.07357875257730484,374.76141357421875,3.1570045948028564,34.29999923706055,13.990985870361328,0.4281978905200958,227.32696533203125,0.23170945048332214,0.13761037588119507,0.08244863152503967,80000.0,0.14056222140789032,-0.005023766774684191,1.0013244152069092,0.13761037588119507,0,0.0009364467696286738,0.005015951115638018,0.14056222140789032,1.0013244152069092,73.98800659179688,4.025000095367432,1.6358140707015991,-1.5100228786468506,0
1,0.16867052018642426,-0.4182797968387604,1746511189.5730789,0,86.55049896240234,548.928317693,-0.053544044494628906,0.0003880826407112181,9.155272984173735e-09,1.5137687921524048,2.3081016540527344,1.0005974769592285,1000,1.0995259284973145,10,5,-0.012311246246099472,4,0.10813738405704498,-1.8139164447784424,0.17508052289485931,0.0037542134523391724,0.07610877603292465,461.413330078125,1.2950613498687744,14.0,14.198657035827637,0.45322418212890625,231.07896423339844,0.24959208071231842,0.16867052018642426,-0.06696945428848267,100000.0,0.17508052289485931,0.00032600341364741325,1.0005974769592285,0.16867052018642426,0,0.00042248002137057483,0.005341954529285431,0.17508052289485931,1.0005974769592285,72.35182189941406,3.2200000286102295,1.6136558055877686,-1.861943244934082,0
1,0.20040835440158844,-0.3462343215942383,1746511276.2935858,0,86.64787292480469,638.739523479,-0.02529250644147396,0.0002944529405795038,-3.814697002724188e-09,1.5564955472946167,2.8140108585357666,1.001681923866272,1000,1.1478334665298462,10,6,0.14859025180339813,5,0.11175951361656189,-1.1461384296417236,0.20999492704868317,0.0025256704539060593,0.03572389483451843,548.122314453125,3.400949239730835,25.899999618530273,14.417737007141113,0.49459385871887207,230.81927490234375,0.31449246406555176,0.20040835440158844,0.0720454752445221,120000.0,0.20999492704868317,-0.0020451981108635664,1.0016820430755615,0.20040835440158844,0,0.0011893840273842216,0.0032967564184218645,0.20999492704868317,1.0016820430755615,72.23011779785156,5.21999979019165,2.050241708755493,2.1058878898620605,0
1,0.2331237643957138,-0.3637044429779053,1746511366.1051054,0,89.72801971435547,733.282261318,-0.02696576528251171,0.000280241685686633,2.2888182460434336e-09,1.5769332647323608,2.7828779220581055,1.0020045042037964,1000,1.1711705923080444,10,7,0.222700834274292,6,0.1200365349650383,-0.42098739743232727,0.24274033308029175,0.0025824978947639465,0.04143128916621208,637.9243774414062,7.198896408081055,53.849998474121094,14.533927917480469,0.5392745733261108,222.8958282470703,0.33404698967933655,0.2331237643957138,-0.017470121383666992,140000.0,0.24274033308029175,0.0011900837998837233,1.0020045042037964,0.2331237643957138,0,0.0014173703966662288,0.004486840218305588,0.24274033308029175,1.0020045042037964,75.1940689086914,12.800000190734863,1.6584460735321045,3.7979471683502197,0
1,0.265314519405365,-0.3204187750816345,1746511460.648104,0,94.47377014160156,822.00756492,-0.008522296324372292,0.00032393334549851716,-2.2888182460434336e-09,1.575745701789856,2.5031449794769287,1.0017365217208862,1000,1.1702741384506226,10,8,0.7543076276779175,7,0.12883254885673523,-0.20730698108673096,0.2738087475299835,0.0031919535249471664,0.049345437437295914,732.4814453125,17.059125900268555,95.75,14.27731704711914,1.0010851621627808,211.698974609375,0.3224865794181824,0.265314519405365,0.04328566789627075,160000.0,0.2738087475299835,-0.0014716391451656818,1.0017365217208862,0.265314519405365,0,0.0012278781505301595,0.003015201073139906,0.2738087475299835,1.0017365217208862,80.1964340209961,22.1299991607666,2.5250351428985596,9.8602294921875,0
1,0.29717013239860535,-0.39599522948265076,1746511549.3732526,0,88.66411590576172,912.545927922,-0.0034588093403726816,0.0003129590186290443,1.525878801089675e-08,1.5898116827011108,2.4443676471710205,1.0024560689926147,1000,1.187402367591858,10,9,0.06386816501617432,8,0.1322377473115921,0.05367159843444824,0.30577269196510315,0.0033473079092800617,0.03674927353858948,821.2154541015625,5.947010517120361,31.950000762939453,14.138233184814453,1.0363982915878296,225.57040405273438,0.32323768734931946,0.29717013239860535,-0.07557645440101624,180000.0,0.30577269196510315,0.0008471852634102106,1.0024560689926147,0.29717013239860535,0,0.0017367310356348753,0.0038623863365501165,0.30577269196510315,1.0024560689926147,74.52586364746094,24.520000457763672,2.054363965988159,-11.112115383148193,0
1,0.3302127718925476,-0.2958420515060425,1746511639.9116333,0,90.46861267089844,1002.04972965,0.005382391158491373,0.0002795410400722176,-8.392333938900265e-09,1.6027107238769531,2.3377292156219482,1.001683235168457,1000,1.202804446220398,10,10,-0.003970533609390259,9,0.1469048708677292,0.2758639454841614,0.3385258913040161,0.003659656969830394,0.032829105854034424,911.7440795898438,7.80040168762207,68.6500015258789,13.963610649108887,1.2900406122207642,221.07115173339844,0.3434238135814667,0.3302127718925476,0.10015317797660828,200000.0,0.3385258913040161,0.0024810119066387415,1.001683235168457,0.3302127718925476,0,0.0011902832193300128,0.006343398243188858,0.3385258913040161,1.001683235168457,76.5049819946289,30.84000015258789,2.9648871421813965,1.853391170501709,0
