Loss/Loss_pi/Delta,Misc/Alpha,Train/KL,Train/PolicyRatio,Train/PolicyRatio/Min,Train/LR,Metrics/EpCost,Misc/xHx,Time/Rollout,Misc/gradient_norm,Loss/Loss_cost_critic/Delta,Train/Epoch,Misc/H_inv_g,Misc/FinalStepNorm,Value/Adv,Value/reward,_timestamp,_step,Loss/Loss_reward_critic,_runtime,Metrics/LagrangeMultiplier/Std,Metrics/LagrangeMultiplier,Metrics/EpRet,Time/FPS,Misc/AcceptanceStep,Metrics/LagrangeMultiplier/Max,Train/PolicyRatio/Std,Loss/Loss_reward_critic/Delta,Train/Entropy,Loss/Loss_cost_critic,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Max,Metrics/EpLen,Time/Total,TotalEnvSteps,Train/PolicyStd,Time/Update,Train/StopIter,Time/Epoch,Value/cost,Loss/Loss_pi
-0.006777334958314896,1.913487434387207,0.0003900631272699684,0.999544620513916,0.999544620513916,0,48.25,0.005462330300360918,244.0338897705078,0.11289816349744797,5.928839206695557,0,0.1160273402929306,0.2220168560743332,-3.8146971692576415e-10,-0.16122256219387054,1743306176.331662,1,0.008271628059446812,506.152526741,0,0.03599999472498894,-1.2419941425323486,79.55851745605469,1,0.03599999472498894,0.00032197381369769573,0.008271628059446812,1.4248684644699097,5.928839206695557,0.03599999472498894,0.999544620513916,1000,251.38829040527344,20000.0,1.0059574842453003,7.353374481201172,10,251.3872833251953,-0.11307962983846664,-0.006777334958314896
-0.0018370738252997398,1.8270692825317383,0.0004615501093212515,1.000238060951233,1.0002381801605225,0,41.974998474121094,0.005991274490952492,241.78436279296875,0.10508009791374207,-2.6335647106170654,1,0.14393919706344604,0.2629868686199188,1.3732909920349812e-08,-0.1448308825492859,1743306425.1700442,2,0.006286809220910072,755.530378494,0,0.07078905403614044,-0.7543478012084961,80.3939208984375,1,0.07078905403614044,0.00016841884644236416,-0.0019848188385367393,1.4378496408462524,3.295274496078491,0.07078905403614044,1.0002381801605225,1000,500.2426452636719,40000.0,1.0191246271133423,6.990638732910156,10,248.7750244140625,0.4904922842979431,-0.008614408783614635
0.002851963508874178,2.3388705253601074,0.00034403440076857805,1.0010967254638672,1.0010967254638672,0,46.41666793823242,0.0036560865119099617,242.32669067382812,0.08011991530656815,1.8918359279632568,2,0.12178037315607071,0.2848285138607025,1.0299681996173149e-08,-0.12559932470321655,1743306674.5478108,3,0.003746320027858019,1004.855333477,0,0.10568688809871674,-0.7218217253684998,80.21961975097656,1,0.10568688809871674,0.0007755020051263273,-0.0025404891930520535,1.4326683282852173,5.187110424041748,0.10568688809871674,1.0010967254638672,1000,749.6201782226562,60000.0,1.0139089822769165,6.988865375518799,10,249.31556701660156,1.8924779891967773,-0.0057624452747404575
-0.003885884303599596,1.4703381061553955,0.0004555588820949197,0.9999807476997375,0.9999808073043823,0,47.462501525878906,0.00925113633275032,242.28042602539062,0.1500268280506134,-0.6822314262390137,3,0.16542205214500427,0.24322634935379028,-3.814697002724188e-09,-0.11454848945140839,1743306923.8728302,4,0.005710095167160034,1254.409659347,0,0.14066638052463531,-0.6716431379318237,80.234619140625,1,0.14066638052463531,1.3599397789221257e-05,0.0019637751393020153,1.4302812814712524,4.504878997802734,0.14066638052463531,0.9999808073043823,1000,998.955810546875,80000.0,1.0114428997039795,6.988512992858887,10,249.2689666748047,2.2631940841674805,-0.009648329578340054
0.004007855895906687,2.478166341781616,0.00027355519705452025,1.0001033544540405,1.0001033544540405,0,46.54999923706055,0.0032566250301897526,242.50169372558594,0.05553785338997841,-0.05316019058227539,4,0.13734883069992065,0.3403732478618622,1.907348501362094e-09,-0.07316863536834717,1743307173.4270713,5,0.005677836947143078,1508.188985876,0,0.17566590011119843,-0.5369886159896851,80.16178894042969,1,0.17566590011119843,7.311074296012521e-05,-3.225822001695633e-05,1.429400086402893,4.451718807220459,0.17566590011119843,1.0001033544540405,1000,1248.502197265625,100000.0,1.0105444192886353,6.993713855743408,10,249.49542236328125,3.7936184406280518,-0.005640473682433367
-0.0010116389021277428,2.0939760208129883,0.0004504572425503284,1.0004006624221802,1.0004007816314697,0,46.59000015258789,0.004561268258839846,246.5718994140625,0.11686896532773972,-1.1496164798736572,5,0.1049959734082222,0.2198590487241745,-2.70843507621521e-08,-0.06997325271368027,1743307427.2063472,6,0.009603056125342846,1760.886424696,0,0.21067962050437927,-0.872222900390625,78.82894897460938,1,0.21067962050437927,0.0002833392354659736,0.003925219178199768,1.4447981119155884,3.3021023273468018,0.21067962050437927,1.0004007816314697,1000,1502.27587890625,120000.0,1.0262802839279175,7.141969203948975,10,253.71389770507812,2.9507946968078613,-0.0066521125845611095
-0.00039476435631513596,2.172222137451172,0.00035137461964040995,0.9993974566459656,0.9993974566459656,0,51.86000061035156,0.004238580819219351,245.5164794921875,0.09273924678564072,0.9980490207672119,6,0.15011489391326904,0.32608288526535034,-5.340575981449547e-09,-0.06969568133354187,1743307679.8653073,7,0.006075534503906965,2013.731123402,0,0.2458617389202118,-0.7957202792167664,79.17527770996094,1,0.2458617389202118,0.0004260765272192657,-0.0035275216214358807,1.4627437591552734,4.300151348114014,0.2458617389202118,0.9993974566459656,1000,1754.9449462890625,140000.0,1.0448870658874512,7.087619304656982,10,252.60411071777344,4.9789862632751465,-0.0070468769408762455
0.00020324252545833588,2.1862893104553223,0.00032303808256983757,0.9985302090644836,0.9985302686691284,0,47.22999954223633,0.004184211604297161,245.82530212402344,0.05038299039006233,-1.3754403591156006,7,0.14932022988796234,0.3264572024345398,1.0681151962899094e-08,-0.03459642082452774,1743307932.748603,8,0.00684721814468503,2264.331116792,0,0.28101682662963867,-0.44898536801338196,79.10738372802734,1,0.28101682662963867,0.0010392570402473211,0.0007716836407780647,1.4611406326293945,2.924710988998413,0.28101682662963867,0.9985302686691284,1000,2007.8270263671875,160000.0,1.0435236692428589,6.995588779449463,10,252.82090759277344,5.468509197235107,-0.00684363441541791
0.0011505326256155968,2.3943073749542236,0.0002585411712061614,0.9993860125541687,0.9993860125541687,0,47.849998474121094,0.0034887425135821104,243.52810668945312,0.07573305070400238,0.31673288345336914,8,0.1338636875152588,0.3205108046531677,1.5258788677030566e-09,-0.014928052201867104,1743308183.3485975,9,0.009743614122271538,2515.624812597,0,0.3161742091178894,-0.3448959290981293,79.83421325683594,1,0.3161742091178894,0.00043414064566604793,0.002896395977586508,1.4574397802352905,3.2414438724517822,0.3161742091178894,0.9993860125541687,1000,2258.418212890625,180000.0,1.039709210395813,6.991031169891357,10,250.51914978027344,4.6224236488342285,-0.005693101789802313
-0.003819997888058424,1.458771824836731,0.00043766392627730966,0.9996140003204346,0.9996140003204346,0,46.439998626708984,0.009398417547345161,244.24911499023438,0.22876998782157898,0.023974895477294922,9,0.1688224971294403,0.24627350270748138,4.00543198608716e-09,-0.01796349138021469,1743308434.6423175,10,0.007832781411707401,2764.763889329,0,0.3512774407863617,-0.08534763008356094,79.60713195800781,1,0.3512774407863617,0.00027294299798086286,-0.0019108327105641365,1.4499053955078125,3.265418767929077,0.3512774407863617,0.9996140003204346,1000,2509.71630859375,200000.0,1.0317670106887817,6.984640598297119,10,251.23377990722656,3.6890344619750977,-0.009513099677860737
