_step,Misc/Lambda_star,Metrics/EpCost,_runtime,Metrics/EpRet,Misc/A,Train/KL,TotalEnvSteps,Loss/Loss_cost_critic,Misc/xHx,Train/PolicyRatio/Max,Misc/Nu_star,Loss/Loss_cost_critic/Delta,Metrics/EpLen,Loss/Loss_reward_critic/Delta,Train/PolicyStd,Value/Adv,Misc/OptimCase,Misc/q,Train/PolicyRatio/Min,Train/StopIter,Loss/Loss_pi/Delta,Train/PolicyRatio/Std,Misc/s,Misc/Alpha,Time/Update,Loss/Loss_reward_critic,_timestamp,Time/Rollout,Value/reward,Train/Entropy,Value/cost,Misc/H_inv_g,Time/Epoch,Misc/gradient_norm,Misc/r,Misc/FinalStepNorm,Misc/AcceptanceStep,Loss/Loss_pi,Misc/B,Train/Epoch,Misc/cost_gradient_norm,Train/LR,Time/Total,Train/PolicyRatio,Time/FPS
1,0,14.850000381469727,170.942495871,-0.6633323431015015,0.002663599094375968,0.00012423582666087896,20000.0,1.3847105503082275,0.002669902518391609,0.9989311695098877,2.5012645721435547,1.3847105503082275,1000,0.010375973768532276,1.0108121633529663,-9.155272984173735e-09,0,0.002669902518391609,0.9989311695098877,10,-0.001668935059569776,0.0007557772914879024,0.0031967549584805965,2.736947536468506,9.479497909545898,0.010375973768532276,1743306012.2633703,76.39740753173828,0.13844116032123566,1.4292751550674438,-0.04757651686668396,0.11839482188224792,85.87693786621094,0.040130242705345154,0.00014195167750585824,0.32566025853157043,1,-0.001668935059569776,-68983.0,0,0.041612643748521805,0,85.87776947021484,0.9989311695098877,232.8914031982422
2,0,16.625,255.267890327,-1.1705700159072876,0.004731607623398304,0.00013660456170327961,40000.0,2.0665223598480225,0.004965531174093485,0.9995230436325073,1.7064154148101807,0.6818118095397949,1000,-0.0031976038590073586,1.017598271369934,-2.479553229406406e-09,0,0.004965531174093485,0.9995230436325073,10,-0.0030818433733657002,0.00033725908724591136,0.006868467666208744,2.006927728652954,8.706605911254883,0.007178369909524918,1743306096.2035682,75.14104461669922,0.07330624014139175,1.4356178045272827,0.6815628409385681,0.1257372796535492,83.8476791381836,0.09218225628137589,-0.0012675561010837555,0.3272474706172943,1,-0.004750778432935476,-40240.43359375,1,0.07911542057991028,0,169.7955322265625,0.9995229840278625,238.52777099609375
3,0,18.41666603088379,339.789264372,-1.0284837484359741,0.009963315911591053,0.0001509115973021835,60000.0,2.5578174591064453,0.010406563989818096,0.998906135559082,1.2669066190719604,0.49129509925842285,1000,-0.0014690402895212173,1.011875867843628,-8.392333938900265e-09,0,0.010406563989818096,0.998906135559082,10,-0.0012212484143674374,0.0007734508253633976,0.012460642494261265,1.3863123655319214,8.72729778289795,0.0057093296200037,1743306180.5289996,75.50794219970703,0.07880942523479462,1.4295612573623657,1.3120242357254028,0.2012983113527298,84.23526000976562,0.1439819037914276,-0.0023501396644860506,0.3168303072452545,1,-0.005972026847302914,-27219.548828125,2,0.13116252422332764,0,254.12425231933594,0.998906135559082,237.43026733398438
4,0,16.8125,424.202058691,-0.8648509979248047,0.006871889811009169,0.00015399756375700235,80000.0,2.0121910572052,0.007222318556159735,0.999523401260376,1.3889312744140625,-0.5456264019012451,1000,-0.0006323978304862976,1.0274133682250977,-3.051757735406113e-09,0,0.007222318556159735,0.999523401260376,10,0.004386732820421457,0.0003370062040630728,0.010367358103394508,1.6640883684158325,8.722139358520508,0.005076931789517403,1743306265.050339,75.72647857666016,0.08333440870046616,1.4443594217300415,0.9528955817222595,0.20423640310764313,84.44863891601562,0.06151876226067543,0.0019060492049902678,0.3144068419933319,1,-0.0015852940268814564,-27264.388671875,3,0.11673261970281601,0,338.66229248046875,0.999523401260376,236.83035278320312
5,0,13.449999809265137,508.613931058,-0.9090222120285034,0.008905922994017601,0.00019794153922703117,100000.0,0.625690221786499,0.00894227810204029,0.9998998641967773,2.4116203784942627,-1.3865008354187012,1000,-0.000695275142788887,1.0369707345962524,-1.9836425835251248e-08,0,0.00894227810204029,0.9998998641967773,10,-0.00025921501219272614,7.080670911818743e-05,0.0034388310741633177,1.4955146312713623,8.753421783447266,0.004381656646728516,1743306349.463145,75.57523345947266,0.07267488539218903,1.4540497064590454,2.993825912475586,0.22658748924732208,84.32867431640625,0.08884268254041672,0.0003535790601745248,0.2872096598148346,1,-0.0018445090390741825,-52605.640625,4,0.05429205670952797,0,423.064208984375,0.9998998641967773,237.16725158691406
6,0,13.09000015258789,593.302796261,-1.0021547079086304,0.005580597557127476,0.00016308754857163876,120000.0,1.0766685009002686,0.005721996538341045,1.0008103847503662,1.476553201675415,0.45097827911376953,1000,0.002181044779717922,1.059232473373413,8.01086397217432e-09,0,0.005721996538341045,1.0008103847503662,10,-0.00044556870125234127,0.0005729723488911986,0.009173420257866383,1.8695660829544067,8.74255657196045,0.006562701426446438,1743306433.8750257,75.6063003540039,0.03439688682556152,1.4759067296981812,1.98095703125,0.18742962181568146,84.348876953125,0.05531659349799156,0.001138908788561821,0.279693067073822,1,-0.0022900777403265238,-18678.71875,5,0.10049410164356232,0,507.49609375,1.0008102655410767,237.11044311523438
7,0,12.039999961853027,677.918787257,-0.996306300163269,0.01447654701769352,0.00013509299606084824,140000.0,0.7861325740814209,0.01522926427423954,0.998292088508606,1.6445157527923584,-0.29053592681884766,1000,-0.0028510151896625757,1.095816969871521,-1.5258788677030566e-09,0,0.01522926427423954,0.998292088508606,10,-0.0036210801918059587,0.0012077039573341608,0.007395257242023945,1.1459757089614868,8.763958930969238,0.003711686236783862,1743306518.563885,75.85374450683594,-0.0020320022013038397,1.5092493295669556,2.160074234008789,0.2615593373775482,84.61772155761719,0.14232398569583893,-0.0023593520745635033,0.31194210052490234,1,-0.0059111579321324825,-19601.921875,6,0.06673342734575272,0,592.1756591796875,0.9982920289039612,236.3571014404297
8,0,8.470000267028809,762.601851738,-1.0621254444122314,0.008405164815485477,0.00010532317537581548,160000.0,0.6136826872825623,0.008411239832639694,0.999886691570282,2.3883211612701416,-0.17244988679885864,1000,0.0006142572965472937,1.1058114767074585,-3.433227480087453e-09,0,0.008411239832639694,0.999886691570282,10,0.004063461907207966,8.010711462702602e-05,0.0035062534734606743,1.5420012474060059,8.77165699005127,0.004325943533331156,1743306603.1798923,75.79063415527344,-0.01934226043522358,1.518142819404602,2.2282538414001465,0.20175795257091522,84.56231689453125,0.1034785658121109,0.00014594716776628047,0.3454904854297638,1,-0.0018476960249245167,-20460.765625,7,0.04146733507514,0,676.810546875,0.999886691570282,236.511962890625
9,0,7.03000020980835,847.367700685,-1.1359707117080688,0.01936805248260498,0.00017673231195658445,180000.0,0.45791858434677124,0.019820544868707657,0.9998918771743774,2.505671262741089,-0.15576410293579102,1000,-0.0016108988784253597,1.1038219928741455,-6.103515470812226e-09,0,0.019820544868707657,0.9998918771743774,10,0.0024074885877780616,7.648247992619872e-05,0.0031855206470936537,1.0045164823532104,8.739370346069336,0.002715044654905796,1743306687.862908,75.8829574584961,-0.029451236128807068,1.5169286727905273,1.5068670511245728,0.2445540875196457,84.62236022949219,0.21067358553409576,0.001200594357214868,0.31140607595443726,1,0.000559792562853545,-15514.162109375,8,0.053537577390670776,0,761.4866333007812,0.9998918175697327,236.3441619873047
10,0,7.489999771118164,932.101766219,-1.081813931465149,0.011830867268145084,0.0001268824125872925,200000.0,0.27568182349205017,0.012486330233514309,0.9998895525932312,3.6798973083496094,-0.18223676085472107,1000,0.00108202057890594,1.1140280961990356,1.0299681996173149e-08,0,0.012486330233514309,0.9998895525932312,10,-0.0048422200488857925,7.814027776475996e-05,0.001476915436796844,1.265602707862854,8.736542701721191,0.003797065233811736,1743306772.6287498,75.93856048583984,-0.04444929212331772,1.5265311002731323,0.8381376266479492,0.21793656051158905,84.67512512207031,0.17154845595359802,-0.000983905396424234,0.33745139837265015,1,-0.0042824274860322475,-37984.36328125,9,0.03985186666250229,0,846.22265625,0.9998895525932312,236.19688415527344
11,0,5.909999847412109,1016.722251295,-1.014706015586853,0.01589571125805378,0.00016786239575594664,220000.0,0.35481539368629456,0.016190867871046066,0.9994982481002808,2.157426118850708,0.07913357019424438,1000,0.0015296984929591417,1.111995816230774,3.051757735406113e-09,0,0.016190867871046066,0.9994982481002808,10,-2.8940849006175995e-05,0.0003548483655322343,0.004296918399631977,1.1114240884780884,8.754594802856445,0.005326763726770878,1743306857.3628674,75.91024780273438,-0.044698670506477356,1.5249124765396118,1.2412914037704468,0.1936640739440918,84.66486358642578,0.22718659043312073,-0.0011261748149991035,0.3011360168457031,1,-0.0043113683350384235,-8128.60009765625,10,0.06223723664879799,0,930.9774169921875,0.999498188495636,236.2255096435547
