TotalEnvSteps,Train/LR,Train/PolicyRatio,Metrics/LagrangeMultiplier/Max,Train/PolicyRatio/Min,Misc/xHx,Metrics/EpCost,Safety/shield_violation,Time/Epoch,Value/cost,Loss/Loss_cost_critic,Metrics/EpRet,Metrics/LagrangeMultiplier,Train/PolicyRatio/Max,Metrics/EpLen,Train/PolicyRatio/Std,Loss/Loss_cost_critic/Delta,Misc/gradient_norm,Value/Adv,Misc/Alpha,Train/Epoch,Train/Entropy,Train/PolicyStd,Misc/H_inv_g,Safety/ShieldLagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Std,Safety/EpCostShield,_step,Loss/Loss_pi/Delta,_timestamp,Time/Update,Misc/FinalStepNorm,Loss/Loss_pi,Misc/AcceptanceStep,Safety/shield_adv_c,Time/FPS,Train/KL,Safety/ShieldLagrangeMultiplier,_runtime,Metrics/LagrangeMultiplier/Std,Metrics/LagrangeMultiplier/Min,Value/reward,Train/StopIter,Time/Total,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier/Min,Time/Rollout
20000.0,0,1.0006016492843628,0.035999998450279236,1.0006016492843628,0.005125612951815128,13.399999618530273,-0.02459545247256756,138.21771240234375,-0.013698190450668335,3.571319580078125,-1.3757212162017822,0.035999998450279236,1.0006016492843628,1000,0.0004254021623637527,3.571319580078125,0.10039883852005005,-2.2888182460434336e-09,1.9753391742706299,0,1.4192293882369995,1.000299096107483,0.10484974086284637,0.044999994337558746,0,23.799999237060547,1,-0.07714134454727173,1746556966.2258909,16.493549346923828,0.20711380243301392,-0.07714134454727173,1,0.6352047920227051,144.69924926757812,0.00044895862811245024,0.044999994337558746,250.161836846,0,0.035999998450279236,0.04644467309117317,10,138.21859741210938,0.006660688202828169,0.006660688202828169,0.044999994337558746,121.7241439819336
40000.0,0,1.0013303756713867,0.07100653648376465,1.0013303756713867,0.005049124360084534,13.5,0.3231450319290161,111.03372955322266,0.15100687742233276,7.2674713134765625,-0.8269115686416626,0.07100653648376465,1.0013303756713867,1000,0.0009406614699400961,3.6961517333984375,0.07818406820297241,-4.577636492086867e-09,1.99024498462677,1,1.4001097679138184,0.9814957976341248,0.1417154222726822,0.07662569731473923,0,80.44999694824219,2,0.06071577034890652,1746557077.3195615,16.71558952331543,0.28204840421676636,-0.01642557419836521,1,0.36647146940231323,180.12545776367188,0.0003818596014752984,0.07662569731473923,361.488365513,0,0.07100653648376465,0.05425461381673813,10,249.3111114501953,0.005069308448582888,-0.0015913797542452812,0.07662569731473923,94.318115234375
60000.0,0,1.00070059299469,0.10472811013460159,1.0007007122039795,0.008940308354794979,27.850000381469727,1.1283279657363892,111.25859069824219,0.22654128074645996,12.314403533935547,-0.5419851541519165,0.10472811013460159,1.0007007122039795,1000,0.0004954783362336457,5.046932220458984,0.06972307711839676,-3.051757735406113e-09,1.4956793785095215,2,1.3959726095199585,0.9774294495582581,0.22041992843151093,0.1094912588596344,0,98.80000305175781,3,0.041840486228466034,1746557188.646027,16.909269332885742,0.329677551984787,0.025414912030100822,1,0.09264444559812546,179.7613983154297,0.00033053604420274496,0.1094912588596344,470.439475668,0,0.10472811013460159,0.04699210077524185,10,360.6278076171875,0.0034502698108553886,-0.001619038637727499,0.1094912588596344,94.34929656982422
80000.0,0,0.9989024996757507,0.13829678297042847,0.9989024996757507,0.007253060583025217,37.75,2.248706817626953,108.88885498046875,1.2952406406402588,13.603017807006836,-0.3648949861526489,0.13829678297042847,0.9989024996757507,1000,0.0007760920561850071,1.288614273071289,0.04660442844033241,1.2207030941624453e-08,1.6605579853057861,3,1.3957771062850952,0.977263867855072,0.21510395407676697,0.14322271943092346,0,102.80000305175781,4,0.019656291231513023,1746557297.5971072,16.39004898071289,0.3571925759315491,0.045071203261613846,1,1.5884575843811035,183.6735382080078,0.0002790807047858834,0.14322271943092346,581.127515201,0,0.13829678297042847,0.04016963392496109,10,469.584228515625,0.0026264353655278683,-0.0008238344453275204,0.14322271943092346,92.498779296875
100000.0,0,1.000473141670227,0.17249435186386108,1.0004732608795166,0.009597213938832283,33.459999084472656,4.255177974700928,110.61906433105469,2.8038136959075928,10.611425399780273,-0.2089165896177292,0.17249435186386108,1.0004732608795166,1000,0.00033458980033174157,-2.9915924072265625,0.06897415965795517,-7.629394005448376e-09,1.4435843229293823,4,1.3821382522583008,0.9640297889709473,0.22993570566177368,0.1753457933664322,0,38.849998474121094,5,-0.14756357297301292,1746557408.2852335,16.59588623046875,0.33193159103393555,-0.10249236971139908,1,1.1586750745773315,180.80067443847656,0.00031920484616421163,0.1753457933664322,697.733115939,0,0.17249435186386108,0.03212674707174301,10,580.269287109375,0.0019866819493472576,-0.0006397534161806107,0.1753457933664322,94.02314758300781
120000.0,0,0.9992790222167969,0.20707963407039642,0.9992790222167969,0.011428571306169033,44.06999969482422,4.482497692108154,116.5288314819336,2.783799886703491,13.483490943908691,0.03323034197092056,0.20707963407039642,0.9992790222167969,1000,0.0005098083056509495,2.872065544128418,0.08488281071186066,-6.103515470812226e-09,1.3228750228881836,5,1.378778100013733,0.9606744647026062,0.24820870161056519,0.20844079554080963,0,129.5500030517578,6,0.21341900527477264,1746557524.8908343,16.768985748291016,0.3283490836620331,0.11092663556337357,1,1.7028357982635498,171.63134765625,0.00032687082421034575,0.20844079554080963,808.471663698,0,0.20707963407039642,0.03667588531970978,10,696.8636474609375,0.009249750524759293,0.007263068575412035,0.20844079554080963,99.75982666015625
140000.0,0,1.000092625617981,0.24208730459213257,1.0000927448272705,0.004721013829112053,41.380001068115234,5.0235490798950195,110.678955078125,2.8571646213531494,5.153449058532715,0.1784435212612152,0.24208730459213257,1.0000927448272705,1000,6.552431295858696e-05,-8.330041885375977,0.0661204606294632,4.577636492086867e-09,2.058244228363037,6,1.3842382431030273,0.9658998847007751,0.150568887591362,0.2385326623916626,0,15.25,7,-0.29494117945432663,1746557635.6292272,16.64372444152832,0.30990755558013916,-0.18401454389095306,1,0.12495270371437073,180.70281982421875,0.00032470488804392517,0.2385326623916626,919.842018621,0,0.24208730459213257,0.03250814974308014,10,807.6167602539062,0.005501854233443737,-0.0037478962913155556,0.2385326623916626,94.03520202636719
160000.0,0,1.0008562803268433,0.27707594633102417,1.0008562803268433,0.006627786438912153,32.06999969482422,3.920610189437866,111.30970001220703,2.354297161102295,4.679149627685547,0.20214271545410156,0.27707594633102417,1.0008562803268433,1000,0.0006054535042494535,-0.47429943084716797,0.08909675478935242,-3.051757735406113e-09,1.7371224164962769,7,1.3930286169052124,0.9744372367858887,0.17762190103530884,0.26829272508621216,0,49.54999923706055,8,0.129503782838583,1746557746.999679,16.399721145629883,0.30855098366737366,-0.05451076105237007,1,-0.73646479845047,179.67884826660156,0.0003153133438900113,0.26829272508621216,1029.033981525,0,0.27707594633102417,0.021724166348576546,10,918.9886474609375,0.0036888530012220144,-0.0018130012322217226,0.26829272508621216,94.90995788574219
180000.0,0,1.0010617971420288,0.3110681474208832,1.0010617971420288,0.005442183930426836,19.90999984741211,5.140748500823975,108.84060668945312,2.6159515380859375,4.380812168121338,0.2794208228588104,0.3110681474208832,1.0010617971420288,1000,0.0007508320268243551,-0.298337459564209,0.05949103459715843,2.2888182460434336e-09,1.9170259237289429,8,1.3915396928787231,0.9729843139648438,0.17022550106048584,0.29750367999076843,0,42.900001525878906,9,-0.06320037320256233,1746557856.1916401,16.95035743713379,0.3263266980648041,-0.1177111342549324,1,0.12059168517589569,183.75494384765625,0.0002897122176364064,0.29750367999076843,1138.932673113,0,0.3110681474208832,0.026211196556687355,10,1027.88916015625,0.003290039487183094,-0.0003988135140389204,0.29750367999076843,91.89022827148438
200000.0,0,1.0000801086425781,0.3445998430252075,1.0000801086425781,0.010417412966489792,23.219999313354492,4.185882091522217,109.83201599121094,2.037675142288208,7.222570896148682,0.1323438137769699,0.3445998430252075,1.0000801086425781,1000,5.65892260055989e-05,2.8417587280273438,0.09687470644712448,-4.577636492086867e-09,1.3855903148651123,9,1.388601303100586,0.970120906829834,0.21419580280780792,0.32729071378707886,0,65.5,10,0.10824993811547756,1746557966.090362,16.782434463500977,0.2967876195907593,-0.009461196139454842,1,0.4756432771682739,182.0962677001953,0.0003448844072408974,0.32729071378707886,1245.576513547,0,0.3445998430252075,0.029570098966360092,10,1138.0711669921875,0.006726534571498632,0.0034364950843155384,0.32729071378707886,93.049560546875
