Train/Epoch,Metrics/EpRet,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Loss/Loss_cost_critic,Safety/ShieldLagrangeMultiplier/Std,_step,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Metrics/EpCost,Time/FPS,Safety/shield_violation,Time/Update,Metrics/LagrangeMultiplier/Max,Misc/H_inv_g,Misc/AcceptanceStep,Train/LR,Safety/ShieldLagrangeMultiplier/Min,_runtime,_timestamp,Metrics/EpLen,Value/Adv,Train/KL,Misc/Alpha,TotalEnvSteps,Train/PolicyStd,Value/cost,Train/PolicyRatio/Min,Time/Epoch,Train/Entropy,Train/StopIter,Loss/Loss_cost_critic/Delta,Misc/xHx,Time/Rollout,Safety/shield_adv_c,Train/PolicyRatio,Safety/EpCostShield,Metrics/LagrangeMultiplier/Std,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Time/Total,Loss/Loss_pi,Misc/gradient_norm,Safety/ShieldLagrangeMultiplier,Loss/Loss_pi/Delta,Safety/ShieldLagrangeMultiplier/Max,Value/reward,Misc/FinalStepNorm
0,-3.440264940261841,0.03599999472498894,0.03599999472498894,1.7866727113723755,0,1,0.009183667600154877,0.009183667600154877,3.200000047683716,158.96006774902344,0.040255554020404816,18.251422882080078,0.03599999472498894,0.11156823486089706,1,0,0.044999994337558746,227.386059543,1746556683.591,1000,-1.831054596834747e-08,0.0003612310392782092,2.31445050239563,20000.0,1.0109375715255737,-0.19352088868618011,1.0010151863098145,125.81776428222656,1.4296470880508423,10,1.7866727113723755,0.0037336451932787895,107.56632232666016,-0.0359475202858448,1.0010151863098145,13.550000190734863,0,1.0010151863098145,0.0007178451051004231,125.81918334960938,-0.06647086888551712,0.07047098875045776,0.044999994337558746,-0.06647086888551712,0.044999994337558746,0.01274928729981184,0.2582191526889801
1,-2.5477800369262695,0.07066600024700165,0.07066600024700165,3.0769193172454834,0,2,0.004666700027883053,-0.004516967572271824,4.824999809265137,200.16912841796875,0.3494834899902344,18.643848419189453,0.07066600024700165,0.14002297818660736,1,0,0.07945410907268524,333.221169342,1746556783.9506721,1000,1.5258788677030566e-09,0.000488877936732024,1.2204790115356445,40000.0,1.026548981666565,-0.08911630511283875,1.0001630783081055,99.91551208496094,1.4448919296264648,10,1.290246605873108,0.01342669129371643,81.27164459228516,0.5461959838867188,1.0001630783081055,22.149999618530273,0,1.0001630783081055,0.00011536999954842031,225.79798889160156,-0.0743180438876152,0.1781117469072342,0.07945410907268524,-0.007847175002098083,0.07945410907268524,-0.023131363093852997,0.17089509963989258
2,-2.025520086288452,0.10408740490674973,0.10408740490674973,6.519197940826416,0,3,0.005326952785253525,0.000660252757370472,8.766666412353516,189.11221313476562,0.9820706248283386,18.331209182739258,0.10408740490674973,0.14047369360923767,1,0,0.11283944547176361,435.75645797,1746556889.787099,1000,0.0,0.00046556940651498735,1.5498766899108887,60000.0,1.0325437784194946,0.14642612636089325,1.0002079010009766,105.75731658935547,1.4507545232772827,10,3.4422786235809326,0.008325976319611073,87.42609405517578,1.0400092601776123,1.0002079010009766,38.849998474121094,0,1.0002079010009766,0.0001470082061132416,332.01300048828125,-0.04475980997085571,0.12037324160337448,0.11283944547176361,0.02955823391675949,0.11283944547176361,-0.039909135550260544,0.21771690249443054
3,-1.5602235794067383,0.13770923018455505,0.13770923018455505,5.149068355560303,0,4,0.003618295304477215,-0.00170865748077631,10.975000381469727,195.17713928222656,2.3768327236175537,18.404396057128906,0.13770923018455505,0.16796833276748657,1,0,0.14691954851150513,539.657068468,1746556992.3223543,1000,-3.051757735406113e-09,0.00040779783739708364,1.5159969329833984,80000.0,1.0308774709701538,0.4977802634239197,0.9998284578323364,102.47101593017578,1.4491262435913086,10,-1.3701295852661133,0.008702276274561882,84.06659698486328,-0.6343860030174255,0.9998283982276917,35.45000076293945,0,0.9998284578323364,0.0001213267314597033,434.54644775390625,-0.06481769680976868,0.11992420256137848,0.14691954851150513,-0.020057886838912964,0.14691954851150513,-0.04531470313668251,0.25463947653770447
4,-1.2984257936477661,0.17158153653144836,0.17158153653144836,7.875672817230225,0,5,0.00297243008390069,-0.0006458652205765247,13.789999961853027,192.6107635498047,2.2416369915008545,18.608348846435547,0.17158153653144836,0.1697424054145813,1,0,0.18114866316318512,641.770351769,1746557096.2229605,1000,3.051757735406113e-09,0.0002769099664874375,1.9533203840255737,100000.0,1.0508180856704712,0.8480484485626221,0.9996723532676697,103.83635711669922,1.4681921005249023,10,2.726604461669922,0.0052418215200304985,85.22798919677734,1.3895965814590454,0.9996723532676697,51.75,0,0.9996723532676697,0.000231695274123922,538.4468994140625,-0.025608422234654427,0.05487886071205139,0.18114866316318512,0.03920927457511425,0.18114866316318512,-0.0309611763805151,0.33156129717826843
5,-0.6033087372779846,0.2059047818183899,0.2059047818183899,5.299046993255615,0,6,0.003970487974584103,0.0009980578906834126,15.329999923706055,195.98609924316406,3.9706835746765137,18.35654640197754,0.2059047818183899,0.19597844779491425,1,0,0.21585088968276978,747.626389483,1746557198.3363514,1000,2.2888182460434336e-09,0.0002828200231306255,1.736146092414856,120000.0,1.0660488605499268,1.5635995864868164,1.0009645223617554,102.04805755615234,1.4827009439468384,10,-2.5766258239746094,0.0066352421417832375,83.69149017333984,-0.04589124023914337,1.0009645223617554,48.75,0,1.0009645223617554,0.0006820483831688762,640.56396484375,-0.06125619634985924,0.04722756892442703,0.21585088968276978,-0.03564777411520481,0.21585088968276978,-0.02925792895257473,0.3402472138404846
6,-0.19497562944889069,0.24071696400642395,0.24071696400642395,4.608677387237549,0,7,0.0020324622746556997,-0.001938025699928403,15.970000267028809,189.05471801757812,3.526259422302246,18.37874984741211,0.24071696400642395,0.19178618490695953,1,0,0.250698983669281,850.804627929,1746557304.1923423,1000,6.103515470812226e-09,0.0003113341226708144,1.7368206977844238,140000.0,1.072966456413269,1.2791271209716797,1.0010948181152344,105.78948211669922,1.48916757106781,10,-0.6903696060180664,0.006630089599639177,87.41070556640625,1.0769656896591187,1.0010948181152344,70.0999984741211,0,1.0010948181152344,0.0007741533336229622,746.4146728515625,0.01876114122569561,0.04738971218466759,0.250698983669281,0.08001733757555485,0.250698983669281,-0.02407141774892807,0.3330982029438019
7,-0.0005647277575917542,0.27592575550079346,0.27592575550079346,4.35603141784668,0,8,0.004152637906372547,0.0021201756317168474,15.069999694824219,194.00730895996094,3.1223878860473633,18.6264705657959,0.27592575550079346,0.18880367279052734,1,0,0.28505370020866394,955.298398494,1746557407.3705008,1000,4.1961669694501325e-09,0.0003811303758993745,1.643015742301941,160000.0,1.0708588361740112,1.2893798351287842,1.0002765655517578,103.08889770507812,1.4872153997421265,10,-0.25264596939086914,0.007408767938613892,84.46240997314453,0.20239003002643585,1.0002765655517578,33.79999923706055,0,1.0002765655517578,0.00019561758381314576,849.5702514648438,-0.07882200926542282,0.07872653007507324,0.28505370020866394,-0.09758315049111843,0.28505370020866394,-0.015753522515296936,0.31020739674568176
8,0.06083168089389801,0.3112186789512634,0.3112186789512634,4.180029392242432,0,9,0.005078709218651056,0.0009260713122785091,12.789999961853027,191.5785369873047,4.279858112335205,18.355972290039062,0.3112186789512634,0.18933013081550598,1,0,0.319716215133667,1057.698605906,1746557511.86414,1000,2.2888182460434336e-09,0.0002859158266801387,1.7360305786132812,180000.0,1.0692801475524902,1.3313548564910889,1.0004647970199585,104.39582824707031,1.4858657121658325,10,-0.17600202560424805,0.0066361259669065475,86.03984069824219,0.13123038411140442,1.0004647970199585,47.95000076293945,0,1.0004647970199585,0.00032868923153728247,954.0537109375,-0.07344948500394821,0.06266959756612778,0.319716215133667,0.005372524261474609,0.319716215133667,-0.01854807883501053,0.32868289947509766
9,0.21931782364845276,0.34610483050346375,0.34610483050346375,3.7920117378234863,0,10,0.0041292146779596806,-0.0009494945406913757,10.0,195.42457580566406,4.290971279144287,18.368680953979492,0.34610483050346375,0.19633528590202332,1,0,0.354076087474823,1159.850514174,1746557614.2645655,1000,-1.3732909920349812e-08,0.00029519572854042053,1.6915953159332275,200000.0,1.0707277059555054,1.2435396909713745,1.0002540349960327,102.34127044677734,1.4872703552246094,10,-0.3880176544189453,0.006989344488829374,83.97257232666016,-0.8696868419647217,1.0002540349960327,36.25,0,1.0002540349960327,0.0001795456191757694,1056.493408203125,-0.11494196206331253,0.05024820193648338,0.354076087474823,-0.04149247705936432,0.354076087474823,-0.011083756573498249,0.3321198523044586
10,0.1963692456483841,0.38047266006469727,0.38047266006469727,2.836854934692383,0,11,0.00647493451833725,0.002345719840377569,9.09000015258789,195.92247009277344,4.876258373260498,18.646249771118164,0.38047266006469727,0.17028270661830902,1,0,0.38687705993652344,1262.356520428,1746557716.4160337,1000,-1.907348501362094e-09,0.00032034522155299783,1.7847713232040405,220000.0,1.0747805833816528,1.4691312313079834,1.0033401250839233,102.0811996459961,1.4910434484481812,10,-0.9551568031311035,0.006278619170188904,83.43492889404297,-0.4870717525482178,1.0033401250839233,18.450000762939453,0,1.0033401250839233,0.0023617406841367483,1158.6409912109375,-0.20809002220630646,0.0685749277472496,0.38687705993652344,-0.09314806014299393,0.38687705993652344,-0.0008923468412831426,0.30391570925712585
