Train/Epoch,Metrics/LagrangeMultiplier,Value/reward,Train/PolicyRatio,Train/LR,Train/StopIter,Loss/Loss_cost_critic/Delta,Time/FPS,Metrics/EpRet,Time/Update,Loss/Loss_reward_critic/Delta,TotalEnvSteps,Metrics/LagrangeMultiplier/Min,_step,Metrics/EpCost,Time/Epoch,_timestamp,Loss/Loss_cost_critic,Train/PolicyStd,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier/Max,Metrics/EpLen,Train/Entropy,Time/Total,Value/cost,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Time/Rollout,Metrics/LagrangeMultiplier/Std,Loss/Loss_pi,Loss/Loss_reward_critic,Loss/Loss_pi/Delta,Train/KL,_runtime,Value/Adv
0,0.03599999472498894,-0.16088992357254028,0.9984533786773682,0.0002969999914057553,40,5.255357265472412,35.64507293701172,-0.6849097013473511,138.05970764160156,0.007066003046929836,20000.0,0.03599999472498894,1,48.75,561.08740234375,1743313205.473443,5.255357265472412,0.996135413646698,0.010809363797307014,0.03599999472498894,1000,1.4150632619857788,561.0886840820312,-0.11078473925590515,0.9984533786773682,0.9984533786773682,423.02752685546875,0,-0.007014550268650055,0.007066003046929836,-0.007014550268650055,0.006443121936172247,1113.03940811,-0.12074648588895798
1,0.07101445645093918,-0.1402263045310974,1.000317096710205,0.00029399999766610563,40,-1.1225004196166992,36.35521697998047,-0.41165098547935486,130.5324249267578,-0.0019978522323071957,40000.0,0.07101445645093918,2,49.599998474121094,550.1273803710938,1743313755.6935544,4.132856845855713,0.9816069602966309,0.011784311383962631,0.07101445645093918,1000,1.4003595113754272,1111.301025390625,0.6850711703300476,1.0003172159194946,1.0003172159194946,419.5948181152344,0,-0.008530547842383385,0.005068150814622641,-0.0015159975737333298,0.008576367050409317,1671.896812534,0.06005842983722687
2,0.10611310601234436,-0.10889820754528046,0.9993755221366882,0.000291000003926456,40,1.8870978355407715,35.793861389160156,0.3631792962551117,136.513916015625,0.0023054182529449463,60000.0,0.10611310601234436,3,59.96666717529297,558.7550048828125,1743314314.5503902,6.019954681396484,0.9783217310905457,0.011512266471982002,0.10611310601234436,1000,1.3969117403030396,1670.1439208984375,1.586892008781433,0.9993755221366882,0.9993755221366882,422.2409362792969,0,-0.007577869575470686,0.007373569067567587,0.0009526782669126987,0.010362638160586357,2233.040855321,0.22048237919807434
3,0.14120490849018097,-0.0647457093000412,1.0009230375289917,0.0002880000101868063,40,-3.6104977130889893,35.6501579284668,0.6063228845596313,135.794677734375,0.00015957793220877647,80000.0,0.14120490849018097,4,53.88750076293945,561.00732421875,1743314875.6943274,2.409456968307495,0.9592123627662659,0.010433700866997242,0.14120490849018097,1000,1.3771843910217285,2231.25927734375,1.648187518119812,1.0009230375289917,1.0009230375289917,425.21246337890625,0,-0.007714715786278248,0.007533146999776363,-0.00013684621080756187,0.008705726824700832,2787.409637026,-0.2364572286605835
4,0.17615444958209991,-0.009280594065785408,1.0011173486709595,0.0002849999873433262,40,0.0771019458770752,36.083534240722656,1.0054666996002197,134.00979614257812,0.0022948654368519783,100000.0,0.17615444958209991,5,49.56999969482422,554.2694091796875,1743315430.063836,2.4865589141845703,0.9401644468307495,0.010635609738528728,0.17615444958209991,1000,1.35693359375,2785.666015625,2.8215975761413574,1.0011173486709595,1.0011173486709595,420.2595520019531,0,-0.007278460543602705,0.009828012436628342,0.00043625524267554283,0.008791722357273102,3341.699106677,-0.21472598612308502
5,0.21109402179718018,0.09570280462503433,1.0007439851760864,0.00028199999360367656,40,0.5991079807281494,36.08847427368164,1.800972580909729,131.18154907226562,0.0035323062911629677,120000.0,0.21109402179718018,6,51.869998931884766,554.1935424804688,1743315984.3532624,3.0856668949127197,0.9293067455291748,0.0111181465908885,0.21109402179718018,1000,1.345323085784912,3339.94873046875,3.7454419136047363,1.0007439851760864,1.0007439851760864,423.0118408203125,0,-0.009240159764885902,0.01336031872779131,-0.0019616992212831974,0.00874351430684328,3900.977093455,-0.20754192769527435
6,0.24593892693519592,0.14237263798713684,1.0004695653915405,0.0002789999998640269,40,-0.8151750564575195,35.76686477661133,2.726752996444702,136.7666015625,0.0015793563798069954,140000.0,0.24593892693519592,7,49.38999938964844,559.1767578125,1743316543.6312153,2.2704918384552,0.91218501329422,0.01035093143582344,0.24593892693519592,1000,1.3268147706985474,3899.2216796875,3.9133152961730957,1.00046968460083,1.00046968460083,422.4100036621094,0,-0.008022870868444443,0.014939675107598305,0.0012172888964414597,0.009234707802534103,4459.440227209,-0.19788947701454163
7,0.280666708946228,0.22248581051826477,0.9990703463554382,0.00027600000612437725,40,1.0631663799285889,35.81938934326172,3.3852453231811523,133.47132873535156,0.0012278500944375992,160000.0,0.280666708946228,8,48.11000061035156,558.3568115234375,1743317102.0937438,3.333658218383789,0.9041441679000854,0.010424701496958733,0.280666708946228,1000,1.3178589344024658,4457.6796875,4.688105583190918,0.9990703463554382,0.9990703463554382,424.8853759765625,0,-0.009329220280051231,0.016167525202035904,-0.0013063494116067886,0.007812540978193283,5017.421089423,-0.10108227282762527
8,0.31564319133758545,0.3433360755443573,1.0002950429916382,0.0002730000123847276,40,-0.10850024223327637,35.8509635925293,4.3544206619262695,137.3337860107422,0.0021712593734264374,180000.0,0.31564319133758545,9,58.130001068115234,557.8650512695312,1743317660.0745122,3.2251579761505127,0.8930292129516602,0.009842131286859512,0.31564319133758545,1000,1.3056532144546509,5015.65966796875,5.103759288787842,1.0002950429916382,1.0002950429916382,420.53118896484375,0,-0.012118159793317318,0.01833878457546234,-0.0027889395132660866,0.007842106744647026,5574.405987208,-0.30196529626846313
9,0.35095304250717163,0.4680940508842468,0.9996405243873596,0.0002699999895412475,40,-0.6795415878295898,35.91368103027344,5.397650241851807,136.63047790527344,0.0025940444320440292,200000.0,0.35095304250717163,10,63.959999084472656,556.8908081054688,1743318217.0601044,2.545616388320923,0.8868271112442017,0.010660800151526928,0.35095304250717163,1000,1.298701286315918,5572.6669921875,5.3631463050842285,0.9996405839920044,0.9996405839920044,420.2602233886719,0,-0.012290433049201965,0.02093282900750637,-0.00017227325588464737,0.010541355237364769,6133.074464202,0.16860683262348175
10,0.3865082859992981,0.46153125166893005,1.0005100965499878,0.00026699999580159783,40,0.19357538223266602,35.80606460571289,6.007866382598877,135.95980834960938,0.006661159917712212,220000.0,0.3865082859992981,11,63.400001525878906,558.5645751953125,1743318775.7280483,2.739191770553589,0.8771882653236389,0.010965663939714432,0.3865082859992981,1000,1.2878222465515137,6131.31640625,4.23935604095459,1.0005100965499878,1.0005100965499878,422.6046447753906,0,-0.01261049136519432,0.027593988925218582,-0.00032005831599235535,0.010786175727844238,6690.9325614,0.1060020923614502
11,0.4223295748233795,0.46324893832206726,0.9988589286804199,0.0002640000020619482,40,-0.30659985542297363,35.869693756103516,6.240631580352783,136.97251892089844,-0.0021601393818855286,240000.0,0.4223295748233795,12,66.38999938964844,557.57373046875,1743319333.5860353,2.4325919151306152,0.8740845322608948,0.0108367083594203,0.4223295748233795,1000,1.2842427492141724,6689.00341796875,4.912914276123047,0.9988589286804199,0.9988589286804199,420.6011047363281,0,-0.012207874096930027,0.025433849543333054,0.00040261726826429367,0.009168156422674656,7251.391270857,-0.04373566806316376
12,0.45829612016677856,0.6117855310440063,1.0000766515731812,0.0002610000083222985,40,0.08629345893859863,35.69054412841797,6.756846904754639,137.00582885742188,0.0008031204342842102,260000.0,0.45829612016677856,13,63.900001525878906,560.37255859375,1743319894.0455623,2.518885374069214,0.8665094971656799,0.010880229994654655,0.45829612016677856,1000,1.275575876235962,7249.66064453125,6.058149337768555,1.0000766515731812,1.0000766515731812,423.3666076660156,0,-0.015181784518063068,0.026236969977617264,-0.0029739104211330414,0.009624859318137169,7808.259205021,-0.1661829650402069
13,0.49397215247154236,0.5121720433235168,0.9996529221534729,0.0002579999854788184,40,-0.7161661386489868,35.92284393310547,6.9882426261901855,135.85841369628906,-0.0062812380492687225,280000.0,0.49397215247154236,14,51.83000183105469,556.7488403320312,1743320450.913053,1.802719235420227,0.869074285030365,0.011938413605093956,0.49397215247154236,1000,1.2784488201141357,7806.4833984375,4.355231761932373,0.9996529221534729,0.9996529221534729,420.8903503417969,0,-0.01277463510632515,0.01995573192834854,0.002407149411737919,0.010806526057422161,8363.40578461,-0.18974463641643524
14,0.5293614268302917,0.6498361229896545,0.9998533725738525,0.00025499999173916876,40,0.15362310409545898,36.033470153808594,7.162650108337402,135.13294982910156,0.006749661639332771,300000.0,0.5293614268302917,15,50.72999954223633,555.03955078125,1743321006.0594842,1.956342339515686,0.8613958954811096,0.011263784021139145,0.5293614268302917,1000,1.2695438861846924,8361.650390625,4.389221668243408,0.9998533725738525,0.9998533725738525,419.906494140625,0,-0.01528385654091835,0.026705393567681313,-0.0025092214345932007,0.009059966541826725,8918.62941913,-0.18868082761764526
15,0.564397931098938,0.6083461046218872,0.9987998008728027,0.0002519999979995191,40,0.14190852642059326,36.03025817871094,7.455963134765625,135.46156311035156,0.004155021160840988,320000.0,0.564397931098938,16,48.06999969482422,555.0889892578125,1743321561.2829201,2.0982508659362793,0.8545966148376465,0.011083036661148071,0.564397931098938,1000,1.2615078687667847,8916.849609375,4.601228713989258,0.9987998604774475,0.9987998604774475,419.6272888183594,0,-0.013841184787452221,0.0308604147285223,0.0014426717534661293,0.009455796331167221,9478.108854333,-0.30192530155181885
