Metrics/EpCost,Train/PolicyRatio/Max,Time/Update,Metrics/EpRet,Metrics/EpLen,Train/PolicyRatio/Min,Loss/Loss_reward_critic/Delta,Loss/Loss_reward_critic,Loss/Loss_pi,Time/FPS,Time/Epoch,Value/cost,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Min,_timestamp,Loss/Loss_pi/Delta,_runtime,Train/StopIter,_step,Train/PolicyStd,Metrics/LagrangeMultiplier/Std,Time/Rollout,Value/reward,Train/KL,TotalEnvSteps,Train/PolicyRatio,Train/LR,Train/PolicyRatio/Std,Loss/Loss_cost_critic/Delta,Train/Epoch,Metrics/LagrangeMultiplier,Train/Entropy,Time/Total,Loss/Loss_cost_critic,Value/Adv
21.899999618530273,0.9989708662033081,50.9177360534668,-0.3508206009864807,1000,0.9989708662033081,0.003932745195925236,0.003932745195925236,-0.00684754503890872,190.7393035888672,104.85516357421875,-0.07231398671865463,0.03599999472498894,0.03599999472498894,1743306029.7508202,-0.00684754503890872,216.709048544,40,1,0.9914528727531433,0,53.93737030029297,-0.02486330270767212,0.006466430611908436,20000.0,0.9989708662033081,0.0002969999914057553,0.009761927649378777,0.570054292678833,0,0.03599999472498894,1.4103367328643799,104.85619354248047,0.570054292678833,-0.06089520826935768
27.899999618530273,0.9979612231254578,50.115257263183594,-0.16069135069847107,1000,0.9979612231254578,-0.001087765907868743,0.002844979288056493,-0.012946955859661102,193.68019104003906,103.26301574707031,-0.01471885945647955,0.07096697390079498,0.07096697390079498,1743306133.115985,-0.006099410820752382,321.253851568,40,2,0.980776309967041,0,53.14772033691406,-0.030261997133493423,0.009268580004572868,40000.0,0.997961163520813,0.00029399999766610563,0.012566917575895786,2.3867287635803223,1,0.07096697390079498,1.3995234966278076,208.1806182861328,2.9567830562591553,-0.01036074385046959
28.383333206176758,1.0004347562789917,50.99285888671875,0.019248994067311287,1000,1.0004347562789917,-0.0003300434909760952,0.0025149357970803976,-0.010698924772441387,191.41232299804688,104.48648071289062,1.4463521242141724,0.10604102164506912,0.10604102164506912,1743306237.6532419,0.002248031087219715,425.844787345,40,3,0.9609595537185669,0,53.49357604980469,-0.023631539195775986,0.01132166013121605,60000.0,1.0004347562789917,0.000291000003926456,0.012837952002882957,-0.48785400390625,2,0.10604102164506912,1.3790560960769653,312.7715148925781,2.4689290523529053,-0.08789811283349991
22.100000381469727,1.000407338142395,51.09418487548828,0.13836529850959778,1000,1.000407338142395,-0.0010902981739491224,0.0014246376231312752,-0.010216264985501766,191.32424926757812,104.53457641601562,0.9622562527656555,0.14077645540237427,0.14077645540237427,1743306342.2516778,0.00048265978693962097,530.737411926,40,4,0.9379200339317322,0,53.44034957885742,-0.0051775178872048855,0.010237431153655052,80000.0,1.0004072189331055,0.0002880000101868063,0.01263593789190054,-1.6565402150154114,3,0.14077645540237427,1.3547285795211792,417.3509826660156,0.8123888373374939,-0.0393311083316803
27.530000686645508,1.0014991760253906,51.04989242553711,0.259770929813385,1000,1.0014991760253906,0.0008224013727158308,0.002247038995847106,-0.008957155048847198,190.78280639648438,104.83125305175781,1.0910776853561401,0.1756935864686966,0.1756935864686966,1743306447.1446493,0.0012591099366545677,635.229824316,40,5,0.9259467124938965,0,53.78132247924805,0.005578546319156885,0.00999764259904623,100000.0,1.0014991760253906,0.0002849999873433262,0.012048936448991299,0.9605451226234436,4,0.1756935864686966,1.341532826423645,522.252197265625,1.7729339599609375,0.37108010053634644
27.270000457763672,1.0003323554992676,50.99700927734375,0.4339545965194702,1000,1.0003323554992676,-0.0002017614897340536,0.0020452775061130524,-0.007564561907202005,191.49786376953125,104.43980407714844,1.247499704360962,0.21071657538414001,0.21071657538414001,1743306551.6362388,0.001392593141645193,738.721880653,40,6,0.9158490896224976,0,53.442752838134766,0.013854779303073883,0.008784722536802292,120000.0,1.0003323554992676,0.00028199999360367656,0.01116545032709837,-0.7895005345344543,5,0.21071657538414001,1.3306413888931274,626.74951171875,0.9834334254264832,-0.016030050814151764
24.079999923706055,1.0001484155654907,50.569725036621094,0.523954451084137,1000,1.0001484155654907,0.001348363934084773,0.0033936414401978254,-0.00807487964630127,193.3492431640625,103.43975830078125,1.4334543943405151,0.2455974817276001,0.2455974817276001,1743306655.1266751,-0.0005103177390992641,842.289276367,40,7,0.9160375595092773,0,52.8699951171875,0.029276739805936813,0.008914146572351456,140000.0,1.0001484155654907,0.0002789999998640269,0.01121441274881363,0.26015371084213257,6,0.2455974817276001,1.3309653997421265,730.2405395507812,1.2435871362686157,-0.17564648389816284
21.809999465942383,1.0012720823287964,50.86904525756836,0.5260103344917297,1000,1.0012720823287964,0.002023526234552264,0.00541716767475009,-0.007215246092528105,193.22515869140625,103.50618743896484,1.2663185596466064,0.2801792025566101,0.2801792025566101,1743306758.6964824,0.0008596335537731647,945.92825651,40,8,0.9010763764381409,0,52.637107849121094,0.03793518245220184,0.009534630924463272,160000.0,1.0012720823287964,0.00027600000612437725,0.010864974930882454,-0.35520416498184204,7,0.2801792025566101,1.314507246017456,833.8006591796875,0.8883829712867737,0.0023703202605247498
22.079999923706055,1.0000972747802734,51.0131721496582,0.536751925945282,1000,1.0000972747802734,-0.00036322232335805893,0.005053945351392031,-0.00892970897257328,193.1353302001953,103.55432891845703,1.2593488693237305,0.31456461548805237,0.31456461548805237,1743306862.332119,-0.0017144628800451756,1049.901856721,40,9,0.8900940418243408,0,52.541114807128906,0.04355154559016228,0.010205434635281563,180000.0,1.0000972747802734,0.0002730000123847276,0.011435807682573795,-0.27565473318099976,8,0.31456461548805237,1.3022511005401611,937.4198608398438,0.6127282381057739,0.1838134229183197
18.860000610351562,1.00260591506958,50.91340255737305,0.45226234197616577,1000,1.00260591506958,0.00010242778807878494,0.005156373139470816,-0.009904162026941776,192.458251953125,103.91864776611328,1.5813602209091187,0.3484719693660736,0.3484719693660736,1743306966.3047824,-0.0009744530543684959,1153.572547786,40,10,0.8777046799659729,0,53.005191802978516,0.06501339375972748,0.009824516251683235,200000.0,1.0026057958602905,0.0002699999895412475,0.01088918000459671,0.8127405643463135,9,0.3484719693660736,1.2882899045944214,1041.4202880859375,1.4254688024520874,0.3945692777633667
