Train/Epoch,Safety/shield_violation,Loss/Loss_pi/Delta,Metrics/LagrangeMultiplier,Safety/ShieldLagrangeMultiplier/Max,Loss/Loss_cost_critic/Delta,Value/cost,Train/KL,Time/Update,Time/Total,Safety/shield_adv_c,_step,TotalEnvSteps,Metrics/LagrangeMultiplier/Max,Train/PolicyStd,Train/PolicyRatio,Train/LR,Value/reward,Value/Adv,Metrics/EpCost,Train/PolicyRatio/Min,Safety/ShieldLagrangeMultiplier/Std,Safety/EpCostShield,Train/StopIter,Metrics/LagrangeMultiplier/Min,Metrics/EpLen,Metrics/LagrangeMultiplier/Std,_timestamp,Safety/ShieldLagrangeMultiplier/Min,Train/PolicyRatio/Std,Loss/Loss_reward_critic/Delta,_runtime,Loss/Loss_reward_critic,Time/FPS,Loss/Loss_pi,Metrics/EpRet,Safety/ShieldLagrangeMultiplier,Train/PolicyRatio/Max,Train/Entropy,Loss/Loss_cost_critic,Time/Epoch,Time/Rollout
0,0.04704347997903824,-0.08000988513231277,0.035999998450279236,0.044999994337558746,3.662231922149658,0.062294285744428635,0.007367041427642107,81.02342224121094,167.884765625,NaN,1,20000.0,0.035999998450279236,0.9886060953140259,1.000329852104187,0.0002969999914057553,-0.18737028539180756,-0.08506500720977783,9.550000190734863,1.000329852104187,0,22.100000381469727,40,0.035999998450279236,1000,0,1746541917.754111,0.044999994337558746,0.011217677965760231,0.004234300460666418,314.216518553,0.004234300460666418,119.13007354736328,-0.08000988513231277,-0.15739500522613525,0.044999994337558746,1.000329852104187,1.4074736833572388,3.662231922149658,167.88372802734375,86.8602294921875
1,1.2883638143539429,0.05847998149693012,0.0683879554271698,0.07602407038211823,12.47631025314331,0.9090063571929932,0.011256399564445019,81.84205627441406,313.4089050292969,NaN,2,40000.0,0.0683879554271698,0.9742962121963501,0.9991862773895264,0.00029399999766610563,-0.16363294422626495,0.2901794910430908,26.899999618530273,0.9991862773895264,0,86.80000305175781,40,0.0683879554271698,1000,0,1746542063.290171,0.07602407038211823,0.01274910382926464,-0.0022975581232458353,461.631892926,0.0019367423374205828,137.53038024902344,-0.021529903635382652,0.08636455982923508,0.07602407038211823,0.9991862773895264,1.3928765058517456,16.13854217529297,145.42242431640625,63.5803108215332
2,3.261265277862549,-0.037584831938147545,0.1019500121474266,0.10798220336437225,-4.9117631912231445,2.0635643005371094,0.010910500772297382,83.60011291503906,460.8155822753906,NaN,3,60000.0,0.1019500121474266,0.9582204818725586,0.9994706511497498,0.000291000003926456,-0.12530240416526794,-0.27356380224227905,24.66666603088379,0.9994706511497498,0,51.849998474121094,40,0.1019500121474266,1000,0,1746542210.7054787,0.10798220336437225,0.010856835171580315,-0.00045084510929882526,608.623821456,0.0014858972281217575,135.7835235595703,-0.0591147355735302,0.3320162892341614,0.10798220336437225,0.9994706511497498,1.3761776685714722,11.226778984069824,147.2932891845703,63.69313049316406
3,3.3560476303100586,0.054197235498577356,0.13614796102046967,0.1411309540271759,-1.2342424392700195,1.9670562744140625,0.010042736306786537,83.51451873779297,607.8167114257812,NaN,4,80000.0,0.13614796102046967,0.9488495588302612,0.9985432624816895,0.0002880000101868063,-0.09753777831792831,0.17583249509334564,28.012500762939453,0.9985432624816895,0,82.30000305175781,40,0.13614796102046967,1000,0,1746542357.6972992,0.1411309540271759,0.011379418894648552,-2.8302310965955257e-05,748.703341607,0.0014575949171558022,136.16575622558594,-0.004917500074952841,0.40847378969192505,0.1411309540271759,0.9985432624816895,1.366381049156189,9.992536544799805,146.8798065185547,63.365230560302734
4,4.341324329376221,-0.10098599875345826,0.1706976443529129,0.1729203462600708,-3.158932685852051,2.2372233867645264,0.006479582749307156,81.59651184082031,747.871826171875,NaN,5,100000.0,0.1706976443529129,0.9362509250640869,1.0009236335754395,0.0002849999873433262,-0.05738213658332825,0.1911517083644867,26.31999969482422,1.000923752784729,0,32.75,40,0.1706976443529129,1000,0,1746542497.7769701,0.1729203462600708,0.010588145814836025,0.0004930162103846669,891.147207646,0.0019506111275404692,142.92259216308594,-0.1059034988284111,0.39026832580566406,0.1729203462600708,1.000923752784729,1.3530182838439941,6.833603858947754,139.93588256835938,58.339324951171875
5,4.808202266693115,0.11171363014727831,0.20557796955108643,0.2058488428592682,-0.17337417602539062,2.5098726749420166,0.006844854447990656,81.11150360107422,890.3435668945312,NaN,6,120000.0,0.20557796955108643,0.9423454403877258,0.9990052580833435,0.00028199999360367656,-0.045168183743953705,0.08641219139099121,28.90999984741211,0.9990052580833435,0,87.3499984741211,40,0.20557796955108643,1000,0,1746542640.2207193,0.2058488428592682,0.010269911028444767,0.001317908987402916,1030.727437071,0.003268520114943385,140.51483154296875,0.005810131318867207,0.4846256673336029,0.2058488428592682,0.9990052580833435,1.3594474792480469,6.660229682922363,142.333740234375,61.22218704223633
6,5.352673053741455,-0.07926726061850786,0.24041114747524261,0.23897472023963928,-1.65848970413208,2.121622323989868,0.00829769391566515,81.0850830078125,1029.9410400390625,NaN,7,140000.0,0.24041114747524261,0.9339703917503357,1.0010616779327393,0.0002789999998640269,-0.03458023816347122,-0.17803481221199036,23.989999771118164,1.0010616779327393,0,59.95000076293945,40,0.24041114747524261,1000,0,1746542779.8010783,0.23897472023963928,0.010383621789515018,0.0003403089940547943,1174.98775857,0.0036088291089981794,143.37942504882812,-0.07345712929964066,0.4573957026004791,0.23897472023963928,1.0010616779327393,1.3505561351776123,5.001739978790283,139.49002075195312,58.40488052368164
7,4.384801864624023,0.01764395833015442,0.27535533905029297,0.27207332849502563,0.6626615524291992,2.9344449043273926,0.007808435708284378,84.16783905029297,1174.204833984375,NaN,8,160000.0,0.27535533905029297,0.919126033782959,1.0006238222122192,0.00027600000612437725,-0.02310522086918354,-0.07208399474620819,26.040000915527344,1.0006239414215088,0,55.04999923706055,40,0.27535533905029297,1000,0,1746542924.0613527,0.27207332849502563,0.01043341588228941,-0.00021013803780078888,1318.908993095,0.0033986910711973906,138.724365234375,-0.05581317096948624,0.3379357159137726,0.27207332849502563,1.0006239414215088,1.33454430103302,5.664401531219482,144.17079162597656,60.002906799316406
8,3.6983323097229004,-0.02012304961681366,0.30982086062431335,0.3042110800743103,-1.6651976108551025,1.9440324306488037,0.00902795884758234,83.11018371582031,1318.0574951171875,NaN,9,180000.0,0.30982086062431335,0.9136759042739868,1.000689148902893,0.0002730000123847276,-0.015083485282957554,-0.07440045475959778,19.559999465942383,1.000689148902893,0,35.650001525878906,40,0.30982086062431335,1000,0,1746543067.9826167,0.3042110800743103,0.010797257535159588,0.001498054014518857,1462.752677953,0.0048967450857162476,139.11541748046875,-0.0759362205862999,0.2781177759170532,0.3042110800743103,1.000689148902893,1.3286213874816895,3.99920392036438,143.76551818847656,60.65528106689453
9,3.7295055389404297,0.08205943601205945,0.3439815938472748,0.3369014263153076,0.5943715572357178,1.2873939275741577,0.010507544502615929,80.77317810058594,1461.967529296875,NaN,10,200000.0,0.3439815938472748,0.9154510498046875,1.0008792877197266,0.0002699999895412475,0.0033898670226335526,0.03593358024954796,20.170000076293945,1.0008792877197266,0,65.0,40,0.3439815938472748,1000,0,1746543211.8262932,0.3369014263153076,0.010629292577505112,-0.0005788751877844334,1607.341167168,0.004317869897931814,139.12649536132812,0.006123215425759554,0.2298223376274109,0.3369014263153076,1.0008792877197266,1.3305604457855225,4.593575477600098,143.7540740966797,62.980857849121094
10,5.451920509338379,0.04096687538549304,0.37777647376060486,0.3706034719944,0.8647279739379883,2.27858304977417,0.01319239940494299,81.48395538330078,1606.570556640625,NaN,11,220000.0,0.37777647376060486,0.920491635799408,0.9983675479888916,0.00026699999580159783,0.024768231436610222,-0.14069131016731262,18.969999313354492,0.9983675479888916,0,92.5999984741211,40,0.37777647376060486,1000,0,1746543356.41477,0.3706034719944,0.01164216548204422,0.0010635042563080788,1751.241049299,0.005381374154239893,138.39547729492188,0.047090090811252594,0.33748316764831543,0.3706034719944,0.9983675479888916,1.3360610008239746,5.458303451538086,144.51339721679688,63.029396057128906
11,4.248717784881592,-0.06787160597741604,0.4114953279495239,0.4043797254562378,-0.9890851974487305,1.8036160469055176,0.01061833743005991,82.32765197753906,1750.4373779296875,NaN,12,240000.0,0.4114953279495239,0.915905237197876,1.000321865081787,0.0002640000020619482,0.03663996607065201,0.1110689640045166,21.0,1.000321865081787,0,62.0,40,0.4114953279495239,1000,0,1746543500.3146732,0.4043797254562378,0.011120757088065147,-0.0007715425454080105,1891.721693118,0.0046098316088318825,139.0909423828125,-0.020781515166163445,0.4129379987716675,0.4043797254562378,1.000321865081787,1.3310579061508179,4.4692182540893555,143.79083251953125,61.46310043334961
12,4.8489990234375,-0.0792782548815012,0.4450226128101349,0.43768084049224854,0.6695632934570312,2.03786039352417,0.011646691709756851,82.09789276123047,1890.9498291015625,NaN,13,260000.0,0.4450226128101349,0.902379035949707,1.0001158714294434,0.0002610000083222985,0.04439492151141167,-0.2503902316093445,19.700000762939453,1.000115990638733,0,47.95000076293945,40,0.4450226128101349,1000,0,1746543640.7950945,0.43768084049224854,0.011313976719975471,0.0015921643935143948,2032.37975916,0.006201996002346277,142.4446258544922,-0.10005977004766464,0.47727981209754944,0.43768084049224854,1.000115990638733,1.3162081241607666,5.138781547546387,140.4054412841797,58.30751037597656
13,3.619243860244751,0.012580141425132751,0.47846856713294983,0.4700457453727722,-2.2308197021484375,1.2017219066619873,0.01150636374950409,82.17940521240234,2031.5523681640625,NaN,14,280000.0,0.47846856713294983,0.891567051410675,1.000576138496399,0.0002579999854788184,0.03783930838108063,0.09061335027217865,20.3700008392334,1.000576138496399,0,36.400001525878906,40,0.47846856713294983,1000,0,1746543781.453368,0.4700457453727722,0.01195405051112175,-0.002376863267272711,2173.717724985,0.0038251327350735664,142.3235626220703,-0.08747962862253189,0.4767935276031494,0.4700457453727722,1.000576138496399,1.3041577339172363,2.907961845397949,140.52487182617188,58.345420837402344
14,5.754987716674805,-0.2154075726866722,0.5114265084266663,0.500200629234314,0.3091855049133301,2.371915340423584,0.012143529951572418,83.48078918457031,2172.91015625,NaN,15,300000.0,0.5114265084266663,0.8699227571487427,1.0050463676452637,0.00025499999173916876,0.038299962878227234,0.04353936016559601,16.639999389648438,1.0050463676452637,0,12.399999618530273,40,0.5114265084266663,1000,0,1746543922.7913241,0.500200629234314,0.011936230584979057,0.0003255056217312813,2314.378301653,0.004150638356804848,141.6165771484375,-0.3028872013092041,0.4675930440425873,0.500200629234314,1.0050463676452637,1.2795586585998535,3.2171473503112793,141.2263946533203,57.74557113647461
15,4.91016149520874,0.17938651889562607,0.544046938419342,0.5301793813705444,2.1869335174560547,1.8140888214111328,0.011739019304513931,81.63605499267578,2313.601318359375,NaN,16,320000.0,0.544046938419342,0.8571364283561707,0.9999871850013733,0.0002519999979995191,0.048125166445970535,0.02871713414788246,17.219999313354492,0.9999871850013733,0,42.849998474121094,40,0.544046938419342,1000,0,1746544063.4519036,0.5301793813705444,0.012013040482997894,0.0009081568568944931,2454.840341717,0.005058795213699341,142.27099609375,-0.12350068241357803,0.4013842046260834,0.5301793813705444,0.9999871850013733,1.2647755146026611,5.404080867767334,140.57679748535156,58.94068908691406
16,4.5700860023498535,-0.06464629620313644,0.575689971446991,0.559141218662262,-2.456556558609009,1.8330849409103394,0.012673911638557911,83.11914825439453,2454.04931640625,NaN,17,340000.0,0.575689971446991,0.8387253880500793,1.0034369230270386,0.00024900000425986946,0.03353003039956093,-0.05007735639810562,12.020000457763672,1.0034369230270386,0,26.649999618530273,40,0.575689971446991,1000,0,1746544203.9138167,0.559141218662262,0.011910500004887581,0.0004943446256220341,2600.694291211,0.005553139839321375,142.48361206054688,-0.18814697861671448,0.3435485363006592,0.559141218662262,1.0034369230270386,1.2430516481399536,2.947524309158325,140.3670196533203,57.247825622558594
