Metrics/EpLen,_step,Train/StopIter,Loss/Loss_pi/Delta,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Time/Epoch,Train/LR,Train/Entropy,Metrics/LagrangeMultiplier,Value/Adv,Metrics/LagrangeMultiplier/Std,Loss/Loss_pi,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Max,_runtime,Time/Total,Train/Epoch,Metrics/LagrangeMultiplier/Max,Metrics/EpRet,Train/PolicyStd,Time/FPS,Value/cost,Train/PolicyRatio/Std,_timestamp,Metrics/EpCost,TotalEnvSteps,Value/reward,Time/Update,Train/PolicyRatio,Train/KL,Time/Rollout,Loss/Loss_cost_critic,Train/PolicyRatio/Min,Loss/Loss_cost_critic/Delta
1000,1,40,-0.0065699974074959755,0.005322964396327734,0.005322964396327734,224.05931091308594,0.0002969999914057553,1.4152884483337402,0.035999998450279236,-0.1403096467256546,0,-0.0065699974074959755,0.035999998450279236,1.0004922151565552,454.145602673,224.06161499023438,0,0.035999998450279236,-0.8894171714782715,0.9963685274124146,89.2620849609375,-0.06947670131921768,0.009850732050836086,1743321530.6376975,38.849998474121094,20000.0,0.22936469316482544,122.93428039550781,1.0004922151565552,0.007608410436660051,101.12493133544922,2.8737099170684814,1.0004922151565552,2.8737099170684814
1000,2,40,-0.002755965106189251,0.011845755390822887,0.006522790994495153,228.61474609375,0.00029399999766610563,1.3949143886566162,0.07088945806026459,0.08049978315830231,0,-0.009325962513685226,0.07088945806026459,1.0001462697982788,685.355340864,452.7733459472656,1,0.07088945806026459,-0.657992959022522,0.9762740135192871,87.4834213256836,0.6709786057472229,0.012176284566521645,1743321759.328399,35.650001525878906,40000.0,0.1588684618473053,127.4417495727539,1.0001462697982788,0.013979692943394184,101.17285919189453,2.5476486682891846,1.0001462697982788,-0.3260612487792969
1000,3,40,-0.0027588456869125366,0.010754645802080631,-0.0010911095887422562,231.11329650878906,0.000291000003926456,1.3645389080047607,0.10564573109149933,-0.07862979918718338,0,-0.012084808200597763,0.10564573109149933,1.000169038772583,914.622018193,683.95654296875,2,0.10564573109149933,-0.19963079690933228,0.9470818042755127,86.53764343261719,1.3630691766738892,0.013979250565171242,1743321990.537323,33.516666412353516,60000.0,0.13766740262508392,130.60385131835938,1.000169038772583,0.01517492439597845,100.50932312011719,1.7405385971069336,1.000169038772583,-0.807110071182251
1000,4,40,-0.0025629177689552307,0.009503459557890892,-0.0012511862441897392,229.1549530029297,0.0002880000101868063,1.338950514793396,0.14052174985408783,0.04074380546808243,0,-0.014647725969552994,0.14052174985408783,1.0004783868789673,1146.733438263,913.2127075195312,3,0.14052174985408783,0.15596720576286316,0.9231398105621338,87.27719116210938,1.457855463027954,0.0131027577444911,1743322219.804603,37.400001525878906,80000.0,0.1376451849937439,128.3873748779297,1.0004783868789673,0.0168459415435791,100.7674331665039,2.430828332901001,1.0004783868789673,0.6902897357940674
1000,5,40,-0.002422582358121872,0.021226156502962112,0.01172269694507122,231.891357421875,0.0002849999873433262,1.3077279329299927,0.17563919723033905,-0.051918864250183105,0,-0.017070308327674866,0.17563919723033905,1.0012210607528687,1367.735447783,1145.207275390625,4,0.17563919723033905,0.7690199017524719,0.8947736620903015,86.24728393554688,2.200343132019043,0.012858676724135876,1743322451.915512,45.68000030517578,100000.0,0.15848222374916077,131.34228515625,1.0012210607528687,0.014605178497731686,100.54898834228516,3.3202826976776123,1.0012210607528687,0.8894543647766113
1000,6,40,0.0002094171941280365,0.01725303940474987,-0.003973117098212242,220.912353515625,0.00028199999360367656,1.2729904651641846,0.2109689563512802,0.08803039789199829,0,-0.01686089113354683,0.2109689563512802,1.0027214288711548,1597.905878977,1366.348876953125,5,0.2109689563512802,1.4467183351516724,0.8642498254776001,90.53363800048828,2.9138901233673096,0.013054721057415009,1743322672.9179218,47.45000076293945,120000.0,0.1709086149930954,117.57875061035156,1.0027214288711548,0.01489452738314867,103.33349609375,1.816807746887207,1.0027214288711548,-1.5034749507904053
1000,7,40,-0.004162725061178207,0.03281514719128609,0.015562107786536217,230.10299682617188,0.0002789999998640269,1.2431299686431885,0.24655061960220337,0.12285128235816956,0,-0.021023616194725037,0.24655061960220337,1.0002771615982056,1830.395480323,1596.533447265625,6,0.24655061960220337,2.6823596954345703,0.8388040661811829,86.91759490966797,2.9924676418304443,0.014239007607102394,1743322903.0886054,56.52000045776367,140000.0,0.27540814876556396,129.15774536132812,1.0002771615982056,0.018688980489969254,100.9451675415039,3.4065003395080566,1.0002771615982056,1.5896925926208496
1000,8,40,0.0030487794429063797,0.04146416485309601,0.008649017661809921,232.4289093017578,0.00027600000612437725,1.212527871131897,0.2823505401611328,-0.1433805376291275,0,-0.017974836751818657,0.2823505401611328,1.0009793043136597,2060.129895453,1829.027587890625,7,0.2823505401611328,3.7463836669921875,0.8135263323783875,86.04782104492188,3.357480764389038,0.013206121511757374,1743323135.578252,55.220001220703125,160000.0,0.2947201430797577,131.14682006835938,1.0009793043136597,0.016911569982767105,101.2820053100586,1.8139878511428833,1.0009793043136597,-1.5925124883651733
1000,9,40,-0.002970445901155472,0.023904770612716675,-0.017559394240379333,229.64593505859375,0.0002730000123847276,1.1833555698394775,0.31826862692832947,-0.029264532029628754,0,-0.02094528265297413,0.31826862692832947,1.0020818710327148,2292.302925633,2058.7353515625,8,0.31826862692832947,4.546779155731201,0.7901231646537781,87.09059143066406,3.5696542263031006,0.014100855216383934,1743323365.3120582,52.52000045776367,180000.0,0.31461846828460693,128.895751953125,1.0020818710327148,0.017106063663959503,100.75006103515625,1.4093859195709229,1.0020818710327148,-0.40460193157196045
1000,10,39,-0.002924542874097824,0.03887007758021355,0.014965306967496872,232.08314514160156,0.0002699999895412475,1.1491659879684448,0.35402512550354004,0.04789307340979576,0,-0.023869825527071953,0.35402512550354004,1.0024770498275757,2494.507537876,2290.91552734375,9,0.35402512550354004,5.404549598693848,0.7635980844497681,86.17601013183594,4.099989414215088,0.01496303640305996,1743323597.4856184,45.0099983215332,200000.0,0.37992581725120544,129.35389709472656,1.0024770498275757,0.020167453214526176,102.72918701171875,1.678815245628357,1.0024770498275757,0.2694293260574341
