total_steps,EpRet,EpCost,CostRate
500,5.865503368442829,306.0,0.6132264529058116
1000,-6.031592074595827,327.0,0.6336336336336337
1500,0.6271832514252479,139.0,0.5150100066711141
2000,0.9952348382907276,169.0,0.47073536768384194
2500,-2.5823119032860387,357.0,0.5194077631052421
3000,-0.05785495817250587,219.0,0.5058352784261421
3500,-2.545355845331953,285.0,0.5150042869391255
4000,-0.16062205225974258,0.0,0.4506126531632908
4500,3.1226815080994417,155.0,0.43498555234496555
5000,3.4656293999247643,59.0,0.40328065613122627
5500,2.544967681971745,472.0,0.45244589925440987
6000,-0.44230904568505014,0.0,0.41473578929821636
6500,-0.8393392235043426,0.0,0.382828127404216
7000,0.8811172494523206,55.0,0.3633376196599514
7500,0.1506627849314964,0.0,0.33911188158421124
8000,0.02385447892065282,0.0,0.3179147393424178
8500,-0.8208231541946146,0.0,0.29921167196140724
9000,0.3163413008149604,0.0,0.28258695410601176
9500,1.8307570183936646,0.0,0.26771239077797665
10000,0.968103292925903,0.0,0.25432543254325435
10500,-0.6242741772289793,0.0,0.24221354414706162
11000,-1.2379036489037347,0.0,0.23120283662151106
11500,3.0117403081068916,0.0,0.22114966518827725
12000,2.5908719854487026,0.0,0.21193432786065505
12500,0.31825595233457504,0.0,0.20345627650212017
13000,0.3674353476851282,0.0,0.19563043311023925
13500,0.06590094296091746,0.0,0.18838432476479738
14000,0.9801375278953344,39.0,0.1844417458389885
14500,0.8968626966390251,0.0,0.1780812469825505
15000,1.121578334480363,0.0,0.17214480965397694
15500,1.424496336183468,0.0,0.16659139299309633
16000,1.5663128355904212,0.0,0.1613850865679105
16500,2.9057408402978044,0.0,0.15649433298987817
17000,2.259348546279986,0.0,0.15189128772280722
17500,1.6184629027852078,0.0,0.14755128864506542
18000,2.8451082330804125,0.0,0.14345241402300127
18500,2.625281398504137,73.0,0.14352127142007676
19000,-0.015551935436567101,0.0,0.1397441970630033
19500,1.0019494407210898,0.0,0.13616082876044924
20000,-0.5045569984708652,0.0,0.1327566378318916
20500,5.426557778723283,0.0,0.12951851309819992
21000,0.7615520439960535,0.0,0.12643459212343444
21500,1.049210833792294,0.0,0.1234941160053956
22000,1.6898667161975254,0.0,0.12068730396836219
22500,-0.7168943393954049,0.0,0.11800524467754123
23000,7.004190140746586,64.0,0.11822253141440932
23500,2.460002107172917,0.0,0.11570705136388783
24000,2.30665637754241,0.0,0.1132963873494729
24500,0.8840733240705285,0.0,0.11098412180088983
25000,1.4766196622046424,0.0,0.10876435057402296
25500,3.172791248470349,0.0,0.10663163261304365
26000,1.9680739902637823,0.0,0.10458094542097773
26500,5.846650501151352,0.0,0.102607645571531
27000,3.010189286305052,0.0,0.10070743360865217
27500,2.548207118130964,0.0,0.09887632277537366
28000,9.014464454234163,0.0,0.09711061109325334
28500,2.7808684267969745,0.0,0.09540685638092565
29000,3.5371892372703653,0.0,0.09376185385702955
29500,3.691120819779471,0.0,0.09217261602088206
30000,1.4959780628054653,0.0,0.09063635454515151
30500,1.338841692851872,0.0,0.08915046394963769
31000,2.2139891993555323,0.0,0.08771250685505984
31500,2.283273424279612,0.0,0.0863202006412902
32000,1.4006599917041405,0.0,0.08497140535641738
32500,0.2988245004145794,0.0,0.08366411274193052
33000,1.3246306544129225,0.0,0.0823964362556441
33500,0.2507876511962852,0.0,0.08116660198811905
34000,3.6202573025035996,0.0,0.07997294038059943
34500,3.2493457616295207,0.0,0.07881387866314965
35000,4.893990113280411,263.0,0.0852024343552673
35500,2.6744746041368757,0.0,0.08400236626383842
36000,3.3264350438731065,0.0,0.08283563432317564
36500,1.169644067584161,0.0,0.08170086851694568
37000,0.4705995814971921,0.0,0.08059677288575368
37500,2.859294611815018,0.0,0.0795221205898824
38000,2.9760188319371474,0.0,0.07847574936182532
38500,1.7522393397262899,0.0,0.07745655731317697
39000,0.5950749513060394,0.0,0.07646349906407857
39500,-0.2350275962032398,0.0,0.07549558216663713
40000,2.0278922067046343,0.0,0.07455186379659491
40500,1.745441995599259,0.0,0.07363144769006642
41000,1.654118477466163,0.0,0.07273348130442206
41500,2.37077054478701,0.0,0.07185715318441409
42000,1.9133589551988854,0.0,0.07100169051644087
42500,3.1621187222245206,0.0,0.07016635685545543
43000,1.9692853547722033,0.0,0.06935045001046536
43500,3.196464035090916,0.0,0.06855330007586381
44000,5.062587151370631,0.0,0.06777426759699084
44500,1.4491695232469333,0.0,0.06701274185936762
45000,5.182186581429826,0.0,0.06626813929198426
45500,1.4890530333878857,0.0,0.0655399019758676
46000,2.3599589797529164,0.0,0.06482749624991847
46500,1.9379678582442268,0.0,0.06413041140669692
47000,2.0575753414310496,0.0,0.06344815847145684
47500,4.196246382650327,0.0,0.06278026905829596
48000,5.8663342432410515,0.0,0.06212629429779787
48500,5.468214545005036,0.0,0.061485803831006824
49000,2.1584835471709503,0.0,0.06085838486499724
49500,5.017577494789961,0.0,0.06024364128568254
50000,3.994468160511416,0.0,0.05964119282385648
50500,8.45124383789233,0.0,0.05905067427077764
51000,4.199253357232592,0.0,0.05847173473989686
51500,3.117780916637138,0.0,0.05790403697159168
52000,7.85094669762537,0.0,0.05734725667801304
52500,1.768578137406962,0.0,0.056801081925370006
53000,3.235517778502112,0.0,0.05626521255118021
53500,5.1777878730582145,0.0,0.055739359614198396
54000,2.4944115419418647,0.0,0.05522324487490509
54500,7.187682857365241,0.0,0.054716600304592744
55000,8.621339569515184,0.0,0.054219167621229476
55500,10.698756685523355,0.0,0.05373069785041172
56000,3.40068141602205,0.0,0.053250950909837676
56500,5.724989948252022,0.0,0.05277969521584453
57000,12.302705785349081,0.0,0.052316707310654575
57500,0.5445121775054931,0.0,0.051861771509069725
58000,3.3006050111576744,0.0,0.05141467956344075
58500,9.046699075217742,0.0,0.05097523034581788
59000,3.7042873963056278,178.0,0.05356022983440397
59500,5.646544343141928,0.0,0.053110136304811845
60000,3.3663583662917502,0.0,0.05266754445907432
60500,0.808489235688742,0.0,0.052232268301955403
61000,1.8339902897052947,0.0,0.05180412793652355
61500,6.529893047299049,0.0,0.051382949316249045
62000,1.360425611236039,0.0,0.05096856400909692
62500,3.747898763094335,0.0,0.050560808972943565
63000,1.6367706403512818,0.0,0.050159526341687966
63500,2.076101880953197,0.0,0.04976456322146806
64000,1.9513554865446676,0.0,0.04937577149642963
64500,4.240717802071315,0.0,0.04899300764352936
65000,2.2880088106964185,0.0,0.048616132555885476
65500,2.241183306905047,0.0,0.04824501137421945
66000,6.636342713129791,0.0,0.04787951332595949
66500,8.824237178390376,0.0,0.04751951157160258
67000,2.7964788265639897,0.0,0.04716488305795609
67500,4.707709235007428,0.0,0.046815508377901896
68000,2.670415465727989,0.0,0.046471271636347594
68500,-0.5157423590995471,0.0,0.046132060322048495
69000,1.5587998094203022,0.0,0.045797765185002684
69500,0.9629366093892111,0.0,0.04546828011913841
70000,2.1832607177156818,0.0,0.04514350205002929
70500,3.154861915417614,0.0,0.044823330827387625
71000,8.232910206046697,0.0,0.04450766912210031
71500,5.537829921200003,0.0,0.044196422327585
72000,3.9390506336525926,0.0,0.043889498465256464
72500,5.431034919018106,0.0,0.04358680809390474
73000,2.199110162084344,0.0,0.04328826422279757
73500,3.1552386585586283,0.0,0.042993782228329634
74000,1.328755411141957,0.0,0.042703279774051
74500,4.181003334048822,0.0,0.042416676733915894
75000,3.0288359189691403,0.0,0.042133895118601584
75500,5.14159434552247,0.0,0.04185485900475503
