Train/Epoch,Loss/Loss_cost_critic,Safety/shield_violation,Safety/shield_adv_c,Train/KL,Loss/Loss_cost_critic/Delta,Safety/ShieldLagrangeMultiplier,_step,Safety/EpCostShield,Loss/Loss_pi,Loss/Loss_pi/Delta,_timestamp,Loss/Loss_reward_critic,Train/StopIter,Safety/ShieldLagrangeMultiplier/Max,Value/reward,Value/cost,Metrics/EpCost,Metrics/LagrangeMultiplier,Value/Adv,Loss/Loss_reward_critic/Delta,Time/Epoch,Time/Total,Train/PolicyRatio,Safety/ShieldLagrangeMultiplier/Std,Time/Update,TotalEnvSteps,Metrics/LagrangeMultiplier/Max,_runtime,Safety/ShieldLagrangeMultiplier/Min,Train/Entropy,Train/PolicyRatio/Max,Train/LR,Metrics/EpLen,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier/Min,Time/FPS,Train/PolicyStd,Metrics/LagrangeMultiplier/Std,Time/Rollout,Metrics/EpRet,Train/PolicyRatio/Min
0,2.5972354412078857,0.04963642731308937,NaN,0.01347427349537611,2.5972354412078857,0.044999994337558746,1,24.700000762939453,-0.453098326921463,-0.453098326921463,1746496527.6406052,0.0051586260087788105,40,0.044999994337558746,-0.2023133486509323,0.06074172258377075,5.949999809265137,0.03599999472498894,0.07679706066846848,0.0051586260087788105,170.7482452392578,170.74903869628906,1.0028167963027954,0,80.18218231201172,20000.0,0.03599999472498894,321.518155565,0.044999994337558746,1.387183666229248,1.0028167963027954,0.0002969999914057553,1000,0.012347045354545116,0.03599999472498894,117.13151550292969,0.9688388109207153,0,90.56600952148438,-0.23957152664661407,1.0028167963027954
1,5.296260356903076,0.22176003456115723,NaN,0.010957135818898678,2.6990249156951904,0.07957359403371811,2,38.650001525878906,-0.45411330461502075,-0.0010149776935577393,1746496677.5429823,0.002704032463952899,40,0.07957359403371811,-0.1687777042388916,0.1341814398765564,14.0,0.06914080679416656,0.12241173535585403,-0.0024545935448259115,149.8175506591797,320.6170959472656,1.0019770860671997,0,79.60025787353516,40000.0,0.06914080679416656,476.31984175,0.07957359403371811,1.3628016710281372,1.0019770860671997,0.00029399999766610563,1000,0.011846089735627174,0.06914080679416656,133.49569702148438,0.9456918239593506,0,70.21723937988281,-0.2841661870479584,1.0019770860671997
2,13.886454582214355,1.2267121076583862,NaN,0.012105061672627926,8.59019422531128,0.1105048879981041,3,109.75,-0.38268324732780457,0.07143005728721619,1746496832.3448272,0.0020109822507947683,40,0.1105048879981041,-0.13593506813049316,0.4598882794380188,21.266666412353516,0.10222786664962769,0.1678166687488556,-0.0006930502131581306,154.73388671875,475.4349060058594,1.0028797388076782,0,79.94561767578125,60000.0,0.10222786664962769,627.735518644,0.1105048879981041,1.3280293941497803,1.0028797388076782,0.000291000003926456,1000,0.011972436681389809,0.10222786664962769,129.25416564941406,0.9137915372848511,0,74.7882308959961,0.06306598335504532,1.0028797388076782
3,7.3870086669921875,1.8970351219177246,NaN,0.005083493422716856,-6.499445915222168,0.1409926861524582,4,39.849998474121094,-0.2739611864089966,0.10872206091880798,1746496983.7604375,0.003389312420040369,40,0.1409926861524582,-0.10275756567716599,2.347503423690796,18.037500381469727,0.1360873430967331,-0.12292920053005219,0.0013783301692456007,151.3553466796875,626.8583984375,1.0020543336868286,0,79.12226104736328,80000.0,0.1360873430967331,782.161327413,0.1409926861524582,1.341273546218872,1.0020543336868286,0.0002880000101868063,1000,0.008790410123765469,0.1360873430967331,132.13937377929688,0.9261066317558289,0,72.2330322265625,0.1412602961063385,1.0020543336868286
4,9.009333610534668,4.035897731781006,NaN,0.006965755484998226,1.6223249435424805,0.17238906025886536,5,57.79999923706055,-0.3776315748691559,-0.1036703884601593,1746497138.1850982,0.0033541491720825434,40,0.17238906025886536,-0.06743665784597397,1.9389703273773193,19.149999618530273,0.17045478522777557,0.05259811133146286,-3.516324795782566e-05,154.3729705810547,781.29150390625,1.0033215284347534,0,78.83026885986328,100000.0,0.17045478522777557,934.591893349,0.17238906025886536,1.3313237428665161,1.0033215284347534,0.0002849999873433262,1000,0.009637046605348587,0.17045478522777557,129.5563507080078,0.9167685508728027,0,75.54265594482422,0.17662900686264038,1.0033215284347534
5,7.241084098815918,3.4792559146881104,NaN,0.006362610496580601,-1.76824951171875,0.2047501802444458,6,68.4000015258789,-0.33552441000938416,0.04210716485977173,1746497290.6168888,0.004190998617559671,40,0.2047501802444458,-0.052589111030101776,1.8012527227401733,22.510000228881836,0.20525780320167542,0.10577649623155594,0.000836849445477128,152.37127685546875,933.7144165039062,1.0024855136871338,0,78.46272277832031,120000.0,0.20525780320167542,1086.333906296,0.2047501802444458,1.3165123462677002,1.0024855136871338,0.00028199999360367656,1000,0.008927092887461185,0.20525780320167542,131.25833129882812,0.9032462239265442,0,73.90851593017578,0.3162356913089752,1.0024855136871338
6,6.636530876159668,4.5294718742370605,NaN,0.006822653580456972,-0.60455322265625,0.2371726930141449,7,51.45000076293945,-0.3779391050338745,-0.042414695024490356,1746497442.358874,0.004258873872458935,40,0.2371726930141449,-0.04658488929271698,2.817962884902954,22.59000015258789,0.2404020130634308,-0.23164841532707214,6.787525489926338e-05,151.6849822998047,1085.45947265625,1.0053149461746216,0,78.3907241821289,140000.0,0.2404020130634308,1241.109285133,0.2371726930141449,1.3031255006790161,1.0053149461746216,0.0002789999998640269,1000,0.009410234168171883,0.2404020130634308,131.85220336914062,0.8914169669151306,0,73.294189453125,0.4087570309638977,1.0053149461746216
7,9.195718765258789,6.970673561096191,NaN,0.006671842187643051,2.559187889099121,0.27026787400245667,8,69.05000305175781,-0.4077475368976593,-0.02980843186378479,1746497597.1337798,0.0029557766392827034,40,0.27026787400245667,-0.02440180629491806,3.148890972137451,23.649999618530273,0.27584874629974365,-0.21374183893203735,-0.0013030972331762314,154.71849060058594,1240.2364501953125,1.004397988319397,0,79.23199462890625,160000.0,0.27584874629974365,1395.26994187,0.27026787400245667,1.2854316234588623,1.004397988319397,0.00027600000612437725,1000,0.009327678009867668,0.27584874629974365,129.2670440673828,0.8757507801055908,0,75.48643493652344,0.31908130645751953,1.004397988319397
8,5.677602291107178,6.461190700531006,NaN,0.006767239887267351,-3.5181164741516113,0.3034357726573944,9,55.650001525878906,-0.4021487534046173,0.005598783493041992,1746497751.2949321,0.004639324266463518,40,0.3034357726573944,-0.02351144328713417,2.819446563720703,24.760000228881836,0.3115783631801605,-0.1634286642074585,0.0016835476271808147,154.1005096435547,1394.392578125,1.0047205686569214,0,79.12266540527344,180000.0,0.3115783631801605,1547.719838285,0.3034357726573944,1.272841215133667,1.0047205686569214,0.0002730000123847276,1000,0.009459614753723145,0.3115783631801605,129.78541564941406,0.864636242389679,0,74.9778060913086,0.2837500274181366,1.0047205686569214
9,6.703977584838867,6.87653923034668,NaN,0.009131597355008125,1.0263752937316895,0.33653524518013,10,52.25,-0.4333488345146179,-0.03120008111000061,1746497903.744477,0.005117082502692938,40,0.33653524518013,0.0004137700889259577,3.4224648475646973,25.239999771118164,0.34755367040634155,-0.14497064054012299,0.0004777582362294197,152.38882446289062,1546.840576171875,1.004926085472107,0,79.0525131225586,200000.0,0.34755367040634155,1697.600776266,0.33653524518013,1.254335880279541,1.004926085472107,0.0002699999895412475,1000,0.009786576963961124,0.34755367040634155,131.24322509765625,0.8489037752151489,0,73.33627319335938,0.3615522086620331,1.004926085472107
