_runtime,Train/PolicyRatio/Max,Loss/Loss_reward_critic/Delta,Metrics/LagrangeMultiplier/Max,Value/reward,Metrics/EpCost,_step,Train/KL,Train/LR,Metrics/EpLen,Train/Entropy,Train/PolicyRatio,Loss/Loss_pi,Loss/Loss_cost_critic/Delta,Loss/Loss_cost_critic,Metrics/LagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Max,Train/Epoch,TotalEnvSteps,Value/cost,Safety/ShieldLagrangeMultiplier/Min,Value/Adv,Safety/shield_violation,Metrics/LagrangeMultiplier,Train/PolicyStd,Metrics/EpRet,Time/FPS,Loss/Loss_reward_critic,Safety/shield_adv_c,Metrics/LagrangeMultiplier/Min,Time/Rollout,Train/PolicyRatio/Min,_timestamp,Time/Epoch,Time/Update,Safety/ShieldLagrangeMultiplier,Time/Total,Loss/Loss_pi/Delta,Train/PolicyRatio/Std,Safety/ShieldLagrangeMultiplier/Std,Train/StopIter,Safety/EpCostShield
316.544038993,1.0017001628875732,0.004234300460666418,0.035999998450279236,-0.18737028539180756,9.550000190734863,1,0.00945349596440792,0.0002969999914057553,1000,1.3969953060150146,1.0017001628875732,-0.3098742663860321,3.662231922149658,3.662231922149658,0,0.044999994337558746,0,20000.0,0.062294285744428635,0.044999994337558746,-0.08506500720977783,0.04704347997903824,0.035999998450279236,0.9783329367637634,-0.15739500522613525,117.71845245361328,0.004234300460666418,NaN,0.035999998450279236,86.67281341552734,1.0017001628875732,1746542221.7302995,169.8968963623047,83.22402954101562,0.044999994337558746,169.8993377685547,-0.3098742663860321,0.01171881053596735,0,40,22.100000381469727
461.852687878,0.999514639377594,-0.002210494363680482,0.07031150162220001,-0.16143068671226501,16.375,2,0.01495309453457594,0.00029399999766610563,1000,1.361022710800171,0.9995145797729492,-0.27835288643836975,4.358398914337158,8.020630836486816,0,0.07834915816783905,1,40000.0,0.6915510892868042,0.07834915816783905,0.24654340744018555,1.3006560802459717,0.07031150162220001,0.9439603686332703,-0.022300833836197853,137.92677307128906,0.002023806096985936,NaN,0.07031150162220001,61.59685134887695,0.999514639377594,1746542366.8284037,145.00448608398438,83.40757751464844,0.07834915816783905,315.4173278808594,0.031521379947662354,0.013910732232034206,0,40,49.400001525878906
607.458823491,1.002314567565918,-0.00033014046493917704,0.10439836978912354,-0.13227786123752594,23.25,3,0.008613190613687038,0.000291000003926456,1000,1.3445533514022827,1.002314567565918,-0.22435852885246277,10.138449668884277,18.159080505371094,0,0.11150531470775604,2,60000.0,1.5818754434585571,0.11150531470775604,-0.09391452372074127,2.4270811080932617,0.10439836978912354,0.9284448623657227,0.17218685150146484,137.82948303222656,0.0016936656320467591,NaN,0.10439836978912354,63.0465087890625,1.002314567565918,1746542512.1370027,145.10682678222656,82.06027221679688,0.11150531470775604,460.6189270019531,0.05399435758590698,0.010468357242643833,0,40,76.1500015258789
753.568173637,1.0011564493179321,0.0009567152010276914,0.13889040052890778,-0.10432199388742447,24.475000381469727,4,0.005934302229434252,0.0002880000101868063,1000,1.3326680660247803,1.0011564493179321,-0.19935894012451172,-1.9343070983886719,16.224773406982422,0,0.14541774988174438,3,80000.0,1.5426979064941406,0.14541774988174438,0.024054251611232758,1.5811773538589478,0.13889040052890778,0.91741943359375,0.30067548155784607,137.49366760253906,0.0026503808330744505,NaN,0.13889040052890778,61.46074295043945,1.0011564493179321,1746542657.743136,145.46124267578125,84.00045776367188,0.14541774988174438,606.2805786132812,0.02499958872795105,0.009434345178306103,0,40,74.9000015258789
902.136694641,1.001950740814209,-0.00035143736749887466,0.17364171147346497,-0.07435116171836853,21.3799991607666,5,0.0073607489466667175,0.0002849999873433262,1000,1.3210455179214478,1.001950740814209,-0.24735325574874878,-10.91220998764038,5.312563419342041,0,0.1785769909620285,4,100000.0,1.5437418222427368,0.1785769909620285,-0.024370595812797546,2.9657862186431885,0.17364171147346497,0.9067899584770203,0.36615416407585144,136.98313903808594,0.002298943465575576,NaN,0.17364171147346497,63.11870574951172,1.001950740814209,1746542803.8525188,146.0033721923828,82.88462829589844,0.1785769909620285,752.4309692382812,-0.04799431562423706,0.009886063635349274,0,40,38.849998474121094
1048.28498288,1.0032730102539062,-0.0001393721904605627,0.2086913287639618,-0.04969526454806328,24.270000457763672,6,0.00901887472718954,0.00028199999360367656,1000,1.2940833568572998,1.0032730102539062,-0.2774423658847809,-0.5199761390686035,4.7925872802734375,0,0.21150895953178406,5,120000.0,1.255389928817749,0.21150895953178406,0.08053542673587799,3.8470308780670166,0.2086913287639618,0.8827011585235596,0.5087611675262451,135.0009765625,0.002159571275115013,NaN,0.2086913287639618,61.88371276855469,1.0032730102539062,1746542952.4209516,148.14706420898438,86.26332092285156,0.21150895953178406,900.6820068359375,-0.030089110136032104,0.010687855072319508,0,40,42.599998474121094
1195.222500492,1.0018259286880493,0.00032434682361781597,0.24397343397140503,-0.028225159272551537,24.610000610351562,7,0.006972925271838903,0.0002789999998640269,1000,1.2791523933410645,1.0018259286880493,-0.19790194928646088,1.2511639595031738,6.043751239776611,0,0.24523194134235382,6,140000.0,1.4710420370101929,0.24523194134235382,-0.06218633055686951,3.5778164863586426,0.24397343397140503,0.8697294592857361,0.5591687560081482,136.95046997070312,0.002483918098732829,NaN,0.24397343397140503,60.633338928222656,1.0018259286880493,1746543098.5690637,146.03819274902344,85.40478515625,0.24523194134235382,1047.1417236328125,0.07954041659832001,0.009872371330857277,0,40,71.30000305175781
1339.950505113,1.0010936260223389,0.0013699515257030725,0.27948904037475586,-0.009611175395548344,25.959999084472656,8,0.006917542777955532,0.00027600000612437725,1000,1.267066478729248,1.0010936260223389,-0.20726683735847473,3.586792469024658,9.63054370880127,0,0.2796449065208435,7,160000.0,1.9758542776107788,0.2796449065208435,0.08845459669828415,5.22529411315918,0.27948904037475586,0.859363317489624,0.5397889614105225,136.18374633789062,0.0038538696244359016,NaN,0.27948904037475586,62.559574127197266,1.0010936260223389,1746543245.5067031,146.8603973388672,84.30078887939453,0.2796449065208435,1194.1134033203125,-0.009364888072013855,0.009526445530354977,0,40,83.30000305175781
1488.317419943,1.0044922828674316,-0.0007175498176366091,0.31509774923324585,0.00497335335239768,24.389999389648438,9,0.0073689864948391914,0.0002730000123847276,1000,1.2588446140289307,1.0044922828674316,-0.2979666292667389,-3.6012187004089355,6.029325008392334,0,0.3134241998195648,8,180000.0,2.307642936706543,0.3134241998195648,0.020590387284755707,6.03756046295166,0.31509774923324585,0.8522207736968994,0.49104148149490356,138.2671356201172,0.0031363198067992926,NaN,0.31509774923324585,60.94073486328125,1.0044922828674316,1746543390.234697,144.6475372314453,83.70674896240234,0.3134241998195648,1338.839599609375,-0.09069979190826416,0.010037769563496113,0,40,42.849998474121094
1633.019485452,1.0004551410675049,0.0009663708042353392,0.3508997857570648,0.005799298640340567,26.5,10,0.007419832982122898,0.0002699999895412475,1000,1.2597072124481201,1.0004551410675049,-0.15617172420024872,1.410250186920166,7.4395751953125,0,0.3480120003223419,9,200000.0,2.6667075157165527,0.3480120003223419,0.13131919503211975,6.52280330657959,0.3508997857570648,0.8529027104377747,0.4917650520801544,134.8759765625,0.004102690611034632,NaN,0.3508997857570648,64.41357421875,1.0004551410675049,1746543538.6015444,148.28436279296875,83.87071990966797,0.3480120003223419,1487.201416015625,0.14179490506649017,0.01013852097094059,0,40,100.30000305175781
