Misc/Alpha,Misc/H_inv_g,Time/Rollout,_step,Metrics/LagrangeMultiplier/Max,Loss/Loss_cost_critic/Delta,Train/StopIter,Safety/shield_adv_c,Misc/AcceptanceStep,Time/FPS,Train/PolicyRatio/Min,Train/Epoch,_runtime,Safety/EpCostShield,Loss/Loss_pi,Misc/xHx,Train/PolicyStd,Safety/ShieldLagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Max,Value/reward,Train/LR,Loss/Loss_pi/Delta,Misc/FinalStepNorm,Value/cost,Metrics/EpLen,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Max,Safety/ShieldLagrangeMultiplier/Min,TotalEnvSteps,Value/Adv,Time/Epoch,Time/Total,Metrics/EpCost,Safety/shield_violation,Metrics/LagrangeMultiplier/Std,Train/Entropy,Misc/gradient_norm,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic,Safety/ShieldLagrangeMultiplier,Train/PolicyRatio,Loss/Loss_cost_critic,Train/PolicyRatio/Std,Train/KL,_timestamp,Metrics/EpRet,Loss/Loss_reward_critic/Delta,Time/Update
2.899475336074829,0.07458273321390152,95.40666961669922,1,0.03599999472498894,1.889809489250183,10,0.5662230849266052,1,169.6766357421875,1.002306342124939,0,234.727852877,14.100000381469727,-0.3904687166213989,0.0023789717815816402,1.0182255506515503,0,0.044999994337558746,0.018122635781764984,0,-0.3904687166213989,0.21625079214572906,-0.19094574451446533,1000,0.03599999472498894,1.002306342124939,0.044999994337558746,20000,7.629394005448376e-09,117.87126922607422,117.87226104736328,1.850000023841858,0.03410019353032112,0,1.4368438720703125,0.05282900482416153,0.03599999472498894,0.008200389333069324,0.044999994337558746,1.002306342124939,1.889809489250183,0.0016307459445670247,0.00040438841097056866,1746908077.3250873,-2.9532246589660645,0.008200389333069324,22.46456527709961
2.9421801567077637,0.07473128288984299,93.03369140625,2,0.07104246318340302,-0.815513014793396,10,0.08486410975456238,1,172.5137939453125,1.0027822256088257,1,358.674745453,9.300000190734863,-0.44271382689476013,0.002310412935912609,1.0547516345977783,0,0.07891926914453506,-0.04388677328824997,0,-0.052245110273361206,0.2198728770017624,-0.12074997276067734,1000,0.07104246318340302,1.0027822256088257,0.07891926914453506,40000,-2.2125243859250077e-08,115.93275451660156,233.88543701171875,2.125,0.08538632839918137,0,1.4720357656478882,0.05580891668796539,0.07104246318340302,0.009827356785535812,0.07891926914453506,1.0027822256088257,1.074296474456787,0.001967358635738492,0.0004044809902552515,1746908193.3323255,-2.3918979167938232,0.0016269674524664879,22.89902114868164
3.1451947689056396,0.08007008582353592,101.1826171875,3,0.10260030627250671,2.2802553176879883,10,-0.13917866349220276,1,161.45741271972656,1.0015859603881836,2,477.699416048,28.899999618530273,-0.42694494128227234,0.002021774649620056,1.084900140762329,0,0.11144872009754181,-0.05356353893876076,0,0.015768885612487793,0.25183600187301636,0.055230170488357544,1000,0.10260030627250671,1.0015859603881836,0.11144872009754181,60000,-4.577636492086867e-09,123.87167358398438,357.8315124511719,6.199999809265137,0.5846542716026306,0,1.5002752542495728,0.05141661688685417,0.10260030627250671,0.010537642054259777,0.11144872009754181,1.0015859603881836,3.3545517921447754,0.001121499459259212,0.00037810890353284776,1746908317.2791784,-2.175363779067993,0.0007102852687239647,22.68903350830078
3.3063395023345947,0.09525289386510849,96.19921875,4,0.1354186236858368,-0.4685094356536865,10,0.554355800151825,1,168.1537322998047,1.0010064840316772,3,603.180670446,34.400001525878906,-0.4419536292552948,0.0018295012414455414,1.0966414213180542,0,0.14460690319538116,-0.0127093605697155,0,-0.015008687973022461,0.31493839621543884,0.2727375328540802,1000,0.1354186236858368,1.0010064840316772,0.14460690319538116,80000,-6.103515470812226e-09,118.93878173828125,476.8561096191406,4.650000095367432,1.0449730157852173,0,1.51105535030365,0.038912735879421234,0.1354186236858368,0.004186902195215225,0.14460690319538116,1.0010064840316772,2.886042356491089,0.0007117197965271771,0.00030028840410523117,1746908436.303984,-1.7014482021331787,-0.006350739859044552,22.739526748657227
2.4751107692718506,0.10894609987735748,102.49527740478516,5,0.16891486942768097,0.1473681926727295,10,0.2095586210489273,1,159.48236083984375,1.0016807317733765,4,726.011324131,22.25,-0.37939751148223877,0.0032646707259118557,1.1141937971115112,0,0.17806531488895416,-0.02245132438838482,0,0.06255611777305603,0.26965367794036865,0.2531888782978058,1000,0.16891486942768097,1.0016807317733765,0.17806531488895416,100000,3.814697002724188e-09,125.40572357177734,602.3368530273438,7.019999980926514,1.5553765296936035,0,1.526974081993103,0.06679373979568481,0.16891486942768097,0.005819838028401136,0.17806531488895416,1.0016807317733765,3.0334105491638184,0.0011884849518537521,0.0003538880846463144,1746908561.7851262,-1.4441317319869995,0.0016329358331859112,22.910415649414062
2.8135018348693848,0.11578144878149033,99.79670715332031,6,0.2008657306432724,9.523905277252197,10,0.6305307745933533,1,162.915283203125,1.0016720294952393,5,847.752357407,67.75,-0.3663144111633301,0.002526584779843688,1.1262067556381226,0,0.2102096974849701,-0.006768235936760902,0,0.013083100318908691,0.32575130462646484,0.7245839834213257,1000,0.2008657306432724,1.0016720294952393,0.2102096974849701,120000,-3.051757735406113e-09,122.76319122314453,725.1765747070312,14.399999618530273,1.6210007667541504,0,1.5377674102783203,0.04345174506306648,0.2008657306432724,0.00454689608886838,0.2102096974849701,1.0016719102859497,12.557315826416016,0.0011822471860796213,0.0002725861268118024,1746908684.615842,-0.8280885815620422,-0.0012729419395327568,22.96645736694336
2.6836698055267334,0.10636092722415924,99.12464141845703,7,0.23337718844413757,-5.848799228668213,10,-0.1902293711900711,1,164.36798095703125,1.0026105642318726,6,967.552581684,35.04999923706055,-0.42465701699256897,0.002776964334771037,1.1325397491455078,0,0.24289736151695251,-0.011485006660223007,0,-0.05834260582923889,0.28543761372566223,1.3761475086212158,1000,0.23337718844413757,1.0026105642318726,0.24289736151695251,140000,-7.629394338515283e-10,121.6781997680664,846.9215087890625,16.690000534057617,2.442220687866211,0,1.5433564186096191,0.05434369295835495,0.23337718844413757,0.00360488030128181,0.24289736151695251,1.0026105642318726,6.708516597747803,0.001845863414928317,0.0003629258135333657,1746908806.356872,-0.47784414887428284,-0.0009420157875865698,22.553524017333984
2.6085100173950195,0.11497578769922256,97.1504135131836,8,0.2668778598308563,-3.2792558670043945,10,-0.24164317548274994,1,167.04701232910156,1.0007410049438477,7,1087.052179641,20.450000762939453,-0.3796677589416504,0.0029392968863248825,1.160277009010315,0,0.2747746407985687,-0.006765023805201054,0,0.04498925805091858,0.29991549253463745,1.2290905714035034,1000,0.2668778598308563,1.0007410049438477,0.2747746407985687,160000,3.051757735406113e-09,119.7267837524414,966.7112426757812,14.390000343322754,1.8222408294677734,0,1.5671905279159546,0.04330320656299591,0.2668778598308563,0.00323590193875134,0.2747746407985687,1.0007410049438477,3.429260730743408,0.000523969647474587,0.00032863530213944614,1746908926.1571229,-0.10333450138568878,-0.0003689783625304699,22.57634162902832
2.4889743328094482,0.12376891821622849,96.55525970458984,9,0.30118411779403687,0.9785976409912109,10,-0.24374255537986755,1,167.47264099121094,1.0029786825180054,8,1212.50072268,31.25,-0.383218914270401,0.0032284033950418234,1.1950894594192505,0,0.3070041239261627,-0.007124071475118399,0,-0.0035511553287506104,0.30805766582489014,1.1356139183044434,1000,0.30118411779403687,1.0029786825180054,0.3070041239261627,180000,-3.051757735406113e-09,119.42249298095703,1086.2054443359375,16.799999237060547,2.849236011505127,0,1.5966968536376953,0.051788825541734695,0.30118411779403687,0.0016648401506245136,0.3070041239261627,1.0029786825180054,4.407858371734619,0.002106274710968137,0.00034561389475129545,1746909045.6567712,0.02439872734248638,-0.0015710617881268263,22.867198944091797
2.2557640075683594,0.13713105022907257,102.80885314941406,10,0.33612868189811707,1.6446833610534668,10,0.9449902772903442,1,159.56173706054688,0.9998105764389038,9,1336.200472249,71.25,-0.3149888217449188,0.003930443432182074,1.2184182405471802,0,0.3402666747570038,0.01321960799396038,0,0.06823009252548218,0.30933529138565063,1.174251914024353,1000,0.33612868189811707,0.9998105764389038,0.3402666747570038,200000,4.577636492086867e-09,125.34333038330078,1211.627685546875,15.949999809265137,3.336893081665039,0,1.6158822774887085,0.04421933740377426,0.33612868189811707,0.004689584020525217,0.3402666747570038,0.999810516834259,6.052541732788086,0.00013397078146226704,0.00031431287061423063,1746909171.1052098,0.23769088089466095,0.0030247438699007034,22.534446716308594
