Loss/Loss_reward_critic,Loss/Loss_cost_critic/Delta,Train/StopIter,Metrics/LagrangeMultiplier/Min,Safety/ShieldLagrangeMultiplier/Min,_timestamp,Train/PolicyRatio/Max,Train/LR,Train/PolicyRatio,Time/Update,Metrics/EpCost,Metrics/LagrangeMultiplier,Safety/EpCostShield,Value/Adv,Metrics/LagrangeMultiplier/Max,Train/Epoch,Loss/Loss_cost_critic,Time/Epoch,Safety/ShieldLagrangeMultiplier/Std,_runtime,Safety/ShieldLagrangeMultiplier/Max,Train/PolicyRatio/Std,Train/KL,_step,Loss/Loss_pi/Delta,Time/Total,Time/Rollout,Loss/Loss_pi,Train/Entropy,Loss/Loss_reward_critic/Delta,Metrics/EpRet,Metrics/LagrangeMultiplier/Std,Safety/shield_adv_c,Safety/shield_violation,Train/PolicyStd,TotalEnvSteps,Train/PolicyRatio/Min,Value/reward,Safety/ShieldLagrangeMultiplier,Time/FPS,Metrics/EpLen,Value/cost
0.008712481707334518,8.206192970275879,40,0.035999998450279236,0.04500000178813934,1746563742.8443525,0.9993612170219421,0.0002969999914057553,0.9993612170219421,128.8066864013672,23.5,0.035999998450279236,43.25,0.12196317315101624,0.035999998450279236,0,8.206192970275879,259.8677978515625,0,480.813690379,0.04500000178813934,0.009555558674037457,0.006974836345762014,1,-0.025325294584035873,259.8687438964844,131.06103515625,-0.025325294584035873,1.4139859676361084,0.008712481707334518,-1.5039929151535034,0,NaN,0.10323403030633926,0.9950635433197021,20000.0,0.9993612170219421,0.2869330942630768,0.04500000178813934,76.96221160888672,1000,-0.06254997104406357
0.005604942794889212,5.6775054931640625,40,0.07044965028762817,0.07907751947641373,1746563962.8515186,0.9970602989196777,0.00029399999766610563,0.9970602989196777,131.47634887695312,38.474998474121094,0.07044965028762817,79.6500015258789,-0.3414924144744873,0.07044965028762817,1,13.883698463439941,219.92343139648438,0,703.908938012,0.07907751947641373,0.012850291095674038,0.010039080865681171,2,0.04140904173254967,479.8675231933594,88.44703674316406,0.016083747148513794,1.4106431007385254,-0.0031075389124453068,-1.4990894794464111,0,NaN,0.8484919667243958,0.9917458891868591,40000.0,0.9970602989196777,0.22693085670471191,0.07907751947641373,90.94074249267578,1000,0.6773136854171753
0.006967651657760143,6.41928768157959,40,0.10494081676006317,0.11341863870620728,1746564185.9471352,1.0003654956817627,0.000291000003926456,1.0003653764724731,131.54672241210938,48.81666564941406,0.10494081676006317,95.94999694824219,0.24969464540481567,0.10494081676006317,2,20.30298614501953,223.02142333984375,0,929.497383197,0.11341863870620728,0.013173116371035576,0.01273322757333517,3,0.01272205077111721,702.9728393554688,91.47463989257812,0.028805797919631004,1.3896878957748413,0.0013627088628709316,-0.8443582653999329,0,NaN,3.329134464263916,0.9712090492248535,60000.0,1.0003654956817627,0.17231467366218567,0.11341863870620728,89.67748260498047,1000,2.4837088584899902
0.007314541842788458,-2.570880889892578,40,0.13972631096839905,0.14808623492717743,1746564411.5351152,0.9987907409667969,0.0002880000101868063,0.9987907409667969,131.1380615234375,51.912498474121094,0.13972631096839905,106.05000305175781,0.15522269904613495,0.13972631096839905,3,17.732105255126953,225.3007354736328,0,1155.468205367,0.14808623492717743,0.012079271487891674,0.015806620940566063,4,-0.008278395980596542,928.341796875,94.16262817382812,0.020527401939034462,1.379351258277893,0.0003468901850283146,-0.37053510546684265,0,NaN,5.956287384033203,0.961225152015686,80000.0,0.9987907409667969,0.16103136539459229,0.14808623492717743,88.77023315429688,1000,3.6269688606262207
0.014187526889145374,6.36767578125,40,0.17471186816692352,0.18162795901298523,1746564637.5061195,0.9971982836723328,0.0002849999873433262,0.9971982836723328,130.51678466796875,62.66999816894531,0.17471186816692352,198.3000030517578,-0.24167773127555847,0.17471186816692352,4,24.099781036376953,225.8838653564453,0,1377.061871388,0.18162795901298523,0.012422013096511364,0.012518668547272682,5,0.18764386139810085,1154.529296875,95.36701202392578,0.20817126333713531,1.3718613386154175,0.006872985046356916,0.42304369807243347,0,NaN,6.832528114318848,0.9540725350379944,100000.0,0.9971982836723328,0.16808848083019257,0.18162795901298523,88.54107666015625,1000,4.306989669799805
0.014261962845921516,-14.038762092590332,40,0.2099633514881134,0.2140021026134491,1746564859.1000643,1.0023812055587769,0.00028199999360367656,1.0023812055587769,129.8203125,60.810001373291016,0.2099633514881134,62.5,0.09753307700157166,0.2099633514881134,5,10.061018943786621,221.50308227539062,0,1603.2787038,0.2140021026134491,0.012494499795138836,0.013388015329837799,6,-0.3161853328347206,1376.1082763671875,91.68269348144531,-0.1080140694975853,1.3505433797836304,7.443595677614212e-05,1.4104080200195312,0,NaN,7.50751256942749,0.9339286088943481,120000.0,1.0023812055587769,0.1762882024049759,0.2140021026134491,90.29219818115234,1000,4.395988941192627
0.02144002728164196,8.08735179901123,40,0.24543502926826477,0.24682778120040894,1746565085.3168466,1.0014322996139526,0.0002789999998640269,1.0014322996139526,130.24017333984375,61.40999984741211,0.24543502926826477,106.75,-0.11568687856197357,0.24543502926826477,6,18.14837074279785,226.13294982910156,0,1826.926527437,0.24682778120040894,0.012927224859595299,0.014270785264670849,7,0.03440522402524948,1602.32666015625,95.89271545410156,-0.07360884547233582,1.3351681232452393,0.007178064435720444,2.7910430431365967,0,NaN,9.63306999206543,0.9196498990058899,140000.0,1.0014322996139526,0.27175700664520264,0.24682778120040894,88.44354248046875,1000,4.859334468841553
0.0187330674380064,-5.798957824707031,40,0.2808920443058014,0.2790912389755249,1746565308.9644408,1.0018482208251953,0.00027600000612437725,1.0018482208251953,130.84815979003906,53.61000061035156,0.2808920443058014,71.44999694824219,-0.11084362864494324,0.2808920443058014,7,12.34941291809082,223.5690460205078,0,2038.482196977,0.2790912389755249,0.013129344210028648,0.016156600788235664,8,-0.028952106833457947,1825.9801025390625,92.7208251953125,-0.10256095230579376,1.3130210638046265,-0.002706959843635559,4.045825958251953,0,NaN,7.667270183563232,0.899517297744751,160000.0,1.0018482208251953,0.32377490401268005,0.2790912389755249,89.45782470703125,1000,4.158839702606201
0.022286100313067436,0.5430545806884766,36,0.316242516040802,0.311149537563324,1746565520.5204308,1.0026509761810303,0.0002730000123847276,1.0026509761810303,117.55294036865234,50.79999923706055,0.316242516040802,78.30000305175781,0.015037432312965393,0.316242516040802,8,12.892467498779297,211.47561645507812,0,2260.515082004,0.311149537563324,0.013092041946947575,0.020331989973783493,9,0.030761264264583588,2037.5401611328125,93.92259979248047,-0.07179968804121017,1.2839423418045044,0.003553032875061035,5.364643096923828,0,NaN,7.269398212432861,0.8737293481826782,180000.0,1.0026509761810303,0.38569849729537964,0.311149537563324,94.57354736328125,1000,3.695995807647705
0.020835574716329575,2.8784923553466797,40,0.3510763347148895,0.3433411419391632,1746565742.5532858,1.002987027168274,0.0002699999895412475,1.002987027168274,130.81976318359375,40.810001373291016,0.3510763347148895,88.55000305175781,-0.19824206829071045,0.3510763347148895,9,15.770959854125977,221.95587158203125,0,2485.613608014,0.3433411419391632,0.013739677146077156,0.01998959667980671,10,-0.010825157165527344,2259.570068359375,91.13606262207031,-0.08262484520673752,1.2598446607589722,-0.0014505255967378616,6.2044358253479,0,NaN,8.442174911499023,0.8529282808303833,200000.0,1.002987027168274,0.48308637738227844,0.3433411419391632,90.10800170898438,1000,4.252403259277344
