_timestamp,Loss/Loss_pi,_step,_runtime,Metrics/EpLen,Train/Entropy,Time/Total,Train/LR,Train/Epoch,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic/Delta,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Safety/ShieldLagrangeMultiplier,Safety/shield_violation,Safety/ShieldLagrangeMultiplier/Std,Metrics/EpRet,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Std,Time/FPS,Value/cost,Safety/ShieldLagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,Train/PolicyStd,Train/PolicyRatio,Metrics/LagrangeMultiplier/Std,Train/StopIter,Safety/EpCostShield,Time/Rollout,Time/Epoch,Loss/Loss_pi/Delta,Metrics/EpCost,Train/PolicyRatio/Max,Loss/Loss_reward_critic,Time/Update,TotalEnvSteps,Value/Adv,Train/KL,Metrics/LagrangeMultiplier/Max,Value/reward,Safety/shield_adv_c,Train/PolicyRatio/Min
1746542114.611944,-0.31100741028785706,1,445.792531895,1000,1.3923441171646118,296.17962646484375,0.0002969999914057553,0,0.03599999472498894,0.0036006984300911427,1.9048728942871094,1.9048728942871094,0.044999994337558746,-0.13959088921546936,0,-0.2162904441356659,0.03599999472498894,0.010558051988482475,67.52691650390625,-0.07478649914264679,0.044999994337558746,0.044999994337558746,0.9737992882728577,1.002596139907837,0,40,17.899999618530273,141.5864715576172,296.1781921386719,-0.31100741028785706,9.0,1.002596139907837,0.0036006984300911427,154.5916290283203,20000.0,-0.22102203965187073,0.009928127750754356,0.03599999472498894,-0.02367393672466278,NaN,1.002596139907837
1746542262.6586924,-0.2963100075721741,2,705.871796263,1000,1.358005404472351,444.28778076171875,0.00029399999766610563,1,0.07082021236419678,-0.00205698620993644,3.9670193195343018,2.0621464252471924,0.0800139456987381,0.5240400433540344,0,0.1095864400267601,0.07082021236419678,0.014191785827279091,135.2147979736328,-0.013471292331814766,0.0800139456987381,0.0800139456987381,0.9412801265716553,1.0012487173080444,0,13,18.200000762939453,97.24563598632812,147.91281127929688,0.014697402715682983,7.949999809265137,1.0012487173080444,0.0015437122201547027,50.6671028137207,40000.0,0.1924014538526535,0.021646440029144287,0.07082021236419678,-0.0221517663449049,NaN,1.0012487173080444
1746542522.7379925,-0.216109961271286,3,962.936759025,1000,1.323807954788208,704.2973022460938,0.000291000003926456,2,0.10470010340213776,-0.0002955310046672821,8.886679649353027,4.919660329818726,0.10788529366254807,2.231860637664795,0,0.24053439497947693,0.10470010340213776,0.011458012275397778,76.95945739746094,0.5304104685783386,0.10788529366254807,0.10788529366254807,0.9098504781723022,1.0018280744552612,0,40,110.55000305175781,106.73889923095703,259.8771057128906,0.08020004630088806,16.633333206176758,1.0018280744552612,0.0012481812154874206,153.1381378173828,60000.0,0.2860701382160187,0.009829828515648842,0.10470010340213776,-0.011133351363241673,NaN,1.0018280744552612
1746542779.8032527,-0.2341625839471817,4,1215.380580734,1000,1.3044503927230835,961.4244384765625,0.0002880000101868063,3,0.1391056329011917,0.0007520621875301003,7.035228252410889,-1.8514513969421387,0.13423776626586914,3.426482915878296,0,0.2785724699497223,0.1391056329011917,0.010246692225337029,77.84342956542969,2.182323932647705,0.13423776626586914,0.13423776626586914,0.8928028345108032,1.003078818321228,0,40,22.5,104.9962387084961,256.9259948730469,-0.01805262267589569,14.675000190734863,1.003078818321228,0.002000243403017521,151.92965698242188,80000.0,-0.1818103790283203,0.008521530777215958,0.1391056329011917,-0.001364762894809246,NaN,1.003078818321228
1746543032.2466605,-0.23693369328975677,5,1477.6633389,1000,1.2926445007324219,1213.8343505859375,0.0002849999873433262,4,0.1738761067390442,0.00015467661432921886,9.033713340759277,1.9984850883483887,0.16179469227790833,3.217635154724121,0,0.3187696933746338,0.1738761067390442,0.009813675656914711,79.27804565429688,2.0873608589172363,0.16179469227790833,0.16179469227790833,0.8825104236602783,1.0035016536712646,0,40,43.29999923706055,99.75321960449219,252.2766571044922,-0.0027711093425750732,15.430000305175781,1.0035016536712646,0.0021549200173467398,152.52334594726562,100000.0,0.12311949580907822,0.00708226440474391,0.1738761067390442,0.005574668291956186,NaN,1.0035016536712646
1746543294.529967,-0.16171960532665253,6,1725.334447939,1000,1.2769067287445068,1476.1854248046875,0.00028199999360367656,5,0.2089284062385559,-0.0007666890742257237,8.563802719116211,-0.4699106216430664,0.1917593628168106,3.0907540321350098,0,0.4828231930732727,0.2089284062385559,0.010503023862838745,76.28430938720703,1.533524513244629,0.1917593628168106,0.1917593628168106,0.8688632845878601,1.0006572008132935,0,40,97.44999694824219,113.90508270263672,262.1771240234375,0.07521408796310425,20.190000534057617,1.0006572008132935,0.001388230943121016,148.27191162109375,120000.0,0.0799245685338974,0.00708176102489233,0.2089284062385559,0.011990408413112164,NaN,1.0006572008132935
1746543542.2009354,-0.2247486263513565,7,1991.765586744,1000,1.2648693323135376,1723.8160400390625,0.0002789999998640269,6,0.2442999929189682,0.0002571933437138796,4.40449333190918,-4.159309387207031,0.2215830385684967,3.48306941986084,0,0.5395923852920532,0.2442999929189682,0.01086799893528223,80.79609680175781,1.4590208530426025,0.2215830385684967,0.2215830385684967,0.8586013913154602,1.0011036396026611,0,40,41.45000076293945,103.47920989990234,247.53671264648438,-0.06302902102470398,20.530000686645508,1.0011037588119507,0.0016454242868348956,144.05735778808594,140000.0,-0.15807464718818665,0.008694634772837162,0.2442999929189682,0.019837932661175728,NaN,1.0011037588119507
1746543808.6327467,-0.1577892005443573,8,2234.05384809,1000,1.2490087747573853,1990.295654296875,0.00027600000612437725,7,0.2798694670200348,-4.882377106696367e-05,9.158123970031738,4.753630638122559,0.2530800402164459,4.766465187072754,0,0.5079429745674133,0.2798694670200348,0.010317574255168438,75.09354400634766,1.053322196006775,0.2530800402164459,0.2530800402164459,0.8451747894287109,1.002717137336731,0,40,103.55000305175781,109.84297180175781,266.3345031738281,0.0669594258069992,18.770000457763672,1.0027172565460205,0.001596600515767932,156.491455078125,160000.0,-0.03668380528688431,0.010420926846563816,0.2798694670200348,0.02757568284869194,NaN,1.0027172565460205
1746544050.9208038,-0.29941609501838684,9,2488.389936318,1000,1.2346017360687256,2232.58056640625,0.0002730000123847276,8,0.3155949115753174,0.0012112404219806194,3.500656843185425,-5.6574671268463135,0.28259703516960144,3.9785492420196533,0,0.5417455434799194,0.3155949115753174,0.010347038507461548,82.57504272460938,1.7084250450134277,0.28259703516960144,0.28259703516960144,0.8332777619361877,1.0048176050186157,0,40,19.149999618530273,98.56702423095703,242.20391845703125,-0.14162689447402954,18.84000015258789,1.0048177242279053,0.0028078409377485514,143.6368408203125,180000.0,-0.025178544223308563,0.007714469917118549,0.3155949115753174,0.027359826490283012,NaN,1.0048177242279053
1746544305.256275,-0.21722987294197083,10,2729.673840565,1000,1.2177543640136719,2486.88818359375,0.0002699999895412475,9,0.3514327108860016,0.001266557490453124,4.37780237197876,0.877145528793335,0.3125431537628174,3.6380038261413574,0,0.5349347591400146,0.3514327108860016,0.010782667435705662,78.6712417602539,1.1723543405532837,0.3125431537628174,0.3125431537628174,0.8197323083877563,1.004596471786499,0,40,54.29999923706055,106.246337890625,254.22250366210938,0.08218622207641602,18.75,1.004596471786499,0.004074398428201675,147.97607421875,200000.0,-0.15480868518352509,0.01014033704996109,0.3514327108860016,0.03229960426688194,NaN,1.004596471786499
