Time/Rollout,_step,Metrics/LagrangeMultiplier/Max,Loss/Loss_cost_critic/Delta,Train/StopIter,Safety/shield_adv_c,Time/FPS,Train/PolicyRatio/Min,Train/Epoch,_runtime,Safety/EpCostShield,Loss/Loss_pi,Train/PolicyStd,Safety/ShieldLagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Max,Value/reward,Train/LR,Loss/Loss_pi/Delta,Value/cost,Metrics/EpLen,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Max,Safety/ShieldLagrangeMultiplier/Min,TotalEnvSteps,Value/Adv,Time/Epoch,Time/Total,Metrics/EpCost,Safety/shield_violation,Metrics/LagrangeMultiplier/Std,Train/Entropy,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic,Safety/ShieldLagrangeMultiplier,Train/PolicyRatio,Loss/Loss_cost_critic,Train/PolicyRatio/Std,Train/KL,_timestamp,Metrics/EpRet,Loss/Loss_reward_critic/Delta,Time/Update
138.92825317382812,1,0.03599999099969864,6.840538501739502,40,NaN,75.50535583496094,1.0049834251403809,0,493.554856445,38.400001525878906,-0.4657319188117981,0.9761078357696533,0,0.044999994337558746,0.03892207518219948,0.0002969999914057553,-0.4657319188117981,0.1741228699684143,1000,0.03599999099969864,1.0049834251403809,0.044999994337558746,20000.0,-0.008423872292041779,264.88189697265625,264.88323974609375,17.350000381469727,0.22928330302238464,0,1.394685983657837,0.03599999099969864,0.009215007536113262,0.044999994337558746,1.0049834251403809,6.840538501739502,0.011191625148057938,0.013823084533214569,1746606273.0508003,-0.9568042755126953,0.009215007536113262,125.95357513427734
101.90972137451172,2,0.07070495188236237,3.1004319190979004,40,NaN,87.85261535644531,1.0072298049926758,1,722.842050643,62.349998474121094,-0.4387247562408447,0.9330793619155884,0,0.07947325706481934,0.0315384566783905,0.00029399999766610563,0.02700716257095337,0.5047867298126221,1000,0.07070495188236237,1.0072298049926758,0.07947325706481934,40000.0,-0.1416485607624054,227.6540069580078,492.6008605957031,25.725000381469727,1.5565298795700073,0,1.3495383262634277,0.07070495188236237,0.00656362809240818,0.07947325706481934,1.0072298049926758,9.940970420837402,0.012736824341118336,0.015005862340331078,1746606500.7643738,-0.09204242378473282,-0.002651379443705082,125.74422454833984
102.7190933227539,3,0.10516662895679474,6.050300598144531,40,NaN,87.25152587890625,1.0080901384353638,2,950.086610859,125.80000305175781,-0.35585254430770874,0.8898364305496216,0,0.11219891905784607,0.0452001728117466,0.000291000003926456,0.08287221193313599,1.0376601219177246,1000,0.10516662895679474,1.0080901384353638,0.11219891905784607,60000.0,0.357272744178772,229.22235107421875,721.8878173828125,35.83333206176758,2.0519461631774902,0,1.3021091222763062,0.10516662895679474,0.009729022160172462,0.11219891905784607,1.0080900192260742,15.991271018981934,0.012396009638905525,0.013430364429950714,1746606730.0515275,0.29371771216392517,0.0031653940677642822,126.50318145751953
100.22081756591797,4,0.1399327516555786,-6.500209808349609,40,NaN,88.04574584960938,1.009101152420044,3,1184.560246624,78.25,-0.4040319323539734,0.8588299751281738,0,0.1454424262046814,0.06896742433309555,0.0002880000101868063,-0.04817938804626465,1.5372570753097534,1000,0.1399327516555786,1.009101152420044,0.1454424262046814,80000.0,-0.12205459177494049,227.15464782714844,949.1019287109375,37.04999923706055,4.616193771362305,0,1.2666239738464355,0.1399327516555786,0.009821224957704544,0.1454424262046814,1.0091010332107544,9.491061210632324,0.011645241640508175,0.012369019910693169,1746606957.2960944,0.6188582181930542,9.22027975320816e-05,126.93376922607422
106.56320190429688,5,0.17477071285247803,11.486882209777832,40,NaN,85.32380676269531,1.0077791213989258,4,1413.190042694,176.4499969482422,-0.3058454692363739,0.8361468315124512,0,0.17858102917671204,0.07522022724151611,0.0002849999873433262,0.09818646311759949,2.5222015380859375,1000,0.17477071285247803,1.0077791213989258,0.17858102917671204,100000.0,-0.11589747667312622,234.4011688232422,1183.5928955078125,49.040000915527344,6.420019626617432,0,1.2398391962051392,0.17477071285247803,0.012292847037315369,0.17858102917671204,1.0077791213989258,20.977943420410156,0.011863671243190765,0.011615105904638767,1746607191.7697766,0.907285749912262,0.0024716220796108246,127.83792114257812
102.6843032836914,6,0.20982179045677185,-7.499138832092285,40,NaN,87.50030517578125,1.0105775594711304,5,1643.554535751,121.6500015258789,-0.34052610397338867,0.8078752160072327,0,0.21230973303318024,0.09207116067409515,0.00028199999360367656,-0.03468063473701477,3.130937099456787,1000,0.20982179045677185,1.0105775594711304,0.21230973303318024,120000.0,-0.01301635056734085,228.57061767578125,1412.2344970703125,55.540000915527344,6.462693214416504,0,1.2053894996643066,0.20982179045677185,0.01638336107134819,0.21230973303318024,1.0105775594711304,13.478804588317871,0.012515547685325146,0.013951180502772331,1746607420.3995655,1.6052547693252563,0.004090514034032822,125.88626098632812
101.90620422363281,7,0.24519020318984985,-3.546929359436035,40,NaN,86.8416976928711,1.0116046667099,6,1872.708964435,62.75,-0.4248438775539398,0.7869280576705933,0,0.24501006305217743,0.1304737627506256,0.0002789999998640269,-0.08431777358055115,2.706012010574341,1000,0.24519020318984985,1.0116046667099,0.24501006305217743,140000.0,0.3607616126537323,230.30410766601562,1642.599365234375,53.70000076293945,7.3244123458862305,0,1.1788485050201416,0.24519020318984985,0.02443978376686573,0.24501006305217743,1.0116046667099,9.931875228881836,0.012591252103447914,0.012842413038015366,1746607650.7640445,2.2368502616882324,0.00805642269551754,128.39781188964844
101.94572448730469,8,0.2807324528694153,-3.5789928436279297,40,NaN,87.5868911743164,1.0146554708480835,7,2107.256712902,59.900001525878906,-0.41924363374710083,0.7601950764656067,0,0.27685075998306274,0.19749806821346283,0.00027600000612437725,0.005600243806838989,2.7788753509521484,1000,0.2807324528694153,1.0146554708480835,0.27685075998306274,160000.0,-0.2044634073972702,228.3446807861328,1871.00537109375,48.72999954223633,6.304376602172852,0,1.1440807580947876,0.2807324528694153,0.024204077199101448,0.27685075998306274,1.0146554708480835,6.352882385253906,0.013578560203313828,0.014821099117398262,1746607879.918073,2.7003753185272217,-0.00023570656776428223,126.39886474609375
107.38211059570312,9,0.31633687019348145,2.0274887084960938,40,NaN,85.29798889160156,1.0141379833221436,8,2342.358511802,97.75,-0.3495728373527527,0.7407703399658203,0,0.3091484308242798,0.23156802356243134,0.0002730000123847276,0.06967079639434814,2.7723145484924316,1000,0.31633687019348145,1.0141379833221436,0.3091484308242798,180000.0,-0.18878060579299927,234.4721221923828,2106.295166015625,46.459999084472656,7.0883259773254395,0,1.1181225776672363,0.31633687019348145,0.043651774525642395,0.3091484308242798,1.014137864112854,8.38037109375,0.013528910465538502,0.014596360735595226,1746608114.4662485,3.37568736076355,0.019447697326540947,127.08995056152344
108.68026733398438,10,0.351646363735199,1.8286800384521484,40,NaN,85.09225463867188,1.0106264352798462,9,2574.815582443,147.60000610351562,-0.2633764445781708,0.7239094376564026,0,0.3424980044364929,0.340747594833374,0.0002699999895412475,0.08619639277458191,2.7739036083221436,1000,0.351646363735199,1.0106264352798462,0.3424980044364929,200000.0,-0.18359386920928955,235.0390167236328,2341.400390625,38.52000045776367,7.655959606170654,0,1.0950223207473755,0.351646363735199,0.025857342407107353,0.3424980044364929,1.0106264352798462,10.209051132202148,0.013304662890732288,0.015421509742736816,1746608349.5680158,3.789578437805176,-0.017794432118535042,126.35868072509766
