TotalEnvSteps,Metrics/EpLen,Train/PolicyRatio/Max,Loss/Loss_pi,Time/Rollout,Train/PolicyRatio/Min,Loss/Loss_reward_critic,Time/FPS,Value/Adv,Loss/Loss_cost_critic,Safety/ShieldLagrangeMultiplier/Max,Train/KL,Time/Update,Train/PolicyStd,_timestamp,Metrics/LagrangeMultiplier/Min,Value/cost,Safety/ShieldLagrangeMultiplier/Std,Time/Total,Loss/Loss_reward_critic/Delta,Metrics/EpCost,Safety/shield_adv_c,Loss/Loss_pi/Delta,Metrics/LagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,Train/StopIter,_runtime,Train/PolicyRatio,Train/PolicyRatio/Std,Train/LR,Metrics/EpRet,Train/Entropy,Loss/Loss_cost_critic/Delta,Safety/EpCostShield,_step,Safety/shield_violation,Metrics/LagrangeMultiplier/Std,Train/Epoch,Time/Epoch,Value/reward,Safety/ShieldLagrangeMultiplier,Metrics/LagrangeMultiplier
20000.0,1000,1.000019907951355,-0.0034918796736747026,138.21995544433594,1.000019907951355,0.009230676107108593,81.21875762939453,-0.21335186064243317,11.865280151367188,0.04500000178813934,0.005193538498133421,108.02851104736328,0.9997597336769104,1746549572.5592587,0.03599999472498894,-0.054885998368263245,0,246.2496795654297,0.009230676107108593,33.599998474121094,NaN,-0.0034918796736747026,0.03599999472498894,0.04500000178813934,40,459.797104351,1.000019907951355,0.008864407427608967,0.0002969999914057553,-1.6685444116592407,1.418696403503418,11.865280151367188,73.80000305175781,1,0.016116268932819366,0,0,246.24853515625,0.126898854970932,0.04500000178813934,0.03599999472498894
40000.0,1000,0.9994072914123535,0.029052166268229485,103.29301452636719,0.9994072914123535,0.009401129558682442,94.13935852050781,0.015981145203113556,15.743769645690918,0.08004529774188995,0.008519303984940052,109.15792846679688,0.9968331456184387,1746549785.0826898,0.07104383409023285,0.3413451611995697,0,458.7640686035156,0.00017045345157384872,36.224998474121094,NaN,0.03254404594190419,0.07104383409023285,0.08004529774188995,40,672.221574997,0.9994072914123535,0.0113555658608675,0.00029399999766610563,-1.2607982158660889,1.4157400131225586,3.8784894943237305,83.80000305175781,2,0.920048713684082,0,1,212.45098876953125,0.08957339823246002,0.08004529774188995,0.07104383409023285
60000.0,1000,0.9983540177345276,-8.158509444911033e-06,103.16773986816406,0.9983540177345276,0.007047399412840605,94.1808090209961,-0.3094450831413269,13.0717134475708,0.1148068904876709,0.006185479927808046,109.18968963623047,0.9930133819580078,1746549997.507188,0.10612161457538605,1.381683111190796,0,671.1931762695312,-0.002353730145841837,36.650001525878906,NaN,-0.029060324777674396,0.10612161457538605,0.1148068904876709,40,887.922200298,0.9983540177345276,0.011391911655664444,0.000291000003926456,-1.397044062614441,1.4118937253952026,-2.672056198120117,67.80000305175781,3,3.2251436710357666,0,2,212.35748291015625,0.06283010542392731,0.1148068904876709,0.10612161457538605
80000.0,1000,0.9981367588043213,0.10470280051231384,106.21598052978516,0.9981367588043213,0.013161283917725086,92.74981689453125,0.11260467022657394,15.291272163391113,0.1490955799818039,0.008187927305698395,109.41780853271484,0.9890166521072388,1746550213.2078013,0.1413070559501648,2.9093310832977295,0,886.896240234375,0.006113884504884481,46.5625,NaN,0.10471095902175875,0.1413070559501648,0.1490955799818039,40,1105.059936031,0.9981367588043213,0.011739404872059822,0.0002880000101868063,-0.8067399263381958,1.4078736305236816,2.2195587158203125,140.1999969482422,4,5.052694320678711,0,3,215.63385009765625,0.07496833801269531,0.1490955799818039,0.1413070559501648
100000.0,1000,0.998312771320343,0.11151658743619919,108.0946273803711,0.998312771320343,0.017082449048757553,92.13858032226562,-0.0004997476935386658,17.543182373046875,0.18359647691249847,0.011455146595835686,108.96965026855469,0.9799727201461792,1746550430.345533,0.1766463816165924,4.591927528381348,0,1104.0260009765625,0.003921165131032467,50.40999984741211,NaN,0.0068137869238853455,0.1766463816165924,0.18359647691249847,40,1321.519788435,0.998312771320343,0.010802095755934715,0.0002849999873433262,-0.2240680307149887,1.3986917734146118,2.2519102096557617,158.35000610351562,5,7.709471225738525,0,4,217.0643310546875,0.10040147602558136,0.18359647691249847,0.1766463816165924
120000.0,1000,0.9979611039161682,0.09030891209840775,107.16659545898438,0.9979611039161682,0.022594952955842018,92.42112731933594,-0.08702614903450012,15.920394897460938,0.21849581599235535,0.010189403779804707,109.23409271240234,0.9751561284065247,1746550646.8044055,0.21216543018817902,4.765996932983398,0,1320.498046875,0.005512503907084465,54.650001525878906,NaN,-0.021207675337791443,0.21216543018817902,0.21849581599235535,40,1539.282600758,0.9979611039161682,0.011434512212872505,0.00028199999360367656,0.9766981601715088,1.3937650918960571,-1.6227874755859375,156.64999389648438,6,9.060822486877441,0,5,216.40074157714844,0.17726051807403564,0.21849581599235535,0.21216543018817902
140000.0,1000,0.9976716637611389,0.1758161187171936,108.78144836425781,0.9976716637611389,0.026510687544941902,91.86908721923828,0.22015327215194702,18.927268981933594,0.2537125051021576,0.010380289517343044,108.9195785522461,0.9767714738845825,1746550864.5682347,0.24786116182804108,5.0014801025390625,0,1538.2576904296875,0.003915734589099884,67.02999877929688,NaN,0.08550720661878586,0.24786116182804108,0.2537125051021576,40,1754.600808929,0.9976716637611389,0.010897972621023655,0.0002789999998640269,2.336817741394043,1.3954123258590698,3.0068740844726562,189.8000030517578,7,9.852493286132812,0,6,217.70108032226562,0.28210267424583435,0.2537125051021576,0.24786116182804108
160000.0,1000,1.0007213354110718,-0.09584043174982071,105.88424682617188,1.0007213354110718,0.026245422661304474,92.92095947265625,-0.24436618387699127,12.0845308303833,0.28844091296195984,0.009578557685017586,109.35238647460938,0.9637745022773743,1746551079.8864117,0.2837955951690674,5.350854873657227,0,1753.55810546875,-0.0002652648836374283,68.94999694824219,NaN,-0.2716565504670143,0.2837955951690674,0.28844091296195984,40,1973.787739558,1.0007213354110718,0.010755179449915886,0.00027600000612437725,3.7257192134857178,1.3819984197616577,-6.842738151550293,105.0999984741211,8,10.712821006774902,0,7,215.2366943359375,0.34573912620544434,0.28844091296195984,0.2837955951690674
180000.0,1000,0.9993665218353271,0.052377358078956604,110.07034301757812,0.9993665218353271,0.04353225231170654,91.27073669433594,-0.07974053174257278,17.786142349243164,0.3236145079135895,0.009693842381238937,109.0578842163086,0.9483751654624939,1746551299.073371,0.31993791460990906,5.5543107986450195,0,1972.767822265625,0.01728682965040207,67.13999938964844,NaN,0.1482177898287773,0.31993791460990906,0.3236145079135895,40,2189.703023474,0.9993664622306824,0.010972860269248486,0.0002730000123847276,5.165738582611084,1.3658877611160278,5.701611518859863,170.5500030517578,9,12.549295425415039,0,8,219.12828063964844,0.419567346572876,0.3236145079135895,0.31993791460990906
200000.0,1000,0.9993799924850464,0.07444921880960464,107.12073516845703,0.9993799924850464,0.04016919806599617,92.65412902832031,0.1793133020401001,13.963196754455566,0.3589295744895935,0.00816698744893074,108.73576354980469,0.9448137283325195,1746551514.9886687,0.35624009370803833,4.575168609619141,0,2188.681640625,-0.003363054245710373,66.41999816894531,NaN,0.02207186073064804,0.35624009370803833,0.3589295744895935,40,2408.080823795,0.9993799924850464,0.010711084119975567,0.0002699999895412475,6.274924278259277,1.3621488809585571,-3.8229455947875977,148.0,10,10.183365821838379,0,9,215.85655212402344,0.48896387219429016,0.3589295744895935,0.35624009370803833
