_step,Value/Adv,_timestamp,Misc/Alpha,Metrics/EpRet,Metrics/LagrangeMultiplier,Safety/ShieldLagrangeMultiplier,Train/LR,Time/Rollout,Value/reward,Safety/EpCostShield,Loss/Loss_cost_critic/Delta,Train/Epoch,Train/PolicyRatio,Misc/FinalStepNorm,Misc/xHx,Train/PolicyRatio/Min,Safety/ShieldLagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Max,Loss/Loss_pi/Delta,Value/cost,Safety/shield_adv_c,Train/KL,Misc/gradient_norm,Loss/Loss_pi,Time/Epoch,Misc/AcceptanceStep,Train/PolicyRatio/Std,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier/Std,Train/Entropy,Metrics/EpLen,TotalEnvSteps,Safety/shield_violation,Time/FPS,Metrics/LagrangeMultiplier/Min,Loss/Loss_cost_critic,Metrics/EpCost,Misc/H_inv_g,_runtime,Train/StopIter,Time/Update,Train/PolicyStd,Time/Total,Train/PolicyRatio/Max,Metrics/LagrangeMultiplier/Std
1,-2.6702879907247734e-09,1746533161.370693,2.8413920402526855,0.07412228733301163,0.03599999472498894,0.044999994337558746,0,141.709228515625,0.06376329064369202,52.224998474121094,30.18471908569336,0,1.0008214712142944,0.2834742069244385,0.0024772274773567915,1.0008214712142944,0.044999994337558746,0.03599999472498894,0.044999994337558746,-0.42526909708976746,-0.03661808371543884,2.8735499382019043,0.0003504568012431264,0.041640859097242355,-0.42526909708976746,165.3143310546875,1,0.0005807835841551423,0.009115258231759071,0.009115258231759071,0,1.4122639894485474,500,20000.0,-0.041061628609895706,120.98164367675781,0.03599999472498894,30.18471908569336,35.57500076293945,0.09976596385240555,292.502193047,10,23.605083465576172,0.9933733940124512,165.3152313232422,1.0008214712142944,0
2,9.918212917625624e-09,1746533287.5282145,2.3036904335021973,0.08933847397565842,0.07081596553325653,0.07966510951519012,0,103.70234680175781,0.055699244141578674,78.7750015258789,2.5008506774902344,1,1.0016775131225586,0.3030197024345398,0.0037686051800847054,1.0016775131225586,0.07966510951519012,0.07081596553325653,0.07966510951519012,0.039624929428100586,1.6443451642990112,4.320193290710449,0.00030650562257505953,0.0667647272348404,-0.38564416766166687,126.07244873046875,1,0.0011862370884045959,0.0069679562002420425,-0.002147302031517029,0,1.418268084526062,500,40000.0,2.091968536376953,158.63894653320312,0.07081596553325653,32.685569763183594,50.01250076293945,0.13153664767742157,421.27998815,10,22.370080947875977,0.9993703961372375,291.46392822265625,1.0016775131225586,0
3,-5.340575981449547e-09,1746533416.3053656,2.7177083492279053,0.3374488055706024,0.10580001026391983,0.11446768790483475,0,105.42161560058594,0.0522666871547699,67.57499694824219,3.2350997924804688,2,1.0025640726089478,0.3417893052101135,0.0027078380808234215,1.0025641918182373,0.11446768790483475,0.10580001026391983,0.11446768790483475,0.008088558912277222,1.6297448873519897,3.522263765335083,0.0002920706174336374,0.02832292951643467,-0.37755560874938965,128.683349609375,1,0.0018130450043827295,0.0090218186378479,0.002053862437605858,0,1.435351014137268,500,60000.0,2.489238977432251,155.42025756835938,0.10580001026391983,35.92066955566406,52.650001525878906,0.12576378881931305,545.665531629,10,23.261716842651367,1.016597032546997,420.2265930175781,1.0025641918182373,0
4,-1.602172794434864e-08,1746533540.691079,2.3909902572631836,0.8044226169586182,0.14074492454528809,0.149020254611969,0,101.89366149902344,0.06803110241889954,56.95000076293945,-10.185409545898438,3,1.0031795501708984,0.31704312562942505,0.003498429898172617,1.0031795501708984,0.149020254611969,0.14074492454528809,0.149020254611969,0.008187919855117798,2.1106340885162354,-0.32842573523521423,0.0003526833315845579,0.03382730111479759,-0.36936768889427185,124.28573608398438,1,0.0022483377251774073,0.010532894171774387,0.001511075533926487,0,1.4517555236816406,500,80000.0,3.7732274532318115,160.9195098876953,0.14074492454528809,25.735260009765625,45.349998474121094,0.1325990855693817,675.414153866,10,22.39205551147461,1.0334136486053467,544.6204833984375,1.0031795501708984,0
5,1.4495848965623281e-08,1746533670.4361765,2.3576929569244385,1.333339810371399,0.1758461445569992,0.18366533517837524,0,107.00460815429688,0.09177961200475693,108.4000015258789,28.614898681640625,4,1.0015836954116821,0.2995290756225586,0.0035979431122541428,1.0015838146209717,0.18366533517837524,0.1758461445569992,0.18366533517837524,0.07480353116989136,5.034430503845215,1.4544652700424194,0.0003931545652449131,0.05019545927643776,-0.2945641577243805,129.64549255371094,1,0.0011198698775842786,0.01484973169863224,0.004316837526857853,0,1.4675029516220093,500,100000.0,8.532544136047363,154.26683044433594,0.1758461445569992,54.35015869140625,51.970001220703125,0.12704329192638397,804.161450433,10,22.640857696533203,1.0498145818710327,674.3623046875,1.0015838146209717,0
6,2.2888183792701966e-08,1746533799.1869743,1.931408405303955,1.8971606492996216,0.21118614077568054,0.2186730057001114,0,105.34579467773438,0.12813450396060944,103.0999984741211,7.367179870605469,5,1.0025724172592163,0.3014092743396759,0.005361434072256088,1.0025724172592163,0.2186730057001114,0.21118614077568054,0.2186730057001114,-0.027730435132980347,6.8744611740112305,-0.37624865770339966,0.000344835571013391,0.06974945217370987,-0.32229459285736084,128.65115356445312,1,0.0018189455149695277,0.017118997871875763,0.0022692661732435226,0,1.478581428527832,500,120000.0,11.03429126739502,155.45916748046875,0.21118614077568054,61.71733856201172,62.060001373291016,0.1560567319393158,931.096894903,10,23.305335998535156,1.0614943504333496,803.1167602539062,1.0025724172592163,0
7,1.0681151962899094e-08,1746533926.1228104,2.1915714740753174,2.695577383041382,0.24675551056861877,0.2534697651863098,0,104.57438659667969,0.2116677463054657,72.125,-5.814422607421875,6,1.0024875402450562,0.302219420671463,0.004164067097008228,1.0024875402450562,0.2534697651863098,0.24675551056861877,0.2534697651863098,-0.05664214491844177,5.8429789543151855,-0.0358978807926178,0.0003258654323872179,0.06690378487110138,-0.3789367377758026,126.84939575195312,1,0.0017589284107089043,0.02595221810042858,0.008833220228552818,0,1.4810642004013062,500,140000.0,9.646352767944336,157.66729736328125,0.24675551056861877,55.902915954589844,65.18000030517578,0.13790078461170197,1055.103222768,10,22.27499008178711,1.0642367601394653,930.061279296875,1.0024875402450562,0
8,9.155272984173735e-09,1746534050.1287222,2.0304207801818848,2.8084073066711426,0.2819816470146179,0.2872271239757538,0,100.42283630371094,0.26329362392425537,47.75,-21.94146728515625,7,1.0014139413833618,0.31849581003189087,0.004851287696510553,1.0014140605926514,0.2872271239757538,0.2819816470146179,0.2872271239757538,0.03425571322441101,3.407463312149048,-1.4114329814910889,0.00029632693622261286,0.05806531012058258,-0.3446810245513916,123.92176818847656,1,0.000999891897663474,0.018747957423329353,-0.007204260677099228,0,1.4846177101135254,500,160000.0,7.912818908691406,161.39215087890625,0.2819816470146179,33.961448669433594,46.150001525878906,0.15686197578907013,1181.908049274,10,23.49890899658203,1.0680392980575562,1054.0596923828125,1.0014140605926514,0
9,1.2969969986897922e-08,1746534176.934033,1.6347932815551758,2.9975061416625977,0.3159038722515106,0.3207744359970093,0,104.13777160644531,0.3374558091163635,62.5,8.736042022705078,8,1.0028194189071655,0.27860432863235474,0.007483482360839844,1.0028194189071655,0.3207744359970093,0.3159038722515106,0.3207744359970093,-0.010626673698425293,3.4825680255889893,0.13109678030014038,0.0003666069242171943,0.07735329866409302,-0.3553076982498169,126.70964050292969,1,0.0019935460295528173,0.02902304381132126,0.010275086387991905,0,1.4862416982650757,500,180000.0,8.240718841552734,157.8411865234375,0.3159038722515106,42.69749069213867,27.920000076293945,0.1704217493534088,1306.682265969,10,22.57185173034668,1.0699321031570435,1180.8642578125,1.0028194189071655,0
10,2.6702879907247734e-08,1746534301.7076669,1.9482167959213257,4.030956268310547,0.3490298390388489,0.35339486598968506,0,101.37579345703125,0.46477216482162476,43.474998474121094,-18.91707992553711,9,1.0031400918960571,0.29400375485420227,0.00526932068169117,1.0031402111053467,0.35339486598968506,0.3490298390388489,0.35339486598968506,0.005896449089050293,2.017350435256958,0.21886450052261353,0.00033965089824050665,0.06073446199297905,-0.3494112491607666,124.69505310058594,1,0.002220352180302143,0.05021827667951584,0.02119523286819458,0,1.4879679679870605,500,200000.0,5.41147518157959,160.3912811279297,0.3490298390388489,23.780410766601562,31.479999542236328,0.1509091556072235,1429.549487232,10,23.319238662719727,1.0720092058181763,1305.6441650390625,1.0031402111053467,0
11,-1.7166137400437265e-09,1746534424.5750835,2.145897626876831,4.950763702392578,0.381320595741272,0.3842569589614868,0,100.56291198730469,0.6629283428192139,24.399999618530273,-8.34920883178711,10,1.0055170059204102,0.28404414653778076,0.004343212116509676,1.0055170059204102,0.3842569589614868,0.381320595741272,0.3842569589614868,-0.06464338302612305,1.5203001499176025,0.46048539876937866,0.0003518740995787084,0.091354601085186,-0.41405463218688965,122.77526092529297,1,0.0039010560140013695,0.06505104899406433,0.014832772314548492,0,1.4786666631698608,500,220000.0,4.282192230224609,162.89927673339844,0.381320595741272,15.431201934814453,28.56999969482422,0.1323661208152771,1550.658709475,10,22.212316513061523,1.0626596212387085,1428.5081787109375,1.0055170059204102,0
12,-4.577636492086867e-09,1746534545.6846273,1.9253288507461548,5.541500091552734,0.4122312068939209,0.41325643658638,0,98.16395568847656,0.7973407506942749,18.274999618530273,1.7453060150146484,11,1.0038104057312012,0.28853029012680054,0.005395346321165562,1.0038104057312012,0.41325643658638,0.4122312068939209,0.41325643658638,0.040647268295288086,1.4421604871749878,-0.4832502007484436,0.00034451085957698524,0.1123502105474472,-0.37340736389160156,121.03494262695312,1,0.0026943637058138847,0.08272681385278702,0.017675764858722687,0,1.4683500528335571,500,240000.0,3.6117374897003174,165.2415313720703,0.4122312068939209,17.1765079498291,19.479999542236328,0.14986026287078857,1669.895218789,10,22.870967864990234,1.0520879030227661,1549.63525390625,1.0038104057312012,0
13,5.531310964812519e-09,1746534664.9207127,2.2152416706085205,5.807063579559326,0.4408864378929138,0.4398743212223053,0,96.8522720336914,0.8002342581748962,6.625,-10.234429359436035,12,1.0028997659683228,0.2996434271335602,0.0040755546651780605,1.0028998851776123,0.4398743212223053,0.4408864378929138,0.4398743212223053,0.14008909463882446,0.5132437348365784,-0.17020997405052185,0.0002892945776693523,0.09794146567583084,-0.2333182692527771,119.14837646484375,1,0.0020505283027887344,0.06754858046770096,-0.01517823338508606,0,1.477728247642517,500,260000.0,1.9660699367523193,167.85792541503906,0.4408864378929138,6.942078590393066,7.610000133514404,0.13526444137096405,1790.008635773,10,22.296085357666016,1.062167763710022,1668.8486328125,1.0028998851776123,0
14,-7.629394338515283e-10,1746534785.0339668,2.0301148891448975,5.76687479019165,0.46751168370246887,0.4644373953342438,0,97.01002502441406,0.9905572533607483,7.175000190734863,-2.0423150062561035,13,1.0038747787475586,0.2835923433303833,0.004852749407291412,1.0038747787475586,0.4644373953342438,0.46751168370246887,0.4644373953342438,-0.12093248963356018,0.4296841323375702,0.24450139701366425,0.00032259008730761707,0.09212900698184967,-0.3542507588863373,120.01214599609375,1,0.00273988232947886,0.0830334797501564,0.015484899282455444,0,1.4824737310409546,500,280000.0,1.8417761325836182,166.64979553222656,0.46751168370246887,4.899763584136963,7.050000190734863,0.1396927535533905,1908.628844751,10,23.00210189819336,1.0675652027130127,1788.9593505859375,1.0038747787475586,0
15,-1.9836425835251248e-08,1746534903.6542513,2.453540563583374,6.431497573852539,0.4919123649597168,0.48677870631217957,0,96.4640121459961,1.054280161857605,1.524999976158142,-2.462355375289917,14,1.004050850868225,0.29958686232566833,0.0033223251812160015,1.0040509700775146,0.48677870631217957,0.4919123649597168,0.48677870631217957,-0.006971538066864014,0.3731980323791504,-0.1576996147632599,0.00030549627263098955,0.06103858724236488,-0.3612222969532013,118.52198028564453,1,0.0028644122648984194,0.08337468653917313,0.00034120678901672363,0,1.484434723854065,500,300000.0,1.5937517881393433,168.7450714111328,0.4919123649597168,2.437408208847046,2.8399999141693115,0.12210389971733093,2027.875124979,10,22.05794334411621,1.0700188875198364,1907.583984375,1.0040509700775146,0
16,9.918212917625624e-09,1746535022.900714,2.1423451900482178,6.413345813751221,0.5141749978065491,0.5071534514427185,0,96.38379669189453,1.0856688022613525,1.725000023841858,-0.7322758436203003,15,1.0054415464401245,0.2607879936695099,0.004357628058642149,1.0054415464401245,0.5071534514427185,0.5141749978065491,0.5071534514427185,0.03485596179962158,0.3175343871116638,-0.1897665560245514,0.0003660489455796778,0.10459408909082413,-0.3263663351535797,119.16080474853516,1,0.0038477263879030943,0.07515653222799301,-0.008218154311180115,0,1.4983123540878296,500,320000.0,1.333288311958313,167.84042358398438,0.5141749978065491,1.7051323652267456,1.3700000047683716,0.12173014879226685,2147.665157089,10,22.776988983154297,1.085551381111145,2026.84130859375,1.0054415464401245,0
17,-3.051757735406113e-09,1746535142.6911566,2.1387627124786377,6.7820587158203125,0.5346530079841614,0.5262228846549988,0,97.33766174316406,1.145581603050232,7.925000190734863,1.129165530204773,16,1.0025399923324585,0.30003422498703003,0.004372237715870142,1.0025399923324585,0.5262228846549988,0.5346530079841614,0.5262228846549988,0.0611911416053772,0.2862432897090912,0.5614335536956787,0.00028614699840545654,0.06057193502783775,-0.2651751935482025,119.71047973632812,1,0.0017960177501663566,0.08857864886522293,0.01342211663722992,0,1.5074796676635742,500,340000.0,1.4505468606948853,167.0697479248047,0.5346530079841614,2.8342978954315186,2.549999952316284,0.14028401672840118,2269.163665741,10,22.372798919677734,1.095810055732727,2146.634765625,1.0025399923324585,0
18,-3.051757735406113e-09,1746535264.189213,1.9682941436767578,7.344827175140381,0.5539063811302185,0.5449169874191284,0,98.78909301757812,1.2814080715179443,19.024999618530273,3.443737745285034,17,1.0032634735107422,0.28655484318733215,0.005162370391190052,1.0032634735107422,0.5449169874191284,0.5539063811302185,0.5449169874191284,-0.061434775590896606,0.3419080078601837,0.28501155972480774,0.00030794943450018764,0.11657483130693436,-0.3266099691390991,121.42070007324219,1,0.0023076804354786873,0.09657003730535507,0.007991388440132141,0,1.5082937479019165,500,360000.0,1.5664145946502686,164.71656799316406,0.5539063811302185,6.278035640716553,6.010000228881836,0.14558537304401398,2387.962481582,10,22.6315860748291,1.0972093343734741,2268.12646484375,1.0032634735107422,0
