Value/Adv,Metrics/EpLen,Metrics/LagrangeMultiplier/Std,Misc/AcceptanceStep,Value/cost,Loss/Loss_pi/Delta,Time/Epoch,Time/Total,Train/StopIter,_step,Metrics/EpCost,Time/Update,Safety/shield_violation,Train/Epoch,Train/LR,Train/PolicyStd,Misc/FinalStepNorm,Loss/Loss_cost_critic/Delta,Loss/Loss_cost_critic,Safety/shield_adv_c,Metrics/EpRet,Train/PolicyRatio/Max,Train/Entropy,Loss/Loss_reward_critic,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier,_runtime,Train/PolicyRatio/Min,Misc/xHx,_timestamp,Value/reward,Train/KL,Misc/gradient_norm,Time/Rollout,Safety/ShieldLagrangeMultiplier/Max,Time/FPS,Misc/H_inv_g,TotalEnvSteps,Metrics/LagrangeMultiplier/Min,Safety/ShieldLagrangeMultiplier,Safety/ShieldLagrangeMultiplier/Min,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier/Std,Loss/Loss_pi,Train/PolicyRatio,Safety/EpCostShield,Metrics/LagrangeMultiplier/Max,Misc/Alpha
-1.2207030941624453e-08,500,0,1,0.1284998506307602,-0.0008724888903088868,183.94720458984375,183.9486083984375,10,1,48.25,29.03277015686035,-0.29702702164649963,0,0,1.0071603059768677,0.373923659324646,37.53461837768555,37.53461837768555,1.7621502876281738,-0.4351932406425476,0.998609185218811,1.4259133338928223,0.02653886191546917,0.0009834826923906803,0.03599999472498894,322.443154692,0.998609185218811,0.004553491249680519,1746551140.5453176,-0.009228968992829323,0.0001770964008755982,0.04280605539679527,154.91441345214844,0.04500000178813934,108.72684478759766,0.1784188151359558,20000.0,0.03599999472498894,0.04500000178813934,0.04500000178813934,0.02653886191546917,0,-0.0008724888903088868,0.9986091256141663,66.2249984741211,0.03599999472498894,2.0957634449005127
1.831054596834747e-08,500,0,1,1.321779727935791,0.0791679730755277,136.6939697265625,320.7471008300781,10,2,62.787498474121094,25.628482818603516,1.9035836458206177,1,0,0.9961170554161072,0.3321903645992279,0.7261848449707031,38.26080322265625,2.866396427154541,0.4168229103088379,0.9969539642333984,1.4147921800613403,0.022377651184797287,0.0021538445726037025,0.07094071060419083,462.20123438,0.9969539642333984,0.011308311484754086,1746551277.3326151,-0.017638713121414185,0.0003756971564143896,0.07679688185453415,111.06544494628906,0.07970824837684631,146.31224060058594,0.24978774785995483,40000.0,0.07094071060419083,0.07970824837684631,0.07970824837684631,-0.004161210730671883,0,0.07829548418521881,0.9969539642333984,98.05000305175781,0.07094071060419083,1.3298906087875366
1.7929076889799944e-08,500,0,1,4.709744453430176,0.0819299966096878,139.63172912597656,460.4669189453125,10,3,83.22000122070312,29.46165657043457,6.009052276611328,2,0,0.9837877154350281,0.31492772698402405,11.902854919433594,50.163658142089844,1.1250665187835693,1.4577172994613647,0.998429000377655,1.402490258216858,0.01482744887471199,0.0011108503676950932,0.10575512051582336,603.727292681,0.998429000377655,0.011834247969090939,1746551417.0902946,0.048089928925037384,0.0004036625614389777,0.06434562057256699,110.17003631591797,0.1143992617726326,143.2339324951172,0.2422514706850052,60000.0,0.10575512051582336,0.1143992617726326,0.1143992617726326,-0.007550202310085297,0,0.16022548079490662,0.998429000377655,124.32499694824219,0.10575512051582336,1.3000032901763916
-5.7220459481754915e-09,500,0,1,13.0880708694458,0.23779991269111633,141.4264678955078,602.0296630859375,10,4,134.00999450683594,28.398845672607422,14.816168785095215,3,0,0.9811061024665833,0.2505457401275635,38.43260955810547,88.59626770019531,3.4879653453826904,3.6318047046661377,0.9970986247062683,1.3996700048446655,0.03171610087156296,0.002051624236628413,0.1397540271282196,746.125056603,0.9970986247062683,0.014348686672747135,1746551558.6163309,0.20535239577293396,0.0004988372675143182,0.239388108253479,113.02759552001953,0.14785036444664001,141.41624450683594,0.2122160643339157,80000.0,0.1397540271282196,0.14785036444664001,0.14785036444664001,0.016888651996850967,0,0.39802539348602295,0.9970986247062683,222.77499389648438,0.1397540271282196,1.1806162595748901
-6.866454782539222e-08,500,0,1,26.453737258911133,0.13524401187896729,142.28749084472656,744.410888671875,10,5,212.16000366210938,27.426908493041992,28.482118606567383,4,0,0.9734289050102234,0.2410796880722046,23.57170867919922,112.16797637939453,6.357992172241211,5.732790946960449,0.9970216751098633,1.3914705514907837,0.03531728684902191,0.002105965744704008,0.17280568182468414,891.226292523,0.9970216751098633,0.014292219653725624,1746551701.013844,0.4154375493526459,0.0005203948821872473,0.2477550506591797,114.86053466796875,0.18097057938575745,140.5605010986328,0.20379599928855896,100000.0,0.17280568182468414,0.18097057938575745,0.18097057938575745,0.003601185977458954,0,0.5332694053649902,0.9970216751098633,311.07501220703125,0.17280568182468414,1.1829462051391602
1.831054596834747e-08,500,0,1,35.5540771484375,-0.019495248794555664,144.98175048828125,889.5071411132812,10,6,293.239990234375,26.370014190673828,37.50189208984375,5,0,0.9526209831237793,0.24216561019420624,14.549758911132812,126.71773529052734,3.4754533767700195,8.298293113708496,0.9968218803405762,1.369175910949707,0.04640593379735947,0.002247297903522849,0.2056327760219574,1035.257578901,0.9968218803405762,0.014827474020421505,1746551846.115537,0.6835648417472839,0.00048089021584019065,0.17483505606651306,118.6117172241211,0.21465927362442017,137.94839477539062,0.2085120677947998,120000.0,0.2056327760219574,0.21465927362442017,0.21465927362442017,0.011088646948337555,0,0.5137741565704346,0.9968218803405762,338.45001220703125,0.2056327760219574,1.1613985300064087
7.629394005448376e-09,500,0,1,36.8747673034668,-0.07098439335823059,143.9180450439453,1033.540283203125,10,7,308.25,26.28400421142578,39.473854064941406,6,0,0.9446499943733215,0.27034521102905273,31.70648956298828,158.42422485351562,2.5998339653015137,9.687326431274414,0.9983989596366882,1.3606656789779663,0.07397852838039398,0.0011321204947307706,0.23916831612586975,1178.207711541,0.9983989596366882,0.011546929366886616,1746551990.1466808,0.8586142659187317,0.0003888383216690272,0.2755734622478485,117.6340103149414,0.24900564551353455,138.96798706054688,0.20541736483573914,140000.0,0.23916831612586975,0.24900564551353455,0.24900564551353455,0.027572594583034515,0,0.442789763212204,0.9983989596366882,323.0249938964844,0.23916831612586975,1.316077709197998
5.1498409980865745e-09,500,0,1,34.2203254699707,-0.17540761828422546,142.8491973876953,1176.505126953125,10,8,292.42999267578125,25.353504180908203,36.86111068725586,7,0,0.9468898773193359,0.2601684033870697,-16.256072998046875,142.16815185546875,1.3642979860305786,10.386591911315918,1.000396966934204,1.3626364469528198,0.08090158551931381,0.0002806418342515826,0.27344682812690735,1320.701683499,1.000396966934204,0.017183862626552582,1746552133.0969448,0.9632077217102051,0.00039027794264256954,0.1445481777191162,117.49565124511719,0.2836838364601135,140.00779724121094,0.2411571443080902,160000.0,0.27344682812690735,0.2836838364601135,0.2836838364601135,0.00692305713891983,0,0.2673821449279785,1.0003968477249146,271.3500061035156,0.27344682812690735,1.0788335800170898
8.01086397217432e-09,500,0,1,40.63584899902344,-0.16146081686019897,142.37818908691406,1318.982666015625,10,9,269.2799987792969,26.801834106445312,43.452049255371094,8,0,0.9313569068908691,0.2739080786705017,16.5313720703125,158.69952392578125,1.2008401155471802,11.499176979064941,0.9980373382568359,1.3439301252365112,0.11500345170497894,0.0013878113823011518,0.30824267864227295,1465.859484731,0.9980373382568359,0.00989054050296545,1746552275.5907612,1.4387645721435547,0.00035778223536908627,0.15764035284519196,115.57633209228516,0.3186538517475128,140.47096252441406,0.1926194131374359,180000.0,0.30824267864227295,0.3186538517475128,0.3186538517475128,0.03410186618566513,0,0.10592132806777954,0.9980373382568359,279.5249938964844,0.30824267864227295,1.422016978263855
1.4114379887075756e-08,500,0,1,46.99972152709961,-0.12267957627773285,145.06088256835938,1464.1591796875,10,10,268.2099914550781,27.89913558959961,49.8381233215332,9,0,0.9183260798454285,0.26662084460258484,3.178314208984375,161.87783813476562,-0.49868786334991455,15.238203048706055,0.9998531341552734,1.3285179138183594,0.14653317630290985,0.000103877937362995,0.34343022108078003,1606.287763324,0.9998531341552734,0.012896550819277763,1746552420.7484808,2.0381503105163574,0.0003621959185693413,0.1417492777109146,117.16172790527344,0.35391658544540405,137.87313842773438,0.2140997052192688,200000.0,0.34343022108078003,0.35391658544540405,0.35391658544540405,0.03152972459793091,0,-0.016758248209953308,0.9998531341552734,292.75,0.34343022108078003,1.2453116178512573
