Train/Epoch,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier/Min,Train/KL,Loss/Loss_cost_critic,Metrics/EpLen,Metrics/LagrangeMultiplier/Std,Value/cost,_timestamp,Value/reward,Train/PolicyRatio/Max,Time/Total,Safety/ShieldLagrangeMultiplier/Max,Safety/shield_adv_c,Time/FPS,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier,Time/Epoch,Safety/ShieldLagrangeMultiplier,Metrics/EpRet,_step,Loss/Loss_pi/Delta,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier/Min,Value/Adv,Train/PolicyRatio/Min,Train/PolicyStd,Loss/Loss_reward_critic,Train/LR,Time/Update,Loss/Loss_pi,Time/Rollout,Safety/EpCostShield,TotalEnvSteps,Metrics/LagrangeMultiplier/Max,Train/Entropy,_runtime,Train/PolicyRatio,Safety/shield_violation,Safety/ShieldLagrangeMultiplier/Std,Metrics/EpCost,Train/StopIter
0,0.009420248679816723,0.03599999472498894,0.00763646699488163,1.9048728942871094,1000,0,-0.07478649914264679,1746541379.9823549,-0.02367393672466278,1.0003281831741333,262.8981018066406,0.044999994337558746,NaN,76.07537841796875,1.9048728942871094,0.03599999472498894,262.89715576171875,0.044999994337558746,-0.2162904441356659,1,-0.07893668860197067,0.0036006984300911427,0.044999994337558746,-0.22102203965187073,1.0003281831741333,0.9848952889442444,0.0036006984300911427,0.0002969999914057553,133.45155334472656,-0.07893668860197067,129.44552612304688,17.899999618530273,20000.0,0.03599999472498894,1.4037119150161743,491.443333087,1.0003281831741333,-0.13959088921546936,0,9.0,40
1,0.011705700308084488,0.07094202935695648,0.010539330542087555,8.043583869934082,1000,0,-0.02384660765528679,1746541607.519325,-0.022020909935235977,1.0010623931884766,490.4576416015625,0.07738124579191208,NaN,87.92462158203125,6.138710975646973,0.07094202935695648,227.46755981445312,0.07738124579191208,-0.1048281192779541,2,0.03617468103766441,-0.0016217376105487347,0.07738124579191208,0.04653036966919899,1.0010623931884766,0.9744724035263062,0.001978960819542408,0.00029399999766610563,134.12841796875,-0.04276200756430626,93.33908081054688,50.5,40000.0,0.07094202935695648,1.3930222988128662,720.69900209,1.0010623931884766,0.31756141781806946,0,11.699999809265137,40
2,0.011211405508220196,0.10527113080024719,0.00968181248754263,5.824385643005371,1000,0,1.3409461975097656,1746541836.7749817,-0.013652048073709011,1.0004141330718994,719.6798095703125,0.11092615127563477,NaN,87.27494049072266,-2.219198226928711,0.10527113080024719,229.1608428955078,0.11092615127563477,-0.0020179429557174444,3,0.04800566239282489,0.0013680667616426945,0.11092615127563477,-0.18964824080467224,1.0004141330718994,0.9608087539672852,0.0033470275811851025,0.000291000003926456,132.87208557128906,0.005243654828518629,96.28871154785156,44.79999923706055,60000.0,0.10527113080024719,1.3787983655929565,945.088540222,1.0004141330718994,0.9414260983467102,0,7.800000190734863,40
3,0.011688043363392353,0.13965581357479095,0.009780424647033215,5.507216453552246,1000,0,2.2714784145355225,1746542061.1637914,-0.0030709211714565754,1.0005520582199097,944.04736328125,0.14467114210128784,NaN,89.17701721191406,-0.317169189453125,0.13965581357479095,224.27304077148438,0.14467114210128784,0.11421509087085724,4,-0.0634671594016254,-0.000510205514729023,0.14467114210128784,-0.21268270909786224,1.0005520582199097,0.942584216594696,0.0028368220664560795,0.0002880000101868063,132.70877075195312,-0.058223504573106766,91.56422424316406,36.0,80000.0,0.13965581357479095,1.3596272468566895,1177.456558658,1.0005520582199097,2.777714252471924,0,8.899999618530273,40
4,0.011095605790615082,0.1743936538696289,0.009013261646032333,9.159551620483398,1000,0,1.7585269212722778,1746542293.5317924,0.010084514506161213,0.9989508390426636,1176.23486328125,0.17650839686393738,NaN,86.18610382080078,3.6523351669311523,0.1743936538696289,232.05596923828125,0.17650839686393738,0.22586211562156677,5,0.17247984185814857,-0.0006874969694763422,0.17650839686393738,0.01765049248933792,0.9989508390426636,0.9371958374977112,0.0021493250969797373,0.0002849999873433262,132.5347900390625,0.11425633728504181,99.52111053466797,115.19999694824219,100000.0,0.1743936538696289,1.3537142276763916,1406.86462936,0.9989508390426636,2.375501871109009,0,11.229999542236328,40
5,0.011989787220954895,0.20942354202270508,0.013251439668238163,5.866599082946777,1000,0,2.2588329315185547,1746542522.9401677,0.04180321469902992,0.9999043941497803,1405.765380859375,0.2073383778333664,NaN,87.2534408569336,-3.292952537536621,0.20942354202270508,229.21731567382812,0.2073383778333664,0.3759872019290924,6,-0.33281409740448,-0.0002984735183417797,0.2073383778333664,-0.17278769612312317,0.9999043941497803,0.9151871204376221,0.0018508515786379576,0.00028199999360367656,132.9730224609375,-0.21855776011943817,96.24425506591797,31.950000762939453,120000.0,0.20942354202270508,1.3298637866973877,1638.651054638,0.9999043941497803,8.334359169006348,0,11.90999984741211,40
6,0.011480576358735561,0.24415898323059082,0.009930063039064407,12.373308181762695,1000,0,1.652409553527832,1746542754.726876,0.04002209007740021,0.9972032904624939,1637.36376953125,0.23888853192329407,NaN,86.42745208740234,6.506709098815918,0.24415898323059082,231.407958984375,0.23888853192329407,0.517548680305481,7,0.34809447824954987,0.0016979374922811985,0.23888853192329407,0.19643153250217438,0.9972032904624939,0.9169043302536011,0.003548789070919156,0.0002789999998640269,132.4000701904297,0.1295367181301117,99.0078353881836,143.75,140000.0,0.24415898323059082,1.331850290298462,1868.518799595,0.9972032904624939,5.663551330566406,0,21.579999923706055,40
7,0.011526891961693764,0.27903977036476135,0.009546777233481407,7.685977458953857,1000,0,1.8850421905517578,1746542984.5940964,0.06253451853990555,1.001414179801941,1867.374267578125,0.2711183726787567,NaN,87.09143829345703,-4.687330722808838,0.27903977036476135,229.64369201660156,0.2711183726787567,0.5760201811790466,8,-0.14521682634949684,0.0007071096915751696,0.2711183726787567,-0.30851396918296814,1.001414179801941,0.9105796813964844,0.004255898762494326,0.00027600000612437725,133.40980529785156,-0.015680108219385147,96.23384094238281,79.5,160000.0,0.27903977036476135,1.3250401020050049,2092.531511782,1.001414179801941,5.389035224914551,0,25.049999237060547,40
8,0.010306870564818382,0.3143885135650635,0.008144206367433071,7.20977783203125,1000,0,2.3746345043182373,1746543208.6067486,0.05196778476238251,1.0027333498001099,2091.445556640625,0.302810400724411,NaN,89.35044860839844,-0.4761996269226074,0.3143885135650635,223.8377227783203,0.302810400724411,0.5809443593025208,9,-0.16580555960536003,0.0030334629118442535,0.302810400724411,-0.11912637203931808,1.0027333498001099,0.8978644013404846,0.007289361674338579,0.0002730000123847276,132.4284210205078,-0.18148566782474518,91.40925598144531,49.45000076293945,180000.0,0.3143885135650635,1.3109002113342285,2318.314263327,1.0027332305908203,7.575534343719482,0,25.040000915527344,40
9,0.010670308023691177,0.3501838147640228,0.009213296696543694,4.3878397941589355,1000,0,1.8781009912490845,1746543434.3896008,0.0476369671523571,1.0008728504180908,2317.299560546875,0.33428293466567993,NaN,88.62198638916016,-2.8219380378723145,0.3501838147640228,225.67764282226562,0.33428293466567993,0.43071800470352173,10,0.1233239471912384,-0.000281565822660923,0.33428293466567993,0.006042063236236572,1.0008728504180908,0.8856795430183411,0.007007795851677656,0.0002699999895412475,134.51434326171875,-0.058161720633506775,91.16322326660156,53.79999923706055,200000.0,0.3501838147640228,1.2973626852035522,2545.003254677,1.0008728504180908,4.533606052398682,0,23.940000534057617,40
