Value/Adv,Train/Entropy,Time/FPS,Misc/Alpha,Loss/Loss_pi,Misc/FinalStepNorm,Train/Epoch,Misc/H_inv_g,Train/KL,Time/Epoch,Metrics/LagrangeMultiplier/Min,Train/LR,Loss/Loss_cost_critic/Delta,_timestamp,Metrics/EpLen,Loss/Loss_pi/Delta,_step,Loss/Loss_cost_critic,Train/StopIter,TotalEnvSteps,_runtime,Train/PolicyStd,Metrics/LagrangeMultiplier/Max,Train/PolicyRatio/Std,Value/cost,Value/reward,Train/PolicyRatio/Max,Time/Total,Loss/Loss_reward_critic,Time/Update,Metrics/EpRet,Metrics/EpCost,Metrics/LagrangeMultiplier,Time/Rollout,Train/PolicyRatio/Min,Loss/Loss_reward_critic/Delta,Misc/gradient_norm,Train/PolicyRatio,Misc/AcceptanceStep,Misc/xHx,Metrics/LagrangeMultiplier/Std
5.7220459481754915e-09,1.4212604761123657,170.6114044189453,0.5527874827384949,-0.022933198139071465,0.3608550429344177,0,0.6527916193008423,0.0001926267723320052,117.22545623779297,0.035999998450279236,0,13.646418571472168,1743328230.9803827,500,-0.022933198139071465,1,13.646418571472168,10,20000.0,235.710977353,1.0023984909057617,0.035999998450279236,0.00019440936739556491,0.022556399926543236,0.023726703599095345,0.9997250437736511,117.22630310058594,7.103998184204102,8.482135772705078,-2.190725088119507,43.025001525878906,0.035999998450279236,108.74330139160156,0.9997250437736511,7.103998184204102,0.10798323899507523,0.9997250437736511,1,0.06545057892799377,0
-1.907348501362094e-09,1.4332083463668823,170.14491271972656,0.5374096632003784,-0.02454504556953907,0.35297873616218567,1,0.6568149924278259,0.0002044801221927628,117.54685974121094,0.07029080390930176,0,-5.887488842010498,1743328348.5934784,500,-0.0016118474304676056,2,7.75892972946167,10,40000.0,353.781648669,1.0147496461868286,0.07029080390930176,0.0007458306499756873,0.2959946393966675,0.044138189405202866,1.0010547637939453,234.83445739746094,3.7300097942352295,8.459909439086914,-0.9792650938034058,31.325000762939453,0.07029080390930176,109.08692932128906,1.0010547637939453,-3.373988389968872,0.11513055860996246,1.0010547637939453,1,0.06924987584352493,0
-5.340575981449547e-09,1.4353221654891968,169.4965057373047,0.545904278755188,-0.024196013808250427,0.3543863892555237,2,0.6491731405258179,0.00021085717889945954,117.99653625488281,0.10399238765239716,0,-1.0469298362731934,1743328466.6641705,500,0.0003490317612886429,3,6.711999893188477,10,60000.0,470.976279818,1.0171695947647095,0.10399238765239716,0.0015359435928985476,1.0302554368972778,-0.08537519723176956,1.0021722316741943,352.896240234375,3.7444541454315186,8.52692985534668,-0.5681700706481934,26.540000915527344,0.10399238765239716,109.46958923339844,1.0021722316741943,0.014444351196289062,0.11624877899885178,1.0021721124649048,1,0.06711149215698242,0
3.814697002724188e-09,1.4239517450332642,170.76039123535156,0.48750796914100647,-0.027042552828788757,0.35446640849113464,3,0.7270987033843994,0.00021165271755307913,117.12317657470703,0.13714513182640076,0,4.4385175704956055,1743328583.858784,500,-0.00284653902053833,4,11.150517463684082,10,80000.0,587.713621222,1.005776047706604,0.13714513182640076,0.00018083806207869202,3.067913770675659,0.21577458083629608,0.9997442960739136,470.0935974121094,5.9746294021606445,8.458548545837402,1.0102249383926392,23.5,0.13714513182640076,108.66461181640625,0.9997442960739136,2.230175256729126,0.1257934719324112,0.9997442364692688,1,0.08415240794420242,0
-1.5258788677030566e-09,1.4204822778701782,171.4263153076172,0.4670485258102417,-0.027887672185897827,0.36009445786476135,4,0.7710000872612,0.00019572704331949353,116.66820526123047,0.1710277795791626,0,7.277337074279785,1743328700.5960999,500,-0.0008451193571090698,5,18.427854537963867,10,100000.0,704.350758493,1.002235770225525,0.1710277795791626,0.00024018084513954818,5.977482795715332,0.42013123631477356,1.0003397464752197,586.8325805664062,6.233092308044434,8.522632598876953,3.1296844482421875,40.0099983215332,0.1710277795791626,108.14555358886719,1.0003397464752197,0.25846290588378906,0.12860190868377686,1.0003396272659302,1,0.09168661385774612,0
1.5258788677030566e-09,1.4201892614364624,171.55978393554688,0.3886268734931946,-0.03383282944560051,0.34238624572753906,5,0.881015419960022,0.000228782620979473,116.57743072509766,0.20545440912246704,0,-4.801054000854492,1743328817.2331917,500,-0.0059451572597026825,6,13.626800537109375,10,120000.0,822.868507202,1.0020827054977417,0.20545440912246704,0.0010641798144206405,4.9822258949279785,0.4218177795410156,1.001504898071289,703.4799194335938,6.220521450042725,8.449555397033691,3.1424241065979004,43.439998626708984,0.20545440912246704,108.12786102294922,1.001504898071289,-0.012570858001708984,0.16745643317699432,1.001504898071289,1,0.1324232667684555,0
9.155272984173735e-09,1.4180442094802856,168.8556365966797,0.48045527935028076,-0.02753620594739914,0.35766422748565674,6,0.7444277405738831,0.00020005575788673013,118.44437408447266,0.24005046486854553,0,-8.077222347259521,1743328935.750928,500,0.00629662349820137,7,5.5495781898498535,10,140000.0,941.153948939,1.0000916719436646,0.24005046486854553,0.0013469570549204946,5.820445537567139,0.15987764298915863,1.001904845237732,821.9898071289062,5.29892635345459,8.534793853759766,0.2836839258670807,36.79999923706055,0.24005046486854553,109.90956115722656,1.001904845237732,-0.9215950965881348,0.12758900225162506,1.001904845237732,1,0.08664111793041229,0
6.103515470812226e-09,1.4165326356887817,169.18637084960938,0.4462131857872009,-0.029174232855439186,0.35344380140304565,7,0.7920963168144226,0.0002116791729349643,118.21282958984375,0.27416500449180603,0,3.8836426734924316,1743329054.0364792,500,-0.0016380269080400467,8,9.433220863342285,10,160000.0,1058.848556592,0.9986329078674316,0.27416500449180603,0.002293294295668602,4.17584753036499,-0.1486668884754181,1.0032432079315186,940.2702026367188,4.4220123291015625,8.47403335571289,-2.8436031341552734,27.229999542236328,0.27416500449180603,109.73878479003906,1.0032432079315186,-0.8769140243530273,0.14126591384410858,1.003243088722229,1,0.10044889152050018,0
4.577636492086867e-09,1.4129809141159058,170.03201293945312,0.44402334094047546,-0.028482044115662575,0.35288330912590027,8,0.7947403788566589,0.00020940933609381318,117.62490844726562,0.3076845109462738,0,-2.9328789710998535,1743329171.731041,500,0.0006921887397766113,9,6.500341892242432,10,180000.0,1176.894470458,0.9953126907348633,0.3076845109462738,0.00015920271107461303,6.063032627105713,-0.43169131875038147,1.0002250671386719,1057.9676513671875,5.173129081726074,8.472248077392578,-2.7715282440185547,24.420000076293945,0.3076845109462738,109.15264129638672,1.0002250671386719,0.7511167526245117,0.13983213901519775,1.0002250671386719,1,0.1014421284198761,0
1.0681151962899094e-08,1.4066667556762695,169.52626037597656,0.44563594460487366,-0.028793247416615486,0.3485475182533264,9,0.7821350693702698,0.0002185458579333499,117.97582244873047,0.34015947580337524,0,-2.835625648498535,1743329289.7769582,500,-0.0003112033009529114,10,3.6647162437438965,10,200000.0,1295.338724215,0.9891295433044434,0.34015947580337524,0.0005607216735370457,5.139324188232422,-0.06565649062395096,1.0007929801940918,1176.0130615234375,3.728878974914551,8.490249633789062,-0.25190234184265137,18.459999084472656,0.34015947580337524,109.48555755615234,1.0007929801940918,-1.4442501068115234,0.1385566145181656,1.0007929801940918,1,0.10070928931236267,0
