Loss/Loss_reward_critic/Delta,Loss/Loss_pi/Delta,_runtime,Loss/Loss_reward_critic,Time/Update,Time/Total,Time/Rollout,Train/PolicyRatio/Max,Loss/Loss_pi,Metrics/LagrangeMultiplier,Train/PolicyRatio/Std,Train/KL,Metrics/EpCost,_step,Metrics/EpLen,Time/Epoch,Train/StopIter,Train/PolicyStd,Train/PolicyRatio/Min,_timestamp,Value/reward,Train/Entropy,Metrics/LagrangeMultiplier/Std,TotalEnvSteps,Metrics/LagrangeMultiplier/Max,Value/Adv,Loss/Loss_cost_critic/Delta,Train/LR,Train/Epoch,Metrics/LagrangeMultiplier/Min,Value/cost,Metrics/EpRet,Time/FPS,Loss/Loss_cost_critic,Train/PolicyRatio
0.01005141343921423,-0.006548020057380199,598.296167224,0.01005141343921423,56.09181594848633,296.98980712890625,240.8973388671875,1.0001589059829712,-0.006548020057380199,0.035999998450279236,0.009432605467736721,0.006593360565602779,51.75,1,1000,296.9892272949219,40,0.98876953125,1.0001589059829712,1743327079.1974952,0.24850276112556458,1.4076330661773682,0,20000.0,0.035999998450279236,-0.0086992047727108,5.796024322509766,0.0002969999914057553,0,0.035999998450279236,0.0726335421204567,-0.525955319404602,67.34251403808594,5.796024322509766,1.0001589059829712
-0.006819709669798613,-0.005950920283794403,896.879492442,0.003231703769415617,59.759765625,597.4688110351562,240.64234924316406,1.0010159015655518,-0.012498940341174603,0.07090410590171814,0.011726126074790955,0.009890089742839336,69.0999984741211,2,1000,300.4021911621094,40,0.9832726120948792,1.0010159015655518,1743327379.6802168,0.1886967569589615,1.4020591974258423,0,40000.0,0.07090410590171814,-0.06786811351776123,1.0967044830322266,0.00029399999766610563,1,0.07090410590171814,1.0202927589416504,-0.3414396047592163,66.57740783691406,6.892728805541992,1.0010159015655518
0.004582347813993692,0.0006362348794937134,1195.622951846,0.00781405158340931,57.80355453491211,896.0402221679688,240.68980407714844,1.0004483461380005,-0.011862705461680889,0.10591418296098709,0.012319521978497505,0.012178275734186172,77.83333587646484,3,1000,298.493408203125,40,0.9622961282730103,1.0004483461380005,1743327678.2634678,0.15713658928871155,1.380470633506775,0,60000.0,0.10591418296098709,-0.1568290889263153,-1.0559453964233398,0.000291000003926456,2,0.10591418296098709,1.9304012060165405,0.14592082798480988,67.00315856933594,5.836783409118652,1.0004483461380005
0.003803567960858345,-0.0025512613356113434,1495.381157681,0.011617619544267654,57.251869201660156,1194.802001953125,241.42015075683594,0.9996505975723267,-0.014413966797292233,0.14106950163841248,0.012225384823977947,0.012563170865178108,79.98750305175781,4,1000,298.6720886230469,40,0.9362049698829651,0.9996505975723267,1743327977.0066092,0.14706330001354218,1.3529603481292725,0,80000.0,0.14106950163841248,-0.03685871511697769,0.3660430908203125,0.0002880000101868063,3,0.14106950163841248,3.165076732635498,0.7044267058372498,66.96307373046875,6.202826499938965,0.9996505975723267
-0.001497136428952217,0.0007288036867976189,1785.330548222,0.010120483115315437,58.0859260559082,1494.562255859375,241.6029052734375,0.9994615316390991,-0.013685163110494614,0.17634572088718414,0.011584507301449776,0.00907969195395708,81.02999877929688,5,1000,299.6888732910156,40,0.9185477495193481,0.9994615316390991,1743328276.765199,0.15113428235054016,1.3339561223983765,0,100000.0,0.17634572088718414,-0.030219905078411102,-2.0813941955566406,0.0002849999873433262,4,0.17634572088718414,3.368577718734741,1.0347306728363037,66.73587799072266,4.121432304382324,0.9994614720344543
0.0034966878592967987,-0.003996219485998154,2085.413280119,0.013617170974612236,49.860694885253906,1784.514404296875,240.02076721191406,0.9996971487998962,-0.017681382596492767,0.21177980303764343,0.012287620455026627,0.012021907605230808,87.61000061035156,6,1000,289.8815002441406,40,0.8972190022468567,0.9996971487998962,1743328566.714644,0.18171830475330353,1.3104573488235474,0,120000.0,0.21177980303764343,0.06290892511606216,-0.0952005386352539,0.00028199999360367656,5,0.21177980303764343,4.486300945281982,1.6975390911102295,68.99371337890625,4.02623176574707,0.9996971487998962
0.001054159365594387,-0.0013048499822616577,2389.477385533,0.014671330340206623,60.81964874267578,2084.585693359375,239.18374633789062,1.0005491971969604,-0.018986232578754425,0.24736204743385315,0.012609118595719337,0.013632997870445251,89.98999786376953,7,1000,300.00347900390625,40,0.878751814365387,1.0005491971969604,1743328866.7972753,0.25695058703422546,1.2896050214767456,0,140000.0,0.24736204743385315,0.052100732922554016,0.3527259826660156,0.0002789999998640269,6,0.24736204743385315,6.098912715911865,2.8200860023498535,66.6658935546875,4.378957748413086,1.0005491971969604
-0.0024386970326304436,-0.0023735836148262024,2684.151802489,0.01223263330757618,61.52740478515625,2388.62255859375,242.43051147460938,1.001217246055603,-0.021359816193580627,0.28301456570625305,0.012597581371665001,0.01601969450712204,87.0,8,1000,303.9579772949219,40,0.8590916991233826,1.001217246055603,1743329170.8613305,0.2236098200082779,1.2670186758041382,0,160000.0,0.28301456570625305,0.18444271385669708,-0.8879470825195312,0.00027600000612437725,7,0.28301456570625305,4.832278728485107,3.2920587062835693,65.79856872558594,3.4910106658935547,1.001217246055603
-8.848495781421661e-05,-0.005132520571351051,2988.81956953,0.012144148349761963,52.380096435546875,2683.327880859375,242.21766662597656,1.0022263526916504,-0.02649233676493168,0.31886428594589233,0.012681283056735992,0.01409388892352581,97.16999816894531,9,1000,294.59783935546875,40,0.8500120639801025,1.0022263526916504,1743329465.5354927,0.2796027362346649,1.2563247680664062,0,180000.0,0.31886428594589233,0.14217627048492432,1.2491569519042969,0.0002730000123847276,8,0.31886428594589233,7.003030300140381,3.5769853591918945,67.88916015625,4.740167617797852,1.0022263526916504
0.002238266170024872,-0.00018089637160301208,3291.021086732,0.014382414519786835,60.53017044067383,2987.998779296875,244.06626892089844,1.0002659559249878,-0.02667323313653469,0.3548559844493866,0.013541053980588913,0.015561637468636036,96.30999755859375,10,1000,304.5965270996094,40,0.8393015265464783,1.0002659559249878,1743329770.203331,0.34270063042640686,1.2436580657958984,0,200000.0,0.3548559844493866,-0.19500115513801575,-0.7045207023620605,0.0002699999895412475,9,0.3548559844493866,7.391961097717285,4.030369281768799,65.66062927246094,4.035646915435791,1.0002659559249878
