Metrics/LagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Std,Train/PolicyRatio/Max,Metrics/EpCost,Loss/Loss_cost_critic,Time/Update,_step,Time/FPS,Train/StopIter,TotalEnvSteps,_runtime,Safety/ShieldLagrangeMultiplier/Min,Time/Rollout,Metrics/LagrangeMultiplier/Min,Loss/Loss_reward_critic,Train/PolicyRatio/Std,Train/PolicyRatio,Safety/shield_violation,_timestamp,Loss/Loss_pi,Value/reward,Safety/EpCostShield,Train/LR,Safety/shield_adv_c,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier/Max,Time/Total,Loss/Loss_pi/Delta,Value/Adv,Train/PolicyStd,Train/KL,Loss/Loss_reward_critic/Delta,Train/Epoch,Metrics/EpRet,Train/PolicyRatio/Min,Metrics/LagrangeMultiplier,Value/cost,Safety/ShieldLagrangeMultiplier/Max,Train/Entropy,Safety/ShieldLagrangeMultiplier,Time/Epoch,Metrics/EpLen
0,0,1.0027011632919312,127.7750015258789,56.29012680053711,94.96624755859375,1,88.3613052368164,40,20000.0,428.278379156,0.044999994337558746,131.37710571289062,0.03599999472498894,0.01359251607209444,0.00938014592975378,1.0027011632919312,0.060434747487306595,1746537060.422523,-0.35978248715400696,-0.05766931176185608,167.60000610351562,0.0002969999914057553,NaN,56.29012680053711,0.03599999472498894,226.34475708007812,-0.35978248715400696,0.2294117510318756,0.9903285503387451,0.008827082812786102,0.01359251607209444,0,-0.3531848192214966,1.0027011632919312,0.03599999472498894,0.05830250307917595,0.044999994337558746,1.4091920852661133,0.044999994337558746,226.3434295654297,500
0,0,1.0037065744400024,145.7375030517578,42.14613723754883,95.322021484375,2,99.51367950439453,40,40000.0,622.759085225,0.0800473690032959,105.65531921386719,0.07104432582855225,0.011652619577944279,0.011053496971726418,1.0037065744400024,5.378704071044922,1746537261.457516,-0.2872827351093292,-0.04947756230831146,187.14999389648438,0.00029399999766610563,NaN,-14.143989562988281,0.07104432582855225,427.3780822753906,0.07249975204467773,-0.22813229262828827,0.9662359952926636,0.010307177901268005,-0.0019398964941501617,1,-0.050167083740234375,1.0037065744400024,0.07104432582855225,4.4955267906188965,0.0800473690032959,1.384570837020874,0.0800473690032959,200.97740173339844,500
0,0,1.006339430809021,127.93000030517578,41.695247650146484,94.29666900634766,3,102.86800384521484,40,60000.0,819.232736446,0.11352550983428955,100.1271743774414,0.10597072541713715,0.009083688259124756,0.013029114343225956,1.006339430809021,7.049499034881592,1746537455.938268,-0.3658974766731262,-0.025753775611519814,100.9749984741211,0.000291000003926456,NaN,-0.45088958740234375,0.10597072541713715,621.8607788085938,-0.078614741563797,-0.008464977145195007,0.9272173047065735,0.013490479439496994,-0.002568931318819523,2,0.21657684445381165,1.006339430809021,0.10597072541713715,5.53557014465332,0.11352550983428955,1.343300700187683,0.11352550983428955,194.42391967773438,500
0,0,1.005265712738037,120.45999908447266,60.105369567871094,93.93950653076172,4,101.82369232177734,40,80000.0,1015.977602061,0.14747391641139984,102.47834777832031,0.14073434472084045,0.009754548780620098,0.011905262246727943,1.005265712738037,13.110610961914062,1746537652.411923,-0.2817822992801666,0.0303989015519619,158.97500610351562,0.0002880000101868063,NaN,18.41012191772461,0.14073434472084045,818.3326416015625,0.0841151773929596,0.02418072149157524,0.9029467701911926,0.010524864308536053,0.0006708605214953423,3,0.821767270565033,1.005265712738037,0.14073434472084045,10.656564712524414,0.14747391641139984,1.3166701793670654,0.14747391641139984,196.41793823242188,500
0,0,1.0082467794418335,118.95999908447266,61.66561508178711,94.4587173461914,5,101.6904296875,40,100000.0,1215.394270101,0.18127721548080444,102.21656036376953,0.175387442111969,0.011718838475644588,0.012813934125006199,1.0082467794418335,13.382097244262695,1746537849.1568694,-0.3176657557487488,0.09839608520269394,129.1750030517578,0.0002849999873433262,NaN,1.5602455139160156,0.175387442111969,1015.065185546875,-0.03588345646858215,0.09108492732048035,0.8726063370704651,0.014671887271106243,0.0019642896950244904,4,1.6562674045562744,1.0082467794418335,0.175387442111969,10.772539138793945,0.18127721548080444,1.2822281122207642,0.18127721548080444,196.67535400390625,500
0,0,1.006109595298767,139.86000061035156,96.35152435302734,94.96662139892578,6,100.32185363769531,40,120000.0,1412.899430455,0.21559883654117584,104.39167785644531,0.21024125814437866,0.01787920482456684,0.012775637209415436,1.006109595298767,20.45794677734375,1746538048.5712678,-0.24372659623622894,0.1912480592727661,183.72500610351562,0.00028199999360367656,NaN,34.685909271240234,0.21024125814437866,1214.4921875,0.07393915951251984,0.15748968720436096,0.8402015566825867,0.013366639614105225,0.006160366348922253,5,2.5180838108062744,1.006109595298767,0.21024125814437866,16.763931274414062,0.21559883654117584,1.2443212270736694,0.21559883654117584,199.3583526611328,500
0,0,1.0073118209838867,119.4800033569336,95.84135437011719,95.85365295410156,7,101.29342651367188,40,140000.0,1608.728933018,0.24989205598831177,101.59246063232422,0.24496158957481384,0.02523333765566349,0.012807486578822136,1.0073118209838867,20.1453914642334,1746538246.0786934,-0.31329357624053955,0.2779678404331207,144.89999389648438,0.0002789999998640269,NaN,-0.5101699829101562,0.24496158957481384,1411.99462890625,-0.06956698000431061,0.27651989459991455,0.8137378096580505,0.014392552897334099,0.007354132831096649,6,3.0090136528015137,1.0073118209838867,0.24496158957481384,15.797114372253418,0.24989205598831177,1.2124552726745605,0.24989205598831177,197.44618225097656,500
0,0,1.0088355541229248,112.66999816894531,86.19685363769531,95.98117065429688,8,102.1629638671875,40,160000.0,1801.718942254,0.2836386561393738,99.78443145751953,0.279470831155777,0.024385178461670876,0.013379007577896118,1.0088355541229248,18.78642463684082,1746538441.9081001,-0.37982189655303955,0.4111611247062683,112.9749984741211,0.00027600000612437725,NaN,-9.644500732421875,0.279470831155777,1607.8203125,-0.0665283203125,-0.11805717647075653,0.7812960147857666,0.014597921632230282,-0.0008481591939926147,7,3.675962209701538,1.0088355541229248,0.279470831155777,13.688587188720703,0.2836386561393738,1.1717973947525024,0.2836386561393738,195.7656707763672,500
0,0,1.0094776153564453,81.0999984741211,82.62628936767578,94.7988510131836,9,103.66241455078125,40,180000.0,1996.631464754,0.3166738748550415,98.13505554199219,0.3131253719329834,0.03147082030773163,0.014231273904442787,1.0094774961471558,18.008495330810547,1746538634.8982298,-0.39224496483802795,0.49411094188690186,98.32499694824219,0.0002730000123847276,NaN,-3.5705642700195312,0.3131253719329834,1800.817626953125,-0.012423068284988403,-0.14501380920410156,0.7543554902076721,0.018549306318163872,0.007085641846060753,8,4.08289909362793,1.0094776153564453,0.3131253719329834,13.270752906799316,0.3166738748550415,1.1363565921783447,0.3166738748550415,192.9339599609375,500
0,0,1.0091348886489868,81.08000183105469,87.3887939453125,94.20172119140625,10,102.64659118652344,40,200000.0,2188.182480024,0.3494282364845276,100.64151763916016,0.3461095094680786,0.037508055567741394,0.014554954133927822,1.0091347694396973,18.67169189453125,1746538829.8105762,-0.3513220250606537,0.582763671875,111.3499984741211,0.0002699999895412475,NaN,4.762504577636719,0.3461095094680786,1995.7188720703125,0.04092293977737427,0.3508048951625824,0.7260277271270752,0.017041562125086784,0.006037235260009766,9,5.038299560546875,1.0091348886489868,0.3461095094680786,13.60179328918457,0.3494282364845276,1.0979434251785278,0.3494282364845276,194.8433074951172,500
