Metrics/EpLen,Train/PolicyStd,Train/PolicyRatio/Max,TotalEnvSteps,_runtime,Loss/Loss_pi,Loss/Loss_reward_critic/Delta,Metrics/EpCost,Metrics/LagrangeMultiplier/Std,Time/Rollout,Train/Entropy,Loss/Loss_cost_critic,Misc/FinalStepNorm,Misc/Alpha,Metrics/LagrangeMultiplier,Misc/AcceptanceStep,Train/KL,Metrics/EpRet,Time/Update,Loss/Loss_pi/Delta,Misc/xHx,Time/Epoch,Train/LR,Train/Epoch,_timestamp,Value/cost,Value/reward,Metrics/LagrangeMultiplier/Min,Time/FPS,Misc/gradient_norm,Train/PolicyRatio/Std,_step,Value/Adv,Time/Total,Misc/H_inv_g,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier/Max,Train/PolicyRatio,Train/PolicyRatio/Min,Train/StopIter,Loss/Loss_reward_critic
1000,1.002005696296692,1.0004279613494873,20000.0,188.268724341,-0.0056777223944664,0.007092447951436043,10.399999618530273,0,85.56289672851562,1.4208946228027344,0.9109030365943909,0.2440609633922577,2.3014965057373047,0.03599999472498894,1,0.00039031406049616635,-2.8631606101989746,8.539102554321289,-0.0056777223944664,0.0037757933605462313,94.10202026367188,0,0,1743314608.9851463,-0.18963153660297394,0.015578561462461948,0.03599999472498894,212.53529357910156,0.07519794255495071,0.00030255818273872137,1,9.53674295089968e-09,94.1030044555664,0.1060444638133049,0.9109030365943909,0.03599999472498894,1.0004278421401978,1.0004279613494873,10,0.007092447951436043
1000,1.0018463134765625,0.9998364448547363,40000.0,283.124417325,-0.009547079913318157,0.0006743050180375576,7.650000095367432,0,84.64910125732422,1.42072594165802,0.6371511816978455,0.21383903920650482,1.3730664253234863,0.0703258290886879,1,0.0004395031137391925,-2.362018585205078,8.476536750793457,-0.003869357518851757,0.010608315467834473,93.12566375732422,0,1,1743314702.2176163,0.5176444053649902,-0.04678456857800484,0.0703258290886879,214.76358032226562,0.14157064259052277,0.00011565095337573439,2,-1.525878801089675e-08,187.28704833984375,0.15573830902576447,-0.2737518548965454,0.0703258290886879,0.9998364448547363,0.9998364448547363,10,0.0077667529694736
1000,1.0006132125854492,1.0007531642913818,60000.0,377.406877912,-0.009600549004971981,-0.001051269005984068,11.783333778381348,0,86.22332763671875,1.4194774627685547,0.6862345933914185,0.21672660112380981,1.3892300128936768,0.10499611496925354,1,0.00046568969264626503,-1.8779762983322144,8.482789993286133,-5.346909165382385e-05,0.01036289893090725,94.70613861083984,0,2,1743314797.0733185,0.4925587773323059,-0.06293167918920517,0.10499611496925354,211.1795654296875,0.14441464841365814,0.0005324551602825522,3,-6.103515470812226e-09,282.0984802246094,0.15600483119487762,0.049083411693573,0.10499611496925354,1.0007530450820923,1.0007531642913818,10,0.0067154839634895325
1000,0.9925146102905273,1.000003695487976,80000.0,471.418837717,-0.009957420639693737,-0.0037456622812896967,10.787500381469727,0,85.69823455810547,1.4113798141479492,0.6945934295654297,0.32806986570358276,1.4768470525741577,0.1398470252752304,1,0.00030043060542084277,-1.388489842414856,8.494800567626953,-0.000356871634721756,0.009169770404696465,94.19306182861328,0,3,1743314891.3558571,0.7679274678230286,-0.04042140021920204,0.1398470252752304,212.32986450195312,0.08568214625120163,2.5853121314867167e-06,4,0.0,376.44049072265625,0.2221420705318451,0.00835883617401123,0.1398470252752304,1.000003695487976,1.000003695487976,10,0.0029698216821998358
1000,0.9885926246643066,1.0014375448226929,100000.0,565.183073956,-0.010736954398453236,-0.00020450935699045658,11.390000343322754,0,85.43710327148438,1.4074441194534302,0.7827929854393005,0.3251875042915344,1.4785099029541016,0.17486831545829773,1,0.00037066289223730564,-1.060204029083252,8.520686149597168,-0.0007795337587594986,0.009149155579507351,93.95780944824219,0,4,1743314985.3678467,1.120698094367981,-0.04251842200756073,0.17486831545829773,212.8614959716797,0.08458316326141357,0.0010165257845073938,5,-2.2888182460434336e-09,470.492919921875,0.21994273364543915,0.08819955587387085,0.17486831545829773,1.0014375448226929,1.0014375448226929,10,0.002765312325209379
1000,0.9829497337341309,0.9992117881774902,120000.0,658.145005645,-0.011049103923141956,-0.0008383954409509897,11.670000076293945,0,85.20010375976562,1.4017223119735718,1.1486355066299438,0.3382049798965454,1.4264570474624634,0.2100323885679245,1,0.0003319414099678397,-0.4174012243747711,8.488788604736328,-0.0003121495246887207,0.009829064831137657,93.68891906738281,0,5,1743315079.1320436,1.7170542478561401,-0.03383578360080719,0.2100323885679245,213.472412109375,0.05586826428771019,0.000557321822270751,6,-1.7929076889799944e-08,564.2313842773438,0.23709441721439362,0.3658425211906433,0.2100323885679245,0.9992117881774902,0.9992117881774902,10,0.0019269168842583895
1000,0.9756105542182922,0.9988203048706055,140000.0,751.532872895,-0.0076763746328651905,0.008580311900004745,14.1899995803833,0,84.44037628173828,1.3942359685897827,1.1631907224655151,0.30697956681251526,1.4688618183135986,0.24547597765922546,1,0.0002883726847358048,-0.012252121232450008,8.46527099609375,0.003372729290276766,0.009269741363823414,92.9056625366211,0,6,1743315172.0940175,1.0002394914627075,-0.021000485867261887,0.24547597765922546,215.27212524414062,0.07390012592077255,0.0008341704378835857,7,0.0,657.2122192382812,0.20899145305156708,0.014555215835571289,0.24547597765922546,0.9988203048706055,0.9988203048706055,10,0.010507228784263134
1000,0.9763547778129578,1.0000483989715576,160000.0,843.388147847,-0.00896067637950182,-0.007337952731177211,18.260000228881836,0,84.80799865722656,1.3949393033981323,1.8122621774673462,0.32772040367126465,1.6101744174957275,0.2811826467514038,1,0.0003120822075288743,0.2889421582221985,8.491950035095215,-0.001284301746636629,0.007714070379734039,93.29998016357422,0,7,1743315265.4818518,1.2482123374938965,-0.01486104167997837,0.2811826467514038,214.36233520507812,0.07753926515579224,3.422344889258966e-05,8,-6.103515470812226e-09,750.5682983398438,0.20353101193904877,0.649071455001831,0.2811826467514038,1.000048279762268,1.0000483989715576,10,0.003169276053085923
1000,0.9702088236808777,0.9994484782218933,180000.0,936.389117527,-0.006773187313228846,-0.00041803927160799503,17.5,0,83.21492004394531,1.3885787725448608,0.5727458000183105,0.3040497899055481,2.058164596557617,0.3171856999397278,1,0.0003371268103364855,0.2658809721469879,8.482379913330078,0.002187489066272974,0.004721379838883877,91.69732666015625,0,8,1743315357.3371108,1.2134958505630493,-0.0025529193226248026,0.3171856999397278,218.10887145996094,0.07643291354179382,0.0003899707517120987,9,-1.0299681996173149e-08,842.3538208007812,0.14772860705852509,-1.2395163774490356,0.3171856999397278,0.9994484782218933,0.9994484782218933,10,0.002751236781477928
1000,0.9594444632530212,1.0003905296325684,200000.0,1028.209976537,-0.008912187069654465,0.001397433690726757,18.6299991607666,0,84.4697494506836,1.3774852752685547,0.9019860625267029,0.29457640647888184,1.5769879817962646,0.3534872531890869,1,0.00033350728335790336,0.32824066281318665,8.480467796325684,-0.002138999756425619,0.00804215855896473,92.95024108886719,0,9,1743315450.3380694,1.0586010217666626,0.004332312382757664,0.3534872531890869,215.1688995361328,0.1057274118065834,0.00027614616556093097,10,-7.629394005448376e-09,935.4629516601562,0.1867968589067459,0.32924026250839233,0.3534872531890869,1.0003905296325684,1.0003905296325684,10,0.004148670472204685
