Train/Entropy,Loss/Loss_cost_critic/Delta,_runtime,Metrics/LagrangeMultiplier/Max,Loss/Loss_cost_critic,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic/Delta,Time/FPS,Value/Adv,Train/StopIter,Train/KL,Metrics/EpCost,Loss/Loss_pi,Train/PolicyRatio/Min,Value/cost,Train/Epoch,Time/Update,Train/PolicyRatio,Train/PolicyRatio/Std,Value/reward,Loss/Loss_pi/Delta,_timestamp,Train/PolicyRatio/Max,Metrics/EpLen,Metrics/LagrangeMultiplier/Min,Metrics/EpRet,Train/PolicyStd,Metrics/LagrangeMultiplier/Std,Time/Rollout,Loss/Loss_reward_critic,Train/LR,Time/Total,Time/Epoch,_step,TotalEnvSteps
1.4191969633102417,3.444992780685425,560.307151493,0.03599999472498894,3.444992780685425,0.03599999472498894,0.007488249335438013,71.23672485351562,0.1076333224773407,40,0.006898954510688782,47.75,-0.004234949126839638,0.9995078444480896,-0.14214922487735748,0,50.85380172729492,0.9995078444480896,0.009241272695362568,0.05597032979130745,-0.004234949126839638,1743312385.971552,0.9995078444480896,1000,0.03599999472498894,-1.0987179279327393,1.0002681016921997,0,229.90020751953125,0.007488249335438013,0.0002969999914057553,280.7547607421875,280.7540588378906,1,20000.0
1.4261685609817505,-1.3812260627746582,841.308455837,0.0703355222940445,2.0637667179107666,0.0703355222940445,-0.0034534591250121593,71.72035217285156,-0.2400200068950653,40,0.009225934743881226,35.224998474121094,-0.010700867511332035,0.9989574551582336,0.01688910461962223,1,51.18812942504883,0.9989574551582336,0.013892114162445068,0.02103300206363201,-0.006465918384492397,1743312664.8933156,0.9989574551582336,1000,0.0703355222940445,-0.8146465420722961,1.0072661638259888,0,227.67271423339844,0.004034790210425854,0.00029399999766610563,559.6759033203125,278.8608703613281,2,40000.0
1.4279648065567017,0.8904922008514404,1121.402795288,0.1044132187962532,2.954258918762207,0.1044132187962532,0.0037669166922569275,71.18891906738281,0.05467931181192398,40,0.010917272418737411,33.150001525878906,-0.00828449334949255,0.9971711039543152,0.9629080891609192,2,51.33746337890625,0.9971711039543152,0.012271730229258537,0.03218207508325577,0.002416374161839485,1743312945.8943837,0.9971711039543152,1000,0.1044132187962532,-0.2694791257381439,1.0091224908828735,0,229.60507202148438,0.007801706902682781,0.000291000003926456,840.6781616210938,280.9425964355469,3,60000.0
1.4193391799926758,1.0534472465515137,1402.104402717,0.1386159360408783,4.007706165313721,0.1386159360408783,-0.0002258378081023693,71.41897583007812,-0.20636937022209167,40,0.012785523198544979,36.224998474121094,-0.006891620345413685,0.9985831379890442,1.6940758228302002,3,51.174720764160156,0.9985831379890442,0.011536474339663982,0.05730364844202995,0.001392873004078865,1743313225.9789715,0.9985831379890442,1000,0.1386159360408783,0.24347487092018127,1.0005711317062378,0,228.86285400390625,0.007575869094580412,0.0002880000101868063,1120.7747802734375,280.0376281738281,4,80000.0
1.3954424858093262,-0.1578049659729004,1682.115869101,0.17312808334827423,3.8499011993408203,0.17312808334827423,0.0034828628413379192,71.26219940185547,0.06995286047458649,40,0.0094578443095088,41.63999938964844,-0.009099353104829788,1.0006557703018188,2.3704395294189453,4,51.061309814453125,1.0006557703018188,0.01083058025687933,0.11082658916711807,-0.0022077327594161034,1743313506.6904504,1.0006557703018188,1000,0.17312808334827423,0.716025173664093,0.9769778251647949,0,229.59234619140625,0.011058731935918331,0.0002849999873433262,1401.4713134765625,280.6537170410156,5,100000.0
1.3727364540100098,-0.18992233276367188,1962.098268343,0.20798708498477936,3.6599788665771484,0.20798708498477936,-0.00024603959172964096,71.44041442871094,-0.16440759599208832,40,0.0071591464802622795,47.400001525878906,-0.007391992956399918,1.000502109527588,3.217273473739624,5,51.21833038330078,1.000502109527588,0.01003964152187109,0.09645510464906693,0.0017073601484298706,1743313786.702053,1.000502109527588,1000,0.20798708498477936,1.4533777236938477,0.9550079703330994,0,228.73521423339844,0.01081269234418869,0.00028199999360367656,1681.4874267578125,279.9535827636719,6,120000.0
1.3544949293136597,1.0965213775634766,2242.200209525,0.2432103455066681,4.756500244140625,0.2432103455066681,0.00467234943062067,71.45489501953125,0.3422839343547821,40,0.008750979788601398,59.47999954223633,-0.011308358982205391,0.9996738433837891,4.4224958419799805,6,51.28361129760742,0.9996738433837891,0.01062457263469696,0.15486453473567963,-0.003916366025805473,1743314066.6841383,0.9996738433837891,1000,0.2432103455066681,2.3152477741241455,0.9377157092094421,0,228.61318969726562,0.01548504177480936,0.0002789999998640269,1961.443603515625,279.8968505859375,7,140000.0
1.3463516235351562,-1.4666695594787598,2520.588496738,0.27877235412597656,3.2898306846618652,0.27877235412597656,-0.00015795789659023285,71.41951751708984,0.1347166746854782,40,0.009203579276800156,68.05999755859375,-0.011328893713653088,1.00062096118927,4.642401695251465,7,51.14680099487305,1.00062096118927,0.010489683598279953,0.2029595673084259,-2.0534731447696686e-05,1743314346.7860703,1.00062096118927,1000,0.27877235412597656,3.062518358230591,0.9300259351730347,0,228.88864135742188,0.015327083878219128,0.00027600000612437725,2241.562744140625,280.0354919433594,8,160000.0
1.335089087486267,0.48416972160339355,2805.885347645,0.31467872858047485,3.774000406265259,0.31467872858047485,0.0006097303703427315,71.87649536132812,0.17437517642974854,40,0.009307187050580978,73.08999633789062,-0.012139233760535717,0.9992674589157104,4.642714977264404,8,51.06694412231445,0.9992673993110657,0.010868246667087078,0.2515365183353424,-0.0008103400468826294,1743314625.166956,0.9992674589157104,1000,0.31467872858047485,3.52561092376709,0.9195919036865234,0,227.18807983398438,0.01593681424856186,0.0002730000123847276,2519.8837890625,278.25506591796875,9,180000.0
1.3252447843551636,-0.4308338165283203,3078.995485579,0.3509003221988678,3.3431665897369385,0.3509003221988678,7.4753537774086e-05,70.13174438476562,0.22663280367851257,40,0.008478007279336452,72.66999816894531,-0.012976235710084438,0.9991433620452881,4.976315021514893,9,59.08202362060547,0.9991433024406433,0.01069946214556694,0.29057157039642334,-0.0008370019495487213,1743314910.4711063,0.9991433620452881,1000,0.3509003221988678,4.154109477996826,0.9105858206748962,0,226.09548950195312,0.016011567786335945,0.0002699999895412475,2805.190673828125,285.17755126953125,10,200000.0
