Misc/AcceptanceStep,_runtime,Safety/shield_adv_c,Value/Adv,Train/PolicyStd,Loss/Loss_cost_critic,Safety/shield_violation,Metrics/LagrangeMultiplier/Std,Metrics/EpLen,Time/Total,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Loss/Loss_cost_critic/Delta,Safety/ShieldLagrangeMultiplier/Std,Misc/H_inv_g,Metrics/EpRet,Train/LR,Train/Epoch,Metrics/LagrangeMultiplier,_timestamp,Loss/Loss_reward_critic,Metrics/LagrangeMultiplier/Max,Misc/gradient_norm,_step,TotalEnvSteps,Safety/EpCostShield,Metrics/LagrangeMultiplier/Min,Safety/ShieldLagrangeMultiplier,Value/cost,Value/reward,Train/PolicyRatio,Time/Epoch,Time/Rollout,Train/KL,Train/Entropy,Safety/ShieldLagrangeMultiplier/Max,Train/PolicyRatio/Min,Safety/ShieldLagrangeMultiplier/Min,Train/StopIter,Loss/Loss_pi,Loss/Loss_reward_critic/Delta,Misc/FinalStepNorm,Time/FPS,Time/Update,Metrics/EpCost,Loss/Loss_pi/Delta,Misc/xHx,Misc/Alpha
1,309.690941561,1.8006517887115479,-1.5258788677030566e-09,0.9943533539772034,41.30994415283203,-0.041255656629800797,0,500,172.31521606445312,0.9993485808372498,0.00046063694753684103,41.30994415283203,0,0.1413627415895462,0.06313832104206085,0,0,0.03599999472498894,1746571794.9547799,0.009430291131138802,0.03599999472498894,0.03723042830824852,1,20000.0,68.5999984741211,0.03599999472498894,0.044999994337558746,-0.044191502034664154,0.06454577296972275,0.9993485808372498,172.31398010253906,153.26400756835938,0.00021385234140325338,1.4132390022277832,0.044999994337558746,0.9993485808372498,0.044999994337558746,10,-0.0067843967117369175,0.009430291131138802,0.34811240434646606,116.06719207763672,19.049938201904297,45.70000076293945,-0.0067843967117369175,0.0032980679534375668,2.4625470638275146
1,443.861476046,2.8608663082122803,-2.2888182460434336e-09,0.9955201148986816,42.23043441772461,3.81284761428833,0,500,308.74755859375,1.0000512599945068,3.6246485251467675e-05,0.9204902648925781,0,0.1813495010137558,0.3351753354072571,0,1,0.07071651518344879,1746571931.389747,0.010200352407991886,0.07071651518344879,0.051722072064876556,2,40000.0,105.875,0.07071651518344879,0.07960891723632812,2.3238062858581543,0.06596418470144272,1.0000511407852173,136.37240600585938,117.37451171875,0.00025844763149507344,1.4144269227981567,0.07960891723632812,1.0000512599945068,0.07960891723632812,10,0.07834010571241379,0.0007700612768530846,0.3458103537559509,146.65724182128906,18.99784278869629,67.4124984741211,0.0851245024241507,0.005500294268131256,1.9068723917007446
1,581.879801223,2.3954885005950928,1.907348501362094e-09,0.9897980690002441,49.96430969238281,6.203218936920166,0,500,442.9183654785156,0.9993981719017029,0.0004255707608535886,7.733875274658203,0,0.1944221556186676,0.7941715121269226,0,2,0.10551238805055618,1746572065.5603776,0.014363094232976437,0.10551238805055618,0.0682244598865509,3,60000.0,98.32499694824219,0.10551238805055618,0.11445465683937073,5.133224964141846,0.07624771445989609,0.9993981719017029,134.1065673828125,114.60452270507812,0.00034238796797581017,1.4086151123046875,0.11445465683937073,0.9993981719017029,0.11445465683937073,10,0.0852280855178833,0.0041627418249845505,0.3196626603603363,149.13511657714844,19.502023696899414,80.86000061035156,0.006887979805469513,0.007398388814181089,1.6441677808761597
1,719.155146999,0.434134304523468,1.678466787780053e-08,0.9782721400260925,72.09427642822266,9.94760799407959,0,500,580.9349365234375,0.9991143941879272,0.0006262740935198963,22.129966735839844,0,0.21305711567401886,1.603098750114441,0,3,0.14049503207206726,1746572203.5789819,0.016126632690429688,0.14049503207206726,0.08212084323167801,4,80000.0,131.6999969482422,0.14049503207206726,0.14941732585430145,7.3165435791015625,0.1253691464662552,0.9991143345832825,137.9542694091797,118.50196075439453,0.0003655682667158544,1.396886944770813,0.14941732585430145,0.9991143941879272,0.14941732585430145,10,0.1796809583902359,0.0017635384574532509,0.3015092611312866,144.97557067871094,19.452266693115234,89.58999633789062,0.0944528728723526,0.00998666137456894,1.4151569604873657
1,857.647690242,2.094675064086914,-9.918212917625624e-09,0.9745233058929443,70.66621398925781,12.060505867004395,0,500,718.206787109375,0.9988271594047546,0.0008293094579130411,-1.4280624389648438,0,0.18313643336296082,2.2500455379486084,0,4,0.17569121718406677,1746572340.854025,0.021939467638731003,0.17569121718406677,0.0712297111749649,5,100000.0,131.22500610351562,0.17569121718406677,0.18459837138652802,9.4838285446167,0.20815591514110565,0.9988271594047546,137.20701599121094,118.13871765136719,0.00034743527066893876,1.3931035995483398,0.18459837138652802,0.9988271594047546,0.18459837138652802,10,0.18236662447452545,0.005812834948301315,0.30141308903694153,145.76515197753906,19.068269729614258,94.80000305175781,0.0026856660842895508,0.007383371237665415,1.645838975906372
1,995.191930061,0.5742299556732178,2.9754637864698452e-08,0.9674707055091858,74.36872100830078,13.185500144958496,0,500,856.6567993164062,0.9994879961013794,0.0003620695206336677,3.7025070190429688,0,0.19533473253250122,3.0035693645477295,0,5,0.2110673487186432,1746572479.3468235,0.029539620503783226,0.2110673487186432,0.09544596076011658,6,120000.0,116.67500305175781,0.2110673487186432,0.21983149647712708,9.791365623474121,0.2502807676792145,0.9994879364967346,138.38279724121094,119.33419799804688,0.00039257260505110025,1.385851502418518,0.21983149647712708,0.9994879961013794,0.21983149647712708,10,0.11512747406959534,0.007600152865052223,0.28201013803482056,144.52664184570312,19.048561096191406,93.93000030517578,-0.06723915040493011,0.009595309384167194,1.4437276124954224
1,1129.031132425,3.3798093795776367,-1.4877318932349226e-08,0.950373113155365,67.1494140625,12.730374336242676,0,500,994.247802734375,1.0006623268127441,0.0004683357838075608,-7.219306945800781,0,0.224697083234787,3.5844900608062744,0,6,0.24644745886325836,1746572616.8912187,0.035038452595472336,0.24644745886325836,0.11701786518096924,7,140000.0,105.0999984741211,0.24644745886325836,0.25492608547210693,10.050580024719238,0.32735300064086914,1.0006623268127441,137.47994995117188,117.98284149169922,0.00038424445665441453,1.3678979873657227,0.25492608547210693,1.0006623268127441,0.25492608547210693,10,0.09240809828042984,0.00549883209168911,0.2773917317390442,145.4757537841797,19.49707794189453,84.66000366210938,-0.022719375789165497,0.013123134151101112,1.2345141172409058
1,1262.466377974,-0.6568272709846497,6.103515470812226e-09,0.9366818070411682,69.17089080810547,12.890216827392578,0,500,1128.090087890625,1.000509262084961,0.00036010268377140164,2.0214767456054688,0,0.24268536269664764,4.3704071044921875,0,7,0.2816559374332428,1746572750.7300467,0.05180484429001808,0.2816559374332428,0.140256866812706,8,160000.0,81.0250015258789,0.2816559374332428,0.2893868684768677,8.406164169311523,0.45590460300445557,1.000509262084961,133.77989196777344,114.72994232177734,0.00037199919461272657,1.353165626525879,0.2893868684768677,1.000509262084961,0.2893868684768677,10,-0.03608254715800285,0.016766391694545746,0.2793065309524536,149.49929809570312,19.049922943115234,76.61000061035156,-0.1284906454384327,0.01509922556579113,1.1508997678756714
1,1390.72911333,2.0788521766662598,9.918212917625624e-09,0.9382596611976624,53.86658477783203,12.630274772644043,0,500,1261.5238037109375,1.000036597251892,2.5794146495172754e-05,-15.304306030273438,0,0.23870840668678284,4.5281195640563965,0,8,0.315975546836853,1746572884.16519,0.055148810148239136,0.315975546836853,0.16233474016189575,9,180000.0,80.92500305175781,0.315975546836853,0.32336685061454773,7.84138822555542,0.461790531873703,1.000036597251892,133.3737335205078,114.37059783935547,0.0003199756029061973,1.354514718055725,0.32336685061454773,1.000036597251892,0.32336685061454773,10,-0.018826989457011223,0.003343965858221054,0.2992105185985565,149.95457458496094,19.003080368041992,52.97999954223633,0.01725555770099163,0.012729499489068985,1.2534561157226562
1,1516.416643204,-0.5870035886764526,-4.1961669694501325e-09,0.9352701306343079,43.85445785522461,10.108417510986328,0,500,1389.7685546875,1.0015931129455566,0.0011265010107308626,-10.012126922607422,0,0.2678459882736206,4.293354511260986,0,9,0.349371075630188,1746573012.4278934,0.05510815978050232,0.349371075630188,0.10259796679019928,10,200000.0,40.79999923706055,0.349371075630188,0.3556349575519562,6.503071308135986,0.613174557685852,1.0015931129455566,128.1814727783203,108.71656036376953,0.00030090907239355147,1.3510257005691528,0.3556349575519562,1.0015931129455566,0.3556349575519562,10,-0.19909732043743134,-4.0650367736816406e-05,0.32566022872924805,156.02879333496094,19.464881896972656,47.54999923706055,-0.1802703309804201,0.013529149815440178,1.2158488035202026
