_step,Train/PolicyStd,Train/LR,Misc/Alpha,Time/Epoch,_timestamp,Train/PolicyRatio/Std,Safety/shield_violation,Metrics/EpCost,Train/StopIter,TotalEnvSteps,Safety/ShieldLagrangeMultiplier/Std,Metrics/EpLen,Metrics/LagrangeMultiplier,Misc/AcceptanceStep,Value/cost,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier,Loss/Loss_cost_critic,Metrics/EpRet,Safety/shield_adv_c,Train/Epoch,Time/Update,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio,Time/Rollout,Misc/FinalStepNorm,Train/PolicyRatio/Min,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier/Std,Value/Adv,Time/Total,Metrics/LagrangeMultiplier/Max,Time/FPS,Train/Entropy,Train/PolicyRatio/Max,Misc/xHx,Loss/Loss_pi,Misc/H_inv_g,Safety/ShieldLagrangeMultiplier/Min,Value/reward,Loss/Loss_pi/Delta,Safety/ShieldLagrangeMultiplier/Max,Train/KL,_runtime,Loss/Loss_reward_critic,Misc/gradient_norm,Safety/EpCostShield
1,0.9860073924064636,0,2.7273378372192383,156.84214782714844,1746538893.9440637,0.0001347575307590887,-0.1420982927083969,0.0,10,20000.0,0,1000,0.0010000000474974513,1,0.22457954287528992,0.007037007249891758,0.044999994337558746,0.43067052960395813,-1.4699615240097046,-0.0024179541505873203,0,30.18008041381836,0.0010000000474974513,0.9998094439506531,126.66204833984375,0.23537155985832214,0.9998094439506531,0.43067052960395813,0,-8.01086397217432e-09,156.84341430664062,0.0010000000474974513,127.51673889160156,1.4047857522964478,0.9998094439506531,0.0026887506246566772,-0.08663228899240494,0.08630084246397018,0.044999994337558746,0.07503549009561539,-0.08663228899240494,0.044999994337558746,0.00041446159593760967,269.60811308,0.007037007249891758,0.07214077562093735,4.650000095367432
2,0.9863587021827698,0,1.658634901046753,111.60627746582031,1746539005.650242,0.000377130025299266,-0.007332431618124247,0.0,10,40000.0,0,1000,0.0010000000474974513,1,0.1833343505859375,-0.0028206701390445232,0.079320527613163,0.5959994792938232,-0.8825030326843262,0.004482387565076351,1,25.945228576660156,0.0010000000474974513,1.0005334615707397,85.66102600097656,0.23483987152576447,1.0005334615707397,0.1653289496898651,0,1.0681151962899094e-08,268.5805969238281,0.0010000000474974513,179.20138549804688,1.405114769935608,1.0005334615707397,0.007269889581948519,-0.07767215371131897,0.14158624410629272,0.079320527613163,0.06409590691328049,0.008960135281085968,0.079320527613163,0.0004196951922494918,385.17755128,0.004216337110847235,0.12966080009937286,7.949999809265137
3,0.9991804957389832,0,4.285187244415283,115.45764923095703,1746539121.219569,4.714833994512446e-05,0.09136504679918289,3.4833333492279053,10,60000.0,0,1000,0.023358473554253578,1,0.15273718535900116,0.0029189488850533962,0.10784197598695755,7.067286491394043,-0.963801920413971,0.5356481671333313,2,28.088211059570312,0.023358473554253578,1.0000667572021484,87.36941528320312,0.33037734031677246,1.0000667572021484,6.47128701210022,0,7.629394005448376e-09,384.13177490234375,0.023358473554253578,173.22369384765625,1.4176744222640991,1.0000667572021484,0.0010891465935856104,-0.035810645669698715,0.07709752768278122,0.10784197598695755,0.05849035084247589,0.041861508041620255,0.10784197598695755,0.00031193270115181804,500.039520145,0.007135285995900631,0.027979455888271332,33.95000076293945
4,1.011963963508606,0,2.219930410385132,114.74415588378906,1746539236.0820959,0.0007988232537172735,0.9906143546104431,9.774999618530273,10,80000.0,0,1000,0.04866396635770798,1,0.17257031798362732,-0.0037422378081828356,0.13787633180618286,10.17097282409668,-0.7580035328865051,1.2884794473648071,3,25.65226936340332,0.04866396635770798,1.0011297464370728,89.09186553955078,0.33146482706069946,1.0011298656463623,3.1036863327026367,0,-9.155272984173735e-09,498.990966796875,0.04866396635770798,174.30081176757812,1.4302339553833008,1.0011298656463623,0.004058356862515211,-0.01794210635125637,0.14931316673755646,0.13787633180618286,0.04295174032449722,0.017868539318442345,0.13787633180618286,0.00029313014238141477,616.382455377,0.0033930481877177954,0.07228001207113266,50.599998474121094
5,1.0223923921585083,0,2.187516450881958,116.23274230957031,1746539352.424463,0.0003932019753847271,2.591005802154541,9.020000457763672,10,100000.0,0,1000,0.0773320347070694,1,1.1922862529754639,-0.0005280671175569296,0.16934150457382202,6.100978851318359,-0.5361406803131104,0.5637974739074707,4,28.981494903564453,0.0773320347070694,1.0005559921264648,87.251220703125,0.3310740292072296,1.0005559921264648,-4.06999397277832,0,5.340575981449547e-09,615.3306884765625,0.0773320347070694,172.0685577392578,1.4404215812683105,1.0005559921264648,0.004179518669843674,-0.07023901492357254,0.15134698152542114,0.16934150457382202,0.04294225946068764,-0.05229690857231617,0.16934150457382202,0.0003389728080946952,739.416363038,0.002864981070160866,0.055626798421144485,34.25
6,1.032291054725647,0,1.6042709350585938,122.93262481689453,1746539475.458554,0.0006190529093146324,3.135923147201538,15.350000381469727,10,120000.0,0,1000,0.10742682218551636,1,1.5691272020339966,0.000822372967377305,0.19991150498390198,11.602212905883789,-0.22776387631893158,0.9901857972145081,5,29.511337280273438,0.10742682218551636,0.9991245269775391,93.42125701904297,0.3272639811038971,0.9991245269775391,5.50123405456543,0,6.103515470812226e-09,738.3867797851562,0.10742682218551636,162.6907501220703,1.4496760368347168,0.9991245269775391,0.007770948112010956,0.08514513820409775,0.2039954662322998,0.19991150498390198,0.039850447326898575,0.1553841531276703,0.19991150498390198,0.00034404892357997596,858.817303591,0.003687354037538171,0.09046418219804764,99.75
7,1.0236819982528687,0,2.9452223777770996,119.28514862060547,1746539594.8593342,0.00020292302360758185,3.494004249572754,17.09000015258789,10,140000.0,0,1000,0.13896946609020233,1,1.2965949773788452,0.00018344959244132042,0.23088373243808746,4.870343208312988,-0.07832071185112,0.03351220488548279,6,29.26482582092285,0.13896946609020233,0.9997130036354065,90.02030181884766,0.33687636256217957,0.9997130632400513,-6.731869697570801,0,2.2888182460434336e-09,857.76806640625,0.13896946609020233,167.66546630859375,1.4404336214065552,0.9997130632400513,0.0023056422360241413,-0.06934570521116257,0.1143806204199791,0.23088373243808746,0.035547155886888504,-0.15449084341526031,0.23088373243808746,0.0002730591513682157,979.962711521,0.0038708036299794912,0.048700880259275436,41.349998474121094
8,1.0206116437911987,0,1.713058590888977,121.02491760253906,1746539716.0047193,0.00041700093424879014,2.4203526973724365,19.360000610351562,10,160000.0,0,1000,0.17166846990585327,1,0.9807001948356628,0.0008933406788855791,0.2631729245185852,6.203917980194092,0.2383604198694229,-0.016514137387275696,7,29.91573715209961,0.17166846990585327,0.9994103312492371,91.1091537475586,0.2979711890220642,0.9994103312492371,1.3335747718811035,0,6.38961772381208e-09,978.9136352539062,0.17166846990585327,165.25523376464844,1.4352799654006958,0.9994103312492371,0.006815298926085234,0.04962239786982536,0.17394103109836578,0.2631729245185852,0.029459558427333832,0.11896810308098793,0.2631729245185852,0.00030871437047608197,1097.327972936,0.00476414430886507,0.10164964199066162,71.0999984741211
9,1.0171247720718384,0,2.6711556911468506,117.2352066040039,1746539833.3699682,0.0005674370913766325,2.3612682819366455,15.539999961853027,10,180000.0,0,1000,0.20521828532218933,1,1.4031060934066772,0.0008292687125504017,0.2949075400829315,4.459766387939453,0.22465671598911285,0.18576885759830475,8,29.19888687133789,0.20521828532218933,0.9991974830627441,88.03630065917969,0.2969090938568115,0.9991974830627441,-1.7441515922546387,0,-7.629394338515283e-10,1096.2674560546875,0.20521828532218933,170.5972137451172,1.430181622505188,0.9991974830627441,0.0028030448593199253,-0.049576714634895325,0.11115378886461258,0.2949075400829315,0.01980399712920189,-0.09919911250472069,0.2949075400829315,0.00031550286803394556,1213.661846413,0.005593413021415472,0.05666864663362503,33.29999923706055
10,1.003847360610962,0,2.094320297241211,116.21073150634766,1746539949.7038236,0.0006286624120548368,2.8819596767425537,17.690000534057617,10,200000.0,0,1000,0.23955854773521423,1,1.2034142017364502,0.0011212327517569065,0.3264160454273224,5.448142051696777,0.2031038999557495,-0.37875038385391235,9,27.996292114257812,0.23955854773521423,1.0008891820907593,88.21441650390625,0.2793658375740051,1.0008891820907593,0.9883756637573242,0,-1.5258788677030566e-09,1212.61865234375,0.23955854773521423,172.1011505126953,1.4178966283798218,1.0008891820907593,0.004559769295156002,-0.05114506557583809,0.13339214026927948,0.3264160454273224,0.025986161082983017,-0.0015683509409427643,0.3264160454273224,0.00035469478461891413,1326.865937983,0.0067146457731723785,0.08325230330228806,36.349998474121094
11,1.015919804573059,0,2.031156301498413,113.07958984375,1746540062.9079778,0.0002297284227097407,2.8060483932495117,12.260000228881836,10,220000.0,0,1000,0.27390286326408386,1,1.2862194776535034,0.00184579286724329,0.35666826367378235,3.064518451690674,0.3089696168899536,-0.574195921421051,10,28.67238426208496,0.27390286326408386,1.0003248453140259,84.40718078613281,0.29518505930900574,1.0003249645233154,-2.3836236000061035,0,1.5258788677030566e-09,1325.8125,0.27390286326408386,176.8665771484375,1.430650234222412,1.0003249645233154,0.004847774747759104,-0.10239598900079727,0.1453285813331604,0.35666826367378235,0.030920110642910004,-0.05125092342495918,0.35666826367378235,0.0003235652402509004,1443.163813163,0.008560438640415668,0.10359817743301392,21.049999237060547
12,1.0399686098098755,0,2.4210333824157715,116.10708618164062,1746540179.205818,0.0003044688201043755,2.720759868621826,13.300000190734863,10,240000.0,0,1000,0.3084154725074768,1,1.2743581533432007,-0.002041724044829607,0.38699159026145935,4.2311835289001465,0.35521626472473145,-0.10564211755990982,11,28.051393508911133,0.3084154725074768,1.0004305839538574,88.05567169189453,0.32563942670822144,1.0004305839538574,1.1666650772094727,0,0.0,1442.0447998046875,0.3084154725074768,172.25477600097656,1.4543075561523438,1.0004305839538574,0.003412142163142562,-0.043542832136154175,0.1345043033361435,0.38699159026145935,0.048763591796159744,0.0588531568646431,0.38699159026145935,0.00026630505453795195,1557.414282137,0.0065187145955860615,0.06163450703024864,36.54999923706055
13,1.0484919548034668,0,2.4108705520629883,114.15387725830078,1746540293.4569159,0.0013811241369694471,2.579586982727051,10.199999809265137,10,260000.0,0,1000,0.3425197899341583,1,1.2320301532745361,0.0003469330258667469,0.41655781865119934,2.561342477798462,0.3076840043067932,0.06936230510473251,12,28.894437789916992,0.3425197899341583,1.001953125,85.25941467285156,0.3256361484527588,1.001953125,-1.6698410511016846,0,-3.051757735406113e-09,1556.389404296875,0.3425197899341583,175.2021026611328,1.4615672826766968,1.001953125,0.0034409700892865658,-0.08890709280967712,0.13506995141506195,0.41655781865119934,0.019933495670557022,-0.04536426067352295,0.41655781865119934,0.0002613999240566045,1673.395655579,0.006865647621452808,0.06793289631605148,24.450000762939453
14,1.0399683713912964,0,2.360316276550293,115.8864517211914,1746540409.437905,0.00036330585135146976,2.783376932144165,10.449999809265137,10,280000.0,0,1000,0.37633925676345825,1,1.0024374723434448,0.0012187957763671875,0.4460190534591675,3.4794511795043945,0.5058698058128357,0.20860189199447632,13,28.30455780029297,0.37633925676345825,1.0005136728286743,87.58187866210938,0.3080269396305084,1.0005137920379639,0.9181087017059326,0,3.051757735406113e-09,1672.35986328125,0.37633925676345825,172.58273315429688,1.4530071020126343,1.0005137920379639,0.0035899500362575054,-0.05953437089920044,0.13050240278244019,0.4460190534591675,0.05804044008255005,0.029372721910476685,0.4460190534591675,0.00027365016285330057,1784.731570849,0.008084443397819996,0.13033558428287506,31.700000762939453
15,1.0290368795394897,0,1.9002543687820435,111.2455825805664,1746540520.773894,0.0005631099920719862,2.397824287414551,8.729999542236328,10,300000.0,0,1000,0.4095534086227417,1,1.076873779296875,0.0004389537498354912,0.47597330808639526,3.230830669403076,0.47659024596214294,-0.509418785572052,14,26.866161346435547,0.4095534086227417,0.9992036819458008,84.37939453125,0.34002745151519775,0.9992036819458008,-0.24862051010131836,0,5.340575981449547e-09,1783.7064208984375,0.4095534086227417,179.7824249267578,1.4419169425964355,0.9992036819458008,0.005538673140108585,-0.0038321565371006727,0.1789378672838211,0.47597330808639526,0.02672194503247738,0.05570221436209977,0.47597330808639526,0.0002577763225417584,1900.213196628,0.008523397147655487,0.059464309364557266,40.650001525878906
16,1.0189719200134277,0,2.1173245906829834,115.39655303955078,1746540636.2556098,0.00048030546167865396,2.889191150665283,11.890000343322754,10,320000.0,0,1000,0.4429146349430084,1,1.402863621711731,0.00042815785855054855,0.5061848759651184,5.13474178314209,0.4556301236152649,0.009997785091400146,15,28.975252151489258,0.4429146349430084,0.9993207454681396,86.42127990722656,0.32444119453430176,0.9993207454681396,1.9039111137390137,0,0.0,1899.19189453125,0.4429146349430084,173.31539916992188,1.4334033727645874,0.9993207454681396,0.004461224656552076,-0.0350043959915638,0.153231680393219,0.5061848759651184,0.04941852390766144,-0.031172239454463124,0.5061848759651184,0.00026760701439343393,2013.270195841,0.008951555006206036,0.07228929549455643,37.75
17,1.013304352760315,0,1.6984103918075562,112.9546890258789,1746540749.312226,0.0015247605042532086,3.26216459274292,12.869999885559082,10,340000.0,0,1000,0.47657930850982666,1,1.3047844171524048,0.003714204765856266,0.5373423099517822,6.891053676605225,0.4210006594657898,0.31290295720100403,16,24.947431564331055,0.47657930850982666,0.9978436827659607,88.00723266601562,0.31615474820137024,0.9978436827659607,1.7563118934631348,0,-3.051757735406113e-09,2012.2314453125,0.47657930850982666,177.06214904785156,1.428444743156433,0.9978436827659607,0.006933365948498249,0.00815775990486145,0.18614743649959564,0.5373423099517822,0.035720910876989365,0.04316215589642525,0.5373423099517822,0.0003208568668924272,2128.567626104,0.012665759772062302,0.14238055050373077,51.04999923706055
18,1.013661503791809,0,1.9592643976211548,115.17552185058594,1746540864.609559,0.0007773565012030303,3.197439432144165,14.510000228881836,10,360000.0,0,1000,0.510767936706543,1,1.5699478387832642,-0.002429140731692314,0.5681883096694946,4.24760627746582,0.39124637842178345,-0.4610077738761902,17,28.234773635864258,0.510767936706543,1.0010992288589478,86.94071960449219,0.32195138931274414,1.0010993480682373,-2.6434473991394043,0,4.577636492086867e-09,2127.515380859375,0.510767936706543,173.64801025390625,1.4274978637695312,1.0010993480682373,0.005210064351558685,-0.08797147870063782,0.16432258486747742,0.5681883096694946,0.02412455342710018,-0.09612923860549927,0.5681883096694946,0.0003209186834283173,2245.203683625,0.010236619040369987,0.13701486587524414,31.350000381469727
19,1.0023878812789917,0,1.241891860961914,116.5328598022461,1746540981.246133,4.6136756282066926e-05,3.5809719562530518,16.489999771118164,10,380000.0,0,1000,0.5456739664077759,1,1.7290812730789185,0.003077469766139984,0.6003518104553223,5.357463359832764,0.2963443398475647,0.1277828961610794,18,28.9890079498291,0.5456739664077759,0.999934732913971,87.5438232421875,0.30809634923934937,0.9999347925186157,1.1098570823669434,0,-6.103515470812226e-09,2244.171142578125,0.5456739664077759,171.6254119873047,1.4159482717514038,0.9999347925186157,0.012967674061655998,0.05459536239504814,0.24808628857135773,0.6003518104553223,0.021070970222353935,0.14256684109568596,0.6003518104553223,0.0003072221588809043,2355.8058785,0.013314088806509972,0.14815309643745422,61.70000076293945
20,0.992209255695343,0,2.1484501361846924,110.5094985961914,1746541091.8481138,3.220041253371164e-05,2.302602529525757,15.069999694824219,10,400000.0,0,1000,0.5809756517410278,1,1.0665087699890137,7.969234138727188e-05,0.6308068037033081,2.659907341003418,0.35573455691337585,-0.13322529196739197,19,27.979246139526367,0.5809756517410278,1.0000454187393188,82.53022766113281,0.3237225413322449,1.0000455379486084,-2.6975560188293457,0,4.577636492086867e-09,2354.776123046875,0.5809756517410278,180.97991943359375,1.4062294960021973,1.0000455379486084,0.004332898184657097,-0.1172952875494957,0.15067723393440247,0.6308068037033081,0.00622093491256237,-0.17189064994454384,0.6308068037033081,0.0002833461621776223,2467.744599074,0.013393781147897243,0.05961975082755089,14.050000190734863
21,0.9979448318481445,0,1.7483482360839844,111.83857727050781,1746541203.7866874,0.0007647124002687633,2.82407546043396,11.90999984741211,10,420000.0,0,1000,0.6160814166069031,1,1.1488227844238281,-0.0015526963397860527,0.6599098443984985,2.7182087898254395,0.2417893260717392,-0.6761224269866943,20,27.45659828186035,0.6160814166069031,1.0010814666748047,84.3819580078125,0.32115641236305237,1.0010814666748047,0.058301448822021484,0,1.5258788677030566e-09,2466.710693359375,0.6160814166069031,178.82916259765625,1.4109939336776733,1.0010814666748047,0.0065429480746388435,-0.14243699610233307,0.18369132280349731,0.6599098443984985,0.018775699660182,-0.025141708552837372,0.6599098443984985,0.0002751441497821361,2585.365404283,0.01184108480811119,0.08264868706464767,16.200000762939453
22,1.0089327096939087,0,1.2094488143920898,117.47676849365234,1746541321.4074233,0.0007815711433067918,3.7559280395507812,11.890000343322754,10,440000.0,0,1000,0.6510145664215088,1,1.2304542064666748,0.0028421469032764435,0.6900257468223572,5.914407730102539,0.31840983033180237,-0.05510571599006653,21,29.37953758239746,0.6510145664215088,1.0011053085327148,88.09720611572266,0.30765360593795776,1.0011053085327148,3.1961989402770996,0,-3.051757735406113e-09,2584.287841796875,0.6510145664215088,170.24642944335938,1.4201074838638306,1.0011053085327148,0.01367271225899458,-0.022725136950612068,0.25437504053115845,0.6900257468223572,0.030039124190807343,0.119711859151721,0.6900257468223572,0.000297110847895965,2700.515669686,0.014683231711387634,0.13313105702400208,49.150001525878906
23,1.0078920125961304,0,1.0101362466812134,115.02924346923828,1746541436.5581603,0.0002713132998906076,4.361336708068848,15.260000228881836,10,460000.0,0,1000,0.6863797903060913,1,1.9287550449371338,-0.0012674247846007347,0.721626877784729,6.861173629760742,0.23001150786876678,-0.21975639462471008,22,27.857133865356445,0.6863797903060913,0.9996163249015808,87.17207336425781,0.3120824992656708,0.9996163249015808,0.9467658996582031,0,3.051757735406113e-09,2699.467041015625,0.6863797903060913,173.86883544921875,1.4189954996109009,0.9996163249015808,0.019600622355937958,0.011281579732894897,0.30895090103149414,0.721626877784729,0.007831537164747715,0.034006716683506966,0.721626877784729,0.00028150802245363593,2814.832220054,0.0134158069267869,0.20109224319458008,61.95000076293945
24,1.0105558633804321,0,2.0528080463409424,113.98772430419922,1746541550.8741324,0.0004968832363374531,2.3975002765655518,13.4399995803833,10,480000.0,0,1000,0.7218092083930969,1,0.9389981627464294,-0.0017153555527329445,0.7526999711990356,4.152580738067627,0.12052715569734573,0.13431018590927124,23,29.64339828491211,0.7218092083930969,1.0007027387619019,84.34430694580078,0.33175158500671387,1.0007027387619019,-2.7085928916931152,0,-6.103515470812226e-09,2813.564208984375,0.7218092083930969,175.45748901367188,1.4229063987731934,1.0007027387619019,0.004746051039546728,-0.0348869226872921,0.16160868108272552,0.7526999711990356,0.01737205497920513,-0.046168502420186996,0.7526999711990356,0.00026328786043450236,2929.425986526,0.011700451374053955,0.07033707946538925,29.450000762939453
25,1.0084763765335083,0,1.401605248451233,114.49002075195312,1746541665.468303,0.00027406690060161054,2.9229886531829834,14.569999694824219,10,500000.0,0,1000,0.7574858665466309,1,1.1672841310501099,-0.0023144762963056564,0.7832276821136475,3.4227309226989746,0.09471723437309265,0.4205787181854248,24,27.854843139648438,0.7574858665466309,1.0003875494003296,86.6351547241211,0.3078617751598358,1.0003875494003296,-0.7298498153686523,0,-4.577636492086867e-09,2928.395263671875,0.7574858665466309,174.68771362304688,1.4219223260879517,1.0003875494003296,0.010180710814893246,-0.08604812622070312,0.21964941918849945,0.7832276821136475,0.019879929721355438,-0.051161203533411026,0.7832276821136475,0.00029105378780514,3045.701986536,0.009385975077748299,0.17569027841091156,28.200000762939453
26,1.0075125694274902,0,1.344312310218811,116.12681579589844,1746541781.744641,6.58052958897315e-05,3.3763296604156494,19.84000015258789,10,520000.0,0,1000,0.7941316366195679,1,1.224039077758789,0.0010151630267500877,0.8152458071708679,8.960705757141113,0.21883568167686462,-0.24482111632823944,25,28.456790924072266,0.7941316366195679,1.0000931024551392,87.66999816894531,0.3287236988544464,1.0000932216644287,5.537974834442139,0,3.814697002724188e-09,3044.6181640625,0.7941316366195679,172.2255096435547,1.420935034751892,1.0000932216644287,0.01106698252260685,0.10036996752023697,0.24452924728393555,0.8152458071708679,0.021204926073551178,0.1864180937409401,0.8152458071708679,0.00026159771368838847,3159.682129065,0.010401138104498386,0.14386418461799622,62.599998474121094
27,1.006304144859314,0,1.3483256101608276,113.83660888671875,1746541895.7241895,0.00027996746939606965,3.4946649074554443,16.940000534057617,10,540000.0,0,1000,0.8311919569969177,1,1.2905068397521973,0.0001528169959783554,0.8472861051559448,4.5388689041137695,0.0023615837562829256,0.0744396448135376,26,28.94983673095703,0.8311919569969177,1.0003958940505981,84.88674926757812,0.33846354484558105,1.0003960132598877,-4.421836853027344,0,3.8146971692576415e-10,3158.596923828125,0.8311919569969177,175.69041442871094,1.4195842742919922,1.0003960132598877,0.01100119762122631,-0.06755316257476807,0.25102508068084717,0.8472861051559448,0.002891530515626073,-0.16792313009500504,0.8472861051559448,0.00024766993010416627,3270.765387369,0.010553955100476742,0.09976805746555328,38.95000076293945
28,1.0060495138168335,0,1.7439861297607422,110.96267700195312,1746542006.8070965,0.0007710063364356756,3.1713171005249023,11.220000267028809,10,560000.0,0,1000,0.8676248788833618,1,0.8793105483055115,0.0005509406328201294,0.8773084282875061,2.8611316680908203,0.16894906759262085,-0.6775614023208618,27,27.421974182128906,0.8676248788833618,1.001090407371521,83.5406723022461,0.3018723130226135,1.001090407371521,-1.6777372360229492,0,-3.814697002724188e-09,3269.7177734375,0.8676248788833618,180.2407989501953,1.4183803796768188,1.001090407371521,0.006575719453394413,-0.21241743862628937,0.1730932891368866,0.8773084282875061,0.02011791057884693,-0.1448642760515213,0.8773084282875061,0.00032120823743753135,3385.672635958,0.011104895733296871,0.2004198282957077,10.0
