Misc/Alpha,Misc/H_inv_g,Time/Rollout,_step,Metrics/LagrangeMultiplier/Max,Loss/Loss_cost_critic/Delta,Train/StopIter,Misc/AcceptanceStep,Time/FPS,Train/PolicyRatio/Min,Train/Epoch,_runtime,Loss/Loss_pi,Misc/xHx,Train/PolicyStd,Value/reward,Train/LR,Loss/Loss_pi/Delta,Misc/FinalStepNorm,Value/cost,Metrics/EpLen,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Max,TotalEnvSteps,Value/Adv,Time/Epoch,Time/Total,Metrics/EpCost,Metrics/LagrangeMultiplier/Std,Train/Entropy,Misc/gradient_norm,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic,Train/PolicyRatio,Loss/Loss_cost_critic,Train/PolicyRatio/Std,Train/KL,_timestamp,Metrics/EpRet,Loss/Loss_reward_critic/Delta,Time/Update
1.8176180124282837,0.1344439834356308,85.7911376953125,1,0.0044999998062849045,1.4598242044448853,10,1,204.6729736328125,0.9996182918548584,0,194.619141721,-0.007172381039708853,0.0060537438839674,0.9925529360771179,-0.18981607258319855,0,-0.007172381039708853,0.2443677932024002,0.06477350741624832,1000,0.0044999998062849045,0.9996182918548584,20000,-2.2888182460434336e-09,97.71685791015625,97.71791076660156,17.5,0,1.4114227294921875,0.11386077105998993,0.0044999998062849045,0.004528820049017668,0.9996182918548584,1.4598242044448853,0.0002699084288906306,0.0003988616808783263,1744995328.9531932,0.08993680775165558,0.004528820049017668,11.925697326660156
2.0649800300598145,0.17647801339626312,84.52783203125,2,0.008002313785254955,0.1379082202911377,10,1,209.44937133789062,1.000566840171814,1,290.127909169,-0.007598511874675751,0.004690264817327261,0.991892397403717,-0.15779155492782593,0,-0.00042613083496689796,0.36442357301712036,0.3804744482040405,1000,0.008002313785254955,1.000566840171814,40000,-3.051757735406113e-09,95.48846435546875,193.3164520263672,18.024999618530273,0,1.4107818603515625,0.06446109712123871,0.008002313785254955,0.0029010723810642958,1.000566840171814,1.597732424736023,0.00040084461215883493,0.0002174825785914436,1744995424.531991,-0.08546529710292816,-0.001627747667953372,10.960617065429688
1.62979257106781,0.22780708968639374,84.41494750976562,3,0.011508408933877945,1.446923851966858,10,1,209.578125,0.9998742938041687,2,384.924805197,-0.009834617376327515,0.007529475726187229,0.9896463751792908,-0.13864468038082123,0,-0.002236105501651764,0.371278315782547,0.7748906016349792,1000,0.011508408933877945,0.9998742938041687,60000,-5.41687015243042e-08,95.42980194091797,288.8349914550781,23.116666793823242,0,1.408486008644104,0.0593470074236393,0.011508408933877945,0.001705096336081624,0.9998742938041687,3.044656276702881,8.89017537701875e-05,0.0002512504579499364,1744995520.0409024,0.07747921347618103,-0.0011959760449826717,11.014833450317383
1.7533724308013916,0.1846778243780136,83.64054107666016,4,0.015023344196379185,-1.0650511980056763,10,1,211.17782592773438,1.0004371404647827,3,479.857970831,-0.008787109516561031,0.0065055047161877155,0.9892752766609192,-0.10738212615251541,0,0.0010475078597664833,0.3238089978694916,1.399769902229309,1000,0.015023344196379185,1.0004371404647827,80000,1.525878801089675e-08,94.70691680908203,383.61883544921875,21.700000762939453,0,1.4080199003219604,0.0686371698975563,0.015023344196379185,0.0035091841127723455,1.0004371404647827,1.9796050786972046,0.00030902071739546955,0.0003596630413085222,1744995614.8376193,0.0970696210861206,0.0018040877766907215,11.066349029541016
2.3774919509887695,0.13540329039096832,83.85401153564453,5,0.018534643575549126,-0.27576470375061035,10,1,210.91229248046875,1.000387191772461,4,574.45637924,-0.0057470728643238544,0.0035382676869630814,0.9742504954338074,-0.08058992028236389,0,0.003040036652237177,0.3219202160835266,1.7790800333023071,1000,0.018534643575549126,1.000387191772461,100000,1.5258788677030566e-09,94.82614135742188,478.5366516113281,20.229999542236328,0,1.3926490545272827,0.058570075780153275,0.018534643575549126,0.005093330517411232,1.000387191772461,1.7038403749465942,0.00027378593222238123,0.00029085183632560074,1744995709.7708168,0.11464490741491318,0.0015841464046388865,10.972108840942383
2.0224032402038574,0.1468639373779297,83.49088287353516,6,0.022068558260798454,-0.18743133544921875,10,1,211.60064697265625,0.999409556388855,5,669.053306721,-0.006469298154115677,0.004889827687293291,0.9616485238075256,-0.06060338765382767,0,-0.0007222252897918224,0.2970181107521057,2.000162124633789,1000,0.022068558260798454,0.999409556388855,120000,-4.577636492086867e-09,94.51766967773438,573.1610107421875,25.6200008392334,0,1.3797343969345093,0.11454372107982635,0.022068558260798454,0.005071885883808136,0.9994094967842102,1.5164090394973755,0.0004175066715106368,0.0003605948877520859,1744995804.3693073,0.08050327003002167,-2.1444633603096008e-05,11.026763916015625
2.20326566696167,0.14680266380310059,83.54888916015625,7,0.02561018615961075,-0.7850626111030579,10,1,211.5974884033203,1.000206708908081,6,762.874315919,-0.006183574441820383,0.004119981080293655,0.961735725402832,-0.0659135952591896,0,0.0002857237122952938,0.32344526052474976,1.6475019454956055,1000,0.02561018615961075,1.000206708908081,140000,1.5258788677030566e-09,94.51908111572266,667.7570190429688,23.350000381469727,0,1.379820466041565,0.05844363197684288,0.02561018615961075,0.005959151312708855,1.0002065896987915,0.7313464283943176,0.0001461090869270265,0.00028747564647346735,1744995898.966189,0.14302118122577667,0.0008872654289007187,10.970173835754395
2.1621317863464355,0.14937305450439453,82.74280548095703,8,0.029112160205841064,-0.20995551347732544,10,1,213.35671997070312,0.9993647336959839,7,856.351408782,-0.006598879117518663,0.004278235137462616,0.9692368507385254,-0.039498716592788696,0,-0.00041530467569828033,0.32296422123908997,1.3052068948745728,1000,0.029112160205841064,0.9993647336959839,160000,2.1362303925798187e-08,93.7397232055664,761.5775146484375,18.15999984741211,0,1.3872566223144531,0.09204759448766708,0.029112160205841064,0.007273141294717789,0.9993646740913391,0.5213909149169922,0.0004492292064242065,0.0003025759942829609,1744995992.7876015,0.0370238721370697,0.001313989982008934,10.99689769744873
2.284482955932617,0.13535408675670624,82.39414978027344,9,0.03259321674704552,0.5625307559967041,10,1,214.1439208984375,1.0004066228866577,8,950.576322679,-0.005875409115105867,0.0038322429172694683,0.967477023601532,-0.019567221403121948,0,0.000723470002412796,0.3092140853404999,2.028733491897583,1000,0.03259321674704552,1.0004066228866577,180000,-8.392333938900265e-09,93.39513397216797,855.0463256835938,18.979999542236328,0,1.3853607177734375,0.07510757446289062,0.03259321674704552,0.011339160613715649,1.0004066228866577,1.0839216709136963,0.00028749770717695355,0.00031197589123621583,1744996086.2642457,0.047198228538036346,0.00406601931899786,11.000967025756836
1.955718755722046,0.15285362303256989,83.14410400390625,10,0.036075398325920105,0.03149259090423584,10,1,212.45152282714844,1.0004236698150635,9,1044.875372257,-0.006987690459936857,0.005228972528129816,0.9874363541603088,-0.013943505473434925,0,-0.0011122813448309898,0.29893869161605835,1.449297308921814,1000,0.036075398325920105,1.0004236698150635,200000,9.155272984173735e-09,94.13912963867188,949.2776489257812,20.719999313354492,0,1.4055665731430054,0.08666717261075974,0.036075398325920105,0.005981463938951492,1.000423550605774,1.1154142618179321,0.0002995236136484891,0.00030948795028962195,1744996180.4892075,0.0836506262421608,-0.005357696674764156,10.994997024536133
