_runtime,Train/Entropy,Train/PolicyRatio/Min,Time/Update,TotalEnvSteps,Time/Total,_timestamp,Time/Rollout,Value/cost,Metrics/LagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Min,Train/LR,Safety/shield_violation,Metrics/LagrangeMultiplier/Min,_step,Value/Adv,Loss/Loss_reward_critic,Metrics/EpCost,Train/PolicyRatio,Loss/Loss_reward_critic/Delta,Train/Epoch,Loss/Loss_pi/Delta,Safety/ShieldLagrangeMultiplier/Std,Value/reward,Loss/Loss_cost_critic/Delta,Loss/Loss_pi,Safety/EpCostShield,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier,Time/Epoch,Safety/ShieldLagrangeMultiplier/Max,Train/PolicyRatio/Max,Loss/Loss_cost_critic,Time/FPS,Train/KL,Train/PolicyStd,Metrics/EpRet,Metrics/EpLen,Metrics/LagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier,Train/StopIter,Safety/shield_adv_c
397.428719533,1.3991161584854126,1.00297212600708,104.48934173583984,20000.0,233.78860473632812,1746496634.4278967,129.2982635498047,0.06168746203184128,0,0.044999994337558746,0.0002969999914057553,0.05102026090025902,0.03599999472498894,1,-0.28620636463165283,0.004992187488824129,1.7000000476837158,1.00297212600708,0.004992187488824129,0,-0.4346475601196289,0,-0.2001260370016098,0.5870954394340515,-0.4346475601196289,4.0,0.011472026817500591,0.03599999472498894,233.7876739501953,0.044999994337558746,1.00297212600708,0.5870954394340515,85.5477066040039,0.009105494245886803,0.9805065393447876,-0.2268255650997162,1000,0.03599999472498894,0.044999994337558746,40,NaN
598.587132608,1.3575268983840942,1.0038645267486572,70.87398529052734,40000.0,396.4997253417969,1746496797.109214,91.74452209472656,-0.0166001133620739,0,0.07253096997737885,0.00029399999766610563,0.038145050406455994,0.06469361484050751,2,-0.29735782742500305,0.0017962782876566052,13.925000190734863,1.0038645267486572,-0.003195909201167524,1,0.0017743110656738281,0,-0.16814938187599182,9.922779858112335,-0.4328732490539551,60.650001525878906,0.013809405267238617,0.06469361484050751,162.61856079101562,0.07253096997737885,1.0038645267486572,10.509875297546387,122.98719024658203,0.02062838152050972,0.9412479400634766,0.050163231790065765,1000,0.06469361484050751,0.07253096997737885,27,NaN
795.942191252,1.3175872564315796,1.00444757938385,107.45481872558594,60000.0,597.6441650390625,1746496998.2676196,93.62810516357422,0.608836829662323,0,0.10339738428592682,0.000291000003926456,1.1334139108657837,0.09579317271709442,3,0.028203506022691727,0.0022618938237428665,19.516666412353516,1.00444757938385,0.00046561553608626127,2,0.0106889009475708,0,-0.13636985421180725,-3.2569708824157715,-0.4221843481063843,62.75,0.01033865101635456,0.09579317271709442,201.08297729492188,0.10339738428592682,1.00444757938385,7.252904415130615,99.46142578125,0.010941204614937305,0.9047479629516602,0.19439443945884705,1000,0.09579317271709442,0.10339738428592682,40,NaN
997.480805528,1.3173563480377197,1.0030230283737183,107.63876342773438,80000.0,795.0006103515625,1746497195.62268,89.64290618896484,1.3563487529754639,0,0.1343487799167633,0.0002880000101868063,1.213619589805603,0.12820017337799072,4,0.12620753049850464,0.00248292600736022,15.237500190734863,1.0030230283737183,0.00022103218361735344,3,0.12313038110733032,0,-0.11293483525514603,-3.41851544380188,-0.29905396699905396,34.099998474121094,0.008981917053461075,0.12820017337799072,197.28172302246094,0.1343487799167633,1.0030230283737183,3.8343889713287354,101.37786865234375,0.005002369172871113,0.9046043157577515,0.19697526097297668,1000,0.12820017337799072,0.1343487799167633,40,NaN
1199.024312023,1.296445369720459,1.0033597946166992,108.39250946044922,100000.0,996.550537109375,1746497397.1613011,93.08515930175781,0.8625754117965698,0,0.1667170226573944,0.0002849999873433262,1.402983546257019,0.1614961177110672,5,-0.3851138949394226,0.0019873804412782192,16.81999969482422,1.0033597946166992,-0.0004955455660820007,4,-0.06536558270454407,0,-0.08162987977266312,2.7776196002960205,-0.364419549703598,73.3499984741211,0.009964032098650932,0.1614961177110672,201.47772216796875,0.1667170226573944,1.0033597946166992,6.612008571624756,99.26655578613281,0.00912341009825468,0.8859718441963196,0.2618582248687744,1000,0.1614961177110672,0.1667170226573944,40,NaN
1401.349734418,1.2774065732955933,1.004578948020935,108.72509765625,120000.0,1198.0950927734375,1746497598.7048032,92.75833129882812,1.0445234775543213,0,0.19914287328720093,0.00028199999360367656,2.716628074645996,0.1955128312110901,6,-0.2400861382484436,0.003174188081175089,20.270000457763672,1.004578948020935,0.0011868076398968697,5,-0.030304551124572754,0,-0.05220314860343933,-0.716217041015625,-0.3947241008281708,42.599998474121094,0.00950164720416069,0.1955128312110901,201.48348999023438,0.19914287328720093,1.004578948020935,5.895791530609131,99.26371765136719,0.00834551639854908,0.8694407343864441,0.4245983362197876,1000,0.1955128312110901,0.19914287328720093,40,NaN
1599.12659603,1.2710744142532349,1.004300594329834,109.3425064086914,140000.0,1400.4188232421875,1746497801.0302432,92.91951751708984,1.1062500476837158,0,0.23042666912078857,0.0002789999998640269,2.3245983123779297,0.22967855632305145,7,-0.17633306980133057,0.0037228025030344725,15.5,1.0043004751205444,0.0005486144218593836,6,0.03847512602806091,0,-0.04290170222520828,-2.4105424880981445,-0.35624897480010986,25.700000762939453,0.008961405605077744,0.22967855632305145,202.2620849609375,0.23042666912078857,1.004300594329834,3.4852490425109863,98.88160705566406,0.005631538573652506,0.8639572858810425,0.37730398774147034,1000,0.22967855632305145,0.23042666912078857,40,NaN
1797.471445821,1.2628319263458252,1.0038448572158813,109.76319122314453,160000.0,1598.1939697265625,1746497998.8070805,87.94926452636719,1.2168128490447998,0,0.2613002061843872,0.00027600000612437725,3.2906594276428223,0.26330190896987915,8,0.12982933223247528,0.003403659909963608,11.369999885559082,1.0038448572158813,-0.0003191425930708647,7,-0.011831849813461304,0,-0.030737927183508873,-0.2868931293487549,-0.36808082461357117,31.0,0.009238217957317829,0.26330190896987915,197.71250915527344,0.2613002061843872,1.0038448572158813,3.1983559131622314,101.156982421875,0.006073147524148226,0.8567473888397217,0.3951900601387024,1000,0.26330190896987915,0.2613002061843872,40,NaN
1999.254931764,1.2441110610961914,1.004777193069458,110.44068908691406,180000.0,1796.5367431640625,1746498197.1519244,87.838134765625,1.851584792137146,0,0.29288142919540405,0.0002730000123847276,3.333096504211426,0.29697385430336,9,-0.1401408463716507,0.003366818418726325,14.020000457763672,1.004777193069458,-3.684149123728275e-05,8,0.021387487649917603,0,0.009963960386812687,2.349330186843872,-0.34669333696365356,47.650001525878906,0.010569602251052856,0.29697385430336,198.2788848876953,0.29288142919540405,1.004777193069458,5.5476861000061035,100.86803436279297,0.00917739700525999,0.8406819701194763,0.4153010845184326,1000,0.29697385430336,0.29288142919540405,40,NaN
2198.708279411,1.228955864906311,1.0020420551300049,110.23934173583984,200000.0,1998.3184814453125,1746498398.9354298,91.47752380371094,0.47339874505996704,0,0.325267493724823,0.0002699999895412475,3.968407392501831,0.3313162624835968,10,0.3896491229534149,0.003621153300628066,20.09000015258789,1.0020420551300049,0.00025433488190174103,9,0.08655107021331787,0,0.017720770090818405,4.2346673011779785,-0.2601422667503357,122.6500015258789,0.010036014020442963,0.3313162624835968,201.7169189453125,0.325267493724823,1.0020420551300049,9.782353401184082,99.14884948730469,0.008266116492450237,0.827927827835083,0.35841792821884155,1000,0.3313162624835968,0.325267493724823,40,NaN
