_step,Time/Update,Safety/ShieldLagrangeMultiplier,Loss/Loss_pi,Loss/Loss_reward_critic/Delta,Metrics/LagrangeMultiplier,Loss/Loss_pi/Delta,Train/Epoch,Safety/EpCostShield,Metrics/EpLen,Value/cost,Metrics/LagrangeMultiplier/Max,Time/Rollout,Train/KL,Train/PolicyStd,Safety/ShieldLagrangeMultiplier/Min,Time/FPS,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier/Std,Time/Total,TotalEnvSteps,Safety/shield_adv_c,Time/Epoch,Safety/shield_violation,Safety/ShieldLagrangeMultiplier/Std,Value/Adv,Train/StopIter,Train/PolicyRatio/Max,Train/Entropy,Loss/Loss_reward_critic,Metrics/EpRet,_timestamp,Value/reward,Safety/ShieldLagrangeMultiplier/Max,Metrics/EpCost,Train/PolicyRatio,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Std,Loss/Loss_cost_critic,_runtime,Train/PolicyRatio/Min,Train/LR
1,95.34928894042969,0.044999994337558746,-0.4381975829601288,0.006295261904597282,0.03599999472498894,-0.4381975829601288,0,126.4000015258789,1000,-0.07542038708925247,0.03599999472498894,126.54784393310547,0.010032635182142258,0.9784453511238098,0.044999994337558746,90.13182830810547,14.712964057922363,0,221.89830017089844,20000.0,NaN,221.89720153808594,-0.01334421057254076,0,-0.016072027385234833,40,1.0033351182937622,1.3971015214920044,0.006295261904597282,-1.264992594718933,1746532778.8653479,0.22205571830272675,0.044999994337558746,55.20000076293945,1.0033351182937622,0.03599999472498894,0.010207231156527996,14.712964057922363,419.085052952,1.0033351182937622,0.0002969999914057553
2,96.39838409423828,0.07885636389255524,-0.39298561215400696,0.0007253116928040981,0.07083472609519958,0.045211970806121826,1,82.0999984741211,1000,0.1956206113100052,0.07083472609519958,99.74783325195312,0.009229125455021858,0.9571903347969055,0.07885636389255524,101.9646987915039,2.5438642501831055,0,418.11846923828125,40000.0,NaN,196.1463165283203,0.3080624043941498,0,-0.04386899992823601,40,1.0052382946014404,1.3751273155212402,0.0070205735974013805,-1.316924810409546,1746532975.0743272,0.16247595846652985,0.07885636389255524,49.125,1.0052382946014404,0.07083472609519958,0.010503659024834633,17.25682830810547,614.524820538,1.0052382946014404,0.00029399999766610563
3,97.26866149902344,0.11299379169940948,-0.3305361270904541,-0.0004685590974986553,0.10580602288246155,0.062449485063552856,2,166.5,1000,0.9445390701293945,0.10580602288246155,98.10370635986328,0.01090889424085617,0.9188116788864136,0.11299379169940948,102.36859130859375,4.478315353393555,0,613.5526123046875,60000.0,NaN,195.37242126464844,1.6774859428405762,0,-0.230173259973526,40,1.0042177438735962,1.334226369857788,0.006552014499902725,-0.8253716826438904,1746533170.5141506,0.12919482588768005,0.11299379169940948,66.51667022705078,1.0042177438735962,0.10580602288246155,0.011715695261955261,21.735143661499023,818.742898799,1.0042177438735962,0.000291000003926456
4,96.77001190185547,0.1475667953491211,-0.3410398066043854,-0.0015043397434055805,0.1409251093864441,-0.010503679513931274,3,169.14999389648438,1000,4.228736877441406,0.1409251093864441,107.3936767578125,0.009606306441128254,0.8993558883666992,0.1475667953491211,97.96058654785156,-0.19641494750976562,0,817.7835083007812,80000.0,NaN,204.16375732421875,6.976631164550781,0,-0.15472298860549927,40,1.0064953565597534,1.3128234148025513,0.005047674756497145,-0.6734338998794556,1746533374.7322247,0.1163836270570755,0.1475667953491211,74.7750015258789,1.0064953565597534,0.1409251093864441,0.011058860458433628,21.538728713989258,1020.29668271,1.0064953565597534,0.0002880000101868063
5,98.664794921875,0.1816001683473587,-0.3755372166633606,0.006182016339153051,0.17614775896072388,-0.03449741005897522,4,104.0,1000,5.066642761230469,0.17614775896072388,102.81975555419922,0.013165369629859924,0.8694199323654175,0.1816001683473587,99.26316833496094,-6.395824432373047,0,1019.3223266601562,100000.0,NaN,201.48460388183594,7.203876495361328,0,-0.11967295408248901,40,1.0098711252212524,1.2788981199264526,0.011229691095650196,-0.3399602174758911,1746533576.2859755,0.0786304697394371,0.1816001683473587,69.22000122070312,1.009871006011963,0.17614775896072388,0.012034913524985313,15.142904281616211,1220.483639023,1.0098711252212524,0.0002849999873433262
6,96.5787582397461,0.21612003445625305,-0.29539868235588074,-0.0009235469624400139,0.2114591896533966,0.08013853430747986,5,167.25,1000,4.2867865562438965,0.2114591896533966,103.52824401855469,0.009473341517150402,0.8557137250900269,0.21612003445625305,99.94648742675781,-2.5365076065063477,0,1219.4990234375,120000.0,NaN,200.10708618164062,7.627776622772217,0,0.07505300641059875,40,1.0071285963058472,1.2630155086517334,0.010306144133210182,0.17201419174671173,1746533776.472952,0.09981999546289444,0.21612003445625305,70.25,1.0071285963058472,0.2114591896533966,0.011248098686337471,12.606396675109863,1424.237446899,1.0071285963058472,0.00028199999360367656
7,96.9296875,0.25108802318573,-0.2582975924015045,0.007678275927901268,0.24698799848556519,0.03710108995437622,6,206.6999969482422,1000,5.5701117515563965,0.24698799848556519,106.76881408691406,0.011336883530020714,0.8406152129173279,0.25108802318573,98.18428802490234,5.625666618347168,0,1423.27880859375,140000.0,NaN,203.69857788085938,9.73868179321289,0,-0.10441671311855316,40,1.0086262226104736,1.2452212572097778,0.01798442006111145,0.9842410087585449,1746533980.2266946,0.11876502633094788,0.25108802318573,81.47000122070312,1.0086262226104736,0.24698799848556519,0.012136571109294891,18.23206329345703,1624.559545585,1.0086262226104736,0.0002789999998640269
8,97.02922058105469,0.2852403521537781,-0.4303286373615265,-0.003497106023132801,0.2824094295501709,-0.17203104496002197,7,101.75,1000,5.7741169929504395,0.2824094295501709,103.22240447998047,0.01327853836119175,0.8240489959716797,0.2852403521537781,99.87431335449219,-7.273867607116699,0,1623.58349609375,160000.0,NaN,200.25169372558594,10.407058715820312,0,-0.11259961128234863,40,1.0132020711898804,1.2253296375274658,0.01448731403797865,1.465264916419983,1746534180.5488408,0.14026206731796265,0.2852403521537781,66.88999938964844,1.0132020711898804,0.2824094295501709,0.013010038994252682,10.958195686340332,1824.942942451,1.0132020711898804,0.00027600000612437725
9,96.24492645263672,0.3191377520561218,-0.37230923771858215,0.004290199838578701,0.31756430864334106,0.058019399642944336,8,120.44999694824219,1000,4.809596061706543,0.31756430864334106,104.04734802246094,0.014053631573915482,0.8008136749267578,0.3191377520561218,99.85404205322266,-1.478102684020996,0,1823.9478759765625,180000.0,NaN,200.29234313964844,9.263623237609863,0,-0.14714190363883972,40,1.0113219022750854,1.196753978729248,0.01877751387655735,2.225468873977661,1746534380.9321833,0.1727086901664734,0.3191377520561218,60.619998931884766,1.0113219022750854,0.31756430864334106,0.013154450803995132,9.480093002319336,2024.441324881,1.0113219022750854,0.0002730000123847276
10,96.73271942138672,0.352170467376709,-0.42523255944252014,-0.003129906952381134,0.3524816334247589,-0.05292332172393799,9,87.69999694824219,1000,4.52584981918335,0.3524816334247589,102.69636535644531,0.01641111634671688,0.7739722728729248,0.352170467376709,100.28624725341797,-1.8064513206481934,0,2023.4674072265625,200000.0,NaN,199.4291534423828,8.843022346496582,0,-0.13496558368206024,40,1.015626311302185,1.1626696586608887,0.015647606924176216,2.528541326522827,1746534580.430599,0.20113879442214966,0.352170467376709,59.65999984741211,1.0156261920928955,0.3524816334247589,0.014556309208273888,7.673641681671143,2226.055344062,1.015626311302185,0.0002699999895412475
