Safety/ShieldLagrangeMultiplier/Max,Train/PolicyRatio/Max,Train/KL,Safety/shield_violation,Safety/ShieldLagrangeMultiplier/Std,_runtime,Safety/ShieldLagrangeMultiplier/Min,Train/Epoch,Value/reward,Time/Total,Loss/Loss_reward_critic/Delta,Time/Epoch,Train/Entropy,_step,Loss/Loss_reward_critic,Time/Update,Time/Rollout,TotalEnvSteps,Metrics/LagrangeMultiplier/Min,Safety/ShieldLagrangeMultiplier,Metrics/EpLen,Train/StopIter,Train/PolicyStd,Loss/Loss_pi/Delta,Metrics/LagrangeMultiplier/Std,Loss/Loss_cost_critic,Time/FPS,Metrics/EpRet,Train/LR,Metrics/EpCost,_timestamp,Loss/Loss_cost_critic/Delta,Safety/shield_adv_c,Safety/EpCostShield,Train/PolicyRatio/Min,Loss/Loss_pi,Value/Adv,Train/PolicyRatio,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Max,Value/cost,Train/PolicyRatio/Std
0.044999994337558746,1.0020990371704102,0.006395248230546713,0.010632631368935108,0,316.884524707,0.044999994337558746,0,0.12849512696266174,168.72389221191406,0.00844630878418684,168.72323608398438,1.4102803468704224,1,0.00844630878418684,78.24656677246094,90.47662353515625,20000.0,0.035999998450279236,0.044999994337558746,1000,40,0.991406261920929,-0.29102352261543274,0,9.941161155700684,118.53732299804688,-1.3369481563568115,0.0002969999914057553,24.25,1746550415.3463151,9.941161155700684,NaN,58.75,1.0020990371704102,-0.29102352261543274,-0.12578673660755157,1.0020990371704102,0.035999998450279236,0.035999998450279236,-0.05619882792234421,0.008893617428839207
0.08001963049173355,1.0021119117736816,0.010129237547516823,0.9487800598144531,0,465.966799226,0.08001963049173355,1,0.07757416367530823,316.1766052246094,-0.002890160772949457,147.3732147216797,1.3855140209197998,2,0.005556148011237383,79.67732238769531,67.69581604003906,40000.0,0.07102970778942108,0.08001963049173355,1000,40,0.9671820402145386,0.015412122011184692,0,9.798222541809082,135.70986938476562,-1.2177531719207764,0.00029399999766610563,25.25,1746550562.806963,-0.14293861389160156,NaN,60.20000076293945,1.0021119117736816,-0.27561140060424805,0.15097561478614807,1.0021119117736816,0.07102970778942108,0.07102970778942108,0.30933529138565063,0.011485796421766281
0.11441808193922043,1.0009329319000244,0.01028236374258995,3.9531092643737793,0,618.578025456,0.11441808193922043,2,0.09904129058122635,465.28460693359375,0.00040680263191461563,149.0213165283203,1.3676912784576416,3,0.0059629506431519985,78.30451202392578,70.71673583984375,60000.0,0.10611514002084732,0.11441808193922043,1000,40,0.9501249194145203,0.06121662259101868,0,16.172714233398438,134.208984375,-0.5508663058280945,0.000291000003926456,26.516666412353516,1746550711.8900611,6.3744916915893555,NaN,104.19999694824219,1.0009329319000244,-0.21439477801322937,0.16343891620635986,1.0009328126907349,0.10611514002084732,0.10611514002084732,1.8240058422088623,0.011910087428987026
0.1472240686416626,1.0002353191375732,0.007823093794286251,5.450489044189453,0,774.538316154,0.1472240686416626,3,0.11923135071992874,617.8912353515625,0.00956330681219697,152.54759216308594,1.3590993881225586,4,0.015526257455348969,79.80094909667969,72.7465591430664,80000.0,0.14130684733390808,0.1472240686416626,1000,40,0.942042887210846,0.10237706452608109,0,19.755935668945312,131.10662841796875,0.2007775753736496,0.0002880000101868063,33.162498474121094,1746550864.5004766,3.583221435546875,NaN,191.6999969482422,1.0002353191375732,-0.11201771348714828,-0.08259101212024689,1.0002353191375732,0.14130684733390808,0.14130684733390808,2.3912808895111084,0.009737992659211159
0.18068277835845947,1.0002362728118896,0.006559608969837427,7.992286682128906,0,936.182911041,0.18068277835845947,4,0.14873936772346497,773.8319702148438,-0.003399166278541088,155.87159729003906,1.352277159690857,5,0.01212709117680788,81.07489776611328,74.79666137695312,100000.0,0.17665107548236847,0.18068277835845947,1000,40,0.935751736164093,0.014924086630344391,0,19.680652618408203,128.31072998046875,0.6445437669754028,0.0002849999873433262,35.83000183105469,1746551020.460909,-0.07528305053710938,NaN,202.4499969482422,1.0002362728118896,-0.0970936268568039,-0.06191509962081909,1.0002362728118896,0.17665107548236847,0.17665107548236847,2.6667182445526123,0.010342701338231564
0.2147248536348343,1.00143301486969,0.008263342082500458,9.455366134643555,0,1100.87839803,0.2147248536348343,5,0.1898382306098938,935.5005493164062,0.00718188751488924,161.58480834960938,1.3349370956420898,6,0.01930897869169712,88.991943359375,72.59280395507812,120000.0,0.21216383576393127,0.2147248536348343,1000,40,0.9195873737335205,-0.065360888838768,0,15.854557991027832,123.77400970458984,1.5595546960830688,0.00028199999360367656,41.52000045776367,1746551182.1052926,-3.826094627380371,NaN,164.5,1.00143301486969,-0.1624545156955719,0.04206117242574692,1.00143301486969,0.21216383576393127,0.21216383576393127,4.1121416091918945,0.01025865413248539
0.24916189908981323,1.0022087097167969,0.007563792169094086,11.216954231262207,0,1256.406015178,0.24916189908981323,6,0.23998606204986572,1100.1959228515625,0.005858428776264191,164.63697814941406,1.3283708095550537,7,0.02516740746796131,91.21653747558594,73.42039489746094,140000.0,0.24788130819797516,0.24916189908981323,1000,40,0.91358882188797,-0.01886950433254242,0,15.903610229492188,121.4793930053711,2.7821238040924072,0.0002789999998640269,45.65999984741211,1746551346.8013935,0.04905223846435547,NaN,163.5500030517578,1.0022087097167969,-0.18132402002811432,-0.21896767616271973,1.0022087097167969,0.24788130819797516,0.24788130819797516,4.860464096069336,0.010111910291016102
0.28369155526161194,1.0017433166503906,0.008171537891030312,12.171867370605469,0,1420.23965297,0.28369155526161194,7,0.32671451568603516,1255.7235107421875,0.010692542418837547,155.4688262939453,1.3204602003097534,8,0.03585994988679886,82.40768432617188,73.06110382080078,160000.0,0.283830463886261,0.28369155526161194,1000,40,0.9062886238098145,-0.05822388827800751,0,13.321839332580566,128.64315795898438,3.749995231628418,0.00027600000612437725,48.2599983215332,1746551502.3290536,-2.581770896911621,NaN,145.6999969482422,1.0017433166503906,-0.23954790830612183,0.23882734775543213,1.0017433166503906,0.283830463886261,0.283830463886261,5.212384223937988,0.009954369626939297
0.31793299317359924,1.0033154487609863,0.009456411004066467,10.28474235534668,0,1574.024480861,0.31793299317359924,8,0.3322751820087433,1419.5615234375,-0.012034587562084198,163.77816772460938,1.3047312498092651,9,0.02382536232471466,89.03804779052734,74.74005889892578,180000.0,0.3199846148490906,0.31793299317359924,1000,40,0.8921590447425842,-0.0013829320669174194,0,10.749621391296387,122.11640167236328,3.935981035232544,0.0002730000123847276,47.66999816894531,1746551666.1625016,-2.5722179412841797,NaN,121.69999694824219,1.0033154487609863,-0.24093084037303925,0.35295069217681885,1.0033154487609863,0.3199846148490906,0.3199846148490906,4.260183811187744,0.01019592396914959
0.3510025143623352,1.004510521888733,0.009378179907798767,11.083025932312012,0,1725.121668041,0.3510025143623352,9,0.41972723603248596,1573.3402099609375,0.007963184267282486,153.72450256347656,1.2885347604751587,10,0.03178854659199715,83.44416809082031,70.28025817871094,200000.0,0.3561965227127075,0.3510025143623352,1000,40,0.8779523372650146,-0.14167211949825287,0,10.156917572021484,130.10287475585938,4.566765308380127,0.0002699999895412475,43.59000015258789,1746551819.94724,-0.5927038192749023,NaN,76.94999694824219,1.004510521888733,-0.3826029598712921,-0.18449667096138,1.004510521888733,0.3561965227127075,0.3561965227127075,5.203942775726318,0.010895728133618832
