Train/Epoch,Metrics/LagrangeMultiplier/Std,Time/Epoch,Time/Rollout,Metrics/EpRet,Train/PolicyRatio/Max,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Min,_step,_runtime,Loss/Loss_cost_critic/Delta,Train/PolicyStd,Train/PolicyRatio/Std,_timestamp,Train/StopIter,Loss/Loss_pi/Delta,Time/Update,TotalEnvSteps,Value/cost,Train/LR,Metrics/EpLen,Time/FPS,Loss/Loss_cost_critic,Loss/Loss_pi,Value/Adv,Train/Entropy,Time/Total,Loss/Loss_reward_critic/Delta,Value/reward,Metrics/LagrangeMultiplier,Metrics/EpCost,Train/PolicyRatio,Train/PolicyRatio/Min,Loss/Loss_reward_critic,Train/KL
0,0,161.47080993652344,85.4712905883789,-0.16257795691490173,1.0012203454971313,0.03599999099969864,0.03599999099969864,1,323.560910827,3.0897765159606934,0.9930601119995117,0.009923380799591541,1743306093.9492269,40,-0.0044857594184577465,75.99945068359375,20000.0,-0.17369718849658966,0.0002969999914057553,1000,123.86138916015625,3.0897765159606934,-0.0044857594184577465,-0.17073360085487366,1.4119659662246704,161.47189331054688,0.008338328450918198,-0.1860218197107315,0.03599999099969864,30.899999618530273,1.0012203454971313,1.0012203454971313,0.008338328450918198,0.006233538500964642
1,0,160.9108123779297,84.33686065673828,0.8210338354110718,0.9996445178985596,0.07033245265483856,0.07033245265483856,2,485.16061609,5.86799955368042,0.9714388251304626,0.01253238134086132,1743306254.9264383,40,-0.003790633287280798,76.57389831542969,40000.0,0.4514347314834595,0.00029399999766610563,1000,124.29244995117188,8.957776069641113,-0.008276392705738544,-0.23498713970184326,1.3899171352386475,322.4508361816406,0.003123323433101177,-0.1635451316833496,0.07033245265483856,52.625,0.9996445178985596,0.9996445178985596,0.011461651884019375,0.011490492150187492
2,0,161.53164672851562,84.6763687133789,1.490643858909607,0.999603271484375,0.10484253615140915,0.10484253615140915,3,646.596957997,-1.8168449401855469,0.962214469909668,0.010783008299767971,1743306416.526139,40,0.0012487410567700863,76.85520935058594,60000.0,1.324723720550537,0.000291000003926456,1000,123.81475067138672,7.140931129455566,-0.007027651648968458,-0.0027053356170654297,1.3804090023040771,484.0433654785156,0.0017038090154528618,-0.10957840830087662,0.10484253615140915,63.46666717529297,0.9996032118797302,0.999603271484375,0.013165460899472237,0.008447947911918163
3,0,161.35777282714844,84.49340057373047,2.2868857383728027,0.9998770356178284,0.13965117931365967,0.13965117931365967,4,808.38938573,-3.6628406047821045,0.9454527497291565,0.010692495852708817,1743306577.962492,40,0.0002838331274688244,76.86430358886719,80000.0,2.0897984504699707,0.0002880000101868063,1000,123.94816589355469,3.478090524673462,-0.006743818521499634,0.18496277928352356,1.362748622894287,645.4673461914062,0.003759661689400673,-0.02732546627521515,0.13965117931365967,59.25,0.9998769760131836,0.9998770356178284,0.01692512258887291,0.009018173441290855
4,0,161.72654724121094,84.99264526367188,3.0543367862701416,1.000923991203308,0.1745312213897705,0.1745312213897705,5,969.771209652,-0.6790366172790527,0.9262588620185852,0.011125238612294197,1743306739.7549152,40,-0.0015796627849340439,76.73380279541016,100000.0,2.470350742340088,0.0002849999873433262,1000,123.66554260253906,2.799053907394409,-0.008323481306433678,-0.22124788165092468,1.3420875072479248,807.2720336914062,0.0025479812175035477,0.06255123764276505,0.1745312213897705,53.939998626708984,1.000923991203308,1.000923991203308,0.019473103806376457,0.009435824118554592
5,0,161.3167266845703,84.65691375732422,4.376081466674805,1.00032377243042,0.2095663696527481,0.2095663696527481,6,1130.623079245,0.033678293228149414,0.9113548994064331,0.010722142644226551,1743306901.136712,40,-0.00042121950536966324,76.65974426269531,120000.0,2.866978883743286,0.00028199999360367656,1000,123.97970581054688,2.8327322006225586,-0.008744700811803341,-0.08075395971536636,1.3257310390472412,968.6560668945312,-0.00183783657848835,0.16811920702457428,0.2095663696527481,58.20000076293945,1.00032377243042,1.00032377243042,0.017635267227888107,0.008116304874420166
6,0,160.7778778076172,84.47213745117188,5.603785514831543,1.000733733177185,0.24461057782173157,0.24461057782173157,7,1288.594232527,0.012191295623779297,0.8940134048461914,0.011360656470060349,1743307061.9885128,40,-0.0023985281586647034,76.30567169189453,140000.0,4.198908805847168,0.0002789999998640269,1000,124.39522552490234,2.844923496246338,-0.011143228970468044,0.013440914452075958,1.3066564798355103,1129.4981689453125,0.0036364328116178513,0.2768186032772064,0.24461057782173157,54.619998931884766,1.0007336139678955,1.000733733177185,0.02127170003950596,0.00979127362370491
7,0,157.9086456298828,84.45857238769531,6.956240653991699,0.9997075200080872,0.2793145179748535,0.2793145179748535,8,1450.136983405,-0.48590946197509766,0.8772773742675781,0.01133508887141943,1743307219.9597716,40,-7.322989404201508e-05,73.45001220703125,160000.0,3.4893391132354736,0.00027600000612437725,1000,126.65550994873047,2.3590140342712402,-0.01121645886451006,0.01032489538192749,1.2876720428466797,1287.4803466796875,-0.0017927773296833038,0.3703121542930603,0.2793145179748535,45.599998474121094,0.9997075200080872,0.9997075200080872,0.019478922709822655,0.009216605685651302
8,0,161.4876251220703,84.4488754272461,7.925009727478027,1.0002521276474,0.3136792778968811,0.3136792778968811,9,1611.124119126,-0.0032224655151367188,0.8666561245918274,0.01086689904332161,1743307381.5024812,40,0.0006951289251446724,77.03868103027344,180000.0,4.857297420501709,0.0002730000123847276,1000,123.84850311279297,2.3557915687561035,-0.010521329939365387,0.17003527283668518,1.2753797769546509,1449.030517578125,0.0094342902302742,0.49074307084083557,0.3136792778968811,43.7599983215332,1.0002521276474,1.0002521276474,0.028913212940096855,0.010165693238377571
9,0,160.92018127441406,84.74463653564453,8.81464958190918,1.0013936758041382,0.3477024435997009,0.3477024435997009,10,1772.641046442,-0.5850987434387207,0.855888307094574,0.011281291022896767,1743307542.489583,40,-0.0008162250742316246,76.17548370361328,200000.0,4.484339237213135,0.0002699999895412475,1000,124.28521728515625,1.7706928253173828,-0.011337555013597012,-0.294856458902359,1.2626512050628662,1610.00537109375,-0.0032418034970760345,0.6035275459289551,0.3477024435997009,42.06999969482422,1.0013936758041382,1.0013936758041382,0.02567140944302082,0.010013673454523087
