Safety/EpCostShield,Metrics/LagrangeMultiplier/Max,Value/cost,Metrics/EpRet,Train/PolicyRatio/Max,Metrics/LagrangeMultiplier,Loss/Loss_pi,Train/PolicyRatio,Time/Total,Metrics/LagrangeMultiplier/Std,Time/Rollout,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,_timestamp,Train/KL,Value/reward,Value/Adv,Train/Epoch,Metrics/LagrangeMultiplier/Min,Train/LR,Time/Update,Safety/ShieldLagrangeMultiplier/Std,_runtime,Train/StopIter,Safety/shield_violation,Loss/Loss_cost_critic/Delta,Loss/Loss_pi/Delta,Safety/ShieldLagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,Metrics/EpLen,_step,Train/PolicyRatio/Min,Loss/Loss_cost_critic,Train/Entropy,TotalEnvSteps,Time/FPS,Safety/ShieldLagrangeMultiplier,Train/PolicyStd,Train/PolicyRatio/Std,Time/Epoch,Safety/shield_adv_c,Metrics/EpCost
1.5499999523162842,1.07975435256958,0.3163042366504669,18.448392868041992,1.002084732055664,1.07975435256958,-0.0748821273446083,1.002084732055664,15362.55859375,0,107.37277221679688,0.12858940660953522,-0.02090093493461609,1746568646.168199,0.010292358696460724,3.521399974822998,0.13641031086444855,50,1.07975435256958,0.00014699999883305281,187.45936584472656,0,15651.797876586,40,0.9755786061286926,-0.3463020324707031,-0.03280811011791229,1.0683735609054565,1.0683735609054565,500,51,1.002084732055664,1.6787374019622803,0.6162058115005493,1020000.0,67.83518981933594,1.0683735609054565,0.4482479393482208,0.011366733349859715,294.83221435546875,NaN,0.7900000214576721
2.6500000953674316,1.083161473274231,0.4461536109447479,18.28144645690918,1.002813696861267,1.083161473274231,-0.04968855902552605,1.002813696861267,15650.3896484375,0,107.85030364990234,0.15628774464130402,0.0276983380317688,1746568933.999492,0.014860748313367367,3.656282901763916,0.09428052604198456,51,1.083161473274231,0.00014400000509340316,179.87127685546875,0,15948.842131041,40,0.8193744421005249,-0.09675741195678711,0.02519356831908226,1.072941780090332,1.072941780090332,500,52,1.002813696861267,1.5819799900054932,0.5870468616485596,1040000.0,69.51162719726562,1.072941780090332,0.4353505074977875,0.01254075113683939,287.7216491699219,NaN,0.6899999976158142
9.399999618530273,1.0863354206085205,0.3287372887134552,19.125633239746094,0.9980714321136475,1.0863354206085205,0.055016398429870605,0.9980714321136475,15947.4501953125,0,108.304443359375,0.1699802279472351,0.013692483305931091,1746569231.044294,0.012811699882149696,3.7593600749969482,0.09771957993507385,52,1.0863354206085205,0.00014099999680183828,188.64581298828125,0,16243.857867286,40,0.687192976474762,1.1201677322387695,0.10470495745539665,1.077517032623291,1.077517032623291,500,53,0.9980714321136475,2.7021477222442627,0.6042222380638123,1060000.0,67.35132598876953,1.077517032623291,0.44286394119262695,0.013725388795137405,296.9503479003906,NaN,1.440000057220459
8.149999618530273,1.0893663167953491,0.3780272901058197,19.550537109375,1.0001676082611084,1.0893663167953491,0.03162722662091255,1.0001676082611084,16242.4580078125,0,109.11893463134766,0.13990651071071625,-0.03007371723651886,1746569526.0597155,0.012441912665963173,3.6801555156707764,0.019336402416229248,53,1.0893663167953491,0.00013800000306218863,185.80467224121094,0,16537.588077812,40,0.8483335971832275,0.3541851043701172,-0.023389171808958054,1.0820451974868774,1.0820451974868774,500,54,1.0001676082611084,3.05633282661438,0.6082237958908081,1080000.0,67.81415557861328,1.0820451974868774,0.44463232159614563,0.012181034311652184,294.9236755371094,NaN,2.680000066757202
1.9249999523162842,1.0922248363494873,0.15527549386024475,19.505516052246094,1.002186894416809,1.0922248363494873,-0.0261982474476099,1.002186894416809,16536.189453125,0,107.03998565673828,0.14028258621692657,0.00037607550621032715,1746569819.7902708,0.008389042690396309,3.801699161529541,-0.16154637932777405,54,1.0922248363494873,0.00013499999477062374,186.5928192138672,0,16832.354897772,40,0.46826982498168945,-1.4679811000823975,-0.05782547406852245,1.0862464904785156,1.0862464904785156,500,55,1.002186894416809,1.5883517265319824,0.6000894904136658,1100000.0,68.11225891113281,1.0862464904785156,0.4411306083202362,0.010993998497724533,293.6329040527344,NaN,1.899999976158142
7.375,1.094966173171997,0.267635315656662,19.221214294433594,0.9996560215950012,1.094966173171997,0.015553034842014313,0.9996560215950012,16830.95703125,0,107.85829162597656,0.1393144130706787,-0.0009681731462478638,1746570114.5567465,0.009898360818624496,3.7573235034942627,0.06597767770290375,55,1.094966173171997,0.0001320000010309741,186.81602478027344,0,17123.333643421,40,0.8222951889038086,0.6687610149383545,0.041751282289624214,1.0904046297073364,1.0904046297073364,500,56,0.9996560215950012,2.257112741470337,0.5888756513595581,1120000.0,67.87152862548828,1.0904046297073364,0.4362049698829651,0.011927763931453228,294.67437744140625,NaN,2.5899999141693115
6.449999809265137,1.0975748300552368,0.3365834057331085,19.658445358276367,0.9998275637626648,1.0975748300552368,-0.0070020477287471294,0.9998275637626648,17121.904296875,0,107.81866455078125,0.18276236951351166,0.04344795644283295,1746570405.5357223,0.011002256534993649,4.003782749176025,0.17618876695632935,56,1.0975748300552368,0.0001289999927394092,183.0323028564453,0,17423.396716586,40,0.9159351587295532,-0.4431028366088867,-0.022555082570761442,1.0944827795028687,1.0944827795028687,500,57,0.9998275637626648,1.8140099048614502,0.5854612588882446,1140000.0,68.76372528076172,1.0944827795028687,0.43474704027175903,0.011888904497027397,290.85101318359375,NaN,2.109999895095825
5.199999809265137,1.1000906229019165,0.32085126638412476,20.850479125976562,1.0000817775726318,1.1000906229019165,-0.04073618724942207,1.0000817775726318,17421.953125,0,108.99212646484375,0.16916799545288086,-0.013594374060630798,1746570705.5983834,0.008821566589176655,4.061600685119629,0.12612886726856232,57,1.1000906229019165,0.00012599999899975955,190.9278106689453,0,17725.18833421,40,1.0758178234100342,-0.019902586936950684,-0.033734139520674944,1.0984313488006592,1.0984313488006592,500,58,1.0000817775726318,1.7941073179244995,0.5795339941978455,1160000.0,66.68443298339844,1.0984313488006592,0.4321722984313965,0.011413834057748318,299.9200744628906,NaN,2.5799999237060547
3.674999952316284,1.1024925708770752,0.48395633697509766,21.48812484741211,0.9997456073760986,1.1024925708770752,-0.06897573173046112,0.9997456073760986,17723.806640625,0,108.57347869873047,0.1938101053237915,0.024642109870910645,1746571007.390726,0.011417240835726261,4.1365437507629395,-0.006267469376325607,58,1.1024925708770752,0.0001230000052601099,193.1363983154297,0,18023.775451088,40,1.190102458000183,0.42694056034088135,-0.028239544481039047,1.1021912097930908,1.1021912097930908,500,59,0.9997456073760986,2.221047878265381,0.5630689263343811,1180000.0,66.28883361816406,1.1021912097930908,0.4250214099884033,0.011546251364052296,301.7099304199219,NaN,2.049999952316284
4.300000190734863,1.1047483682632446,0.3473334014415741,20.82781982421875,1.0007343292236328,1.1047483682632446,-0.029021911323070526,1.0007343292236328,18022.380859375,0,108.15453338623047,0.15061242878437042,-0.04319767653942108,1746571305.9770806,0.008141792379319668,3.9761040210723877,0.3010925352573395,59,1.1047483682632446,0.00011999999696854502,190.34930419921875,0,18319.926787795,40,0.8569969534873962,-0.4945756196975708,0.039953820407390594,1.1058108806610107,1.1058108806610107,500,60,1.0007343292236328,1.72647225856781,0.5544611811637878,1200000.0,67.00078582763672,1.1058108806610107,0.42135927081108093,0.011181888170540333,298.50396728515625,NaN,1.2999999523162842
1.0750000476837158,1.1068313121795654,0.2720339894294739,20.177156448364258,1.0003238916397095,1.1068313121795654,-0.05333478003740311,1.0003238916397095,18318.51171875,0,107.61832427978516,0.14398889243602753,-0.0066235363483428955,1746571602.1283512,0.012326530180871487,3.9416632652282715,0.018141336739063263,60,1.1068313121795654,0.00011700000322889537,188.41946411132812,0,18613.376288989,40,0.5928367972373962,-0.6340276002883911,-0.02431286871433258,1.1091480255126953,1.1091480255126953,500,61,1.0003238916397095,1.092444658279419,0.5531299114227295,1220000.0,67.55892181396484,1.1091480255126953,0.42083680629730225,0.011437589302659035,296.0378723144531,NaN,0.6100000143051147
