Train/LR,Value/cost,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Max,Metrics/EpCost,Train/StopIter,Value/Adv,Train/Epoch,Time/Epoch,Loss/Loss_reward_critic/Delta,Train/PolicyRatio/Min,Metrics/EpRet,Train/KL,Time/Total,Train/Entropy,Loss/Loss_pi/Delta,Train/PolicyRatio/Max,Time/Update,Loss/Loss_reward_critic,_runtime,Value/reward,Metrics/LagrangeMultiplier/Std,_timestamp,Metrics/EpLen,Metrics/LagrangeMultiplier/Min,Time/Rollout,_step,Loss/Loss_pi,Train/PolicyRatio/Std,Train/PolicyRatio,TotalEnvSteps,Train/PolicyStd,Time/FPS
0.0002969999914057553,-0.04829210415482521,1.1577425003051758,1.1577425003051758,0.035999998450279236,0.035999998450279236,16.5,40,0.08312442153692245,0,215.63809204101562,0.006088051944971085,1.0003150701522827,-1.1102445125579834,0.00674339197576046,215.63941955566406,1.407807469367981,-0.0055227577686309814,1.0003150701522827,121.60205841064453,0.006088051944971085,437.761425774,0.14123186469078064,0,1743306143.6841521,1000,0.035999998450279236,94.03596496582031,1,-0.0055227577686309814,0.010283352807164192,1.0003150701522827,20000.0,0.9889393448829651,92.74799346923828
0.00029399999766610563,0.4653552770614624,2.172477960586548,1.014735460281372,0.07104743272066116,0.07104743272066116,18.399999618530273,40,-0.20850038528442383,1,220.38043212890625,0.00538905244320631,0.9990561008453369,-1.0148918628692627,0.010410470888018608,436.0963134765625,1.4134469032287598,-8.073775097727776e-05,0.9990561008453369,127.95550537109375,0.011477104388177395,656.866660302,0.06779537349939346,0,1743306364.1549315,1000,0.07104743272066116,92.42481994628906,2,-0.005603495519608259,0.011290990747511387,0.9990561008453369,40000.0,0.9945379495620728,90.75215911865234
0.000291000003926456,1.2428712844848633,6.448164939880371,4.275686979293823,0.10398444533348083,0.10398444533348083,42.54999923706055,40,-0.03487684577703476,2,219.0117645263672,-0.004937909077852964,0.9994975924491882,-1.1318995952606201,0.0065895323641598225,655.2089233398438,1.4052274227142334,-0.003948896657675505,0.9994975924491882,126.66478729248047,0.0065391953103244305,871.690624144,0.05460261180996895,0,1743306583.260268,1000,0.10398444533348083,92.34685516357422,3,-0.009552392177283764,0.011615294963121414,0.9994975924491882,60000.0,0.9864234328269958,91.31929016113281
0.0002880000101868063,2.7589359283447266,3.3239684104919434,-3.1241965293884277,0.13751736283302307,0.13751736283302307,47.57500076293945,40,0.0855904370546341,3,214.7488555908203,-5.2978284657001495e-06,0.9995818734169006,-0.7980544567108154,0.010263843461871147,870.0481567382812,1.3850061893463135,-0.0013302536681294441,0.9995818734169006,122.4463119506836,0.00653389748185873,1089.288370683,0.05350000038743019,0,1743306798.0842128,1000,0.13751736283302307,92.30249786376953,4,-0.010882645845413208,0.012707135640084743,0.9995818734169006,80000.0,0.9666622281074524,93.13204193115234
0.0002849999873433262,4.539938926696777,5.071975231170654,1.748006820678711,0.17159195244312286,0.17159195244312286,54.060001373291016,40,0.05581122636795044,4,217.517578125,0.0022967206314206123,0.9988325834274292,-0.32390373945236206,0.01427482906728983,1087.63525390625,1.3635890483856201,-0.0016972674056887627,0.9988325834274292,124.75267791748047,0.008830618113279343,1300.574953402,0.11529763042926788,0,1743307015.6819613,1000,0.17159195244312286,92.76477813720703,5,-0.01257991325110197,0.012891826219856739,0.9988325834274292,100000.0,0.9461624622344971,91.94659423828125
0.00028199999360367656,5.414938449859619,4.123296737670898,-0.9486784934997559,0.20605914294719696,0.20605914294719696,64.95999908447266,40,-0.33397284150123596,5,211.19973754882812,0.0194944366812706,1.001508355140686,0.4971873164176941,0.009073578752577305,1298.919921875,1.3468074798583984,0.0036531267687678337,1.001508355140686,118.6732177734375,0.028325054794549942,1515.830875341,0.13760487735271454,0,1743307226.9689114,1000,0.20605914294719696,92.52639770507812,6,-0.008926786482334137,0.01090821623802185,1.001508355140686,120000.0,0.9304298758506775,94.69709014892578
0.0002789999998640269,5.5117902755737305,5.866786956787109,1.743490219116211,0.2406894564628601,0.2406894564628601,84.88999938964844,40,-0.12088906019926071,6,215.16921997070312,-0.013978197239339352,1.0006685256958008,1.0851479768753052,0.009495061822235584,1514.1717529296875,1.3333402872085571,-0.0028761234134435654,1.0006685256958008,122.21520233154297,0.01434685755521059,1735.81115272,0.18023158609867096,0,1743307442.2244964,1000,0.2406894564628601,92.95392608642578,7,-0.011802909895777702,0.010472245514392853,1.0006685256958008,140000.0,0.9179685711860657,92.9500961303711
0.00027600000612437725,7.069412708282471,3.917154550552368,-1.9496324062347412,0.27578404545783997,0.27578404545783997,84.68000030517578,40,-0.06189990043640137,7,219.88961791992188,0.003365921787917614,0.9973211288452148,1.8918665647506714,0.009318528696894646,1734.1571044921875,1.3255712985992432,-0.0018001915886998177,0.9973211288452148,127.17646789550781,0.017712779343128204,1949.771582481,0.16805090010166168,0,1743307662.2050436,1000,0.27578404545783997,92.71300506591797,8,-0.01360310148447752,0.01116276253014803,0.9973211288452148,160000.0,0.9109052419662476,90.95472717285156
0.0002730000123847276,9.774056434631348,3.467216968536377,-0.4499375820159912,0.3113235533237457,0.3113235533237457,86.19999694824219,40,0.12678155303001404,8,213.86993408203125,0.008040281012654305,0.9997458457946777,2.685609817504883,0.009772349148988724,1948.10888671875,1.3165165185928345,-0.001088019460439682,0.9997458457946777,121.41861724853516,0.02575306035578251,2163.393289922,0.24626947939395905,0,1743307876.1654005,1000,0.3113235533237457,92.45117950439453,9,-0.014691120944917202,0.011380896903574467,0.9997458457946777,180000.0,0.9027267694473267,93.51478576660156
0.0002699999895412475,6.324638843536377,1.964106798171997,-1.5031101703643799,0.34718525409698486,0.34718525409698486,80.66000366210938,40,0.05763941630721092,9,213.54705810546875,-0.0017921589314937592,0.9990583062171936,3.111593008041382,0.011698240414261818,2161.7470703125,1.3002982139587402,-0.0008258186280727386,0.9990583062171936,120.8020248413086,0.02396090142428875,2377.187430929,0.2564992904663086,0,1743308089.7873025,1000,0.34718525409698486,92.74496459960938,10,-0.01551693957298994,0.011661611497402191,0.9990582466125488,200000.0,0.888177216053009,93.65616607666016
