Misc/Nu_star,Train/PolicyRatio,Train/PolicyRatio/Std,Misc/Lambda_star,Misc/H_inv_g,_timestamp,Value/cost,_step,Time/Total,Time/Epoch,Train/PolicyStd,Value/Adv,Loss/Loss_cost_critic,TotalEnvSteps,Train/KL,Metrics/EpCost,Misc/B,Misc/A,Misc/FinalStepNorm,Loss/Loss_pi,_runtime,Train/PolicyRatio/Min,Misc/Alpha,Misc/q,Time/FPS,Loss/Loss_pi/Delta,Misc/s,Metrics/EpLen,Misc/r,Time/Update,Loss/Loss_cost_critic/Delta,Loss/Loss_reward_critic/Delta,Train/PolicyRatio/Max,Train/LR,Metrics/EpRet,Loss/Loss_reward_critic,Misc/AcceptanceStep,Train/Epoch,Train/Entropy,Misc/OptimCase,Train/StopIter,Misc/gradient_norm,Misc/cost_gradient_norm,Misc/xHx,Value/reward,Time/Rollout
0.5574705600738525,0.9993104338645935,0.0004876109305769205,0.0,0.13544905185699463,1743306020.0848596,-0.12048110365867615,1,95.15133666992188,95.150390625,1.0175575017929077,-3.528594971768939e-09,20.925996780395508,20000.0,0.00016302289441227913,138.3249969482422,-297313.875,0.008892704732716084,0.27631306648254395,-0.01343968790024519,190.01145189,0.9993104338645935,1.3507379293441772,0.010961939580738544,210.19357299804688,-0.01343968790024519,0.06435555964708328,500,-0.011539791710674763,9.93612289428711,20.925996780395508,0.02661343663930893,0.9993104338645935,0,-2.359074115753174,0.02661343663930893,1,0,1.4361799955368042,0,10,0.18588872253894806,0.2927018105983734,0.010961939580738544,0.014150186441838741,85.2142562866211
0.5787678956985474,0.9999852180480957,1.0452418791828677e-05,0.0,0.21188892424106598,1743306112.5500402,2.9867758750915527,2,187.50599670410156,92.27686309814453,1.0383819341659546,-7.629394338515283e-10,10.795759201049805,40000.0,0.00015903452003840357,116.42500305175781,-227023.78125,0.008413334377110004,0.2895386219024658,-0.013989843428134918,282.652338771,0.9999852180480957,1.3167755603790283,0.011534693650901318,216.7390594482422,-0.0005501555278897285,0.0597064271569252,500,-0.01365156564861536,8.355228424072266,-10.130237579345703,-0.006979277357459068,0.9999852180480957,0,-1.4839099645614624,0.01963415928184986,1,1,1.456523060798645,0,10,0.1566321849822998,0.3219894468784332,0.011534693650901318,-0.05133077874779701,83.9216079711914
0.9674783945083618,0.9990293383598328,0.0006864035967737436,0.0,0.2502872943878174,1743306205.191821,0.9395883083343506,3,280.2711486816406,92.56743621826172,1.052677869796753,-5.340575981449547e-09,5.097714424133301,60000.0,0.00013586130808107555,82.4000015258789,-317765.65625,0.007646897807717323,0.3244166076183319,-0.005828458350151777,376.705786581,0.9990293383598328,1.6119683980941772,0.0076969098299741745,216.05870056152344,0.008161385077983141,0.021367181092500687,500,-0.0010337400017306209,8.269559860229492,-5.698044776916504,-0.0012721531093120575,0.9990293383598328,0,-1.0999345779418945,0.018362006172537804,1,2,1.4700943231582642,0,10,0.03798017278313637,0.11676860600709915,0.0076969098299741745,-0.02504168264567852,84.2978515625
0.7881038784980774,1.0008150339126587,0.0005762879154644907,0.0,0.24224631488323212,1743306299.2445753,3.5039827823638916,4,374.3085021972656,93.9772720336914,1.0712600946426392,1.5258788677030566e-09,9.034425735473633,80000.0,0.00016825828060973436,52.90999984741211,-86938.546875,0.008285670541226864,0.2898304760456085,-0.008927387185394764,469.847060596,1.0008151531219482,1.5062015056610107,0.008815831504762173,212.81741333007812,-0.0030989288352429867,0.03220051899552345,500,-0.004131761845201254,9.657527923583984,3.936711311340332,0.001074373722076416,1.0008151531219482,0,-0.39403265714645386,0.01943637989461422,1,3,1.485629916191101,0,10,0.0859275758266449,0.16907158493995667,0.008815831504762173,-0.043577782809734344,84.3197250366211
0.9598690867424011,0.9997603893280029,0.0001694303355179727,0.0,0.31779786944389343,1743306392.3865476,2.077517032623291,5,467.46942138671875,93.07487487792969,1.0507413148880005,-4.577636492086867e-09,4.922324180603027,100000.0,0.00016148958820849657,48.900001525878906,-110156.890625,0.017259689047932625,0.3043719232082367,-0.006527894642204046,563.002665751,0.9997603893280029,1.0715363025665283,0.01741870865225792,214.88075256347656,0.0023994925431907177,0.02170730009675026,500,-0.001857920316979289,8.309683799743652,-4.1121015548706055,-0.0022261179983615875,0.9997603893280029,0,-0.14977127313613892,0.017210261896252632,1,4,1.4651168584823608,0,10,0.1583901345729828,0.12356007844209671,0.01741870865225792,-0.057187654078006744,84.76517486572266
1.095930814743042,1.0008091926574707,0.0005721856141462922,0.0,0.4132201373577118,1743306485.5415065,0.8901857137680054,6,560.6018676757812,93.07626342773438,1.0322457551956177,-6.103515470812226e-09,2.6643946170806885,120000.0,0.0001922622905112803,37.119998931884766,-82746.9609375,0.024250367656350136,0.24397751688957214,-0.006697859149426222,656.459850718,1.0008091926574707,0.89755779504776,0.024825897067785263,214.8775634765625,-0.0001699645072221756,0.016651887446641922,500,-0.0030957472044974566,8.532878875732422,-2.257929563522339,-0.00207469891756773,1.0008091926574707,0,-0.08116791397333145,0.015135562978684902,1,5,1.4457440376281738,0,10,0.08293058723211288,0.13895295560359955,0.024825897067785263,-0.05424628406763077,84.54336547851562
1.5381226539611816,1.0016111135482788,0.0011392012238502502,0.0,0.3210376799106598,1743306578.9990613,0.895363450050354,7,654.0714721679688,93.37892150878906,1.0159662961959839,-4.577636492086867e-09,2.0652716159820557,140000.0,0.00021578157611656934,9.260000228881836,-10143.1572265625,0.015256508253514767,0.30368688702583313,-0.00441247783601284,749.849942798,1.0016111135482788,1.143991231918335,0.015282141976058483,214.1811065673828,0.0022853813134133816,0.008453712798655033,500,-0.0004655076190829277,8.497734069824219,-0.5991230010986328,0.0024027349427342415,1.0016111135482788,0,-0.22882264852523804,0.017538297921419144,1,6,1.4290231466293335,0,10,0.08506593108177185,0.1001664474606514,0.015282141976058483,-0.03845912963151932,84.88117218017578
0.7082964181900024,1.0004948377609253,0.0003498750156722963,0.0,0.3051566481590271,1743306672.3894334,1.760085940361023,8,747.4583740234375,93.31488037109375,0.9894377589225769,9.53674250681047e-10,5.256465911865234,160000.0,0.0001578315714141354,23.8700008392334,-14292.3740234375,0.022531909868121147,0.31431055068969727,-0.010795933194458485,844.692798557,1.0004948377609253,0.9227768182754517,0.023487482219934464,214.32809448242188,-0.006383455358445644,0.039865732192993164,500,-0.00617208331823349,8.289290428161621,3.1911942958831787,0.0009521003812551498,1.0004948377609253,0,-0.7079288959503174,0.018490398302674294,1,7,1.40289306640625,0,10,0.2772180438041687,0.21114297211170197,0.023487482219934464,-0.08000936359167099,85.02557373046875
1.0783222913742065,0.9998529553413391,0.00010396222933195531,0.0,0.366946280002594,1743306767.231937,1.1146668195724487,9,842.3063354492188,94.77799224853516,0.9845009446144104,-3.051757735406113e-09,2.5155577659606934,180000.0,0.00022320430434774607,22.149999618530273,-28524.255859375,0.029244795441627502,0.2651210427284241,-0.016124224290251732,938.133272913,0.9998530149459839,0.7144126892089844,0.039186056703329086,211.0194549560547,-0.005328291095793247,0.01720016449689865,500,-0.01307636871933937,10.056398391723633,-2.740908145904541,0.0028618816286325455,0.9998530149459839,0,-0.6495628952980042,0.02135227993130684,1,8,1.3967047929763794,0,10,0.36448240280151367,0.20702020823955536,0.039186056703329086,-0.08893398195505142,84.72156524658203
1.6714861392974854,0.9985527396202087,0.0010233817156404257,0.0,0.31918656826019287,1743306860.6724997,0.7517558336257935,10,935.7506713867188,93.3741683959961,0.9963766932487488,-1.5258788677030566e-09,1.6672362089157104,200000.0,0.0001806843065423891,14.989999771118164,-31389.076171875,0.02776516228914261,0.2891203463077545,-0.007610493339598179,1031.548480202,0.9985527396202087,0.8213481903076172,0.029646627604961395,214.19200134277344,0.008513730950653553,0.007158529479056597,500,-0.0036699522752314806,8.44577407836914,-0.8483215570449829,-0.005217975005507469,0.9985527396202087,0,-0.5914421677589417,0.01613430492579937,1,9,1.4095568656921387,0,10,0.35379156470298767,0.07210198789834976,0.029646627604961395,0.009741680696606636,84.92837524414062
