_step,Metrics/LagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Max,Misc/xHx,Train/StopIter,Time/Epoch,Train/PolicyRatio/Std,_timestamp,Time/Update,Metrics/EpRet,Loss/Loss_cost_critic/Delta,Loss/Loss_reward_critic,Train/PolicyRatio/Min,Metrics/LagrangeMultiplier/Min,Loss/Loss_pi,Train/PolicyRatio,Train/PolicyStd,_runtime,Misc/H_inv_g,Safety/shield_violation,Loss/Loss_reward_critic/Delta,Misc/AcceptanceStep,Loss/Loss_cost_critic,Value/reward,Misc/Alpha,Safety/EpCostShield,Metrics/EpCost,Loss/Loss_pi/Delta,Safety/shield_adv_c,Train/LR,Safety/ShieldLagrangeMultiplier/Min,Metrics/EpLen,TotalEnvSteps,Misc/FinalStepNorm,Train/Epoch,Time/FPS,Value/Adv,Train/KL,Time/Rollout,Metrics/LagrangeMultiplier,Train/Entropy,Misc/gradient_norm,Metrics/LagrangeMultiplier/Max,Time/Total,Safety/ShieldLagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier,Train/PolicyRatio/Max,Value/cost
1,0,0.044999994337558746,0.0035915507469326258,10,136.48257446289062,0.0012555826688185334,1746526758.6757586,16.608409881591797,-0.8910974264144897,6.282700538635254,0.005795730277895927,1.0017757415771484,0.03599999472498894,-0.4025558531284332,1.0017757415771484,1.0448592901229858,241.830492516,0.0981641411781311,0.21699731051921844,0.005795730277895927,1,6.282700538635254,0.04633869603276253,2.359790086746216,31.350000381469727,17.200000762939453,-0.4025558531284332,0.0036583207547664642,0,0.044999994337558746,1000,20000.0,0.23164676129817963,0,146.53884887695312,4.1961669694501325e-09,0.0003688948636408895,119.8741455078125,0.03599999472498894,1.4623521566390991,0.0568338967859745,0.03599999472498894,136.4834747314453,0,0.044999994337558746,1.0017757415771484,0.17329838871955872
2,0,0.07997650653123856,0.002625959925353527,10,104.41533660888672,0.0016658119857311249,1746526863.163805,17.170902252197266,-0.6054579019546509,-1.230088710784912,0.003589868312701583,1.002355933189392,0.07098743319511414,-0.4455573856830597,1.002355933189392,1.0812574625015259,349.838222448,0.10068299621343613,0.6661702990531921,-0.0022058619651943445,1,5.052611827850342,0.021922750398516655,2.7597525119781494,39.599998474121094,21.5,-0.043001532554626465,0.8099046945571899,0,0.07997650653123856,1000,40000.0,0.2778601348400116,1,191.54273986816406,-2.2888182460434336e-09,0.00034574687015265226,87.24441528320312,0.07098743319511414,1.497003197669983,0.05654382333159447,0.07098743319511414,240.96701049804688,0,0.07997650653123856,1.002355933189392,0.32857367396354675
3,0,0.11424091458320618,0.002389422617852688,10,107.93641662597656,0.0017263349145650864,1746526971.1715648,16.842790603637695,-0.2831825613975525,7.741003513336182,0.004399692174047232,1.00244140625,0.10598389804363251,-0.4319119453430176,1.00244140625,1.0853737592697144,463.041361393,0.12348933517932892,1.313350796699524,0.0008098238613456488,1,12.793615341186523,0.015774443745613098,2.893127679824829,64.5999984741211,26.366666793823242,0.013645440340042114,1.4546160697937012,0,0.11424091458320618,1000,60000.0,0.35727041959762573,2,185.29428100585938,-4.577636492086867e-09,0.00022420359891839325,91.09359741210938,0.10598389804363251,1.500841498374939,0.026675889268517494,0.10598389804363251,348.97589111328125,0,0.11424091458320618,1.00244140625,0.5880303978919983
4,0,0.14525046944618225,0.002400595461949706,10,113.12898254394531,0.002176294568926096,1746527084.37464,16.72639274597168,-0.12302009761333466,12.172601699829102,0.006618615239858627,1.0030778646469116,0.1405857801437378,-0.33219507336616516,1.0030778646469116,1.0847278833389282,575.493274795,0.1145763173699379,2.462238311767578,0.0022189230658113956,1,24.966217041015625,0.012833411805331707,2.8863871097564697,157.1999969482422,38.73749923706055,0.09971687197685242,1.7390055656433105,0,0.14525046944618225,1000,80000.0,0.33071160316467285,3,176.7893524169922,-7.629394005448376e-09,0.0002935645170509815,96.4025650024414,0.1405857801437378,1.500218391418457,0.028485042974352837,0.1405857801437378,462.17645263671875,0,0.14525046944618225,1.0030778646469116,1.0975898504257202
5,0,0.17762647569179535,0.0031827541533857584,10,112.3814926147461,0.0012994154822081327,1746527196.8266459,17.251663208007812,0.0506042018532753,-3.9312992095947266,0.005340639501810074,1.0018377304077148,0.17530396580696106,-0.3398056924343109,1.0018377304077148,1.0977638959884644,689.322223068,0.13255363702774048,3.7370030879974365,-0.0012779757380485535,1,21.0349178314209,0.01915859617292881,2.5067601203918457,114.5,44.599998474121094,-0.007610619068145752,2.6905417442321777,0,0.17762647569179535,1000,100000.0,0.33228015899658203,4,177.96524047851562,-9.155272984173735e-09,0.0002795700856950134,95.12980651855469,0.17530396580696106,1.5119746923446655,0.03480833023786545,0.17530396580696106,574.6304321289062,0,0.17762647569179535,1.0018377304077148,2.4041543006896973
6,0,0.21092812716960907,0.0030243603978306055,10,113.75460052490234,0.0011815166799351573,1746527310.6555147,16.923484802246094,0.6076460480690002,-5.224427223205566,0.01378511544317007,1.0016708374023438,0.21020451188087463,-0.3204549252986908,1.0016708374023438,1.1348832845687866,803.32060654,0.11931679397821426,4.97213888168335,0.008444475941359997,1,15.810490608215332,0.031886741518974304,2.5715649127960205,121.5999984741211,52.7400016784668,0.019350767135620117,0.07186368107795715,0,0.21092812716960907,1000,120000.0,0.30683088302612305,5,175.8170623779297,3.356933575560106e-08,0.00031505030347034335,96.83109283447266,0.21020451188087463,1.5450509786605835,0.040344443172216415,0.21020451188087463,688.4568481445312,0,0.21092812716960907,1.0016708374023438,3.3051445484161377
7,0,0.24484588205814362,0.0032233179081231356,10,113.92655944824219,0.0011934301583096385,1746527424.653843,16.720666885375977,0.9781128168106079,-1.3629417419433594,0.012949191965162754,1.00168776512146,0.245402991771698,-0.39592957496643066,1.0016876459121704,1.1578322649002075,917.575437135,0.12214050441980362,9.306760787963867,-0.0008359234780073166,1,14.447548866271973,0.05157633125782013,2.4909369945526123,119.55000305175781,58.06999969482422,-0.07547464966773987,-1.4782729148864746,0,0.24484588205814362,1000,140000.0,0.3042443096637726,6,175.55169677734375,0.0,0.0003216878685634583,97.20586395263672,0.245402991771698,1.5653880834579468,0.04645998403429985,0.245402991771698,802.4564208984375,0,0.24484588205814362,1.00168776512146,5.477659702301025
8,0,0.279404878616333,0.002252554055303335,10,114.18848419189453,0.0007196433725766838,1746527538.9088004,17.16350555419922,1.1294889450073242,1.599034309387207,0.007779513951390982,1.0010178089141846,0.28092896938323975,-0.33312273025512695,1.001017689704895,1.1884846687316895,1030.201698589,0.11075248569250107,9.302144050598145,-0.005169678013771772,1,16.04658317565918,0.04722181335091591,2.979726552963257,148.0500030517578,64.16999816894531,0.06280684471130371,1.0324867963790894,0,0.279404878616333,1000,160000.0,0.33001211285591125,7,175.14901733398438,3.051757735406113e-09,0.00027240742929279804,97.02495574951172,0.28092896938323975,1.5914751291275024,0.0384678952395916,0.28092896938323975,916.719482421875,0,0.279404878616333,1.0010178089141846,5.193945407867432
9,0,0.3139285147190094,0.004517242778092623,10,112.55750274658203,0.0014758702600374818,1746527651.5349667,16.872451782226562,1.3104013204574585,1.3216915130615234,0.007831890136003494,1.0020873546600342,0.3167182505130768,-0.3580443561077118,1.0020872354507446,1.2014704942703247,1145.240322728,0.16519135236740112,7.983880519866943,5.237618461251259e-05,1,17.368274688720703,0.06988152116537094,2.1041555404663086,103.3499984741211,55.970001220703125,-0.02492162585258484,-1.6826574802398682,0,0.3139285147190094,1000,180000.0,0.34758830070495605,8,177.6869659423828,0.0,0.00025601626839488745,95.68502807617188,0.3167182505130768,1.6024441719055176,0.03877633810043335,0.3167182505130768,1029.3421630859375,0,0.3139285147190094,1.0020873546600342,4.223681926727295
10,0,0.3488729000091553,0.005246140994131565,10,114.96597290039062,0.0011821910738945007,1746527766.5735333,17.21599006652832,1.576582908630371,-1.971755027770996,0.012149584479629993,1.0016717910766602,0.3527274429798126,-0.32618221640586853,1.0016717910766602,1.2324591875076294,1254.958545938,0.1452687382698059,8.917296409606934,0.004317694343626499,1,15.396519660949707,0.07566110789775848,1.9525160789489746,133.75,56.529998779296875,0.03186213970184326,-0.2565881013870239,0,0.3488729000091553,1000,200000.0,0.2836395502090454,9,173.9645233154297,1.1444091230217168e-09,0.00032570993062108755,97.74996185302734,0.3527274429798126,1.6277683973312378,0.0698750838637352,0.3527274429798126,1144.3748779296875,0,0.3488729000091553,1.0016717910766602,4.830245494842529
