Misc/Alpha,Misc/H_inv_g,Time/Rollout,_step,Metrics/LagrangeMultiplier/Max,Loss/Loss_cost_critic/Delta,Train/StopIter,Misc/AcceptanceStep,Time/FPS,Train/PolicyRatio/Min,Train/Epoch,_runtime,Loss/Loss_pi,Misc/xHx,Train/PolicyStd,Value/reward,Train/LR,Loss/Loss_pi/Delta,Misc/FinalStepNorm,Value/cost,Metrics/EpLen,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Max,TotalEnvSteps,Value/Adv,Time/Epoch,Time/Total,Metrics/EpCost,Metrics/LagrangeMultiplier/Std,Train/Entropy,Misc/gradient_norm,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic,Train/PolicyRatio,Loss/Loss_cost_critic,Train/PolicyRatio/Std,Train/KL,_timestamp,Metrics/EpRet,Loss/Loss_reward_critic/Delta,Time/Update
3.0918219089508057,0.10163307189941406,76.62532043457031,1,0.0044999998062849045,2.113898992538452,10,1,216.13986206054688,1.000004768371582,0,186.566262019,-0.004463613498955965,0.0020921798422932625,1.001725196838379,0.05949637293815613,0,-0.004463613498955965,0.31423136591911316,-0.15072843432426453,1000,0.0044999998062849045,1.000004768371582,20000,4.577636492086867e-09,92.53267669677734,92.53389739990234,33.150001525878906,0,1.4206584692001343,0.049325715750455856,0.0044999998062849045,0.0071551124565303326,1.000004768371582,2.113898992538452,3.3717478800099343e-06,0.000306748814182356,1744995347.1547859,-1.5968992710113525,0.0071551124565303326,15.907322883605957
1.2863547801971436,0.21613609790802002,77.17949676513672,2,0.008004618808627129,2.7432634830474854,10,1,215.9129180908203,0.9999300837516785,1,278.63090929,-0.011072461493313313,0.012086709961295128,1.010658621788025,0.025995150208473206,0,-0.0066088479943573475,0.2780277132987976,0.947109580039978,1000,0.008004618808627129,0.9999300837516785,40000,-6.103515470812226e-09,92.62993621826172,185.28048706054688,37.45000076293945,0,1.429521918296814,0.13560344278812408,0.008004618808627129,0.004659666214138269,0.9999300837516785,4.8571624755859375,4.9452308303443715e-05,0.0003781004052143544,1744995439.8857474,-0.7779814600944519,-0.002495446242392063,15.450411796569824
1.9435226917266846,0.17606422305107117,77.21930694580078,3,0.011512372642755508,1.8199634552001953,10,1,217.4345245361328,0.9996323585510254,2,369.787746176,-0.007931051775813103,0.00529480492696166,1.0117311477661133,0.044550634920597076,0,0.00314140971750021,0.34218481183052063,2.325406551361084,1000,0.011512372642755508,0.9996323585510254,60000,6.103515470812226e-09,91.98171997070312,277.36199951171875,45.849998474121094,0,1.430411696434021,0.05132485181093216,0.011512372642755508,0.006866162177175283,0.9996323585510254,6.677125930786133,0.00025993367307819426,0.00030148899531923234,1744995531.9506865,-0.3312610983848572,0.002206495963037014,14.762374877929688
2.427720069885254,0.14051377773284912,76.91384887695312,4,0.015025295317173004,1.3330192565917969,10,1,219.6038055419922,1.0005625486373901,3,460.235565761,-0.006227812264114618,0.003393372055143118,1.0000900030136108,0.035175058990716934,0,0.0017032395116984844,0.3411281108856201,3.1037192344665527,1000,0.015025295317173004,1.0005625486373901,80000,6.103515470812226e-09,91.07310485839844,368.51092529296875,54.9375,0,1.4184297323226929,0.04415416717529297,0.015025295317173004,0.006388774141669273,1.0005625486373901,8.01014518737793,0.00039775384357199073,0.00027326628332957625,1744995623.1074007,-0.006749153137207031,-0.00047738803550601006,14.159231185913086
1.6874502897262573,0.19272860884666443,76.9984359741211,5,0.018553994596004486,-2.114011764526367,10,1,221.34988403320312,1.0007362365722656,4,549.927729625,-0.009479277767241001,0.007023723796010017,1.0022069215774536,0.03957301378250122,0,-0.003251465503126383,0.3252199590206146,3.336402416229248,1000,0.018553994596004486,1.0007362365722656,100000,-3.051757735406113e-09,90.35469055175781,458.9538879394531,59.56999969482422,0,1.4197572469711304,0.0850546583533287,0.018553994596004486,0.007246187422424555,1.0007362365722656,5.8961334228515625,0.000520541681908071,0.0003274964401498437,1744995713.5548763,0.33412376046180725,0.0008574132807552814,13.356216430664062
1.6784948110580444,0.17437922954559326,76.9297103881836,6,0.02210206910967827,-2.176828622817993,10,1,223.203857421875,1.000378966331482,5,642.151712805,-0.008453062735497952,0.007098872680217028,1.0061548948287964,0.06656957417726517,0,0.0010262150317430496,0.292694628238678,4.943290710449219,1000,0.02210206910967827,1.000378966331482,120000,5.340575981449547e-09,89.60418701171875,548.6536254882812,63.459999084472656,0,1.4231257438659668,0.13569116592407227,0.02210206910967827,0.012651817873120308,1.000378966331482,3.7193048000335693,0.0002679415629245341,0.0003663368115667254,1744995803.2473464,1.2219810485839844,0.005405630450695753,12.67444896697998
1.9068732261657715,0.15073612332344055,76.75144958496094,7,0.025669831782579422,-0.2918422222137451,10,1,217.08493041992188,0.9999321699142456,6,733.401671977,-0.007320031523704529,0.00550029007717967,1.0012379884719849,0.08932401239871979,0,0.0011330312117934227,0.2874346673488617,4.715588092803955,1000,0.025669831782579422,0.9999321699142456,140000,-1.0490417423625331e-08,92.12984466552734,640.8706665039062,65.25,0,1.4176549911499023,0.15298175811767578,0.025669831782579422,0.015056961216032505,0.9999321103096008,3.427462577819824,4.799121597898193e-05,0.00035903873504139483,1744995895.471435,1.7622952461242676,0.002405143342912197,15.378361701965332
1.9004961252212524,0.1554683893918991,76.50652313232422,8,0.029258185997605324,0.6717338562011719,10,1,219.4063720703125,0.9999916553497314,7,824.813045191,-0.006970588117837906,0.005537264049053192,0.9889297485351562,0.18666458129882812,0,0.0003494434058666229,0.2954670786857605,5.986307144165039,1000,0.029258185997605324,0.9999916553497314,160000,-1.1062621929625038e-08,91.1550521850586,732.1209106445312,68.76000213623047,0,1.4044758081436157,0.11974194645881653,0.029258185997605324,0.037631724029779434,0.9999916553497314,4.099196434020996,5.900558790017385e-06,0.00035271132946945727,1744995986.7214987,2.9424331188201904,0.02257476281374693,14.648506164550781
1.5563666820526123,0.17249247431755066,77.36299896240234,9,0.032865237444639206,0.6262307167053223,10,1,219.1709442138672,0.9992620348930359,8,917.266366076,-0.008788795210421085,0.008256683126091957,0.9658584594726562,0.3142869770526886,0,-0.0018182070925831795,0.26846152544021606,7.508691310882568,1000,0.032865237444639206,0.9992620348930359,180000,-2.1362303925798187e-08,91.25297546386719,823.46826171875,69.94999694824219,0,1.3798109292984009,0.12882815301418304,0.032865237444639206,0.029835842549800873,0.9992620348930359,4.725427150726318,0.0005218341830186546,0.00038449629209935665,1744996078.1325867,4.2111334800720215,-0.007795881479978561,13.889944076538086
1.825706124305725,0.17658458650112152,77.17057800292969,10,0.03646913915872574,-2.035426139831543,10,1,216.54855346679688,1.0003451108932495,9,1010.192807428,-0.007916110567748547,0.006000224966555834,0.9453099370002747,0.3964096009731293,0,0.0008726846426725388,0.3223915696144104,6.407299041748047,1000,0.03646913915872574,1.0003451108932495,200000,-1.0681151962899094e-08,92.35803985595703,915.9853515625,61.529998779296875,0,1.3588494062423706,0.07629092037677765,0.03646913915872574,0.03876166790723801,1.0003451108932495,2.6900010108947754,0.0002440021635266021,0.0003009738284163177,1744996170.586252,5.5371198654174805,0.008925825357437134,15.187427520751953
