Safety/ShieldLagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,Time/Update,Safety/shield_violation,Metrics/LagrangeMultiplier,_timestamp,Loss/Loss_reward_critic/Delta,Loss/Loss_cost_critic/Delta,Value/Adv,Metrics/EpLen,Time/Total,Safety/shield_adv_c,Metrics/LagrangeMultiplier/Std,Metrics/LagrangeMultiplier/Max,_step,Loss/Loss_reward_critic,Metrics/LagrangeMultiplier/Min,Train/Epoch,Misc/xHx,Metrics/EpRet,Loss/Loss_pi,Time/FPS,_runtime,Loss/Loss_pi/Delta,Misc/AcceptanceStep,Train/PolicyRatio/Std,Time/Epoch,Loss/Loss_cost_critic,Misc/Alpha,Time/Rollout,Train/PolicyRatio/Max,Safety/EpCostShield,Misc/H_inv_g,Train/LR,Value/reward,Metrics/EpCost,Safety/ShieldLagrangeMultiplier,TotalEnvSteps,Train/Entropy,Misc/gradient_norm,Train/StopIter,Train/PolicyRatio/Min,Safety/ShieldLagrangeMultiplier/Std,Train/PolicyStd,Value/cost,Misc/FinalStepNorm,Train/KL,Train/PolicyRatio
0.6525853872299194,0.6525853872299194,22.585792541503906,5.4871134757995605,0.7477170825004578,1746498949.3706665,0.0011645040940493345,-1.502906322479248,-3.051757735406113e-09,1000,2562.910888671875,0.013561129570007324,0,0.7477170825004578,21,0.004969665315002203,0.7477170825004578,20,0.0046214088797569275,0.28957119584083557,-0.5117590427398682,172.08155822753906,2685.148405353,-0.0717172622680664,1,0.0020004017278552055,116.22396087646484,5.048961162567139,2.0803065299987793,93.63813781738281,1.0028289556503296,19.75,0.13826937973499298,0,0.0442219041287899,20.6299991607666,0.6525853872299194,420000.0,1.8845478296279907,0.08815404772758484,10,1.0028289556503296,0,1.5968809127807617,1.6220967769622803,0.2876427173614502,0.0003251628950238228,1.0028289556503296
0.6805910468101501,0.6805910468101501,23.242156982421875,4.00223445892334,0.783998966217041,1746499070.7869728,0.0008489792235195637,-1.118943452835083,1.1825560974898508e-08,1000,2684.321533203125,-0.5975010991096497,0,0.783998966217041,22,0.005818644538521767,0.783998966217041,21,0.004133382812142372,0.27100977301597595,-0.42337119579315186,164.8158721923828,2804.812394167,0.08838784694671631,1,0.0023603918962180614,121.3475341796875,3.9300177097320557,2.199690818786621,98.10535430908203,1.0033382177352905,23.299999237060547,0.1316407024860382,0,0.05301426351070404,15.039999961853027,0.6805910468101501,440000.0,1.9022666215896606,0.0983901098370552,10,1.0033382177352905,0,1.6251109838485718,1.4809551239013672,0.28956884145736694,0.0003119541797786951,1.0033382177352905
0.7079029679298401,0.7079029679298401,23.12897491455078,4.025236129760742,0.8194620609283447,1746499190.450975,0.0012203259393572807,-0.004410505294799805,-6.103515470812226e-09,1000,2803.978515625,0.03488337993621826,0,0.8194620609283447,23,0.007038970477879047,0.8194620609283447,22,0.00379078253172338,0.16365039348602295,-0.4081723988056183,167.2405548095703,2920.369312789,0.01519879698753357,1,0.001976293744519353,119.58821868896484,3.925607204437256,2.2969417572021484,96.45921325683594,1.0027949810028076,31.25,0.13459941744804382,0,0.054657239466905594,14.84000015258789,0.7079029679298401,460000.0,1.9329856634140015,0.09306476265192032,10,1.0027949810028076,0,1.6756082773208618,1.281829595565796,0.3091670274734497,0.00029108813032507896,1.002794861793518
0.7333658337593079,0.7333658337593079,22.541019439697266,3.528594493865967,0.8534806370735168,1746499306.0079007,0.0005954941734671593,-1.8536601066589355,1.0681151962899094e-08,1000,2919.553955078125,-0.407261461019516,0,0.8534806370735168,24,0.007634464651346207,0.8534806370735168,23,0.00225325720384717,0.019317660480737686,-0.45360493659973145,173.15908813476562,3033.015862111,-0.04543253779411316,1,0.0017739888280630112,115.50072479248047,2.0719470977783203,2.979261636734009,92.95967864990234,1.0025088787078857,9.5,0.11691593378782272,0,0.03118101879954338,9.869999885559082,0.7333658337593079,480000.0,1.9544953107833862,0.040359802544116974,10,1.0025088787078857,0,1.7118867635726929,0.9114324450492859,0.34832316637039185,0.00019837736908812076,1.0025087594985962
0.7574213147163391,0.7574213147163391,22.51059341430664,2.55800461769104,0.8856600522994995,1746499418.6544862,0.002550109289586544,-0.13987112045288086,7.629394338515283e-10,1000,3032.193359375,-0.26278045773506165,0,0.8856600522994995,25,0.01018457394093275,0.8856600522994995,24,0.0015619299374520779,-0.2100629061460495,-0.4086008071899414,177.64944458007812,3149.019202847,0.04500412940979004,1,0.0025632588658481836,112.58126831054688,1.9320759773254395,3.578350067138672,90.07064819335938,1.0036249160766602,13.850000381469727,0.08421105891466141,0,0.009636320173740387,6.53000020980835,0.7574213147163391,500000.0,1.980364203453064,0.0546981617808342,10,1.0036249160766602,0,1.756932258605957,0.8178059458732605,0.3013366758823395,0.0002829316072165966,1.0036249160766602
0.7801752686500549,0.7801752686500549,23.148761749267578,3.8554468154907227,0.9160775542259216,1746499534.6577659,-0.003470995929092169,0.22641754150390625,3.433227480087453e-09,1000,3148.195556640625,-0.30682945251464844,0,0.9160775542259216,26,0.006713578011840582,0.9160775542259216,25,0.002383715473115444,-0.08444932848215103,-0.47048476338386536,172.50352478027344,3265.066935719,-0.06188395619392395,1,0.001127287745475769,115.93966674804688,2.1584935188293457,2.8965888023376465,92.79087829589844,1.0015943050384521,13.300000190734863,0.10405676811933517,0,0.029384125024080276,5.920000076293945,0.7801752686500549,520000.0,2.006425142288208,0.09654094278812408,10,1.0015943050384521,0,1.8032394647598267,1.0256619453430176,0.30140966176986694,0.0002863759291358292,1.0015941858291626
0.8031222820281982,0.8031222820281982,22.68891143798828,3.062265157699585,0.9450868368148804,1746499650.7055001,0.0001443503424525261,1.3476142883300781,-7.629394005448376e-09,1000,3264.252197265625,0.9647116661071777,0,0.9450868368148804,27,0.006857928354293108,0.9450868368148804,26,0.001944152289070189,-0.06462463736534119,-0.3243190348148346,172.4261474609375,3378.241902918,0.14616572856903076,1,0.001134649384766817,115.99169158935547,3.506107807159424,3.2073676586151123,93.3027572631836,1.0016047954559326,36.5,0.10556452721357346,0,0.046768322587013245,6.929999828338623,0.8031222820281982,540000.0,2.0201988220214844,0.050370484590530396,10,1.0016047954559326,0,1.8305153846740723,0.8839117884635925,0.3385842442512512,0.00028751458739861846,1.001604676246643
0.8247900009155273,0.8247900009155273,22.534616470336914,3.1121034622192383,0.9726086854934692,1746499763.8805134,0.002026058267802,-0.9986836910247803,7.629394338515283e-10,1000,3377.397216796875,0.31421011686325073,0,0.9726086854934692,28,0.008883986622095108,0.9726086854934692,27,0.002225268632173538,-0.10615041106939316,-0.44222208857536316,176.85072326660156,3495.435573441,-0.11790305376052856,1,0.0023789929691702127,113.08972930908203,2.5074241161346436,2.997939109802246,90.5550765991211,1.0033644437789917,11.800000190734863,0.09440343081951141,0,0.030931860208511353,5.699999809265137,0.8247900009155273,560000.0,2.044480085372925,0.08237766474485397,10,1.0033644437789917,0,1.8742027282714844,1.1218453645706177,0.28301575779914856,0.00031263602431863546,1.0033644437789917
0.8464406728744507,0.8464406728744507,22.977832794189453,3.5724031925201416,0.9994146823883057,1746499881.0742235,-0.0012776516377925873,1.7336809635162354,-1.5258788677030566e-09,1000,3494.6201171875,-0.5192995071411133,0,0.9994146823883057,29,0.007606334984302521,0.9994146823883057,28,0.0034388231579214334,0.00047248840564861894,-0.38814735412597656,170.74591064453125,3613.665185343,0.0540747344493866,1,0.0011056523071601987,117.13311767578125,4.241105079650879,2.411623239517212,94.15526580810547,1.0015637874603271,30.350000381469727,0.12929999828338623,0,0.06266038864850998,9.15999984741211,0.8464406728744507,580000.0,2.057800531387329,0.0983455628156662,10,1.0015637874603271,0,1.8994178771972656,1.225806474685669,0.31182289123535156,0.00028972874861210585,1.0015636682510376
0.8686953186988831,0.8686953186988831,22.971359252929688,3.2657663822174072,1.0259405374526978,1746499999.3038266,0.00021655671298503876,0.16298723220825195,-7.629394005448376e-09,1000,3612.850341796875,-0.6110438108444214,0,1.0259405374526978,30,0.00782289169728756,1.0259405374526978,29,0.00429713586345315,0.12575741112232208,-0.3206195533275604,169.24302673339844,3733.363660039,0.06752780079841614,1,0.0017733145505189896,118.17325592041016,4.404092311859131,2.1573715209960938,95.20187377929688,1.0025079250335693,40.79999923706055,0.14276297390460968,0,0.06315498799085617,11.1899995803833,0.8686953186988831,600000.0,2.0575599670410156,0.07604514062404633,10,1.0025079250335693,0,1.8984380960464478,1.249422550201416,0.3079927861690521,0.0002983893209602684,1.0025078058242798
