total_steps,EpRet,EpCost,CostRate
1000,-5.086315580397821,92.0,0.0920920920920921
2000,-2.670583416233719,111.0,0.10155077538769385
3000,-1.491823332450269,0.0,0.06768922974324774
4000,-1.73937637243251,0.0,0.05076269067266817
5000,-7.956452467405978,0.0,0.04060812162432487
6000,0.22062300244935795,0.0,0.0338389731621937
7000,-0.25181658494572856,0.0,0.029004143449064154
8000,1.8413638727713981,16.0,0.02737842230278785
9000,0.525131810921253,65.0,0.03155906211801311
10000,1.5932041510157595,0.0,0.028402840284028404
11000,2.897155375543437,151.0,0.03954904991362851
12000,2.9766183229258756,21.0,0.03800316693057755
13000,6.123961997759359,146.0,0.046311254711900916
14000,6.186664035724526,0.0,0.04300307164797486
15000,7.320723560626476,126.0,0.04853656910460697
16000,2.8720494795260647,0.0,0.045502843927745486
17000,3.250866465294861,13.0,0.04359079945879169
18000,2.416816178811318,0.0,0.04116895383076838
19000,1.3828415210925475,55.0,0.04189694194431286
20000,3.898106934380339,45.0,0.04205210260513026
21000,-38.69344205523368,10.0,0.040525739320920046
22000,5.041184287162728,0.0,0.038683576526205736
23000,5.967113178676941,165.0,0.044175833731901384
24000,-0.3506410266205453,0.0,0.04233509729572066
25000,3.8571896796322114,151.0,0.04668186727469099
26000,1.0580980652696497,0.0,0.04488634178237624
27000,-0.5671627762633502,0.0,0.043223823104559425
28000,0.7456295985984069,19.0,0.042358655666273795
29000,5.000209758128383,70.0,0.043311838339253075
30000,3.004749720954372,186.0,0.04806826894229808
31000,9.79607462215823,146.0,0.05122745895028872
32000,1.7225329339469142,127.0,0.053595424857026785
33000,0.2740003716682402,0.0,0.05197127185672293
34000,-4.377849417774158,0.0,0.0504426600782376
35000,3.7333261083913083,0.0,0.04900140004000114
36000,2.2501286604759736,0.0,0.04764021222811745
37000,0.6246994378507658,0.0,0.046352604124435794
38000,0.22128205609367546,42.0,0.046238058896286745
39000,5.126678172598892,0.0,0.04505243724198056
40000,1.6577941471684468,183.0,0.04850121253031326
41000,2.1072581291982724,0.0,0.047318227273835944
42000,0.4706562938255445,0.0,0.04619157598990452
43000,2.9375430235874207,22.0,0.04562896811553757
44000,2.0626595178468374,0.0,0.04459192254369417
45000,-0.4873175107301748,0.0,0.04360096891042023
46000,3.504777487286767,0.0,0.04265310115437292
47000,1.8568773496227133,0.0,0.04174556905466074
48000,1.472908909435246,0.0,0.040875851580241256
49000,5.657526366638864,358.0,0.047347905059286925
50000,8.77704681771445,47.0,0.04734094681893638
51000,2.615941281400528,0.0,0.046412674758328595
52000,3.833887529292755,46.0,0.04640473855266448
53000,2.0272202840963875,11.0,0.04573671201343422
54000,-0.15187663687599962,144.0,0.047556436230300564
55000,1.9560421072236085,0.0,0.046691758031964216
56000,0.4038383687278997,0.0,0.04585796174931695
57000,1.4571579014389113,6.0,0.04515868699450867
58000,6.755936133182473,26.0,0.04482835910963982
59000,4.433752022730207,74.0,0.04532280208139121
60000,3.7932039430059312,161.0,0.04725078751312522
61000,0.3372943316592243,12.0,0.046672896276988146
62000,3.618374513734862,0.0,0.04592009548541105
63000,5.257584386625832,203.0,0.04841346688042667
64000,5.544216378656297,28.0,0.048094501476585574
65000,-0.6419120367618234,38.0,0.04793919906460099
66000,0.3144065462673429,0.0,0.04721283655812967
67000,6.077139465330087,0.0,0.046508156838161764
68000,-0.053677376162350576,67.0,0.046809511904586834
69000,0.5063438253892455,0.0,0.0461311033493239
70000,0.8262373630457479,0.0,0.045472078172545324
71000,2.339496198276003,0.0,0.044831617346723196
72000,4.424942694050953,0.0,0.044208947346490925
73000,4.926509439155768,595.0,0.05175413361826874
74000,1.2390134472271468,0.0,0.0510547439830268
75000,4.296038934647684,0.0,0.050374004986733154
76000,4.900442611589664,0.0,0.049711180410268556
77000,1.7142667279487314,0.0,0.04906557228015948
78000,0.38236072760420914,28.0,0.048795497378171515
79000,5.099161533586508,26.0,0.04850694312586235
80000,1.4633095177445248,0.0,0.04790059875748447
81000,0.8952636193899012,0.0,0.04730922603982765
82000,0.0806497500033414,0.0,0.046732277222892964
83000,1.8849700441855255,0.0,0.046169230954589816
84000,0.5067086074869684,0.0,0.04561959070941321
85000,3.52902292297986,0.0,0.045082883328039156
86000,0.5718082305937287,144.0,0.04623309573367132
87000,-11.257971414222656,0.0,0.04570167473189347
88000,-2.2694903539286138,0.0,0.045182331617404745
89000,5.438271649205531,0.0,0.04467465926583445
90000,5.738202090013477,0.0,0.044178268647429415
91000,-1.2420833898397137,0.0,0.04369278783283333
92000,2.9268574973878847,0.0,0.043217861063707216
93000,1.7991378788824788,0.0,0.042753147883310576
94000,2.6453356205243663,0.0,0.0422983223225779
95000,7.26347515887303,0.0,0.04185307213760145
96000,4.752739578120347,37.0,0.04180251877623725
97000,2.651753038162462,0.0,0.041371560531551874
98000,0.3564679390464651,0.0,0.04094939744283105
99000,1.711425536987902,605.0,0.04664693582763462
100000,5.676735761309846,0.0,0.046180461804618045
101000,5.284532745511881,21.0,0.04593114783314686
102000,1.549896946164859,0.0,0.04548083804743184
103000,5.159811500691772,0.0,0.04503927222594394
104000,2.8319679144388403,0.0,0.044606198136520545
105000,4.846042367206353,87.0,0.045009952475737865
106000,0.5282916262044999,0.0,0.044585326276662986
107000,6.105022010292479,57.0,0.04470135234908738
108000,3.3486724601587206,31.0,0.04457448680080371
109000,0.6515242334448382,0.0,0.04416554280314498
110000,-0.19719762901225124,0.0,0.0437640342184929
111000,-0.7883569294491117,0.0,0.04336976008792872
112000,2.575307918440252,0.0,0.04298252662970205
113000,0.9057409247177346,0.0,0.04260214692165418
114000,0.24584910439709695,0.0,0.042228440600356146
115000,0.5313929926960081,0.0,0.04186123357594414
116000,1.9389068709829087,0.0,0.04150035776170484
117000,5.7444208499913,0.0,0.041145650817528356
118000,0.8993253106486239,144.0,0.042017305231400265
119000,-0.46121218068938763,0.0,0.041664215665677864
120000,1.0025229817213974,0.0,0.04131701097509146
121000,-0.06904697814520566,43.0,0.04133092009024868
122000,4.889081069239241,22.0,0.041172468626792025
123000,3.363252839249781,23.0,0.0410247237782421
124000,2.6314401241410215,0.0,0.04069387656352067
125000,1.947019712599759,0.0,0.040368322946583574
126000,3.791104480862038,0.0,0.040047936888388
127000,0.13990295200566671,0.0,0.03973259631965606
128000,-0.22587650260056025,0.0,0.03942218298580458
129000,5.041708854139368,0.0,0.03911658229908759
130000,6.772508285474094,37.0,0.039100300771544395
131000,0.04826420830760236,59.0,0.039252208032122385
132000,-0.23404996297147496,0.0,0.03895484056697399
133000,0.2850694018357056,0.0,0.03866194482665283
134000,9.011659553665673,81.0,0.0389779028201703
135000,8.035652725631612,0.0,0.03868917547537389
136000,2.80176822713887,0.0,0.03840469415216288
137000,1.8867349457818674,0.0,0.03812436587128373
138000,2.037781242617111,0.0,0.03784810034855325
139000,4.851760992260641,0.0,0.03757580989791293
140000,1.5732287121228392,0.0,0.03730740933863813
