Metrics/EpLen,Safety/EpCostShield,Loss/Loss_pi,Time/Rollout,_timestamp,Misc/AcceptanceStep,Misc/xHx,Misc/FinalStepNorm,_step,Train/Epoch,Train/PolicyStd,Train/PolicyRatio/Max,Misc/gradient_norm,Safety/ShieldLagrangeMultiplier,Metrics/LagrangeMultiplier/Std,Value/cost,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier/Min,Time/Epoch,Loss/Loss_cost_critic/Delta,Train/Entropy,Loss/Loss_pi/Delta,Time/Update,Train/LR,Train/KL,Value/reward,Safety/shield_violation,Metrics/LagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Max,Loss/Loss_cost_critic,Train/StopIter,Train/PolicyRatio/Min,Loss/Loss_reward_critic/Delta,Metrics/EpRet,Loss/Loss_reward_critic,Metrics/LagrangeMultiplier,Misc/Alpha,Metrics/EpCost,Train/PolicyRatio,Safety/shield_adv_c,Time/FPS,Safety/ShieldLagrangeMultiplier/Min,_runtime,TotalEnvSteps,Safety/ShieldLagrangeMultiplier/Std,Time/Total,Value/Adv,Misc/H_inv_g
1000,4.650000095367432,-0.3178671896457672,146.0904541015625,1746539842.2636762,1,0.0015956507995724678,0.2252940684556961,1,0,0.9843079447746277,1.0003232955932617,0.05687082186341286,0.044999994337558746,0,0.22457954287528992,0.00022860450553707778,0.0010000000474974513,180.7479705810547,0.43067052960395813,1.4030436277389526,-0.3178671896457672,34.65748596191406,0,0.00042976814438588917,0.07503549009561539,-0.1420982927083969,0.0010000000474974513,0.044999994337558746,0.43067052960395813,10,1.0003232955932617,0.007037007249891758,-1.4699615240097046,0.007037007249891758,0.0010000000474974513,3.5403378009796143,0.0,1.0003232955932617,-0.0024179541505873203,110.65131378173828,0.044999994337558746,321.713610919,20000.0,0,180.74928283691406,-8.01086397217432e-09,0.06363631784915924
1000,29.299999237060547,-0.2760147154331207,105.90746307373047,1746539981.9684854,1,0.0035887237172573805,0.21766792237758636,2,1,0.9811670184135437,1.0006113052368164,0.09768065810203552,0.07439728826284409,0,0.1834883838891983,0.0004322580643929541,0.027044789865612984,139.6069793701172,4.894429415464401,1.3998669385910034,0.041852474212646484,33.699493408203125,0,0.0004453371511772275,0.0656365379691124,0.027538351714611053,0.027044789865612984,0.07439728826284409,5.325099945068359,10,1.0006113052368164,-0.003444807371124625,-0.8082559704780579,0.0035921998787671328,0.027044789865612984,2.3607194423675537,6.824999809265137,1.0006113052368164,0.20334771275520325,143.25930786132812,0.07439728826284409,461.994643761,40000.0,0,320.4306945800781,1.5258788677030566e-09,0.09220405668020248
1000,57.900001525878906,-0.2348184585571289,105.15972137451172,1746540122.24944,1,0.0006790902698412538,0.3638940751552582,3,2,0.9756647944450378,1.0004384517669678,0.01770971529185772,0.10465607792139053,0,0.24418088793754578,0.0003099198220297694,0.056197766214609146,140.16510009765625,3.440352439880371,1.3938077688217163,0.04119625687599182,35.00534439086914,0,0.00026775721926242113,0.05907202139496803,0.19815674424171448,0.056197766214609146,0.10465607792139053,8.76545238494873,10,1.0004384517669678,0.0027058033738285303,-0.8670177459716797,0.006298003252595663,0.056197766214609146,5.426852703094482,13.0,1.0004383325576782,0.4679946303367615,142.68887329101562,0.10465607792139053,603.733319371,60000.0,0,460.7091369628906,-1.4495848965623281e-08,0.06705434620380402
1000,49.70000076293945,-0.26578375697135925,105.91729736328125,1746540263.9880555,1,0.002503500785678625,0.3130803108215332,4,3,0.9775757789611816,0.999769389629364,0.06940402835607529,0.13670016825199127,0,1.7163792848587036,0.00016308021440636367,0.08752515912055969,141.61090087890625,0.04808235168457031,1.3957290649414062,-0.030965298414230347,35.69356918334961,0,0.0004104248946532607,0.04869794473052025,2.446714401245117,0.08752515912055969,0.13670016825199127,8.8135347366333,10,0.999769389629364,-0.001382917631417513,-0.7119690179824829,0.00491508562117815,0.08752515912055969,2.8264431953430176,13.850000381469727,0.999769389629364,0.7787221670150757,141.23207092285156,0.13670016825199127,742.556609509,80000.0,0,602.437255859375,0.0,0.11076829582452774
1000,68.0,-0.1829323023557663,105.35050964355469,1746540402.8114913,1,0.0031408648937940598,0.32255804538726807,5,4,0.9904668927192688,1.0010961294174194,0.07217990607023239,0.1697327345609665,0,1.7569650411605835,0.0007751086377538741,0.12010733038187027,138.71078491210938,2.43363094329834,1.408884882926941,0.08285145461559296,33.36024475097656,0,0.00030755792977288365,0.0666084885597229,3.248573064804077,0.12010733038187027,0.1697327345609665,11.24716567993164,10,1.0010961294174194,-0.0014148924965411425,-0.5037099123001099,0.0035001931246370077,0.12010733038187027,2.523420810699463,16.520000457763672,1.0010961294174194,-0.3711543381214142,144.18490600585938,0.1697327345609665,885.064502346,100000.0,0,741.2757568359375,-9.155272984173735e-09,0.12782570719718933
1000,103.30000305175781,-0.1620214581489563,108.1311264038086,1746540545.3195708,1,0.003029748797416687,0.31107595562934875,6,5,0.9998946189880371,1.0007123947143555,0.07503929734230042,0.20288603007793427,0,1.568433165550232,0.0005037953378632665,0.15317381918430328,142.3960418701172,0.15786266326904297,1.418402075767517,0.020910844206809998,34.26488494873047,0,0.0003220303915441036,0.05404358357191086,4.2117390632629395,0.15317381918430328,0.20288603007793427,11.405028343200684,10,1.0007123947143555,0.0016491466667503119,-0.24597956240177155,0.0051493397913873196,0.15317381918430328,2.569277286529541,23.729999542236328,1.0007123947143555,1.8819890022277832,140.45335388183594,0.20288603007793427,1026.68026215,120000.0,0,883.78173828125,2.6702879907247734e-09,0.12107527256011963
1000,44.70000076293945,-0.25400280952453613,107.33549499511719,1746540686.9350042,1,0.0024965303018689156,0.3274387717247009,7,6,1.0162465572357178,1.001569151878357,0.07872013002634048,0.23572403192520142,0,1.4308665990829468,0.0011095298686996102,0.18704013526439667,141.50637817382812,-5.302987098693848,1.4345721006393433,-0.09198135137557983,34.170841217041016,0,0.0002538770204409957,0.06132032349705696,3.4608850479125977,0.18704013526439667,0.23572403192520142,6.102041244506836,10,1.001569151878357,0.0017988895997405052,-0.25701093673706055,0.006948229391127825,0.18704013526439667,2.830386161804199,23.1299991607666,1.001569151878357,-0.622918963432312,141.33639526367188,0.23572403192520142,1171.387048326,140000.0,0,1025.398681640625,-8.630752112992468e-09,0.11568696051836014
1000,52.150001525878906,-0.2504974603652954,110.3277816772461,1746540831.6418324,1,0.0037994184531271458,0.2659470736980438,8,7,1.0548356771469116,1.0036882162094116,0.08207841217517853,0.2686989903450012,0,2.0880277156829834,0.002607878530398011,0.22151756286621094,144.5872039794922,-0.003143310546875,1.4719347953796387,0.0035053491592407227,34.259376525878906,0,0.0003487337671685964,0.03193952143192291,5.2001214027404785,0.22151756286621094,0.2686989903450012,6.098897933959961,10,1.0036882162094116,0.0011537703685462475,-0.18936489522457123,0.008101999759674072,0.22151756286621094,2.294329881668091,21.43000030517578,1.0036882162094116,0.5140230059623718,138.3248291015625,0.2686989903450012,1305.703937907,160000.0,0,1170.097412109375,0.0,0.11591491848230362
1000,30.950000762939453,-0.2625599801540375,99.93359375,1746540965.959703,1,0.0015319061931222677,0.34003832936286926,9,8,1.102542757987976,1.0005115270614624,0.031446490436792374,0.3006473183631897,0,1.3384515047073364,0.000361619982868433,0.25633686780929565,134.2101593017578,-2.1571578979492188,1.5162919759750366,-0.012062519788742065,34.276546478271484,0,0.00022576226911041886,0.02063143067061901,4.041797637939453,0.25633686780929565,0.3006473183631897,3.941740036010742,10,1.0005115270614624,-0.00044251279905438423,-0.22124962508678436,0.007659486960619688,0.25633686780929565,3.613245725631714,19.510000228881836,1.0005115270614624,-0.1259511113166809,149.02001953125,0.3006473183631897,1446.935115618,180000.0,0,1304.4295654296875,7.629394338515283e-10,0.09410882741212845
1000,61.54999923706055,-0.25891950726509094,106.46336364746094,1746541107.1899276,1,0.005189304240047932,0.31068557500839233,10,9,1.114538550376892,1.0002429485321045,0.06351687014102936,0.33327656984329224,0,1.5818309783935547,0.0001717905979603529,0.29140833020210266,141.12672424316406,3.8397998809814453,1.5271873474121094,0.003640472888946533,34.663326263427734,0,0.0003189453564118594,0.036089129745960236,5.667585849761963,0.29140833020210266,0.33327656984329224,7.7815399169921875,10,1.0002429485321045,-0.004143052501603961,-0.24387195706367493,0.003516434459015727,0.29140833020210266,1.963179588317871,19.40999984741211,1.000242829322815,1.0965417623519897,141.71661376953125,0.33327656984329224,1586.186149261,200000.0,0,1445.6458740234375,-1.2969969986897922e-08,0.15825632214546204
