Train/Epoch,Time/Rollout,Train/KL,Misc/H_inv_g,Train/PolicyRatio,Safety/shield_adv_c,Train/PolicyStd,Train/PolicyRatio/Max,_runtime,Time/Total,Loss/Loss_cost_critic/Delta,Misc/xHx,Safety/ShieldLagrangeMultiplier/Max,Time/Epoch,Loss/Loss_pi,Misc/Alpha,Loss/Loss_pi/Delta,Safety/shield_violation,Metrics/LagrangeMultiplier/Max,Train/LR,TotalEnvSteps,Metrics/LagrangeMultiplier/Min,Metrics/EpLen,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Std,Loss/Loss_reward_critic,Metrics/EpRet,Train/StopIter,Safety/EpCostShield,Train/PolicyRatio/Min,_timestamp,Metrics/EpCost,Safety/ShieldLagrangeMultiplier/Std,Misc/FinalStepNorm,Value/Adv,Loss/Loss_reward_critic/Delta,_step,Train/Entropy,Value/reward,Safety/ShieldLagrangeMultiplier,Safety/ShieldLagrangeMultiplier/Min,Time/FPS,Misc/gradient_norm,Time/Update,Misc/AcceptanceStep,Train/PolicyRatio/Std,Value/cost,Loss/Loss_cost_critic
0,131.72769165039062,0.00043287064181640744,0.08205245435237885,1.0022088289260864,1.3236311674118042,1.009385585784912,1.002208948135376,263.80688837,148.83372497558594,16.97810173034668,0.0030021320562809706,0.044999994337558746,148.83258056640625,-0.18488532304763794,2.5810675621032715,-0.18488532304763794,-0.0053915902972221375,0.03599999472498894,0,20000.0,0.03599999472498894,1000,0.03599999472498894,0,0.006701057776808739,-1.1814823150634766,10,96.25,1.002208948135376,1746624133.8005836,47.75,0,0.21178293228149414,6.866454960174906e-09,0.006701057776808739,1,1.4281517267227173,0.2210218459367752,0.044999994337558746,0.044999994337558746,134.37918090820312,0.07668206095695496,17.104875564575195,1,0.0015619059558957815,-0.07585693895816803,16.97810173034668
1,97.2109603881836,0.00037217774661257863,0.0901520699262619,1.0013233423233032,1.6537997722625732,1.030701994895935,1.0013234615325928,379.899425928,262.6412048339844,-1.3192768096923828,0.0025198752991855145,0.07937712222337723,113.74100494384766,-0.4406576454639435,2.8172447681427,-0.25577232241630554,2.2353477478027344,0.07096642255783081,0,40000.0,0.07096642255783081,1000,0.07096642255783081,0,0.004855792969465256,-0.7784525156021118,10,71.9000015258789,1.0013234615325928,1746624247.6039116,46.25,0,0.253980427980423,3.585815377959989e-08,-0.001845264807343483,2,1.4490547180175781,0.15735271573066711,0.07937712222337723,0.07937712222337723,175.8380889892578,0.054260414093732834,16.530017852783203,1,0.0009357162052765489,1.5595014095306396,15.658824920654297
2,98.8391342163086,0.0002885590656660497,0.12349202483892441,1.0035452842712402,0.09366200864315033,1.052649974822998,1.0035452842712402,499.252126909,378.7349548339844,0.6472148895263672,0.0029163460712879896,0.11388144642114639,116.03438568115234,-0.4201664924621582,2.6187541484832764,0.02049115300178528,2.437227249145508,0.10589653253555298,0,60000.0,0.10589653253555298,1000,0.10589653253555298,0,0.0068815709091722965,-0.3805685341358185,10,79.6500015258789,1.0035452842712402,1746624363.6964204,45.36666488647461,0,0.3233952522277832,-7.629394338515283e-10,0.002025777939707041,3,1.470070481300354,0.1343006044626236,0.11388144642114639,0.11388144642114639,172.36270141601562,0.03111247532069683,17.195228576660156,1,0.002506894525140524,1.2392853498458862,16.306039810180664
3,102.74822998046875,0.0002824722323566675,0.10965382307767868,1.0021828413009644,1.4732177257537842,1.0959869623184204,1.0021828413009644,617.727554475,498.08526611328125,1.2636051177978516,0.002441232092678547,0.14870190620422363,119.29320526123047,-0.3744215965270996,2.8622632026672363,0.045744895935058594,4.059013843536377,0.1407969743013382,0,80000.0,0.1407969743013382,1000,0.1407969743013382,0,0.0083015663549304,-0.1004621610045433,10,105.3499984741211,1.0021828413009644,1746624483.0490007,44.962501525878906,0,0.3138580918312073,-7.629394005448376e-09,0.0014199954457581043,4,1.5100780725479126,0.14154209196567535,0.14870190620422363,0.14870190620422363,167.65414428710938,0.03591666370630264,16.54494857788086,1,0.001543473801575601,2.7393500804901123,17.569644927978516
4,101.48102569580078,0.00028672601911239326,0.10772894322872162,1.0024356842041016,2.0849125385284424,1.1402982473373413,1.0024356842041016,735.865878505,616.5597534179688,4.9787750244140625,0.002199222333729267,0.18374131619930267,118.4129867553711,-0.35235896706581116,3.015639543533325,0.022062629461288452,6.547713279724121,0.1758134812116623,0,100000.0,0.1758134812116623,1000,0.1758134812116623,0,0.012943394482135773,0.187144473195076,10,128.5,1.0024356842041016,1746624601.5243225,49.25,0,0.32487165927886963,1.5258788677030566e-09,0.004641828127205372,5,1.5499898195266724,0.14324864745140076,0.18374131619930267,0.18374131619930267,168.900390625,0.03452582657337189,16.931921005249023,1,0.0017223450122401118,3.148953914642334,22.548419952392578
5,101.19445037841797,0.0002898423408623785,0.12319525331258774,1.0028599500656128,-0.7254688739776611,1.174317479133606,1.0028599500656128,850.483334595,734.697509765625,-6.361026763916016,0.002800930757075548,0.21893800795078278,118.076416015625,-0.381477028131485,2.672163486480713,-0.029118061065673828,7.160026550292969,0.2109019160270691,0,120000.0,0.2109019160270691,1000,0.2109019160270691,0,0.011189732700586319,0.6635690927505493,10,111.1500015258789,1.0028599500656128,1746624719.6628494,49.119998931884766,0,0.32919785380363464,4.577636492086867e-09,-0.0017536617815494537,6,1.5794461965560913,0.13725192844867706,0.21893800795078278,0.21893800795078278,169.3818359375,0.04426875337958336,16.881948471069336,1,0.0020222619641572237,3.498412609100342,16.187393188476562
6,97.74187469482422,0.00029373649158515036,0.1128072738647461,1.0014925003051758,-0.17793217301368713,1.1899043321609497,1.0014925003051758,971.463404546,849.3179321289062,-8.731853485107422,0.002514542080461979,0.25309237837791443,114.55928802490234,-0.4467740058898926,2.8202309608459473,-0.06529697775840759,7.188311576843262,0.24576455354690552,0,140000.0,0.24576455354690552,1000,0.24576455354690552,0,0.01174095831811428,1.0332980155944824,10,62.5,1.0014925003051758,1746624834.2802625,42.09000015258789,0,0.3181425631046295,0.0,0.0005512256175279617,7,1.5927362442016602,0.1497003734111786,0.25309237837791443,0.25309237837791443,174.58209228515625,0.0462128184735775,16.817392349243164,1,0.001055413275025785,3.844939947128296,7.455539703369141
7,103.93695068359375,0.00033825356513261795,0.13517887890338898,1.0019780397415161,0.6628000140190125,1.2320709228515625,1.0019781589508057,1087.744002263,970.300048828125,11.584938049316406,0.004610234405845404,0.2876517176628113,120.92420959472656,-0.20230305194854736,2.0828261375427246,0.24447095394134521,6.523933410644531,0.28084462881088257,0,160000.0,0.28084462881088257,1000,0.28084462881088257,0,0.010723546147346497,1.2364007234573364,10,184.1999969482422,1.0019781589508057,1746624955.2603886,52.439998626708984,0,0.28155410289764404,-3.051757735406113e-09,-0.0010174121707677841,8,1.6271625757217407,0.17437563836574554,0.2876517176628113,0.2876517176628113,165.39285278320312,0.051425833255052567,16.987239837646484,1,0.0013987134443596005,3.2224037647247314,19.040477752685547
8,99.147216796875,0.0002966162865050137,0.14044852554798126,1.001839280128479,-0.13644587993621826,1.2814428806304932,1.0018393993377686,1207.208369145,1086.5693359375,-6.803437232971191,0.004301454871892929,0.3223554491996765,116.21212005615234,-0.3896770775318146,2.1562881469726562,-0.1873740255832672,9.114328384399414,0.316071093082428,0,180000.0,0.316071093082428,1000,0.316071093082428,0,0.022542672231793404,1.6418911218643188,10,115.5999984741211,1.0018393993377686,1746625071.5409465,51.91999816894531,0,0.3028475046157837,9.155272984173735e-09,0.011819126084446907,9,1.666595458984375,0.1780187487602234,0.3223554491996765,0.3223554491996765,172.09909057617188,0.04874763637781143,17.064876556396484,1,0.00130053935572505,4.576231956481934,12.237040519714355
9,102.88440704345703,0.00031829491490498185,0.15836602449417114,1.0008333921432495,2.7426960468292236,1.318764090538025,1.0008333921432495,1326.482317511,1206.0267333984375,7.857748985290527,0.005629443097859621,0.35766443610191345,119.39097595214844,-0.23270277678966522,1.8848721981048584,0.15697430074214935,9.259284019470215,0.35151854157447815,0,200000.0,0.35151854157447815,1000,0.35151854157447815,0,0.018134191632270813,1.9056662321090698,10,180.75,1.0008333921432495,1746625191.0053244,55.65999984741211,0,0.29849973320961,-6.103515470812226e-09,-0.004408480599522591,10,1.6954091787338257,0.1948840618133545,0.35766443610191345,0.35766443610191345,167.516845703125,0.0612325482070446,16.50655174255371,1,0.0005892691551707685,4.113962650299072,20.094789505004883
10,102.23542022705078,0.0002470472827553749,0.16264697909355164,1.0025877952575684,-0.5576476454734802,1.336568832397461,1.0025877952575684,1440.560625508,1325.3157958984375,-6.025354385375977,0.004567379131913185,0.39233192801475525,119.21499633789062,-0.43712833523750305,2.0925748348236084,-0.20442555844783783,9.63284969329834,0.3871195316314697,0,220000.0,0.3871195316314697,1000,0.3871195316314697,0,0.019956212490797043,2.1776294708251953,10,89.30000305175781,1.0025877952575684,1746625310.2792919,55.06999969482422,0,0.3403509557247162,3.051757735406113e-09,0.0018220208585262299,11,1.7089217901229858,0.17540934681892395,0.39233192801475525,0.39233192801475525,167.76412963867188,0.059409912675619125,16.979557037353516,1,0.0018298474606126547,4.282647132873535,14.069435119628906
11,97.2391357421875,0.0002945942687802017,0.1619165688753128,1.00263512134552,0.3653295338153839,1.3333832025527954,1.0026352405548096,1559.784461527,1439.1163330078125,-3.2007198333740234,0.005017937161028385,0.42601558566093445,113.74038696289062,-0.4806383550167084,1.9964202642440796,-0.04351001977920532,9.873920440673828,0.422989159822464,0,240000.0,0.422989159822464,1000,0.422989159822464,0,0.023143643513321877,2.5105931758880615,10,70.9000015258789,1.0026352405548096,1746625424.3575764,60.33000183105469,0,0.3232535421848297,-4.577636492086867e-09,0.0031874310225248337,12,1.7066049575805664,0.2173435539007187,0.42601558566093445,0.42601558566093445,175.8390350341797,0.05285519361495972,16.5012264251709,1,0.0018633403815329075,4.022989273071289,10.868715286254883
12,102.42869567871094,0.0002752667642198503,0.1563868522644043,1.0023770332336426,-0.8120439052581787,1.3507447242736816,1.0023770332336426,1678.458569568,1558.6182861328125,-1.6114797592163086,0.004797238856554031,0.45908549427986145,119.16388702392578,-0.43517985939979553,2.0418267250061035,0.04545849561691284,8.811219215393066,0.4585797190666199,0,260000.0,0.4585797190666199,1000,0.4585797190666199,0,0.03231923282146454,2.916933059692383,10,78.5999984741211,1.0023770332336426,1746625543.5813036,46.279998779296875,0,0.3193148672580719,1.1444091230217168e-09,0.009175589308142662,13,1.719528079032898,0.22461171448230743,0.45908549427986145,0.45908549427986145,167.83609008789062,0.05642668157815933,16.735170364379883,1,0.0016808162909001112,3.6829137802124023,9.257235527038574
