Loss/Loss_cost_critic,_timestamp,Value/reward,Loss/Loss_pi/Delta,Loss/Loss_reward_critic/Delta,_step,Loss/Loss_reward_critic,Train/Epoch,Train/PolicyRatio,Metrics/LagrangeMultiplier/Std,_runtime,Time/FPS,Value/Adv,Train/LR,Time/Rollout,Metrics/EpLen,Train/PolicyRatio/Std,Train/Entropy,Train/PolicyStd,Metrics/LagrangeMultiplier/Max,TotalEnvSteps,Train/StopIter,Value/cost,Train/KL,Time/Update,Loss/Loss_cost_critic/Delta,Train/PolicyRatio/Min,Time/Total,Metrics/LagrangeMultiplier/Min,Loss/Loss_pi,Metrics/LagrangeMultiplier,Metrics/EpCost,Metrics/EpRet,Train/PolicyRatio/Max,Time/Epoch
1.0399552583694458,1743315542.7207294,0.0512521006166935,-0.009480323642492294,0.005889715161174536,1,0.005889715161174536,0,0.9993699789047241,0,292.21113461,135.3475341796875,0.18947440385818481,0.0002969999914057553,88.6402587890625,1000,0.010854402557015419,1.417344570159912,0.9984304308891296,0.035999998450279236,20000.0,40,-0.016474032774567604,0.008658448234200478,59.12742614746094,1.0399552583694458,0.9993699789047241,147.76905822753906,0.035999998450279236,-0.009480323642492294,0.035999998450279236,15.149999618530273,-1.090702772140503,0.9993699789047241,147.76776123046875
0.1998499035835266,1743315686.1931853,0.025009987875819206,-0.002383704297244549,-0.00036241812631487846,2,0.005527297034859657,1,1.0002247095108032,0,435.667419224,139.5592041015625,0.10509531944990158,0.00029399999766610563,84.2182846069336,1000,0.012069803662598133,1.4108139276504517,0.9919338822364807,0.06906920671463013,40000.0,40,0.31096646189689636,0.009231911972165108,59.09002685546875,-0.8401053547859192,1.0002247095108032,291.1374206542969,0.06906920671463013,-0.011864027939736843,0.06906920671463013,8.274999618530273,-0.9505176544189453,1.0002247095108032,143.30836486816406
0.23225130140781403,1743315829.6507504,0.019570281729102135,-0.001288270577788353,-0.0011068349704146385,3,0.004420462064445019,2,0.999678909778595,0,579.89885086,139.5887451171875,-0.2851446568965912,0.000291000003926456,84.2774887084961,1000,0.01324591413140297,1.3945589065551758,0.9759289026260376,0.10148537158966064,60000.0,40,0.09914201498031616,0.013714284636080265,59.00048828125,0.032401397824287415,0.999678909778595,434.5957336425781,0.10148537158966064,-0.013152298517525196,0.10148537158966064,7.616666793823242,-0.6943963170051575,0.999678909778595,143.2780303955078
1.4971014261245728,1743315973.8821054,0.02064414694905281,-0.004552177153527737,0.00014694128185510635,4,0.004567403346300125,3,0.9991368055343628,0,723.597788804,138.72862243652344,-0.014296025037765503,0.0002880000101868063,85.11447143554688,1000,0.013439040631055832,1.371549367904663,0.9537649154663086,0.13467742502689362,80000.0,40,0.36490747332572937,0.013903677463531494,59.05183029174805,1.2648501247167587,0.9991368055343628,578.9242553710938,0.13467742502689362,-0.017704475671052933,0.13467742502689362,11.037500381469727,-0.36547142267227173,0.9991368055343628,144.16635131835938
0.8842267990112305,1743316117.5810983,0.058267079293727875,0.003993418999016285,-0.0005345619283616543,5,0.004032841417938471,4,1.001185417175293,0,866.891627481,139.30296325683594,0.10460962355136871,0.0002849999873433262,84.3138427734375,1000,0.01230677217245102,1.3473412990570068,0.9310238361358643,0.16820675134658813,100000.0,40,0.977512776851654,0.013272475451231003,59.258060455322266,-0.6128746271133423,1.001185417175293,722.5642700195312,0.16820675134658813,-0.013711056672036648,0.16820675134658813,10.350000381469727,-0.2371438592672348,1.001185417175293,143.57196044921875
0.34359803795814514,1743316260.874948,0.05060609430074692,0.0038729310035705566,0.016559166368097067,6,0.020592007786035538,5,1.0004141330718994,0,1010.415800728,139.6404266357422,0.0014759525656700134,0.00028199999360367656,84.24954986572266,1000,0.013240757398307323,1.3333302736282349,0.918059229850769,0.20153020322322845,120000.0,40,0.8628082275390625,0.014385522343218327,58.97541046142578,-0.5406287610530853,1.0004141330718994,865.9142456054688,0.20153020322322845,-0.009838125668466091,0.20153020322322845,8.489999771118164,-0.045451413840055466,1.0004141330718994,143.22500610351562
1.5147165060043335,1743316404.3990448,0.006627874914556742,-0.006802092306315899,-0.012800038326531649,7,0.007791969459503889,6,1.0028244256973267,0,1152.592549984,139.49801635742188,-0.1901138424873352,0.0002789999998640269,84.39593505859375,1000,0.012598207220435143,1.313581943511963,0.9000463485717773,0.23530161380767822,140000.0,40,0.892636239528656,0.012291265651583672,58.975223541259766,1.1711184680461884,1.0028244256973267,1009.3532104492188,0.23530161380767822,-0.01664021797478199,0.23530161380767822,20.700000762939453,0.14909392595291138,1.0028244256973267,143.3712158203125
1.2409422397613525,1743316546.575885,0.0031152672600001097,-0.0005889497697353363,0.0013907584361732006,8,0.00918272789567709,7,1.000108003616333,0,1297.629407276,140.74160766601562,-0.054476454854011536,0.00027600000612437725,83.02628326416016,1000,0.01294899545609951,1.30606210231781,0.8932772874832153,0.26947021484375,160000.0,40,1.5353447198867798,0.014882327057421207,59.078033447265625,-0.27377426624298096,1.000108003616333,1151.610595703125,0.26947021484375,-0.017229167744517326,0.26947021484375,25.399999618530273,0.23674385249614716,1.000108003616333,142.10440063476562
0.858018696308136,1743316691.6126866,0.027617938816547394,-0.0007641874253749847,-0.00425544660538435,9,0.00492728129029274,8,0.9997969269752502,0,1442.135377322,138.18093872070312,-0.10986355692148209,0.0002730000123847276,85.70250701904297,1000,0.012959235347807407,1.2837010622024536,0.8735275864601135,0.3042912483215332,180000.0,40,1.8650351762771606,0.014362942427396774,59.035179138183594,-0.38292354345321655,0.9997969269752502,1296.4210205078125,0.3042912483215332,-0.01799335516989231,0.3042912483215332,24.1299991607666,0.16202975809574127,0.9997969269752502,144.73776245117188
0.3693009614944458,1743316836.1187456,0.030811084434390068,0.0007137525826692581,-0.00040926365181803703,10,0.004518017638474703,9,0.9995075464248657,0,1584.791560501,138.49623107910156,0.1321195662021637,0.0002699999895412475,84.98015594482422,1000,0.013000518083572388,1.2668777704238892,0.8589478135108948,0.3396642804145813,200000.0,40,1.4688961505889893,0.016104385256767273,59.42805862426758,-0.4887177348136902,0.9995075464248657,1441.1292724609375,0.3396642804145813,-0.017279602587223053,0.3396642804145813,23.760000228881836,0.18746285140514374,0.9995075464248657,144.40826416015625
