Misc/AcceptanceStep,Train/PolicyStd,Loss/Loss_pi/Delta,Train/LR,Loss/Loss_pi,Train/PolicyRatio/Std,Safety/ShieldLagrangeMultiplier,Safety/ShieldLagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic/Delta,Misc/H_inv_g,Time/Epoch,_step,TotalEnvSteps,Safety/shield_violation,Misc/Alpha,Value/cost,Train/Epoch,Loss/Loss_reward_critic,Train/PolicyRatio/Min,Time/Update,Value/Adv,Metrics/LagrangeMultiplier/Max,_runtime,Safety/shield_adv_c,Train/PolicyRatio/Max,Train/PolicyRatio,Safety/ShieldLagrangeMultiplier/Std,Time/FPS,Loss/Loss_cost_critic/Delta,Misc/FinalStepNorm,Misc/gradient_norm,Train/KL,Train/Entropy,Metrics/LagrangeMultiplier/Std,Time/Total,Train/StopIter,Metrics/LagrangeMultiplier/Min,Metrics/EpCost,Value/reward,Metrics/EpRet,Metrics/EpLen,Loss/Loss_cost_critic,Safety/EpCostShield,_timestamp,Misc/xHx,Time/Rollout
1,0.9933481812477112,-0.29327401518821716,0,-0.29327401518821716,0.00021298207866493613,0.04500000178813934,0.04500000178813934,0.04500000178813934,0.035999998450279236,0.00997727271169424,0.09991759061813354,149.8734893798828,1,20000.0,0.10323403030633926,3.0820183753967285,-0.06254997104406357,0,0.00997727271169424,1.0003012418746948,23.038192749023438,1.8692016823251834e-08,0.035999998450279236,265.229835181,0.6621995568275452,1.0003012418746948,1.0003012418746948,0,133.4458770751953,9.839619636535645,0.3079478442668915,0.03257482126355171,0.0002723580691963434,1.412252426147461,0,149.87461853027344,10,0.035999998450279236,23.5,0.2869330942630768,-1.5039929151535034,1000,9.839619636535645,43.25,1746562600.3601477,0.0021055107936263084,126.83528137207031
1,0.9816614985466003,-0.010006159543991089,0,-0.30328017473220825,0.00020966654119547457,0.07911617308855057,0.07911617308855057,0.07911617308855057,0.07059173285961151,-0.0045906961895525455,0.11248958855867386,114.27919006347656,2,40000.0,1.3580148220062256,2.673947334289551,0.8509002923965454,1,0.005386576522141695,1.0002965927124023,23.16238021850586,-1.5640258865801115e-08,0.07059173285961151,377.425307829,-0.0068366751074790955,1.0002965927124023,1.0002965927124023,0,175.00997924804688,-3.4724998474121094,0.3007912337779999,0.05225038155913353,0.0003273803158663213,1.400391936302185,0,264.25848388671875,10,0.07059173285961151,18.850000381469727,0.23052260279655457,-1.1681653261184692,1000,6.367119789123535,30.0,1746562714.7216594,0.002797194756567478,91.11679077148438
1,0.9752495884895325,0.024286538362503052,0,-0.2789936363697052,0.0012680019717663527,0.11063416302204132,0.11063416302204132,0.11063416302204132,0.1043696254491806,-0.001057433895766735,0.12942488491535187,112.11905670166016,3,60000.0,1.5504701137542725,2.187645673751831,0.6595948934555054,2,0.00432914262637496,1.0017932653427124,22.883464813232422,3.585815377959989e-08,0.1043696254491806,492.678088088,-0.5248860716819763,1.0017932653427124,1.0017932653427124,0,178.38180541992188,-2.311549186706543,0.2831358015537262,0.059105806052684784,0.00037136804894544184,1.393739104270935,0,376.4534912109375,10,0.1043696254491806,14.433333396911621,0.18214534223079681,-0.8749580383300781,1000,4.055570602416992,15.100000381469727,1746562826.9171755,0.0041790250688791275,89.2355728149414
1,1.0136200189590454,0.10162189602851868,0,-0.17737174034118652,0.0012407470494508743,0.1434769630432129,0.1434769630432129,0.1434769630432129,0.13862255215644836,-0.00031402939930558205,0.1357610672712326,115.1623764038086,4,80000.0,1.3246859312057495,2.1569488048553467,0.5149480700492859,3,0.004015113227069378,1.0017547607421875,23.141128540039062,-8.392333938900265e-09,0.13862255215644836,609.76631016,0.09149911999702454,1.0017547607421875,1.0017547607421875,0,173.66783142089844,0.8680872917175293,0.2928296625614166,0.05301550403237343,0.0003109163080807775,1.431924819946289,0,491.6905822753906,10,0.13862255215644836,21.037500381469727,0.15218116343021393,-0.5963618159294128,1000,4.9236578941345215,46.599998474121094,1746562942.1696868,0.004298820160329342,92.02122497558594
1,1.0233097076416016,-0.04936349391937256,0,-0.22673523426055908,0.0011348179541528225,0.17670410871505737,0.17670410871505737,0.17670410871505737,0.17329975962638855,0.00025880150496959686,0.1479468196630478,116.9859619140625,5,100000.0,1.9777464866638184,2.3133370876312256,0.6925070285797119,4,0.004273914732038975,1.0016049146652222,23.181751251220703,5.340575981449547e-09,0.17329975962638855,730.238457013,0.2714681029319763,1.0016049146652222,1.0016049146652222,0,170.96067810058594,6.363813877105713,0.34225088357925415,0.03415936976671219,0.0003203426895197481,1.4418258666992188,0,608.7730102539062,10,0.17329975962638855,25.290000915527344,0.13021720945835114,-0.35227668285369873,1000,11.287471771240234,69.44999694824219,1746563059.2578268,0.003737240331247449,93.80419158935547
1,1.0391722917556763,0.03242282569408417,0,-0.19431240856647491,4.074195749126375e-05,0.21033965051174164,0.21033965051174164,0.21033965051174164,0.2083151638507843,0.0019748606719076633,0.16351419687271118,120.36695098876953,6,120000.0,3.1651015281677246,1.8965184688568115,2.046208143234253,5,0.006248775403946638,0.999942421913147,23.422924041748047,-5.340575981449547e-09,0.2083151638507843,852.839860249,-0.38094815611839294,0.999942421913147,0.9999423623085022,0,166.1585693359375,6.573604583740234,0.31010767817497253,0.06320422142744064,0.00031989847775548697,1.456999659538269,0,729.244140625,10,0.2083151638507843,30.600000381469727,0.11586377024650574,0.10837598145008087,1000,17.86107635498047,85.5999984741211,1746563179.729933,0.005560515448451042,96.94400024414062
1,1.0519789457321167,0.24416247010231018,0,0.049850061535835266,0.0005938209942542017,0.24134193360805511,0.24134193360805511,0.24134193360805511,0.24285349249839783,0.002403607126325369,0.20922771096229553,122.51761627197266,7,140000.0,4.218876361846924,1.5588613748550415,2.2857723236083984,6,0.008652382530272007,0.9991602301597595,22.775226593017578,-7.629394005448376e-09,0.24285349249839783,974.245737418,1.7792763710021973,0.9991602301597595,0.9991602301597595,0,163.24183654785156,12.236270904541016,0.32615697383880615,0.06156774237751961,0.0003017962444573641,1.4691182374954224,0,851.8668823242188,10,0.24285349249839783,50.959999084472656,0.11299333721399307,0.6397075653076172,1000,30.097347259521484,198.3000030517578,1746563302.3316069,0.00823027640581131,99.74236297607422
1,1.0564265251159668,-0.26192206144332886,0,-0.2120719999074936,0.0006154563743621111,0.2729072570800781,0.2729072570800781,0.2729072570800781,0.2775261700153351,0.007716859690845013,0.1949559897184372,121.33245849609375,8,160000.0,5.172383785247803,1.6727113723754883,3.223351001739502,7,0.01636924222111702,1.0008704662322998,23.144107818603516,-4.577636492086867e-09,0.2775261700153351,1095.649961745,2.955284357070923,1.0008704662322998,1.0008703470230103,0,164.8363494873047,-6.776159286499023,0.3261050879955292,0.08050298690795898,0.00031077361200004816,1.473085880279541,0,973.2781982421875,10,0.2775261700153351,59.13999938964844,0.12233731895685196,1.205931305885315,1000,23.32118797302246,84.5999984741211,1746563423.7378814,0.007148046977818012,98.1883316040039
1,1.0693241357803345,0.029706820845603943,0,-0.18236517906188965,0.0009246456320397556,0.30515652894973755,0.30515652894973755,0.30515652894973755,0.31269222497940063,0.003478255122900009,0.2251739501953125,121.30802917480469,9,180000.0,6.1055908203125,1.3549896478652954,3.959650754928589,8,0.01984749734401703,1.001307725906372,22.66373634338379,1.3732909920349812e-08,0.31269222497940063,1217.225878482,0.6011738777160645,1.001307725906372,1.0013076066970825,0,164.86953735351562,-5.308433532714844,0.30510836839675903,0.08159680664539337,0.0003448134521022439,1.4849714040756226,0,1094.6522216796875,10,0.31269222497940063,60.099998474121094,0.1490231603384018,1.9136786460876465,1000,18.012754440307617,94.8499984741211,1746563545.1421113,0.010893254540860653,98.64427185058594
1,1.0883855819702148,0.08583465963602066,0,-0.09653051942586899,0.0009026168845593929,0.33833685517311096,0.33833685517311096,0.33833685517311096,0.348354697227478,-0.0026122815907001495,0.1962658315896988,121.49170684814453,10,200000.0,5.776233196258545,1.569976806640625,3.2423176765441895,9,0.01723521575331688,1.0012764930725098,23.291208267211914,1.525878801089675e-08,0.348354697227478,1340.034435929,0.2569569945335388,1.0012764930725098,1.0012764930725098,0,164.6202850341797,1.9690132141113281,0.3081327974796295,0.08917109668254852,0.0003029581857845187,1.5031681060791016,0,1216.2398681640625,10,0.348354697227478,64.5199966430664,0.16771553456783295,2.560206413269043,1000,19.981767654418945,119.1500015258789,1746563666.7179883,0.008114148862659931,98.20047760009766
