_timestamp,Metrics/LagrangeMultiplier,Misc/FinalStepNorm,Time/Rollout,Metrics/LagrangeMultiplier/Min,_runtime,Metrics/EpCost,Train/PolicyRatio,Metrics/LagrangeMultiplier/Std,Value/Adv,Train/PolicyStd,Train/PolicyRatio/Min,Misc/AcceptanceStep,Value/cost,Loss/Loss_pi,Metrics/EpLen,Metrics/EpRet,Misc/H_inv_g,Loss/Loss_reward_critic/Delta,Loss/Loss_pi/Delta,Train/PolicyRatio/Std,Train/Entropy,Time/Total,Time/Update,Loss/Loss_cost_critic,Time/FPS,Time/Epoch,Value/reward,Train/LR,Train/PolicyRatio/Max,Misc/xHx,Train/StopIter,Misc/Alpha,Train/Epoch,Misc/gradient_norm,_step,Metrics/LagrangeMultiplier/Max,Loss/Loss_cost_critic/Delta,Loss/Loss_reward_critic,Train/KL,TotalEnvSteps
1743311493.3602643,1.0278741121292114,0.22008198499679565,90.74552154541016,1.0278741121292114,5667.284689331,5.880000114440918,0.9997038245201111,0,1.5258788677030566e-09,0.6116276383399963,0.9997038245201111,1,1.2640626430511475,-0.006932217627763748,500,31.513324737548828,0.1367792934179306,-0.00015945732593536377,-0.0018179467879235744,0.00020944172865711153,0.9080066680908203,5566.99609375,8.622869491577148,1.4215096235275269,201.27120971679688,99.368408203125,6.179346084594727,0,0.9997038245201111,0.00772504648193717,10,1.6090301275253296,55,0.1787298172712326,56,1.0278741121292114,0.2341097593307495,0.189456045627594,0.0003939021844416857,1120000.0
1743311592.553356,1.0317788124084473,0.21412505209445953,90.72673797607422,1.0317788124084473,5766.238834536,7.800000190734863,0.9994385838508606,0,-4.386901952813105e-09,0.6041836738586426,0.9994386434555054,1,1.5654945373535156,-0.006243446376174688,500,32.630592346191406,0.09807419776916504,0.017934009432792664,0.0006887712515890598,0.00039693902363069355,0.8970487117767334,5666.18017578125,8.412189483642578,1.573752999305725,201.737060546875,99.13894653320312,6.537166118621826,0,0.9994386434555054,0.004195691552013159,10,2.1832964420318604,56,0.215715691447258,57,1.0317788124084473,0.15224337577819824,0.20739005506038666,0.00044071668526157737,1140000.0
1743311691.507581,1.0356251001358032,0.18949510157108307,90.47691345214844,1.0356251001358032,5865.298010184,5.710000038146973,1.0008245706558228,0,-1.1444091230217168e-09,0.5899527072906494,1.0008246898651123,1,1.2467232942581177,-0.00466438801959157,500,33.30198669433594,0.07193776220083237,0.005001872777938843,0.0015790583565831184,0.0005831437883898616,0.8751344084739685,5765.119140625,8.406499862670898,1.1986438035964966,202.2583465576172,98.88343811035156,6.65272331237793,0,1.0008246898651123,0.0028823476750403643,10,2.634153366088867,57,0.25044938921928406,58,1.0356251001358032,-0.3751091957092285,0.2123919278383255,0.0004845823859795928,1160000.0
1743311790.5667439,1.0395475625991821,0.2083984613418579,90.57872772216797,1.0395475625991821,5964.378291824,8.100000381469727,1.001254677772522,0,4.577636492086867e-09,0.5821945667266846,1.0012547969818115,1,2.4784653186798096,-0.009716490283608437,500,33.95847702026367,0.14498616755008698,0.06263647973537445,-0.005052102264016867,0.0008872192120179534,0.8613894581794739,5864.18994140625,8.42292594909668,1.8364686965942383,202.01678466796875,99.00167083740234,6.822934150695801,0,1.0012547969818115,0.009680408984422684,10,1.4373677968978882,58,0.32567304372787476,59,1.0395475625991821,0.6378248929977417,0.27502840757369995,0.00045040316763333976,1180000.0
1743311889.646993,1.0433895587921143,0.20896951854228973,90.57794952392578,1.0433895587921143,6064.378808665,5.25,1.0002847909927368,0,-2.2888182460434336e-09,0.5888752341270447,1.0002849102020264,1,0.7574670314788818,-0.0031576489564031363,500,33.020896911621094,0.04876551404595375,-0.09759747982025146,0.0065588413272053,0.00020146196766290814,0.8684754371643066,5963.25830078125,8.43092155456543,0.5934417843818665,202.00204467773438,99.00889587402344,6.466427326202393,0,1.0002849102020264,0.0010891450801864266,10,4.285190582275391,59,0.10319599509239197,60,1.0433895587921143,-1.2430269122123718,0.1774309277534485,0.0004183853161521256,1200000.0
1743311989.6475344,1.04710853099823,0.1718568354845047,91.25079345703125,1.04710853099823,6164.29819456,4.289999961853027,1.0006780624389648,0,5.722045615108584e-10,0.6035971641540527,1.0006780624389648,1,0.9683960676193237,-0.002767004771158099,500,32.5638427734375,0.03445899859070778,0.03345881402492523,0.0003906441852450371,0.00047951872693374753,0.8931323885917664,6063.25146484375,8.672722816467285,0.7709987163543701,200.15306091308594,99.92353057861328,6.51223087310791,0,1.0006780624389648,0.0008040745160542428,10,4.9872846603393555,60,0.1004791110754013,61,1.04710853099823,0.17755693197250366,0.21088974177837372,0.0004895320744253695,1220000.0
1743312089.5668304,1.0506561994552612,0.19580793380737305,91.40284729003906,1.0506561994552612,6263.958357757,3.1700000762939453,1.000576138496399,0,4.1961669694501325e-09,0.5990931987762451,1.0005762577056885,1,0.47814932465553284,-0.003732806770130992,500,32.539215087890625,0.0672709196805954,-0.03277885913848877,-0.0009658019989728928,0.00040741951670497656,0.8867829442024231,6163.19287109375,8.45967960357666,1.0658494234085083,200.27528381347656,99.862548828125,6.529998302459717,0,1.0005762577056885,0.0023605998139828444,10,2.910736560821533,61,0.22289545834064484,62,1.0506561994552612,0.2948507070541382,0.17811088263988495,0.0004285628965590149,1240000.0
1743312189.2270522,1.0540704727172852,0.20348726212978363,91.12735748291016,1.0540704727172852,6363.648484991,3.549999952316284,0.9994027018547058,0,-3.051757735406113e-09,0.5913869738578796,0.9994027018547058,1,0.7588476538658142,-0.004377518780529499,500,32.24496078491211,0.07025794684886932,0.0033071786165237427,-0.0006447120103985071,0.0004223395080771297,0.8707582354545593,6262.85302734375,8.476460456848145,1.1835416555404663,200.7954864501953,99.60383605957031,6.450485706329346,0,0.9994027018547058,0.002384210703894496,10,2.8962881565093994,62,0.15319296717643738,63,1.0540704727172852,0.11769223213195801,0.1814180612564087,0.00044853074359707534,1260000.0
1743312288.9171307,1.0574225187301636,0.15259920060634613,91.14290618896484,1.0574225187301636,6463.354693672,4.590000152587891,0.9988476634025574,0,-7.629394338515283e-10,0.5774584412574768,0.9988476634025574,1,0.5262255072593689,-0.004391048569232225,500,31.3979434967041,0.05914872884750366,-0.007932096719741821,-1.3529788702726364e-05,0.000814839091617614,0.8461340069770813,6362.53759765625,8.486072540283203,1.1972943544387817,200.74476623535156,99.6290054321289,6.124612331390381,0,0.9988476634025574,0.003004795406013727,10,2.579923391342163,63,0.23188416659832,64,1.0574225187301636,0.01375269889831543,0.17348596453666687,0.0004892528522759676,1280000.0
1743312388.6234305,1.0607259273529053,0.19665640592575073,91.16657257080078,1.0607259273529053,6563.492775316,4.699999809265137,0.9996681213378906,0,-2.0980834847250662e-09,0.5719385743141174,0.9996681213378906,1,0.35468366742134094,-0.005152056459337473,500,32.49409484863281,0.07409872114658356,0.05088445544242859,-0.0007610078901052475,0.00023464555852115154,0.8363156318664551,6462.236328125,8.470453262329102,0.5943400859832764,200.72854614257812,99.63705444335938,6.957246780395508,0,0.9996681213378906,0.002839446533471346,10,2.6539783477783203,64,0.15046365559101105,65,1.0607259273529053,-0.6029542684555054,0.22437041997909546,0.0004709472705144435,1300000.0
