Time/Rollout,_step,Metrics/LagrangeMultiplier/Max,Loss/Loss_cost_critic/Delta,Train/StopIter,Time/FPS,Train/PolicyRatio/Min,Train/Epoch,_runtime,Loss/Loss_pi,Train/PolicyStd,Value/reward,Train/LR,Loss/Loss_pi/Delta,Value/cost,Metrics/EpLen,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Max,TotalEnvSteps,Value/Adv,Time/Epoch,Time/Total,Metrics/EpCost,Metrics/LagrangeMultiplier/Std,Train/Entropy,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic,Train/PolicyRatio,Loss/Loss_cost_critic,Train/PolicyRatio/Std,Train/KL,_timestamp,Metrics/EpRet,Loss/Loss_reward_critic/Delta,Time/Update
133.70159912109375,1,0.035999998450279236,8.774096488952637,40,90.04044342041016,0.9988923072814941,0,411.632040723,-0.010407288558781147,0.9893952012062073,-0.010128878057003021,0.0002969999914057553,-0.010407288558781147,0.12767693400382996,500,0.035999998450279236,0.9988923072814941,20000,0.19078429043293,222.12240600585938,222.123779296875,44.70000076293945,0,1.4082647562026978,0.035999998450279236,0.025855770334601402,0.9988922476768494,8.774096488952637,0.011994869448244572,0.009539314545691013,1746898821.7707317,-0.10336168855428696,0.025855770334601402,88.42073059082031
86.30471801757812,2,0.06983884423971176,5.046416282653809,40,106.27213287353516,0.9992039799690247,1,598.462475032,-0.015651129186153412,0.9585881233215332,0.008109782822430134,0.00029399999766610563,-0.005243840627372265,2.486618757247925,500,0.06983884423971176,0.9992039799690247,40000,-0.07826188206672668,188.1960906982422,410.3950500488281,88.0250015258789,0,1.3764021396636963,0.06983884423971176,0.020526325330138206,0.9992039799690247,13.820512771606445,0.01482480950653553,0.018480904400348663,1746899010.039942,1.550513505935669,-0.005329445004463196,101.89130401611328
86.90190124511719,3,0.10341199487447739,8.77461051940918,40,107.08866882324219,1.001955509185791,2,780.857200816,-0.01321909949183464,0.9325022101402283,0.13564589619636536,0.000291000003926456,0.0024320296943187714,9.315070152282715,500,0.10341199487447739,1.001955509185791,60000,0.09614990651607513,186.76112365722656,597.2261962890625,131.85000610351562,0,1.3481640815734863,0.10341199487447739,0.024461762979626656,1.001955509185791,22.595123291015625,0.01397169940173626,0.015433092601597309,1746899196.8705091,3.5876312255859375,0.003935437649488449,99.85916137695312
86.4503173828125,4,0.13639011979103088,7.664928436279297,40,109.69076538085938,0.9995706677436829,3,963.315931465,-0.012527907267212868,0.9018902778625488,0.43457305431365967,0.0002880000101868063,0.0006911922246217728,21.841354370117188,500,0.13639011979103088,0.9995706677436829,80000,-0.05140410363674164,182.33074951171875,779.6268310546875,209.77000427246094,0,1.3143504858016968,0.13639011979103088,0.034711115062236786,0.9995706677436829,30.260051727294922,0.01270118448883295,0.011782652698457241,1746899379.2615318,6.537457466125488,0.01024935208261013,95.88036346435547
86.91483306884766,5,0.1691664606332779,9.046005249023438,40,109.65577697753906,1.0000759363174438,4,1148.695372731,-0.010528039187192917,0.8865750432014465,0.7973743081092834,0.0002849999873433262,0.001999868080019951,34.077667236328125,500,0.1691664606332779,1.0000759363174438,100000,-0.15862298011779785,182.38893127441406,962.0735473632812,300.69000244140625,0,1.2968411445617676,0.1691664606332779,0.054092470556497574,1.0000759363174438,39.30605697631836,0.011644900776445866,0.008723121136426926,1746899561.7240937,9.796258926391602,0.019381355494260788,95.4739990234375
86.63448333740234,6,0.2024327516555786,-1.0693244934082031,40,107.9244155883789,0.9999591112136841,5,1330.146637847,-0.012495388276875019,0.8662114143371582,1.0438032150268555,0.00028199999360367656,-0.001967349089682102,40.16217041015625,500,0.2024327516555786,0.9999591112136841,120000,-0.03708479553461075,185.31488037109375,1147.460693359375,355.260009765625,0,1.273307204246521,0.2024327516555786,0.050638239830732346,0.9999591112136841,38.236732482910156,0.011734534986317158,0.010990080423653126,1746899747.1033442,11.693425178527832,-0.0034542307257652283,98.68030548095703
87.19068908691406,7,0.2363923192024231,2.8588333129882812,40,110.2715072631836,1.0010803937911987,6,1513.812074509,-0.01198089774698019,0.8489959239959717,1.3089052438735962,0.0002789999998640269,0.0005144905298948288,44.35622787475586,500,0.2363923192024231,1.0010803937911987,140000,-0.15551644563674927,181.37051391601562,1328.8994140625,376.6199951171875,0,1.2531647682189941,0.2363923192024231,0.06704991310834885,1.0010803937911987,41.09556579589844,0.011240681633353233,0.009994223713874817,1746899928.554735,13.152393341064453,0.0164116732776165,94.17976379394531
86.17387390136719,8,0.2709932327270508,-1.3731117248535156,40,108.94402313232422,1.0004092454910278,7,1698.651808197,-0.01316044107079506,0.8327441811561584,1.6894689798355103,0.00027600000612437725,-0.001179543323814869,44.78855514526367,500,0.2709932327270508,1.0004092454910278,160000,-0.009909115731716156,183.5805206298828,1512.5555419921875,371.6600036621094,0,1.2338787317276,0.2709932327270508,0.09702984243631363,1.0004092454910278,39.72245407104492,0.011223558336496353,0.00867339875549078,1746900112.2199225,15.004311561584473,0.029979929327964783,97.40657043457031
86.48914337158203,9,0.30601799488067627,-5.212593078613281,40,108.25630950927734,0.9989820718765259,8,1885.866756063,-0.01394946314394474,0.8176711201667786,2.26273250579834,0.0002730000123847276,-0.0007890220731496811,43.333526611328125,500,0.30601799488067627,0.9989820718765259,180000,0.10116870701313019,184.74673461914062,1697.396240234375,336.7799987792969,0,1.2157062292099,0.30601799488067627,0.11630455404520035,0.9989820718765259,34.50986099243164,0.011160406284034252,0.010934817604720592,1746900297.059673,17.789453506469727,0.01927471160888672,98.25750732421875
86.4290771484375,10,0.34114688634872437,2.3240699768066406,40,106.87876892089844,0.9992563724517822,9,2076.427019866,-0.012739100493490696,0.8047940731048584,2.786111354827881,0.0002699999895412475,0.0012103626504540443,44.45060729980469,500,0.34114688634872437,0.9992563724517822,200000,-0.0020767003297805786,187.12789916992188,1884.615234375,292.3500061035156,0,1.2004414796829224,0.34114688634872437,0.1375911682844162,0.9992563724517822,36.83393096923828,0.010927285999059677,0.011099766939878464,1746900484.2744935,20.529682159423828,0.02128661423921585,100.69873046875
