Loss/Loss_pi/Delta,Loss/Loss_cost_critic/Delta,Metrics/LagrangeMultiplier,Time/Total,Loss/Loss_pi,Train/LR,Train/StopIter,Train/PolicyStd,Safety/ShieldLagrangeMultiplier/Max,_runtime,Train/PolicyRatio/Std,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier,_timestamp,Time/Update,Safety/EpCostShield,Metrics/LagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,Metrics/EpRet,Time/FPS,_step,Train/PolicyRatio/Max,Train/Epoch,Value/cost,Metrics/EpLen,Time/Rollout,Train/Entropy,Metrics/EpCost,Train/KL,Value/reward,TotalEnvSteps,Train/PolicyRatio/Min,Safety/shield_violation,Loss/Loss_reward_critic,Safety/ShieldLagrangeMultiplier/Std,Metrics/LagrangeMultiplier/Std,Metrics/LagrangeMultiplier/Min,Value/Adv,Train/PolicyRatio,Safety/shield_adv_c,Loss/Loss_cost_critic,Time/Epoch
-0.2228100746870041,-15.069587707519531,0.37613415718078613,2149.353759765625,-0.39284515380859375,0.00026699999580159783,40,0.9077484607696533,0.38610661029815674,2342.989496345,0.011170131154358387,0.03480049967765808,0.38610661029815674,1746557345.341227,105.705078125,189.0749969482422,0.37613415718078613,0.38610661029815674,19.82705307006836,104.03004455566406,11,1.0000505447387695,10,31.368513107299805,500,86.54703521728516,1.3209929466247559,207.25999450683594,0.012169603258371353,2.901520013809204,220000.0,1.0000505447387695,36.99089813232422,0.15715453028678894,0,0,0.37613415718078613,0.12192754447460175,1.0000505447387695,NaN,86.5338363647461,192.2521514892578
0.03351929783821106,18.380531311035156,0.4100918471813202,2342.15673828125,-0.3593258559703827,0.0002640000020619482,40,0.8850914239883423,0.4196303188800812,2533.694885815,0.010820665396749973,0.06827707588672638,0.4196303188800812,1746557538.145283,106.18447875976562,226.27499389648438,0.4100918471813202,0.4196303188800812,23.72454833984375,103.77326965332031,12,1.0012099742889404,11,37.12968063354492,500,86.54334259033203,1.2959598302841187,189.77000427246094,0.008575758896768093,3.5259242057800293,240000.0,1.0012099742889404,42.334617614746094,0.22543160617351532,0,0,0.4100918471813202,0.022350072860717773,1.0012099742889404,NaN,104.91436767578125,192.7278594970703
-0.15056100487709045,-30.20893096923828,0.4433235228061676,2532.87109375,-0.5098868608474731,0.0002610000083222985,40,0.8630134463310242,0.45228198170661926,2724.082487034,0.011051502078771591,-0.007991135120391846,0.45228198170661926,1746557728.850619,105.7637939453125,168.39999389648438,0.4433235228061676,0.45228198170661926,24.872543334960938,104.91091918945312,13,1.0021450519561768,12,31.813756942749023,500,84.87408447265625,1.2711806297302246,166.2899932861328,0.009819019585847855,3.6835553646087646,260000.0,1.0021450519561768,36.211238861083984,0.21744047105312347,0,0,0.4433235228061676,-0.031623661518096924,1.0021450519561768,NaN,74.70543670654297,190.63792419433594
0.020556479692459106,8.264762878417969,0.47568923234939575,2723.256103515625,-0.48933038115501404,0.0002579999854788184,40,0.8496624231338501,0.4839169681072235,2915.465843339,0.00994807481765747,0.021918877959251404,0.4839169681072235,1746557919.2382739,105.50748443603516,144.5,0.47568923234939575,0.4839169681072235,24.204893112182617,105.08740234375,14,1.000445008277893,13,27.37108039855957,500,84.81023406982422,1.2558430433273315,145.49000549316406,0.008558639325201511,3.7836313247680664,280000.0,1.000445008277893,31.500640869140625,0.23935934901237488,0,0,0.47568923234939575,0.07163156569004059,1.000445008277893,NaN,82.97019958496094,190.31776428222656
0.005905747413635254,17.723052978515625,0.5072451233863831,2914.64794921875,-0.4834246337413788,0.00025499999173916876,40,0.8337842226028442,0.5151304006576538,3105.833679692,0.00998401828110218,0.10553938150405884,0.5151304006576538,1746558110.6216273,105.47954559326172,181.9499969482422,0.5072451233863831,0.5151304006576538,24.820608139038086,104.5360336303711,15,1.0015172958374023,14,33.88319778442383,500,85.84200286865234,1.2370885610580444,139.69000244140625,0.007756742648780346,4.235497951507568,300000.0,1.0015172958374023,37.36822509765625,0.3448987305164337,0,0,0.5072451233863831,-0.06409645080566406,1.0015172958374023,NaN,100.69325256347656,191.32159423828125
-0.04537740349769592,-12.201774597167969,0.5382795929908752,3104.97509765625,-0.5288020372390747,0.0002519999979995191,40,0.8171449899673462,0.5457811951637268,3294.323542833,0.010038658045232296,-0.03405570983886719,0.5457811951637268,1746558300.9887938,105.40837097167969,163.5749969482422,0.5382795929908752,0.5457811951637268,25.657573699951172,105.11613464355469,16,1.0010581016540527,15,31.50287437438965,500,84.85733032226562,1.2169686555862427,152.33999633789062,0.008327468298375607,4.395780563354492,320000.0,1.0010581016540527,35.411685943603516,0.31084302067756653,0,0,0.5382795929908752,0.017832934856414795,1.0010581016540527,NaN,88.4914779663086,190.2657470703125
-0.026746749877929688,-7.893669128417969,0.5686178207397461,3293.5,-0.5555487871170044,0.00024900000425986946,40,0.8031651377677917,0.5754222869873047,3486.100733503,0.010045750066637993,0.08998075127601624,0.5754222869873047,1746558489.4793036,105.39676666259766,121.4000015258789,0.5686178207397461,0.5754222869873047,25.83197593688965,106.15198516845703,17,1.0028924942016602,16,24.882822036743164,500,83.01229858398438,1.1997325420379639,133.32000732421875,0.008576692081987858,4.5605058670043945,340000.0,1.0028924942016602,28.35378074645996,0.40082377195358276,0,0,0.5686178207397461,-0.29690712690353394,1.0028924942016602,NaN,80.59780883789062,188.4091033935547
0.07313326001167297,-14.014488220214844,0.5980848073959351,3485.27294921875,-0.4824155271053314,0.0002460000105202198,40,0.7862732410430908,0.6042311787605286,3675.335785883,0.010269762016832829,-0.1065739095211029,0.6042311787605286,1746558681.2562814,105.50010681152344,124.80000305175781,0.5980848073959351,0.6042311787605286,25.53915786743164,104.32655334472656,18,1.0024662017822266,17,23.598827362060547,500,86.20561218261719,1.1784745454788208,114.23999786376953,0.009461703710258007,4.4808573722839355,360000.0,1.0024662017822266,27.454227447509766,0.29424986243247986,0,0,0.5980848073959351,-0.04441622272133827,1.002466082572937,NaN,66.58332061767578,191.70574951171875
-0.12363001704216003,29.231887817382812,0.626526951789856,3674.516845703125,-0.6060455441474915,0.00024300000222865492,40,0.7604753971099854,0.6323204040527344,3866.234739371,0.011293746531009674,0.12449190020561218,0.6323204040527344,1746558870.4915988,104.920654296875,125.0,0.626526951789856,0.6323204040527344,25.625473022460938,105.72647094726562,19,1.0043693780899048,18,24.82309913635254,500,84.24669647216797,1.1450417041778564,96.66999816894531,0.009975041262805462,5.171309947967529,380000.0,1.0043693780899048,29.671430587768555,0.41874176263809204,0,0,0.626526951789856,0.1692788302898407,1.0043693780899048,NaN,95.8152084350586,189.16738891601562
0.13801199197769165,-17.94312286376953,0.6543235182762146,3865.4130859375,-0.4680335521697998,0.00023999999393709004,40,0.7515773773193359,0.6598820686340332,4056.341761563,0.009782283566892147,-0.024731367826461792,0.6598820686340332,1746559061.3902416,105.60606384277344,132.10000610351562,0.6543235182762146,0.6598820686340332,25.86370086669922,104.80603790283203,20,1.0017708539962769,19,24.369136810302734,500,85.22259521484375,1.1332844495773315,113.08999633789062,0.008139543235301971,4.721032619476318,400000.0,1.0017708539962769,27.798131942749023,0.39401039481163025,0,0,0.6543235182762146,0.1787399798631668,1.0017708539962769,NaN,77.87208557128906,190.82870483398438
-0.040056586265563965,-5.216156005859375,0.6816471219062805,4055.514404296875,-0.5080901384353638,0.00023700000019744039,40,0.7445545792579651,0.6869869232177734,4247.626046814,0.009586451575160027,-0.01336747407913208,0.6869869232177734,1746559251.497277,106.41697692871094,131.875,0.6816471219062805,0.6869869232177734,25.54705047607422,105.24646759033203,21,1.0030306577682495,20,24.476913452148438,500,83.61307525634766,1.1238956451416016,118.7699966430664,0.007640704978257418,4.908736705780029,420000.0,1.0030306577682495,28.9708251953125,0.38064292073249817,0,0,0.6816471219062805,0.032348472625017166,1.0030306577682495,NaN,72.65592956542969,190.03012084960938
-0.1653464436531067,26.610305786132812,0.7086789011955261,4246.8095703125,-0.6734365820884705,0.00023400000645779073,40,0.7384858131408691,0.7137958407402039,4439.216553999,0.009874887764453888,0.09988319873809814,0.7137958407402039,1746559442.781842,105.91116333007812,138.85000610351562,0.7086789011955261,0.7137958407402039,28.136030197143555,104.5927734375,22,1.002015233039856,21,27.78261947631836,500,85.30657196044922,1.115527629852295,126.2699966430664,0.007776769809424877,5.6653337478637695,440000.0,1.002015233039856,32.92771911621094,0.4805261194705963,0,0,0.7086789011955261,0.04764041304588318,1.0020151138305664,NaN,99.2662353515625,191.21780395507812
0.2240021526813507,-16.102676391601562,0.7352484464645386,4438.396484375,-0.44943442940711975,0.00023099999816622585,40,0.7327237129211426,0.7402404546737671,4629.91927814,0.010418511927127838,-0.08250436186790466,0.7402404546737671,1746559634.372337,105.16368865966797,130.52499389648438,0.7352484464645386,0.7402404546737671,26.622665405273438,104.42395782470703,23,1.0007250308990479,22,23.579103469848633,500,86.36319732666016,1.1074610948562622,112.26000213623047,0.008475309237837791,5.033285140991211,460000.0,1.0007250308990479,27.350780487060547,0.39802175760269165,0,0,0.7352484464645386,0.2943776249885559,1.0007249116897583,NaN,83.16355895996094,191.5269317626953
0.0027763843536376953,-22.001506805419922,0.7614142894744873,4629.07958984375,-0.44665804505348206,0.0002280000044265762,40,0.7278687357902527,0.7659856081008911,4821.212579619,0.009483716450631618,-0.031782299280166626,0.7659856081008911,1746559825.0746546,105.85541534423828,103.69999694824219,0.7614142894744873,0.7659856081008911,25.8839054107666,104.92094421386719,24,1.0018727779388428,23,18.997621536254883,500,84.76425170898438,1.100575566291809,111.9800033569336,0.007004935294389725,4.944708347320557,480000.0,1.0018727779388428,22.525991439819336,0.366239458322525,0,0,0.7614142894744873,-0.32404178380966187,1.0018727779388428,NaN,61.162052154541016,190.6197052001953
-0.010869830846786499,-4.535137176513672,0.7867732644081116,4820.3681640625,-0.45752787590026855,0.00022499999613501132,40,0.7201148271560669,0.7910324335098267,5011.546695611,0.009555328637361526,-0.029263943433761597,0.7910324335098267,1746560016.3679051,105.77835845947266,98.2249984741211,0.7867732644081116,0.7910324335098267,23.697372436523438,104.60377502441406,25,1.0025520324707031,24,19.052303314208984,500,85.41929626464844,1.0899052619934082,84.16999816894531,0.006123808212578297,4.633187770843506,500000.0,1.0025520324707031,21.71977996826172,0.3369755148887634,0,0,0.7867732644081116,0.0819372832775116,1.0025519132614136,NaN,56.626914978027344,191.19769287109375
0.11801013350486755,6.264614105224609,0.8116155862808228,5010.71630859375,-0.339517742395401,0.00022200000239536166,40,0.7131683826446533,0.8158936500549316,5200.321212948,0.010488051921129227,0.06009510159492493,0.8158936500549316,1746560206.7025223,105.51570129394531,126.9000015258789,0.8116155862808228,0.8158936500549316,23.148061752319336,105.1249008178711,26,1.0015537738800049,25,21.40323829650879,500,84.73413848876953,1.0804303884506226,95.83999633789062,0.007980149239301682,4.7148613929748535,520000.0,1.0015537738800049,24.484365463256836,0.39707061648368835,0,0,0.8116155862808228,-0.040433965623378754,1.0015537738800049,NaN,62.89152908325195,190.2498779296875
-0.19457188248634338,-15.415390014648438,0.8359557390213013,5199.48291015625,-0.5340896248817444,0.00021899999410379678,40,0.7025361061096191,0.839923620223999,5386.264297433,0.010467911139130592,-0.004957258701324463,0.839923620223999,1746560395.4767294,105.50580596923828,82.5999984741211,0.8359557390213013,0.839923620223999,23.717857360839844,105.99263763427734,27,1.0041046142578125,26,17.4567928314209,500,83.1865005493164,1.0651003122329712,92.88999938964844,0.007762736175209284,4.7922258377075195,540000.0,1.0041046142578125,20.14628791809082,0.3921133577823639,0,0,0.8359557390213013,0.05257076025009155,1.0041046142578125,NaN,47.476139068603516,188.69235229492188
-0.05157816410064697,-13.47625732421875,0.8593040108680725,5385.4033203125,-0.5856677889823914,0.00021600000036414713,40,0.6886958479881287,0.8625885844230652,5573.264113371,0.010244771838188171,-0.032089054584503174,0.8625885844230652,1746560581.4195247,105.4193344116211,44.625,0.8593040108680725,0.8625885844230652,22.510414123535156,107.62384033203125,28,1.0039812326431274,27,11.946492195129395,500,80.41304016113281,1.0451878309249878,61.79999923706055,0.010569725185632706,4.607053279876709,560000.0,1.0039812326431274,14.02180004119873,0.3600243031978607,0,0,0.8593040108680725,0.07930704951286316,1.0039812326431274,NaN,33.999881744384766,185.8324432373047
0.18080830574035645,7.913383483886719,0.8815579414367676,5572.4091796875,-0.4048594832420349,0.00021300000662449747,40,0.6728717088699341,0.8844853639602661,5761.589800674,0.010826269164681435,0.05672013759613037,0.8844853639602661,1746560768.419493,105.1609115600586,72.2750015258789,0.8815579414367676,0.8844853639602661,21.91962432861328,107.01477813720703,29,1.0011533498764038,28,12.96113395690918,500,81.7291259765625,1.0217368602752686,50.75,0.01014504674822092,4.673501014709473,580000.0,1.0011533498764038,16.021350860595703,0.4167444407939911,0,0,0.8815579414367676,0.1615472435951233,1.0011533498764038,NaN,41.913265228271484,186.89007568359375
-0.023593276739120483,4.099910736083984,0.9028589725494385,5760.75537109375,-0.4284527599811554,0.0002099999983329326,40,0.6598109006881714,0.9057179689407349,5950.175224188,0.010540831834077835,0.0058251917362213135,0.9057179689407349,1746560956.7451072,105.97671508789062,73.55000305175781,0.9028589725494385,0.9057179689407349,22.641586303710938,106.24768829345703,30,1.0013525485992432,29,13.77072811126709,500,82.26262664794922,1.0020185708999634,52.439998626708984,0.009271509014070034,4.758601665496826,600000.0,1.0013525485992432,16.573463439941406,0.4225696325302124,0,0,0.9028589725494385,0.19189369678497314,1.0013525485992432,NaN,46.01317596435547,188.23939514160156
0.20368395745754242,-5.234230041503906,0.9234766960144043,5949.35400390625,-0.22476880252361298,0.00020700000459328294,40,0.6485453844070435,0.9265973567962646,6140.659945629,0.010597669519484043,0.011312991380691528,0.9265973567962646,1746561145.3308923,105.22289276123047,87.67500305175781,0.9234766960144043,0.9265973567962646,23.435102462768555,106.09493255615234,31,1.0028760433197021,30,13.89865779876709,500,83.2874755859375,0.9841950535774231,61.4900016784668,0.008808848448097706,4.793618202209473,620000.0,1.0028760433197021,16.050439834594727,0.43388262391090393,0,0,0.9234766960144043,-0.00423513725399971,1.0028760433197021,NaN,40.77894592285156,188.51040649414062
-0.05282129347324371,10.930721282958984,0.9437465667724609,6139.84130859375,-0.2775900959968567,0.00020399999630171806,40,0.6471120119094849,0.9473149180412292,6325.294798966,0.011051605455577374,0.03607776761054993,0.9473149180412292,1746561335.8155386,106.38567352294922,96.32499694824219,0.9437465667724609,0.9473149180412292,24.952993392944336,105.02953338623047,32,1.0018231868743896,31,14.546923637390137,500,84.03691101074219,0.9814713001251221,75.19000244140625,0.008907755836844444,5.038778781890869,640000.0,1.0018231868743896,18.291400909423828,0.46996039152145386,0,0,0.9437465667724609,-0.07534079998731613,1.0018231868743896,NaN,51.70966720581055,190.42263793945312
-0.14224624633789062,-30.731950759887695,0.9632600545883179,6324.4794921875,-0.4198363423347473,0.0002010000025620684,40,0.637010395526886,0.9667829275131226,6512.956739508,0.01084231585264206,-0.22047795355319977,0.9667829275131226,1746561520.4505546,105.31732177734375,32.5,0.9632600545883179,0.9667829275131226,21.882396697998047,108.35906982421875,33,1.0015102624893188,32,6.887587547302246,500,79.25418090820312,0.9654033780097961,51.849998474121094,0.010176151990890503,4.209387302398682,660000.0,1.0015102624893188,9.35381031036377,0.2494824379682541,0,0,0.9632600545883179,-0.04798676073551178,1.0015102624893188,NaN,20.97771644592285,184.57154846191406
0.14056727290153503,15.469053268432617,0.9819799065589905,6512.140625,-0.2792690694332123,0.00019799999427050352,40,0.6332571506500244,0.9858779311180115,6701.032859467,0.010783985257148743,0.17078395187854767,0.9858779311180115,1746561708.1125412,104.9496841430664,74.80000305175781,0.9819799065589905,0.9858779311180115,21.856101989746094,106.6084976196289,34,1.0030834674835205,33,11.320838928222656,500,82.65257263183594,0.9589132070541382,46.08000183105469,0.007719723507761955,4.883907794952393,680000.0,1.0030834674835205,14.570525169372559,0.42026638984680176,0,0,0.9819799065589905,0.11554925888776779,1.0030834674835205,NaN,36.44676971435547,187.602294921875
0.012426614761352539,2.7572898864746094,1.0002316236495972,6700.1923828125,-0.26684245467185974,0.00019500000053085387,40,0.6221283674240112,1.0048445463180542,6886.153160597,0.01106137316673994,-0.030687779188156128,1.0048445463180542,1746561896.1882348,105.48261260986328,86.0250015258789,1.0002316236495972,1.0048445463180542,23.154525756835938,106.38738250732422,35,1.0026230812072754,34,12.391030311584473,500,82.50957489013672,0.9407881498336792,58.220001220703125,0.009119548834860325,4.926119327545166,700000.0,1.0026230812072754,15.91636848449707,0.38957861065864563,0,0,1.0002316236495972,-0.004779502749443054,1.0026230812072754,NaN,39.20405960083008,187.99221801757812
-0.0030105113983154297,-19.81119155883789,1.0179282426834106,6885.31201171875,-0.26985296607017517,0.00019200000679120421,40,0.6150401830673218,1.0228368043899536,7073.320303701,0.010672892443835735,-0.1404908001422882,1.0228368043899536,1746562081.3085594,105.88740539550781,38.17499923706055,1.0179282426834106,1.0228368043899536,22.489412307739258,108.09254455566406,36,1.0018030405044556,35,6.302146911621094,500,79.13919067382812,0.929402768611908,51.349998474121094,0.009257146157324314,4.1917290687561035,720000.0,1.0018030405044556,8.454258918762207,0.24908781051635742,0,0,1.0179282426834106,0.03495597466826439,1.0018030405044556,NaN,19.392868041992188,185.02664184570312
