TotalEnvSteps,Train/PolicyRatio,Loss/Loss_reward_critic,Metrics/LagrangeMultiplier/Max,Time/Total,Loss/Loss_cost_critic,_runtime,Safety/ShieldLagrangeMultiplier/Max,Train/Epoch,Loss/Loss_cost_critic/Delta,_step,Train/StopIter,Metrics/EpRet,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier,Train/LR,Time/Epoch,Time/Update,Safety/shield_adv_c,Metrics/EpCost,Value/reward,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Std,Loss/Loss_pi/Delta,Train/PolicyRatio/Min,Loss/Loss_reward_critic/Delta,Safety/ShieldLagrangeMultiplier/Min,Train/PolicyStd,Safety/ShieldLagrangeMultiplier/Std,Value/Adv,Loss/Loss_pi,Train/PolicyRatio/Max,Safety/EpCostShield,Safety/ShieldLagrangeMultiplier,_timestamp,Train/Entropy,Time/FPS,Value/cost,Metrics/EpLen,Train/KL,Safety/shield_violation,Time/Rollout
20000.0,1.0033310651779175,0.0064694550819695,0.03599999472498894,173.7122344970703,14.779378890991211,328.056740217,0.044999994337558746,0,14.779378890991211,1,40,-0.4006408154964447,0.011392269283533096,0.03599999472498894,0.0002969999914057553,173.71156311035156,78.90138244628906,NaN,35.04999923706055,0.041725557297468185,0.03599999472498894,0,-0.4495306611061096,1.003331184387207,0.0064694550819695,0.044999994337558746,0.9732446670532227,0,0.15455487370491028,-0.4495306611061096,1.003331184387207,65.25,0.044999994337558746,1746528062.9908814,1.391771674156189,115.13338470458984,0.18089845776557922,1000,0.012935832142829895,0.22511084377765656,94.81011962890625
40000.0,1.0065503120422363,0.006257065571844578,0.07052376866340637,327.2259826660156,8.813908576965332,487.73207082,0.07840569317340851,1,-5.965470314025879,2,40,0.09506161510944366,0.011869910173118114,0.07052376866340637,0.00029399999766610563,153.43792724609375,83.18531799316406,NaN,27.450000762939453,0.029252585023641586,0.07052376866340637,0,0.04398271441459656,1.0065503120422363,-0.0002123895101249218,0.07840569317340851,0.9389129281044006,0,-0.19566282629966736,-0.40554794669151306,1.0065503120422363,38.25,0.07840569317340851,1746528216.531134,1.3558603525161743,130.3458709716797,0.6971044540405273,1000,0.011750968173146248,1.6821777820587158,70.2525634765625
60000.0,1.0062397718429565,0.007582768797874451,0.10520809888839722,486.9184265136719,9.909440994262695,653.90801322,0.11230073124170303,2,1.0955324172973633,3,40,0.49580633640289307,0.0121199581772089,0.10520809888839722,0.000291000003926456,159.59060668945312,83.53762817382812,NaN,31.133333206176758,0.031047601252794266,0.10520809888839722,0,0.021029740571975708,1.0062397718429565,0.001325703226029873,0.11230073124170303,0.9003676176071167,0,-0.11298895627260208,-0.38451820611953735,1.0062397718429565,83.9000015258789,0.11230073124170303,1746528376.2067,1.3139052391052246,125.32066345214844,0.8041918873786926,1000,0.012007690034806728,1.6207802295684814,76.05293273925781
80000.0,1.0077472925186157,0.012695292942225933,0.14013709127902985,653.117431640625,14.187732696533203,814.478252122,0.1459248661994934,3,4.278291702270508,4,40,0.8936780691146851,0.012315693311393261,0.14013709127902985,0.0002880000101868063,166.11337280273438,91.48646545410156,NaN,41.07500076293945,0.05703365430235863,0.14013709127902985,0,0.04219752550125122,1.0077474117279053,0.005112524144351482,0.1459248661994934,0.8647864460945129,0,0.2440999448299408,-0.34232068061828613,1.0077474117279053,127.80000305175781,0.1459248661994934,1746528542.3829339,1.2735449075698853,120.39970397949219,2.1748878955841064,1000,0.012550563551485538,3.8684492111206055,74.62684631347656
100000.0,1.0095981359481812,0.022654175758361816,0.17527183890342712,813.6752319335938,18.444358825683594,970.90837422,0.17946448922157288,4,4.256626129150391,5,40,1.2430442571640015,0.012169057503342628,0.17527183890342712,0.0002849999873433262,160.4977264404297,83.23515319824219,NaN,47.619998931884766,0.08853940665721893,0.17527183890342712,0,0.061092108488082886,1.0095981359481812,0.009958882816135883,0.17946448922157288,0.8335537910461426,0,-0.18279823660850525,-0.28122857213020325,1.0095981359481812,173.3000030517578,0.17946448922157288,1746528702.9528825,1.2367150783538818,124.61235809326172,2.7021961212158203,1000,0.01314264815300703,5.383370399475098,77.26253509521484
120000.0,1.0084900856018066,0.014602257870137691,0.2106391340494156,970.1015014648438,13.1632080078125,1129.798870388,0.21292957663536072,5,-5.281150817871094,6,40,1.8174941539764404,0.012310412712395191,0.2106391340494156,0.00028199999360367656,156.3496856689453,80.76957702636719,NaN,49.220001220703125,0.1361628919839859,0.2106391340494156,0,-0.10308900475502014,1.0084900856018066,-0.008051917888224125,0.21292957663536072,0.8053415417671204,0,-0.0462719202041626,-0.3843175768852234,1.0084900856018066,90.4000015258789,0.21292957663536072,1746528859.3828585,1.2022504806518555,127.91839599609375,3.512362480163574,1000,0.013266888447105885,7.139726638793945,75.58003234863281
140000.0,1.0082228183746338,0.014584728516638279,0.2462395429611206,1128.9815673828125,11.229487419128418,1288.400482357,0.2471081167459488,6,-1.933720588684082,7,40,2.2960288524627686,0.01224917359650135,0.2462395429611206,0.0002789999998640269,158.80262756347656,81.47994995117188,NaN,58.380001068115234,0.1735629439353943,0.2462395429611206,0,0.09011635184288025,1.0082229375839233,-1.7529353499412537e-05,0.2471081167459488,0.7847824096679688,0,-0.1034032329916954,-0.29420122504234314,1.0082229375839233,154.75,0.2471081167459488,1746529018.2732215,1.1762827634811401,125.94249725341797,3.5421664714813232,1000,0.012187953107059002,7.761702537536621,77.3226089477539
160000.0,1.0127856731414795,0.014869676902890205,0.28209027647972107,1287.586181640625,8.244058609008789,1447.716740123,0.28071466088294983,7,-2.985428810119629,8,40,2.5896527767181396,0.013291015289723873,0.28209027647972107,0.00027600000612437725,158.51609802246094,84.28152465820312,NaN,58.79999923706055,0.19891253113746643,0.28209027647972107,0,-0.11897870898246765,1.0127856731414795,0.0002849483862519264,0.28071466088294983,0.76216721534729,0,-0.03668798878788948,-0.4131799340248108,1.0127856731414795,81.25,0.28071466088294983,1746529176.874975,1.1469311714172363,126.17015838623047,4.444534778594971,1000,0.014978557825088501,8.128973007202148,74.2344970703125
180000.0,1.0127066373825073,0.03238173946738243,0.31814250349998474,1446.91455078125,9.465367317199707,1606.922133529,0.31479889154434204,8,1.221308708190918,9,40,3.006948232650757,0.013875062577426434,0.31814250349998474,0.0002730000123847276,159.24090576171875,84.0855941772461,NaN,57.7599983215332,0.1900331676006317,0.31814250349998474,0,0.06393420696258545,1.0127066373825073,0.017512062564492226,0.31479889154434204,0.7395241260528564,0,0.017198242247104645,-0.34924572706222534,1.0127066373825073,127.30000305175781,0.31479889154434204,1746529336.1914256,1.1167547702789307,125.59587097167969,4.036002159118652,1000,0.014996873214840889,8.95638656616211,75.1552734375
200000.0,1.0133910179138184,0.02454308234155178,0.3543485701084137,1606.091064453125,12.90117359161377,1768.908780432,0.3491193652153015,9,3.4358062744140625,10,40,3.3498544692993164,0.013474195264279842,0.3543485701084137,0.0002699999895412475,159.10107421875,84.51082611083984,NaN,57.349998474121094,0.2380797117948532,0.3543485701084137,0,-0.0292222797870636,1.0133910179138184,-0.00783865712583065,0.3491193652153015,0.721521258354187,0,-0.010441303253173828,-0.37846800684928894,1.0133910179138184,118.44999694824219,0.3491193652153015,1746529495.3966262,1.0922081470489502,125.70625305175781,4.181571960449219,1000,0.013433296233415604,9.983384132385254,74.59019470214844
