Value/reward,Loss/Loss_reward_critic,Train/PolicyRatio/Min,Value/Adv,Loss/Loss_pi,TotalEnvSteps,Safety/ShieldLagrangeMultiplier,_step,Train/Epoch,Metrics/LagrangeMultiplier/Min,Misc/Alpha,Loss/Loss_cost_critic,_runtime,Train/PolicyStd,Loss/Loss_pi/Delta,Metrics/LagrangeMultiplier/Max,Train/StopIter,Value/cost,Time/Total,Metrics/EpRet,Loss/Loss_reward_critic/Delta,Train/PolicyRatio/Std,Time/Update,Train/Entropy,Metrics/EpCost,Train/PolicyRatio,Safety/EpCostShield,Safety/shield_adv_c,_timestamp,Train/LR,Time/Rollout,Misc/AcceptanceStep,Metrics/LagrangeMultiplier/Std,Time/FPS,Metrics/LagrangeMultiplier,Misc/gradient_norm,Time/Epoch,Safety/ShieldLagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Min,Misc/xHx,Safety/ShieldLagrangeMultiplier/Max,Train/PolicyRatio/Max,Safety/shield_violation,Misc/FinalStepNorm,Loss/Loss_cost_critic/Delta,Metrics/EpLen,Train/KL,Misc/H_inv_g
-0.009228968992829323,0.02653886191546917,0.9993420839309692,-1.2207030941624453e-08,-0.2173946052789688,20000.0,0.04500000178813934,1,0,0.03599999472498894,2.900528907775879,37.53461837768555,289.023442492,1.0208977460861206,-0.2173946052789688,0.03599999472498894,10,0.1284998506307602,162.60916137695312,-0.4351932406425476,0.02653886191546917,0.0004652450152207166,23.29794692993164,1.4394221305847168,48.25,0.9993420243263245,66.2249984741211,1.7621502876281738,1746551835.0649476,0,139.31007385253906,1,0,122.99514770507812,0.03599999472498894,0.0305464006960392,162.60804748535156,0,0.04500000178813934,0.0023772441782057285,0.04500000178813934,0.9993420839309692,-0.29702702164649963,0.3619534969329834,37.53461837768555,500,0.00019138253992423415,0.1247887909412384
-0.016634434461593628,0.025095846503973007,0.9989331960678101,3.051757735406113e-09,-0.15810878574848175,40000.0,0.07905600965023041,2,1,0.07072662562131882,1.9978690147399902,34.2081184387207,414.112869572,1.0266313552856445,0.05928581953048706,0.07072662562131882,10,2.065932035446167,287.86419677734375,0.6175836324691772,-0.0014430154114961624,0.0007544005056843162,23.048643112182617,1.444952130317688,70.8499984741211,0.9989331364631653,122.7249984741211,3.7114336490631104,1746551960.3431916,0,102.11901092529297,1,0,159.78565979003906,0.07072662562131882,0.04885734245181084,125.16767883300781,0,0.07905600965023041,0.005010661669075489,0.07905600965023041,0.9989331960678101,2.723745346069336,0.33986902236938477,-3.3264999389648438,500,0.0003747115551959723,0.17011576890945435
0.0469055138528347,0.017056729644536972,0.9986647367477417,-3.68118264759687e-08,-0.12615223228931427,60000.0,0.11359182000160217,3,2,0.10545480996370316,1.8347976207733154,42.16962432861328,540.03666128,1.0240064859390259,0.03195655345916748,0.10545480996370316,10,5.261874198913574,412.9767150878906,1.4702709913253784,-0.008039116859436035,0.0009442017762921751,23.897254943847656,1.4423621892929077,88.81999969482422,0.9986646771430969,121.55000305175781,2.8206732273101807,1746552085.4328895,0,101.08782196044922,1,0,160.01907348632812,0.10545480996370316,0.04744305461645126,124.98509979248047,0,0.11359182000160217,0.005940909031778574,0.11359182000160217,0.9986647367477417,6.208676338195801,0.32573387026786804,7.961505889892578,500,0.0003824151062872261,0.17753122746944427
0.22229546308517456,0.028442109003663063,0.998731791973114,-4.425048771850015e-08,0.04986298084259033,80000.0,0.14725233614444733,4,3,0.13954280316829681,1.683850646018982,89.29824829101562,668.992157769,1.02671480178833,0.1760152131319046,0.13954280316829681,10,14.943687438964844,538.8474731445312,3.256471872329712,0.011385379359126091,0.0008967725443653762,22.597457885742188,1.4448896646499634,139.22999572753906,0.998731791973114,225.6750030517578,3.213888645172119,1746552211.356413,0,103.17477416992188,1,0,159.01759338378906,0.13954280316829681,0.16472800076007843,125.77225494384766,0,0.14725233614444733,0.007053785491734743,0.14725233614444733,0.998731791973114,16.814434051513672,0.23483318090438843,47.128623962402344,500,0.0004955587792210281,0.13946199417114258
0.4166303277015686,0.033462557941675186,0.9963597655296326,-3.9672851670502496e-08,0.1272623986005783,100000.0,0.18090751767158508,5,4,0.17285457253456116,1.8025583028793335,108.20599365234375,797.581118588,1.0325450897216797,0.07739941775798798,0.17285457253456116,10,25.44489288330078,667.8548583984375,5.610653877258301,0.005020448938012123,0.0025740484707057476,23.13983917236328,1.4499050378799438,213.85000610351562,0.9963597655296326,288.25,5.791171073913574,1746552340.3121111,0,105.70975494384766,1,0,155.21971130371094,0.17285457253456116,0.19760623574256897,128.849609375,0,0.18090751767158508,0.006155320443212986,0.18090751767158508,0.9963597655296326,27.666818618774414,0.21923430263996124,18.907745361328125,500,0.0005004548002034426,0.12162397056818008
0.6479741334915161,0.0408439114689827,0.9971261024475098,-8.392333938900265e-09,0.19765688478946686,120000.0,0.21493130922317505,6,5,0.20606814324855804,1.6991022825241089,118.60453796386719,926.171956346,1.0232537984848022,0.07039448618888855,0.20606814324855804,10,33.490386962890625,796.4567260742188,7.709871768951416,0.00738135352730751,0.002032124437391758,23.654827117919922,1.4399865865707397,283.95001220703125,0.9971261024475098,334.92498779296875,3.9532723426818848,1746552468.901311,0,104.84770202636719,1,0,155.63893127441406,0.20606814324855804,0.2135012447834015,128.5025634765625,0,0.21493130922317505,0.00692772027105093,0.21493130922317505,0.9971261024475098,35.967567443847656,0.25452113151550293,10.398544311523438,500,0.00043373845983296633,0.14979742467403412
0.8514441251754761,0.07084020227193832,0.9997987151145935,7.247924482811641e-09,0.08300551027059555,140000.0,0.24952861666679382,7,6,0.239933580160141,1.639477014541626,143.11643981933594,1054.587536972,1.020213007926941,-0.11465137451887131,0.239933580160141,10,37.04987716674805,925.05908203125,9.423931121826172,0.029996290802955627,0.00014234395348466933,22.833232879638672,1.4361931085586548,295.1600036621094,0.9997987151145935,313.75,2.4911534786224365,1746552597.4924765,0,105.68629455566406,1,0,155.61834716796875,0.239933580160141,0.13735142350196838,128.51954650878906,0,0.24952861666679382,0.0074407849460840225,0.24952861666679382,0.9997987151145935,39.768226623535156,0.2961951792240143,24.51190185546875,500,0.00032467793789692223,0.18066443502902985
1.1251065731048584,0.08882028609514236,0.9994630217552185,1.4495848965623281e-08,-0.017530562356114388,160000.0,0.2845527231693268,8,7,0.2744627594947815,1.5327138900756836,182.1031494140625,1181.49598355,1.0396173000335693,-0.10053607262670994,0.2744627594947815,10,40.64609146118164,1053.445556640625,10.840598106384277,0.01798008382320404,0.0003797149984166026,23.36526107788086,1.4548487663269043,295.1199951171875,0.9994630217552185,301.5249938964844,0.3970320224761963,1746552725.907261,0,104.95769500732422,1,0,155.8567352294922,0.2744627594947815,0.11084118485450745,128.32298278808594,0,0.2845527231693268,0.008513483218848705,0.2845527231693268,0.9994630217552185,43.088096618652344,0.30164211988449097,38.98670959472656,500,0.0003305165155325085,0.19680263102054596
1.3126853704452515,0.1185748428106308,1.0008528232574463,-1.831054596834747e-08,-0.0009050698135979474,180000.0,0.319907546043396,9,8,0.3095385730266571,1.144494652748108,151.043212890625,1310.444181851,1.0519353151321411,0.01662549254251644,0.3095385730266571,10,41.03336715698242,1180.1533203125,11.791308403015137,0.029754556715488434,0.0006029809010215104,22.699573516845703,1.4667482376098633,293.44000244140625,1.0008527040481567,302.7749938964844,2.7002315521240234,1746552852.8157465,0,103.90240478515625,1,0,157.9753875732422,0.3095385730266571,0.15905140340328217,126.60200500488281,0,0.319907546043396,0.015268702059984207,0.319907546043396,1.0008528232574463,43.44778060913086,0.2871299386024475,-31.0599365234375,500,0.00037137928302399814,0.2508792281150818
1.9169790744781494,0.1349950134754181,0.9997953176498413,-6.866454960174906e-09,-0.19090163707733154,200000.0,0.3555135428905487,10,9,0.34501925110816956,1.4045883417129517,150.2318115234375,1435.678404624,1.0573195219039917,-0.1899965672637336,0.34501925110816956,10,47.901729583740234,1309.327880859375,13.925092697143555,0.016420170664787292,0.00014478847151622176,23.25120735168457,1.4718669652938843,284.8699951171875,0.9997952580451965,301.92498779296875,0.4578057825565338,1746552981.764493,0,105.61178588867188,1,0,155.2035675048828,0.34501925110816956,0.18904121220111847,128.86300659179688,0,0.3555135428905487,0.010137513279914856,0.3555135428905487,0.9997953176498413,50.85205841064453,0.3002989590167999,-0.8114013671875,500,0.000326197303365916,0.21379856765270233
